,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,31.19,31.31,30.5,30.81,12.7304,251200,0.0,1.0
2000-01-19,31.0,32.13,30.88,31.88,13.1725,581500,0.0,1.0
2000-01-20,32.0,34.06,31.88,33.88,13.9989,985800,0.0,1.0
2000-01-21,34.75,37.5,33.88,37.19,15.3665,1231300,0.0,1.0
2000-01-24,39.0,41.31,37.38,37.56,15.5194,1822600,0.0,1.0
2000-01-25,37.63,38.0,35.25,35.75,14.7716,773400,0.0,1.0
2000-01-26,35.81,35.88,35.38,35.88,14.8253,443300,0.0,1.0
2000-01-27,35.75,35.75,34.5,35.0,14.4617,963600,0.0,1.0
2000-01-28,34.5,34.69,33.25,33.25,13.7386,394300,0.0,1.0
2000-01-31,33.63,35.0,33.38,34.75,14.3584,906000,0.0,1.0
2000-02-01,34.88,35.31,34.69,34.75,14.3584,637000,0.0,1.0
2000-02-02,34.44,34.56,33.62,33.69,13.9204,386000,0.0,1.0
2000-02-03,33.69,34.56,33.69,34.25,14.1518,623600,0.0,1.0
2000-02-04,34.31,34.38,33.13,33.25,13.7386,546600,0.0,1.0
2000-02-07,33.25,33.25,32.63,33.0,13.6353,372800,0.0,1.0
2000-02-08,33.19,33.25,32.94,33.0,13.6353,580600,0.0,1.0
2000-02-09,33.0,33.38,32.38,32.38,13.3791,521800,0.0,1.0
2000-02-10,32.63,32.69,31.88,32.19,13.3006,662500,0.0,1.0
2000-02-11,32.19,32.69,32.19,32.5,13.4287,327200,0.0,1.0
2000-02-14,32.75,33.38,32.44,32.69,13.5072,509800,0.0,1.0
2000-02-15,32.81,33.25,32.63,33.0,13.6353,517600,0.0,1.0
2000-02-16,33.06,33.25,32.5,32.56,13.4535,377800,0.0,1.0
2000-02-17,33.0,33.19,32.38,32.5,13.4287,475400,0.0,1.0
2000-02-18,32.5,32.56,32.06,32.13,13.2758,328000,0.0,1.0
2000-02-22,32.38,32.5,31.69,31.81,13.1436,324800,0.0,1.0
2000-02-23,31.56,31.63,30.75,30.88,12.7593,302100,0.0,1.0
2000-02-24,31.06,31.19,29.81,30.06,12.4205,620100,0.0,1.0
2000-02-25,30.06,30.19,29.13,29.44,12.1643,451100,0.0,1.0
2000-02-28,29.38,30.19,29.13,29.75,12.2924,750600,0.0,1.0
2000-02-29,29.75,30.31,29.5,30.19,12.4742,437900,0.0,1.0
2000-03-01,30.0,30.38,29.19,29.38,12.1395,361500,0.0,1.0
2000-03-02,29.75,29.75,29.19,29.38,12.1395,608500,0.0,1.0
2000-03-03,29.25,29.63,29.13,29.5,12.1891,496600,0.0,1.0
2000-03-06,31.0,31.0,29.63,29.81,12.3172,1142100,0.0,1.0
2000-03-07,29.81,30.44,29.38,29.38,12.1395,833100,0.0,1.0
2000-03-08,29.31,30.0,29.13,29.75,12.2924,572100,0.0,1.0
