,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,53.75,54.0,53.06,53.56,18.445,1179000,0.0,1.0
2000-01-19,54.0,55.06,53.69,55.06,18.9615,1744350,0.0,1.0
2000-01-20,55.31,55.88,54.88,55.81,19.2198,1739850,0.0,1.0
2000-01-21,56.13,57.0,56.0,56.5,19.4574,1844250,0.0,1.0
2000-01-24,56.75,57.63,56.44,57.25,19.7157,1891650,0.0,1.0
2000-01-25,57.5,57.94,56.31,57.06,19.6503,1934700,0.0,1.0
2000-01-26,57.13,57.94,56.88,57.31,19.7364,1374750,0.0,1.0
2000-01-27,57.25,57.88,56.69,57.88,19.9327,1666800,0.0,1.0
2000-01-28,57.63,57.63,56.19,57.0,19.6296,1341450,0.0,1.0
2000-01-31,57.0,57.94,56.5,57.75,19.8879,1363200,0.0,1.0
2000-02-01,57.63,57.88,56.81,57.56,19.8225,1006950,0.0,1.0
2000-02-02,57.56,57.63,56.31,56.56,19.4781,1471200,0.0,1.0
2000-02-03,56.56,57.38,55.56,56.13,19.33,2937300,0.0,1.0
2000-02-04,55.5,55.56,53.63,53.81,18.5311,1707150,0.0,1.0
2000-02-07,53.75,54.88,52.75,53.06,18.2728,1396200,0.0,1.0
2000-02-08,53.19,54.81,53.13,53.56,18.445,2548350,0.0,1.0
2000-02-09,52.13,52.88,51.81,51.94,18.0765,2502750,0.55,1.0
2000-02-10,52.06,52.31,51.0,51.13,17.7946,2273700,0.0,1.0
2000-02-11,51.5,51.75,50.75,51.19,17.8155,1393200,0.0,1.0
2000-02-14,51.94,51.94,51.13,51.5,17.9234,1418550,0.0,1.0
2000-02-15,51.25,51.81,50.69,50.81,17.6832,1184850,0.0,1.0
2000-02-16,50.94,51.13,50.5,51.13,17.7946,1218300,0.0,1.0
2000-02-17,51.75,51.88,51.13,51.63,17.9686,1910100,0.0,1.0
2000-02-18,52.06,52.06,51.38,51.69,17.9895,2464500,0.0,1.0
2000-02-22,51.5,51.81,50.56,50.63,17.6206,2082000,0.0,1.0
2000-02-23,50.25,50.25,49.19,49.75,17.3143,2128200,0.0,1.0
2000-02-24,49.5,49.5,47.75,48.38,16.8375,1705650,0.0,1.0
