,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,34.56,37.38,34.56,37.38,15.5363,482300,0.0,1.0
2000-01-19,37.38,38.5,37.38,38.38,15.9519,546900,0.0,1.0
2000-01-20,38.13,39.75,38.13,38.94,16.1847,595700,0.0,1.0
2000-01-21,39.5,41.75,39.5,41.31,17.1697,593600,0.0,1.0
2000-01-24,41.5,42.06,39.25,40.25,16.7291,1011000,0.0,1.0
2000-01-25,40.0,40.06,39.13,39.25,16.3135,297800,0.0,1.0
2000-01-26,39.31,40.31,38.25,38.25,15.8979,334100,0.0,1.0
2000-01-27,38.38,39.5,36.94,37.56,15.6111,368700,0.0,1.0
2000-01-28,37.5,38.13,37.0,37.56,15.6111,293600,0.0,1.0
2000-01-31,37.5,37.5,35.13,35.13,14.6011,477000,0.0,1.0
2000-02-01,35.13,36.44,35.13,36.06,14.9876,467200,0.0,1.0
2000-02-02,36.31,36.81,35.63,35.63,14.8089,278000,0.0,1.0
2000-02-03,36.25,36.31,35.63,35.94,14.9378,204900,0.0,1.0
2000-02-04,35.94,36.0,35.63,36.0,14.9627,233200,0.0,1.0
2000-02-07,35.75,37.0,35.75,36.0,14.9627,267800,0.0,1.0
2000-02-08,36.0,36.13,35.13,36.0,14.9627,133300,0.0,1.0
2000-02-09,36.0,36.63,35.25,35.31,14.6759,503400,0.0,1.0
2000-02-10,35.5,37.94,35.5,37.13,15.4324,310700,0.0,1.0
2000-02-11,37.5,37.5,36.0,36.0,14.9627,188400,0.0,1.0
2000-02-14,36.38,37.63,36.0,37.19,15.4573,280000,0.0,1.0
2000-02-15,37.19,38.38,37.13,38.06,15.8189,476600,0.0,1.0
2000-02-16,37.69,38.94,37.63,38.88,16.1597,192900,0.0,1.0
2000-02-17,39.0,39.0,38.25,38.63,16.0558,319900,0.0,1.0
2000-02-18,38.38,38.88,37.94,38.13,15.848,452500,0.0,1.0
2000-02-22,38.44,38.44,37.06,38.31,15.9228,334600,0.0,1.0
2000-02-23,38.06,38.13,36.0,36.88,15.3285,188900,0.0,1.0
2000-02-24,36.63,37.13,35.75,36.44,15.1456,368500,0.0,1.0
2000-02-25,36.88,36.88,35.75,35.94,14.9378,448400,0.0,1.0
2000-02-28,35.25,36.88,35.25,36.69,15.2495,227500,0.0,1.0
2000-02-29,36.63,37.5,36.25,37.25,15.4823,400800,0.0,1.0
2000-03-01,37.5,39.0,37.25,38.88,16.1597,315300,0.0,1.0
2000-03-02,39.75,41.25,39.63,41.0,17.0409,662300,0.0,1.0
2000-03-03,40.88,40.94,39.13,39.94,16.6003,391800,0.0,1.0
2000-03-06,40.13,40.75,39.25,40.63,16.8871,155400,0.0,1.0
2000-03-07,40.38,45.25,40.25,45.25,18.8073,694100,0.0,1.0
2000-03-08,44.63,45.13,42.88,44.25,18.3917,765000,0.0,1.0
2000-03-09,44.0,44.38,42.75,44.31,18.4166,287200,0.0,1.0
2000-03-10,44.19,44.81,43.25,44.06,18.3127,483400,0.0,1.0
2000-03-13,42.75,44.31,42.5,44.25,18.4124,201500,0.05,1.0
2000-03-14,44.0,44.81,43.56,44.38,18.4665,392500,0.0,1.0
2000-03-15,44.13,44.38,42.56,42.94,17.8674,315300,0.0,1.0
2000-03-16,42.5,44.25,42.38,44.06,18.3334,274600,0.0,1.0
2000-03-17,43.0,43.88,42.56,43.38,18.0504,220900,0.0,1.0
2000-03-20,43.0,43.0,41.75,42.25,17.5802,129100,0.0,1.0
2000-03-21,42.0,43.75,41.88,43.19,17.9714,198600,0.0,1.0
2000-03-22,43.0,43.38,42.69,42.94,17.8674,271500,0.0,1.0
