,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2017-02-01,62.38,62.83,61.69,62.25,52.1894,14632,0.0,1.0
2017-02-02,62.04,63.08,61.6,62.95,52.7762,14242,0.0,1.0
2017-02-03,65.45,70.47,65.01,69.95,58.6449,86383,0.0,1.0
2017-02-06,69.95,71.5,69.81,71.38,59.8438,44191,0.0,1.0
2017-02-07,71.45,71.79,70.56,70.69,59.2653,26749,0.0,1.0
2017-02-08,70.64,71.18,70.33,70.77,59.3324,17361,0.0,1.0
2017-02-09,70.37,71.22,70.28,71.0,59.5252,14249,0.0,1.0
2017-02-10,71.09,71.6,70.79,70.82,59.3743,11178,0.0,1.0
2017-02-13,71.3,71.44,70.29,70.39,59.0138,21933,0.0,1.0
2017-02-14,69.96,70.79,69.61,70.14,58.8042,13189,0.0,1.0
2017-02-15,70.23,70.81,69.95,70.2,58.8545,12724,0.0,1.0
2017-02-16,70.61,70.93,70.29,70.84,59.3911,18500,0.0,1.0
2017-02-17,70.57,70.8,70.18,70.56,59.1563,8180,0.0,1.0
2017-02-21,70.94,71.24,70.41,71.06,59.5755,10085,0.0,1.0
2017-02-22,70.71,71.6,70.53,70.73,59.2988,7405,0.0,1.0
2017-02-23,71.11,71.12,68.99,69.75,58.4772,12544,0.0,1.0
2017-02-24,67.99,69.29,67.27,69.1,57.9323,21117,0.0,1.0
2017-02-27,69.16,69.16,67.41,68.56,57.4796,13194,0.0,1.0
2017-02-28,68.54,69.27,68.29,68.56,57.4796,22170,0.0,1.0
2017-03-01,69.17,71.19,69.17,70.58,59.1731,16211,0.0,1.0
2017-03-02,70.21,70.77,69.72,70.03,58.712,11945,0.0,1.0
2017-03-03,70.14,70.18,69.27,69.85,58.5611,11100,0.0,1.0
2017-03-06,69.2,69.36,68.61,68.66,57.5634,8277,0.0,1.0
2017-03-07,68.41,68.95,68.18,68.29,57.2532,10139,0.0,1.0
2017-03-08,68.35,68.98,68.1,68.59,57.5047,6808,0.0,1.0
2017-03-09,68.41,69.24,68.37,69.0,57.8484,7643,0.0,1.0
2017-03-10,68.73,69.33,67.98,69.06,57.8987,9491,0.0,1.0
2017-03-13,68.98,69.22,68.54,68.81,57.6892,15457,0.0,1.0
2017-03-14,68.31,68.79,67.63,68.54,57.4628,6870,0.0,1.0
2017-03-15,68.72,69.59,68.72,69.38,58.167,10831,0.0,1.0
2017-03-16,69.48,70.01,68.59,68.79,57.6724,8672,0.0,1.0
2017-03-17,69.18,69.21,66.34,66.58,55.8196,30224,0.0,1.0
2017-03-20,66.77,67.62,66.0,66.75,55.9621,13057,0.0,1.0
2017-03-21,66.8,67.41,63.94,65.03,54.5201,29042,0.0,1.0
2017-03-22,65.49,66.4,64.79,65.83,55.1908,15079,0.0,1.0
2017-03-23,65.25,67.77,65.22,67.24,56.3729,12433,0.0,1.0
2017-03-24,67.9,69.04,67.6,67.84,56.8759,13766,0.0,1.0
2017-03-27,67.01,68.16,65.53,68.05,57.1694,31267,0.14,1.0
2017-03-28,68.35,70.1,68.2,69.07,58.0263,21514,0.0,1.0
2017-03-29,69.28,74.92,67.5,72.72,61.0927,73256,0.0,1.0
2017-03-30,72.99,73.54,70.28,71.15,59.7737,45002,0.0,1.0
2017-03-31,71.09,71.09,68.9,69.01,57.9759,55257,0.0,1.0
2017-04-03,69.32,71.83,67.76,67.95,57.0853,34496446,0.0,1.0
2017-04-04,68.58,70.625,68.11,69.4,58.3035,6991755,0.0,1.0
2017-04-05,69.97,72.64,69.61,71.79,60.3114,5244219,0.0,1.0
2017-04-06,72.72,75.09,72.55,74.68,62.7393,9425095,0.0,1.0
2017-04-07,74.4,76.24,74.39,75.87,63.739,3981631,0.0,1.0
2017-04-10,75.9,76.16,73.84,74.71,62.7645,3184751,0.0,1.0
2017-04-11,74.11,75.18,73.54,74.28,62.4032,2928972,0.0,1.0
2017-04-12,74.04,76.75,74.0,76.13,63.9574,3587192,0.0,1.0
2017-04-13,75.69,77.34,75.52,76.51,64.2767,2960952,0.0,1.0
2017-04-17,76.8,77.99,76.8,77.0,64.6883,2065550,0.0,1.0
2017-04-18,76.7,76.84,74.77,75.39,63.3357,3131160,0.0,1.0
2017-04-19,76.16,76.16,74.7,75.25,63.2181,3219498,0.0,1.0
2017-04-20,75.52,75.78,74.88,75.49,63.4198,2624505,0.0,1.0
2017-04-21,75.72,76.52,75.01,76.32,64.117,2727860,0.0,1.0
2017-04-24,76.97,77.03,75.43,75.69,63.5878,2156462,0.0,1.0
2017-04-25,75.41,76.42,75.09,76.13,63.9574,2042220,0.0,1.0
2017-04-26,76.33,76.75,75.65,76.14,63.9658,1539411,0.0,1.0
2017-04-27,76.33,76.47,75.35,75.88,63.7474,1185210,0.0,1.0
