,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.25,33.44,32.5,32.63,11.8328,740500,0.0,1.0
2000-01-19,32.88,33.5,32.81,33.25,12.0577,453700,0.0,1.0
2000-01-20,33.25,33.38,32.81,32.88,11.9235,526300,0.0,1.0
2000-01-21,33.13,34.25,33.0,33.56,12.1701,695400,0.0,1.0
2000-01-24,34.38,34.5,34.0,34.0,12.3296,643500,0.0,1.0
2000-01-25,34.13,34.25,32.88,33.0,11.967,492000,0.0,1.0
2000-01-26,33.25,34.0,33.0,34.0,12.3296,341600,0.0,1.0
2000-01-27,34.0,34.25,32.81,33.31,12.0794,469300,0.0,1.0
2000-01-28,33.31,33.81,32.5,32.56,11.8074,631600,0.0,1.0
2000-01-31,32.63,32.88,32.31,32.69,11.8546,555800,0.0,1.0
2000-02-01,32.75,33.06,32.5,32.88,11.9235,626500,0.0,1.0
2000-02-02,32.88,33.0,32.38,32.5,11.7857,394000,0.0,1.0
2000-02-03,32.56,33.13,32.5,32.81,11.8981,1015300,0.0,1.0
2000-02-04,32.25,32.25,31.63,32.25,11.695,864300,0.0,1.0
2000-02-07,32.31,32.38,31.56,31.56,11.4448,467400,0.0,1.0
2000-02-08,31.38,31.63,31.19,31.5,11.423,578900,0.0,1.0
2000-02-09,31.44,31.69,31.31,31.44,11.4013,845300,0.0,1.0
2000-02-10,31.44,32.06,31.44,31.81,11.5355,690400,0.0,1.0
2000-02-11,31.94,32.13,31.88,32.13,11.6515,1652100,0.0,1.0
2000-02-14,31.75,31.88,31.06,31.25,11.53,1234200,0.545,1.0
2000-02-15,31.25,31.38,31.0,31.06,11.4599,389600,0.0,1.0
2000-02-16,30.94,30.94,30.44,30.81,11.3677,349700,0.0,1.0
2000-02-17,30.81,30.81,29.13,29.25,10.7921,1465300,0.0,1.0
2000-02-18,29.25,29.25,28.0,28.13,10.3789,1251200,0.0,1.0
2000-02-22,28.25,28.25,27.81,27.88,10.2866,961700,0.0,1.0
2000-02-23,27.94,27.94,27.5,27.5,10.1464,1122900,0.0,1.0
2000-02-24,27.5,27.56,26.31,26.75,9.8697,1128600,0.0,1.0
2000-02-25,26.75,27.25,26.19,26.19,9.6631,854600,0.0,1.0
2000-02-28,26.75,27.81,26.5,27.38,10.1021,1126000,0.0,1.0
2000-02-29,27.31,27.81,27.25,27.56,10.1686,609200,0.0,1.0
2000-03-01,27.75,27.88,26.81,27.13,10.0099,723200,0.0,1.0
2000-03-02,27.0,27.44,27.0,27.25,10.0542,551900,0.0,1.0
2000-03-03,27.5,27.88,27.25,27.38,10.1021,415500,0.0,1.0
2000-03-06,27.38,27.63,26.94,27.44,10.1243,1350400,0.0,1.0
2000-03-07,27.5,27.94,27.44,27.63,10.1944,628000,0.0,1.0
2000-03-08,27.5,27.94,27.38,27.5,10.1464,864200,0.0,1.0
2000-03-09,27.63,27.69,27.25,27.5,10.1464,404300,0.0,1.0
2000-03-10,27.5,27.56,27.38,27.44,10.1243,395000,0.0,1.0
2000-03-13,27.25,27.69,27.25,27.69,10.2165,512900,0.0,1.0
2000-03-14,27.5,27.81,27.38,27.63,10.1944,473700,0.0,1.0
2000-03-15,27.5,29.13,27.5,29.13,10.7478,790100,0.0,1.0
2000-03-16,31.0,31.25,30.06,31.0,11.4378,1198300,0.0,1.0
2000-03-17,31.0,31.0,30.56,30.69,11.3234,798100,0.0,1.0
2000-03-20,30.5,30.94,30.44,30.69,11.3234,535200,0.0,1.0
2000-03-21,30.75,31.06,30.06,30.5,11.2533,575300,0.0,1.0
2000-03-22,30.25,30.25,29.19,29.38,10.8401,300100,0.0,1.0
2000-03-23,29.44,30.13,29.31,30.13,11.1168,397300,0.0,1.0
2000-03-24,30.06,30.13,29.0,29.25,10.7921,1796000,0.0,1.0
2000-03-27,28.75,29.31,28.75,29.06,10.722,636100,0.0,1.0
2000-03-28,29.0,29.13,28.44,28.63,10.5633,761300,0.0,1.0
2000-03-29,28.75,29.25,28.69,29.0,10.6999,603600,0.0,1.0
2000-03-30,29.13,29.56,28.81,29.13,10.7478,491900,0.0,1.0
2000-03-31,29.38,29.38,28.75,29.13,10.7478,553200,0.0,1.0
2000-04-03,29.13,29.44,28.88,29.0,10.6999,798300,0.0,1.0
