,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.1,21.47,20.79,20.97,10.2349,433200,0.0,1.0
2000-01-19,20.91,21.59,20.85,21.1,10.2983,366200,0.0,1.0
2000-01-20,21.22,21.41,20.54,20.6,10.0543,268600,0.0,1.0
2000-01-21,20.97,21.03,20.16,20.35,9.9323,406600,0.0,1.0
2000-01-24,20.29,20.41,19.79,19.79,9.6589,710800,0.0,1.0
2000-01-25,20.16,23.28,20.04,21.16,10.3276,1474900,0.0,1.0
2000-01-26,21.03,21.28,20.1,21.16,10.3276,877900,0.0,1.0
2000-01-27,21.35,22.28,20.97,21.35,10.4203,1049800,0.0,1.0
2000-01-28,21.41,21.66,21.16,21.47,10.4789,762300,0.0,1.0
2000-01-31,21.47,21.53,20.79,21.41,10.4496,358900,0.0,1.0
2000-02-01,21.22,21.22,20.54,20.91,10.2056,788700,0.0,1.0
2000-02-02,20.66,21.53,20.66,21.41,10.4496,595900,0.0,1.0
2000-02-03,22.15,22.15,21.16,21.66,10.5716,530600,0.0,1.0
2000-02-04,21.84,21.91,21.22,21.53,10.5082,445700,0.0,1.0
2000-02-07,21.28,21.35,20.97,21.22,10.3569,211900,0.0,1.0
2000-02-08,21.41,21.97,21.22,21.97,10.7229,349700,0.0,1.0
2000-02-09,21.53,21.59,21.03,21.41,10.4496,494500,0.0,1.0
2000-02-10,21.53,22.09,21.35,21.84,10.6595,581700,0.0,1.0
2000-02-11,22.4,22.78,21.78,22.09,10.7815,863500,0.0,1.0
2000-02-14,22.72,22.72,21.78,21.91,10.6937,366100,0.0,1.0
2000-02-15,21.84,22.22,21.53,21.84,10.6595,455800,0.0,1.0
2000-02-16,21.84,21.97,21.41,21.66,10.5716,424000,0.0,1.0
2000-02-17,21.59,21.78,21.41,21.66,10.5716,426500,0.0,1.0
2000-02-18,22.0,22.12,21.31,21.31,10.446,590400,0.0925,1.0
2000-02-22,20.94,21.25,20.56,21.19,10.3871,423700,0.0,1.0
2000-02-23,20.94,22.0,20.94,21.75,10.6616,378300,0.0,1.0
2000-02-24,21.81,22.0,20.44,21.94,10.7548,508300,0.0,1.0
2000-02-25,21.94,21.94,21.0,21.38,10.4803,425700,0.0,1.0
2000-02-28,21.0,21.19,20.62,21.19,10.3871,460900,0.0,1.0
2000-02-29,21.19,21.62,20.94,21.19,10.3871,312200,0.0,1.0
2000-03-01,21.25,21.25,20.87,21.06,10.3234,273400,0.0,1.0
2000-03-02,21.25,21.38,20.62,21.13,10.3577,1622000,0.0,1.0
2000-03-03,20.75,21.81,20.69,21.0,10.294,418000,0.0,1.0
2000-03-06,20.75,21.25,20.44,21.06,10.3234,374300,0.0,1.0
2000-03-07,20.81,21.38,20.62,20.81,10.2009,507800,0.0,1.0
2000-03-08,20.56,21.0,20.38,20.94,10.2646,328200,0.0,1.0
2000-03-09,21.0,21.94,20.81,21.44,10.5097,553100,0.0,1.0
2000-03-10,21.13,22.12,21.06,22.06,10.8136,361800,0.0,1.0
2000-03-13,21.56,22.06,21.38,22.0,10.7842,548600,0.0,1.0
2000-03-14,21.75,22.0,21.5,21.56,10.5685,309900,0.0,1.0
2000-03-15,21.31,22.25,21.13,22.19,10.8773,505400,0.0,1.0
2000-03-16,22.88,24.38,22.63,24.31,11.9165,644800,0.0,1.0
2000-03-17,22.0,24.19,22.0,24.0,11.7646,873600,0.0,1.0
2000-03-20,23.75,23.87,22.19,22.75,11.1518,446600,0.0,1.0
2000-03-21,23.0,23.06,22.25,22.88,11.2156,334700,0.0,1.0
2000-03-22,23.31,23.31,22.25,23.12,11.3332,395600,0.0,1.0
2000-03-23,22.88,24.06,22.56,24.0,11.7646,447600,0.0,1.0
2000-03-24,24.0,24.38,23.69,24.25,11.8871,485100,0.0,1.0
2000-03-27,24.25,24.94,24.25,24.75,12.1322,387300,0.0,1.0
2000-03-28,25.0,25.5,24.94,24.94,12.2254,421900,0.0,1.0
2000-03-29,24.69,25.0,24.0,24.25,11.8871,567900,0.0,1.0
2000-03-30,24.25,24.88,24.19,24.69,12.1028,352800,0.0,1.0
2000-03-31,25.0,25.44,24.56,25.25,12.3773,405200,0.0,1.0
2000-04-03,25.31,26.0,25.0,26.0,12.745,455700,0.0,1.0
