,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,48.56,48.56,47.19,47.31,12.6455,237500,0.0,1.0
2000-01-19,47.13,47.19,44.63,45.75,12.2286,450800,0.0,1.0
2000-01-20,46.0,46.19,44.06,44.88,11.996,441600,0.0,1.0
2000-01-21,44.25,44.56,43.38,43.69,11.6779,486700,0.0,1.0
2000-01-24,43.75,44.25,43.5,43.63,11.6619,383800,0.0,1.0
2000-01-25,43.75,43.75,40.25,41.06,10.975,488000,0.0,1.0
2000-01-26,41.56,42.5,41.44,42.38,11.3278,428200,0.0,1.0
2000-01-27,41.0,43.44,41.0,42.81,11.4427,522200,0.0,1.0
2000-01-28,37.75,41.0,37.69,39.94,10.6756,630600,0.0,1.0
2000-01-31,40.0,40.0,38.31,39.88,10.6596,533600,0.0,1.0
2000-02-01,40.06,40.25,39.13,39.69,10.6088,797900,0.0,1.0
2000-02-02,39.69,39.75,39.5,39.75,10.6248,350300,0.0,1.0
2000-02-03,39.75,40.5,39.63,40.13,10.7264,294000,0.0,1.0
2000-02-04,40.19,40.19,39.94,40.06,10.7077,273100,0.0,1.0
2000-02-07,39.81,40.19,39.81,39.88,10.6596,282100,0.0,1.0
2000-02-08,39.75,40.19,39.75,39.94,10.6756,315400,0.0,1.0
2000-02-09,40.0,40.5,39.94,40.0,10.6916,448300,0.0,1.0
2000-02-10,40.0,40.0,38.44,38.94,10.4083,312500,0.0,1.0
2000-02-11,38.94,39.13,38.13,38.56,10.3067,327500,0.0,1.0
2000-02-14,38.5,38.94,38.13,38.75,10.3575,262200,0.0,1.0
2000-02-15,38.69,40.06,38.69,39.5,10.558,297500,0.0,1.0
2000-02-16,39.38,39.81,39.0,39.06,10.4404,237400,0.0,1.0
2000-02-17,39.13,39.13,38.63,38.63,10.3255,225500,0.0,1.0
2000-02-18,38.25,38.5,37.06,37.31,9.9726,255600,0.0,1.0
2000-02-22,37.0,40.0,37.0,39.63,10.5927,342800,0.0,1.0
2000-02-23,39.75,40.25,38.38,38.38,10.2586,330500,0.0,1.0
2000-02-24,38.44,38.44,35.63,36.5,9.7561,405700,0.0,1.0
2000-02-25,36.44,36.44,35.44,35.81,9.5717,421000,0.0,1.0
2000-02-28,36.13,38.5,35.88,37.5,10.0234,331100,0.0,1.0
2000-02-29,37.5,37.56,35.69,35.94,9.6064,440100,0.0,1.0
2000-03-01,35.94,35.94,33.63,34.69,9.2723,753200,0.0,1.0
2000-03-02,34.69,34.94,33.69,34.44,9.2055,516800,0.0,1.0
2000-03-03,34.38,37.0,34.31,36.75,9.8229,432400,0.0,1.0
2000-03-06,36.63,36.94,35.94,36.0,9.6225,226800,0.0,1.0
2000-03-07,36.0,36.0,34.19,34.19,9.1387,343700,0.0,1.0
2000-03-08,34.19,35.56,34.19,35.25,9.422,284400,0.0,1.0
2000-03-09,35.13,35.5,34.31,34.63,9.2563,383500,0.0,1.0
2000-03-10,34.63,36.31,34.63,36.13,9.6572,275700,0.0,1.0
2000-03-13,35.63,36.5,34.44,36.31,9.8229,332500,0.44,1.0
2000-03-14,36.06,36.25,35.06,35.38,9.5714,281600,0.0,1.0
2000-03-15,36.25,40.0,35.69,39.56,10.7022,621600,0.0,1.0
2000-03-16,40.0,41.81,39.69,41.56,11.2432,578500,0.0,1.0
2000-03-17,41.0,41.0,39.69,39.81,10.7698,359900,0.0,1.0
2000-03-20,42.38,44.69,42.25,43.56,11.7843,745600,0.0,1.0
2000-03-21,43.56,43.69,43.0,43.25,11.7004,572400,0.0,1.0
2000-03-22,43.13,43.13,41.75,41.75,11.2946,288100,0.0,1.0
2000-03-23,41.75,43.06,41.56,43.0,11.6328,330100,0.0,1.0
2000-03-24,42.94,43.88,42.63,42.88,11.6003,282100,0.0,1.0
2000-03-27,43.75,44.81,43.75,43.81,11.8519,659600,0.0,1.0
2000-03-28,44.0,45.31,43.94,44.0,11.9033,426500,0.0,1.0
2000-03-29,44.0,44.94,44.0,44.19,11.9547,282200,0.0,1.0
2000-03-30,44.44,46.13,44.13,45.63,12.3443,574700,0.0,1.0
2000-03-31,45.63,47.38,45.31,45.5,12.3091,509800,0.0,1.0
2000-04-03,46.25,48.31,46.25,48.0,12.9854,447700,0.0,1.0
2000-04-04,48.0,49.38,46.44,46.94,12.6987,561300,0.0,1.0
2000-04-05,48.0,48.5,46.56,46.63,12.6148,279900,0.0,1.0
2000-04-06,47.13,48.0,46.38,46.88,12.6825,661100,0.0,1.0
2000-04-07,47.0,47.63,46.06,46.06,12.4606,315200,0.0,1.0
2000-04-10,45.81,47.5,45.81,47.25,12.7825,731900,0.0,1.0
2000-04-11,47.0,48.88,47.0,48.25,13.0531,804700,0.0,1.0
2000-04-12,48.25,49.5,48.25,48.94,13.2397,786000,0.0,1.0
2000-04-13,48.88,49.38,48.13,48.31,13.0693,593400,0.0,1.0
2000-04-14,48.0,48.0,45.81,45.94,12.4282,470500,0.0,1.0
2000-04-17,46.0,46.5,45.06,45.94,12.4282,317500,0.0,1.0
2000-04-18,46.13,46.19,44.69,44.94,12.1576,240400,0.0,1.0
2000-04-19,44.94,45.13,44.0,44.13,11.9385,188400,0.0,1.0
2000-04-20,43.63,46.75,43.63,46.44,12.5634,334000,0.0,1.0
2000-04-24,46.38,48.0,46.0,46.94,12.6987,246300,0.0,1.0
2000-04-25,47.19,48.13,46.69,48.06,13.0017,276100,0.0,1.0
2000-04-26,47.69,47.69,45.63,46.25,12.512,376600,0.0,1.0
2000-04-27,46.5,46.56,45.88,46.44,12.5634,449300,0.0,1.0
2000-04-28,49.88,53.94,49.0,52.31,14.1514,1467700,0.0,1.0
2000-05-01,52.31,53.0,51.94,52.5,14.2028,793000,0.0,1.0
2000-05-02,52.5,52.81,51.75,52.75,14.2705,706200,0.0,1.0
2000-05-03,52.69,52.69,51.31,51.81,14.0162,213600,0.0,1.0
2000-05-04,51.75,53.56,51.31,52.19,14.119,458100,0.0,1.0
2000-05-05,52.13,52.63,51.25,52.19,14.119,311300,0.0,1.0
2000-05-08,51.06,52.19,50.88,51.44,13.9161,443100,0.0,1.0
2000-05-09,51.44,52.63,51.31,51.63,13.9675,408300,0.0,1.0
2000-05-10,50.75,51.38,50.75,50.94,13.7808,281800,0.0,1.0
2000-05-11,51.38,53.31,51.38,53.0,14.3381,565100,0.0,1.0
2000-05-12,53.06,53.25,51.56,52.19,14.119,382500,0.0,1.0
2000-05-15,52.06,54.75,52.0,53.44,14.4571,327600,0.0,1.0
2000-05-16,53.5,53.5,52.56,52.88,14.3056,320600,0.0,1.0
2000-05-17,51.88,52.06,51.19,51.94,14.0513,320500,0.0,1.0
2000-05-18,51.75,52.0,51.0,51.56,13.9485,316100,0.0,1.0
2000-05-19,51.38,53.31,51.13,52.88,14.3056,367800,0.0,1.0
2000-05-22,52.94,54.63,52.94,54.13,14.6438,387800,0.0,1.0
2000-05-23,54.13,54.56,52.5,53.38,14.4409,238100,0.0,1.0
2000-05-24,54.0,54.44,52.13,52.63,14.238,220400,0.0,1.0
2000-05-25,52.44,52.44,49.06,49.75,13.4589,333300,0.0,1.0
2000-05-26,49.88,49.88,48.5,49.0,13.256,505400,0.0,1.0
2000-05-30,49.0,49.0,48.31,48.63,13.1559,322300,0.0,1.0
2000-05-31,46.0,47.0,45.38,45.75,12.3768,980200,0.0,1.0
2000-06-01,45.44,47.88,45.31,47.56,12.8664,677200,0.0,1.0
2000-06-02,47.88,47.94,47.38,47.44,12.8339,192300,0.0,1.0
2000-06-05,47.19,47.19,45.75,46.06,12.4606,699900,0.0,1.0
2000-06-06,46.25,47.0,46.13,46.94,12.6987,220600,0.0,1.0
2000-06-07,46.94,48.25,46.94,47.81,12.934,434500,0.0,1.0
2000-06-08,47.69,47.81,47.0,47.69,12.9016,255600,0.0,1.0
2000-06-09,47.69,48.25,47.69,48.19,13.0368,478100,0.0,1.0
2000-06-12,48.25,48.88,47.69,47.69,12.9016,196300,0.0,1.0
2000-06-13,47.06,47.63,47.0,47.31,12.9178,306600,0.44,1.0
2000-06-14,47.56,49.0,47.38,48.13,13.1417,213700,0.0,1.0
2000-06-15,48.0,48.44,47.88,48.0,13.1062,211200,0.0,1.0
2000-06-16,48.0,48.19,46.94,47.5,12.9697,257100,0.0,1.0
2000-06-19,47.25,47.44,45.63,45.75,12.4919,264700,0.0,1.0
2000-06-20,46.25,46.25,44.88,45.31,12.3717,264200,0.0,1.0
2000-06-21,45.63,46.44,45.5,45.94,12.5437,459600,0.0,1.0
2000-06-22,46.13,46.31,45.81,45.94,12.5437,298300,0.0,1.0
2000-06-23,46.31,46.44,46.0,46.13,12.5956,248000,0.0,1.0
2000-06-26,46.13,46.69,46.0,46.5,12.6966,441600,0.0,1.0
2000-06-27,46.56,48.88,46.44,48.5,13.2427,386900,0.0,1.0
2000-06-28,48.63,49.25,47.88,48.35,13.2018,330700,0.0,1.0
2000-06-29,48.13,48.81,46.75,47.44,12.9533,228400,0.0,1.0
2000-06-30,47.06,48.56,47.06,47.75,13.038,234700,0.0,1.0
2000-07-03,47.75,49.31,47.75,49.31,13.4639,164300,0.0,1.0
2000-07-05,50.5,50.5,49.0,49.47,13.5076,258900,0.0,1.0
2000-07-06,48.25,48.31,46.19,46.75,12.7649,622300,0.0,1.0
2000-07-07,47.75,48.56,47.56,48.31,13.1909,434900,0.0,1.0
2000-07-10,48.19,48.69,47.75,48.0,13.1062,241700,0.0,1.0
2000-07-11,47.75,49.81,47.69,49.81,13.6004,273900,0.0,1.0
2000-07-12,49.81,49.88,48.69,49.06,13.3956,263100,0.0,1.0
2000-07-13,49.13,50.13,48.75,49.81,13.6004,278800,0.0,1.0
2000-07-14,49.69,49.81,48.56,48.88,13.3465,248200,0.0,1.0
2000-07-17,48.63,48.63,47.44,47.81,13.0543,393100,0.0,1.0
2000-07-18,47.81,48.94,47.69,48.06,13.1226,332800,0.0,1.0
2000-07-19,47.94,47.94,47.25,47.25,12.9014,173800,0.0,1.0
2000-07-20,47.38,47.56,46.63,46.81,12.7813,201600,0.0,1.0
2000-07-21,47.06,47.75,47.06,47.44,12.9533,189600,0.0,1.0
2000-07-24,47.19,47.5,47.13,47.19,12.885,183100,0.0,1.0
2000-07-25,47.0,47.25,46.5,46.63,12.7321,334000,0.0,1.0
2000-07-26,46.63,46.63,45.75,46.06,12.5765,405600,0.0,1.0
2000-07-27,46.25,47.94,46.25,47.38,12.9369,394500,0.0,1.0
2000-07-28,48.0,48.0,46.63,47.06,12.8496,200400,0.0,1.0
2000-07-31,46.81,47.94,46.69,46.88,12.8004,392700,0.0,1.0
2000-08-01,46.88,47.0,46.0,46.5,12.6966,273400,0.0,1.0
2000-08-02,46.5,46.63,45.94,46.31,12.6448,407400,0.0,1.0
2000-08-03,46.19,48.0,46.19,47.44,12.9533,392600,0.0,1.0
2000-08-04,46.31,46.75,42.25,42.88,11.7082,2381900,0.0,1.0
2000-08-07,42.88,44.38,41.69,44.25,12.0823,843200,0.0,1.0
2000-08-08,44.25,44.63,43.5,44.0,12.014,394000,0.0,1.0
2000-08-09,44.25,45.38,44.25,44.75,12.2188,398100,0.0,1.0
2000-08-10,45.0,45.0,44.0,44.06,12.0304,336500,0.0,1.0
2000-08-11,43.81,45.13,43.81,44.88,12.2543,326400,0.0,1.0
2000-08-14,44.88,45.0,44.06,44.88,12.2543,254800,0.0,1.0
2000-08-15,44.88,46.38,44.88,45.72,12.4837,245200,0.0,1.0
2000-08-16,46.0,46.44,45.81,46.31,12.6448,177100,0.0,1.0
2000-08-17,46.38,46.44,45.88,45.94,12.5437,110600,0.0,1.0
2000-08-18,45.94,46.38,45.75,46.06,12.5765,233800,0.0,1.0
2000-08-21,45.81,46.25,45.56,45.75,12.4919,192000,0.0,1.0
2000-08-22,45.5,46.25,45.5,45.97,12.5519,155800,0.0,1.0
2000-08-23,45.81,45.81,44.94,45.06,12.3035,201900,0.0,1.0
2000-08-24,45.06,45.81,44.81,45.13,12.3226,159100,0.0,1.0
2000-08-25,45.06,45.75,44.94,45.19,12.339,118300,0.0,1.0
2000-08-28,45.13,45.19,44.38,44.38,12.1178,120300,0.0,1.0
2000-08-29,44.38,44.5,43.88,44.19,12.0659,247000,0.0,1.0
2000-08-30,43.94,44.44,43.81,43.81,11.9622,165600,0.0,1.0
2000-08-31,43.56,44.5,42.88,43.13,11.7765,1307200,0.0,1.0
2000-09-01,43.19,43.56,42.94,43.0,11.741,282000,0.0,1.0
2000-09-05,42.88,45.0,42.5,44.5,12.1506,474400,0.0,1.0
2000-09-06,44.5,47.25,44.5,46.5,12.6966,656300,0.0,1.0
2000-09-07,45.94,46.31,45.0,45.31,12.3717,1000400,0.0,1.0
2000-09-08,45.31,45.31,43.31,43.44,11.8611,449100,0.0,1.0
2000-09-11,43.44,43.88,43.0,43.25,11.8092,374600,0.0,1.0
2000-09-12,43.31,43.31,42.56,43.0,11.741,484100,0.0,1.0
2000-09-13,43.13,43.69,43.06,43.41,11.9731,412100,0.44,1.0
2000-09-14,43.75,44.19,42.25,42.44,11.7055,737900,0.0,1.0
2000-09-15,41.94,42.31,41.0,41.69,11.4987,555900,0.0,1.0
2000-09-18,41.44,41.44,39.94,40.81,11.256,337600,0.0,1.0
2000-09-19,40.75,40.75,39.81,40.13,11.0684,220700,0.0,1.0
2000-09-20,40.38,40.38,38.75,39.25,10.8257,290100,0.0,1.0
2000-09-21,39.25,39.5,37.81,38.63,10.6547,690100,0.0,1.0
2000-09-22,38.63,38.69,38.0,38.31,10.5664,330900,0.0,1.0
2000-09-25,38.19,38.19,37.19,37.19,10.2575,480000,0.0,1.0
2000-09-26,36.94,36.94,36.0,36.56,10.0837,496100,0.0,1.0
2000-09-27,36.44,36.69,35.94,36.63,10.1031,419900,0.0,1.0
2000-09-28,36.44,37.31,35.63,36.88,10.172,341400,0.0,1.0
2000-09-29,37.5,38.44,36.94,36.94,10.1886,752700,0.0,1.0
