,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,60.69,60.75,59.38,60.19,16.9938,1050800,0.0,1.0
2000-01-19,60.44,62.38,60.38,61.69,17.4173,1161800,0.0,1.0
2000-01-20,61.88,62.38,60.31,60.44,17.0644,1172500,0.0,1.0
2000-01-21,59.75,60.56,59.63,60.06,16.9571,1234300,0.0,1.0
2000-01-24,60.31,60.31,57.75,58.13,16.4122,1251900,0.0,1.0
2000-01-25,57.63,58.0,57.13,57.19,16.1468,958700,0.0,1.0
2000-01-26,57.44,57.5,55.81,56.5,15.952,1277500,0.0,1.0
2000-01-27,56.5,57.5,55.25,55.69,15.7233,1328500,0.0,1.0
2000-01-28,55.63,57.0,55.25,56.0,15.8108,1634000,0.0,1.0
2000-01-31,55.5,56.06,55.06,55.06,15.5454,997100,0.0,1.0
2000-02-01,55.13,55.44,54.38,54.63,15.424,1176500,0.0,1.0
2000-02-02,54.88,54.94,53.5,53.5,15.1049,1823800,0.0,1.0
2000-02-03,52.63,55.44,52.63,54.13,15.2828,1564900,0.0,1.0
2000-02-04,53.25,53.75,51.44,51.75,14.6109,2395800,0.0,1.0
2000-02-07,50.25,51.06,49.31,49.94,14.0998,2126900,0.0,1.0
2000-02-08,50.0,50.88,49.56,49.88,14.0829,2127500,0.0,1.0
2000-02-09,49.63,49.81,47.94,48.0,13.5521,1615000,0.0,1.0
2000-02-10,48.06,48.44,46.06,46.69,13.1822,2082600,0.0,1.0
2000-02-11,46.94,47.44,46.19,46.38,13.0947,1693000,0.0,1.0
2000-02-14,46.63,46.75,45.69,46.38,13.0947,1228500,0.0,1.0
2000-02-15,46.13,48.44,45.75,47.88,13.5182,2253500,0.0,1.0
2000-02-16,47.69,49.31,47.13,48.88,13.9016,1480000,0.358,1.0
2000-02-17,49.5,49.56,48.5,49.38,14.0438,2082800,0.0,1.0
2000-02-18,49.44,51.13,49.06,50.0,14.2202,1929500,0.0,1.0
2000-02-22,49.25,50.63,49.06,49.63,14.1149,1466300,0.0,1.0
2000-02-23,49.5,49.69,48.38,48.56,13.8106,1555900,0.0,1.0
2000-02-24,48.5,49.25,47.5,48.44,13.7765,1332600,0.0,1.0
2000-02-25,50.0,50.06,47.56,47.63,13.5461,1348400,0.0,1.0
2000-02-28,47.63,48.0,46.5,46.5,13.2248,1353000,0.0,1.0
2000-02-29,46.5,46.94,45.31,45.56,12.9574,1924400,0.0,1.0
2000-03-01,45.0,45.44,44.19,44.63,12.6929,2437500,0.0,1.0
2000-03-02,44.13,44.75,43.63,44.06,12.5308,1743100,0.0,1.0
2000-03-03,44.06,44.94,43.06,43.63,12.4085,1892100,0.0,1.0
2000-03-06,43.56,43.63,41.5,42.0,11.9449,2085500,0.0,1.0
2000-03-07,42.25,42.75,41.5,41.88,11.9108,1475300,0.0,1.0
2000-03-08,42.13,42.75,41.31,42.25,12.016,1996200,0.0,1.0
2000-03-09,42.06,42.25,41.0,41.5,11.8027,1404600,0.0,1.0
2000-03-10,41.63,42.56,40.94,41.13,11.6975,1535200,0.0,1.0
2000-03-13,40.63,42.69,40.5,42.5,12.0871,1238500,0.0,1.0
2000-03-14,42.56,42.94,41.56,42.31,12.0331,1424100,0.0,1.0
2000-03-15,42.06,43.56,41.19,43.31,12.3175,2400000,0.0,1.0
2000-03-16,43.63,46.0,43.25,45.75,13.0114,3160300,0.0,1.0
2000-03-17,45.5,48.0,45.0,45.0,12.7981,2886200,0.0,1.0
2000-03-20,46.0,47.75,45.75,46.94,13.3499,2487000,0.0,1.0
2000-03-21,46.5,47.06,45.06,46.13,13.1195,1839400,0.0,1.0
2000-03-22,45.75,45.94,44.69,45.38,12.9062,2044800,0.0,1.0
2000-03-23,44.88,47.0,44.25,46.81,13.3129,1781000,0.0,1.0
2000-03-24,46.75,49.13,46.63,47.25,13.4381,1969200,0.0,1.0
2000-03-27,46.75,47.69,46.25,47.0,13.367,1214800,0.0,1.0
2000-03-28,46.81,47.63,46.81,47.19,13.421,1191600,0.0,1.0
2000-03-29,47.13,49.13,47.13,48.69,13.8476,1407700,0.0,1.0
2000-03-30,50.0,54.25,49.75,53.25,15.1445,2748800,0.0,1.0
2000-03-31,55.0,55.0,52.88,53.13,15.1103,2390500,0.0,1.0
2000-04-03,53.0,53.38,51.31,53.0,15.0734,1299800,0.0,1.0
2000-04-04,54.75,56.75,54.13,55.38,15.7503,3148900,0.0,1.0
2000-04-05,55.0,55.44,54.06,54.63,15.537,1638700,0.0,1.0
2000-04-06,54.06,55.5,54.06,55.0,15.6422,1119600,0.0,1.0
2000-04-07,55.0,55.5,54.63,54.81,15.5881,814300,0.0,1.0
2000-04-10,54.63,55.19,54.0,54.88,15.6081,1045900,0.0,1.0
2000-04-11,55.0,57.75,54.75,57.0,16.211,1589200,0.0,1.0
2000-04-12,57.13,58.13,55.88,56.5,16.0688,1555300,0.0,1.0
2000-04-13,57.13,57.88,56.13,57.0,16.211,1225700,0.0,1.0
2000-04-14,56.25,57.13,53.75,54.31,15.4459,1088200,0.0,1.0
2000-04-17,54.56,55.13,52.25,55.06,15.6592,1797000,0.0,1.0
2000-04-18,54.88,55.0,52.5,54.13,15.3947,1192200,0.0,1.0
2000-04-19,53.25,53.38,51.13,52.31,14.8771,1407400,0.0,1.0
2000-04-20,52.38,52.81,51.56,52.56,14.9482,1382900,0.0,1.0
2000-04-24,51.88,54.19,51.81,53.88,15.3236,1856200,0.0,1.0
2000-04-25,54.25,56.81,53.56,56.19,15.9806,1158000,0.0,1.0
2000-04-26,55.38,56.0,54.0,54.44,15.4829,748500,0.0,1.0
2000-04-27,53.44,55.38,53.44,54.63,15.537,1035900,0.0,1.0
2000-04-28,54.63,55.5,54.25,54.88,15.6081,1419600,0.0,1.0
2000-05-01,54.63,56.06,54.56,55.75,15.8555,1050700,0.0,1.0
2000-05-02,55.81,56.94,55.44,55.44,15.7673,1244700,0.0,1.0
2000-05-03,54.81,55.06,53.06,53.69,15.2696,1276700,0.0,1.0
2000-05-04,53.88,55.5,53.63,54.25,15.4289,907700,0.0,1.0
2000-05-05,54.25,55.19,54.13,54.44,15.4829,696700,0.0,1.0
2000-05-08,54.0,55.38,53.81,55.19,15.6962,643700,0.0,1.0
2000-05-09,54.56,56.19,54.5,55.75,15.8555,890700,0.0,1.0
2000-05-10,55.25,56.31,54.63,54.94,15.7269,1309800,0.358,1.0
2000-05-11,55.5,56.31,55.13,55.81,15.976,825700,0.0,1.0
2000-05-12,55.38,56.31,53.94,56.06,16.0475,1195900,0.0,1.0
2000-05-15,56.81,58.19,56.13,56.94,16.2994,1766700,0.0,1.0
2000-05-16,59.13,59.5,57.94,58.13,16.6401,1686700,0.0,1.0
2000-05-17,57.25,58.0,56.31,56.88,16.2823,1427900,0.0,1.0
2000-05-18,56.63,57.31,56.63,57.06,16.3338,818200,0.0,1.0
2000-05-19,56.81,57.63,56.44,57.13,16.3538,641100,0.0,1.0
2000-05-22,57.13,57.31,56.44,57.13,16.3538,1172700,0.0,1.0
2000-05-23,57.0,58.31,57.0,58.0,16.6029,1743100,0.0,1.0
2000-05-24,58.06,59.19,58.0,59.13,16.9263,1559400,0.0,1.0
2000-05-25,60.0,60.56,59.63,59.88,17.141,1946100,0.0,1.0
2000-05-26,59.63,59.75,59.06,59.13,16.9263,835200,0.0,1.0
2000-05-30,59.25,59.63,59.0,59.25,16.9607,1429200,0.0,1.0
2000-05-31,59.38,59.44,59.0,59.13,16.9263,992200,0.0,1.0
2000-06-01,59.0,61.31,59.0,61.0,17.4616,1332600,0.0,1.0
2000-06-02,63.0,63.25,61.25,62.5,17.891,1598100,0.0,1.0
2000-06-05,62.25,62.69,60.0,60.0,17.1754,1009300,0.0,1.0
2000-06-06,60.19,60.38,59.38,60.13,17.2126,1014600,0.0,1.0
2000-06-07,59.88,61.0,59.75,59.94,17.1582,808500,0.0,1.0
2000-06-08,59.5,59.56,58.31,58.88,16.8548,762900,0.0,1.0
2000-06-09,58.88,59.25,58.56,59.06,16.9063,942300,0.0,1.0
2000-06-12,59.0,60.56,58.81,59.0,16.8891,707400,0.0,1.0
2000-06-13,59.25,61.13,59.19,60.06,17.1926,763500,0.0,1.0
2000-06-14,60.0,60.25,58.13,58.13,16.6401,898800,0.0,1.0
2000-06-15,58.06,58.44,57.31,57.38,16.4254,1425500,0.0,1.0
2000-06-16,57.38,58.38,57.25,57.5,16.4597,1445300,0.0,1.0
2000-06-19,57.63,58.75,57.38,58.13,16.6401,1655600,0.0,1.0
2000-06-20,62.25,62.25,58.88,59.75,17.1038,4672800,0.0,1.0
2000-06-21,59.63,60.13,59.06,59.38,16.9979,3147600,0.0,1.0
2000-06-22,57.5,60.56,57.5,60.06,17.1926,2469300,0.0,1.0
2000-06-23,62.0,62.0,60.63,61.0,17.4616,1959000,0.0,1.0
2000-06-26,62.44,64.75,61.88,63.19,18.0885,2045000,0.0,1.0
2000-06-27,64.5,65.25,63.94,64.34,18.4177,2813900,0.0,1.0
2000-06-28,65.0,65.06,63.56,63.68,18.2288,2619400,0.0,1.0
2000-06-29,63.5,63.63,61.94,63.0,18.0342,1687000,0.0,1.0
2000-06-30,62.88,64.56,60.13,60.38,17.2842,2104600,0.0,1.0
2000-07-03,60.5,61.5,60.5,60.81,17.4073,734100,0.0,1.0
2000-07-05,61.5,63.19,60.63,61.5,17.6048,2528600,0.0,1.0
2000-07-06,61.5,61.88,60.38,61.63,17.642,1764700,0.0,1.0
2000-07-07,61.38,63.06,61.31,61.31,17.5504,1720400,0.0,1.0
2000-07-10,61.94,63.5,61.88,63.19,18.0885,1151600,0.0,1.0
2000-07-11,63.25,64.5,62.13,64.0,18.3204,1550000,0.0,1.0
2000-07-12,65.0,65.0,64.0,64.63,18.5008,1200800,0.0,1.0
2000-07-13,64.63,64.63,63.13,63.63,18.2145,1088100,0.0,1.0
2000-07-14,63.38,64.25,62.81,63.5,18.1773,1302700,0.0,1.0
2000-07-17,62.75,63.0,61.38,61.66,17.6506,1363700,0.0,1.0
2000-07-18,60.5,61.75,60.5,61.34,17.559,1198900,0.0,1.0
2000-07-19,62.38,62.44,61.0,61.59,17.6305,2086300,0.0,1.0
2000-07-20,61.88,65.0,61.88,64.72,18.5265,1464200,0.0,1.0
2000-07-21,65.13,65.44,64.25,65.13,18.6439,1725300,0.0,1.0
2000-07-24,64.88,65.38,64.0,65.0,18.6067,987700,0.0,1.0
2000-07-25,65.19,65.75,64.63,65.53,18.7584,1158800,0.0,1.0
2000-07-26,65.25,65.25,63.44,63.44,18.1601,1237800,0.0,1.0
2000-07-27,63.81,65.19,63.63,64.75,18.5351,926800,0.0,1.0
2000-07-28,64.63,64.63,61.25,61.5,17.6048,1637800,0.0,1.0
2000-07-31,61.44,62.75,60.63,61.5,17.6048,1369800,0.0,1.0
