,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.5,42.56,41.81,42.25,7.5745,334800,0.0,1.0
2000-01-19,42.0,42.5,42.0,42.44,7.6086,336800,0.0,1.0
2000-01-20,42.25,42.88,42.19,42.19,7.5637,219800,0.0,1.0
2000-01-21,42.19,42.63,42.13,42.63,7.6426,169100,0.0,1.0
2000-01-24,42.5,42.56,42.06,42.13,7.553,232800,0.0,1.0
2000-01-25,42.06,42.38,42.0,42.06,7.5404,354300,0.0,1.0
2000-01-26,42.0,42.38,41.25,42.13,7.553,437700,0.0,1.0
2000-01-27,42.0,42.25,41.69,42.25,7.5745,181000,0.0,1.0
2000-01-28,42.31,42.31,41.63,41.88,7.5082,165400,0.0,1.0
2000-01-31,42.0,42.06,41.5,41.5,7.44,209700,0.0,1.0
2000-02-01,41.5,42.0,41.44,42.0,7.5297,182900,0.0,1.0
2000-02-02,41.75,42.19,41.75,41.94,7.5189,187200,0.0,1.0
2000-02-03,41.75,42.06,41.5,41.69,7.4741,496000,0.0,1.0
2000-02-04,41.56,41.94,41.56,41.75,7.4849,145400,0.0,1.0
2000-02-07,41.38,41.88,41.38,41.63,7.4633,127400,0.0,1.0
2000-02-08,41.69,42.0,41.56,41.88,7.5082,266800,0.0,1.0
2000-02-09,41.94,42.0,41.63,41.69,7.4741,141400,0.0,1.0
2000-02-10,41.5,41.69,40.88,40.94,7.3396,277200,0.0,1.0
2000-02-11,41.0,41.38,40.44,40.5,7.2608,460500,0.0,1.0
2000-02-14,39.0,40.5,39.0,40.13,7.1944,346900,0.0,1.0
2000-02-15,40.0,40.25,39.88,40.19,7.2052,332700,0.0,1.0
2000-02-16,39.94,40.13,39.69,39.88,7.1496,370800,0.0,1.0
2000-02-17,39.94,39.94,39.63,39.63,7.1048,563000,0.0,1.0
2000-02-18,39.63,39.81,39.56,39.69,7.1156,262000,0.0,1.0
2000-02-22,39.56,39.81,39.56,39.63,7.1048,244500,0.0,1.0
2000-02-23,39.88,40.0,39.63,39.75,7.1263,204100,0.0,1.0
2000-02-24,39.75,39.94,39.5,39.5,7.0815,234100,0.0,1.0
2000-02-25,39.56,39.75,39.38,39.5,7.0815,359300,0.0,1.0
2000-02-28,39.5,39.5,39.25,39.31,7.0474,203500,0.0,1.0
2000-02-29,39.25,40.0,39.0,39.94,7.1604,564500,0.0,1.0
2000-03-01,40.0,40.13,39.56,40.0,7.1711,169300,0.0,1.0
2000-03-02,39.5,40.25,39.44,40.06,7.1819,290400,0.0,1.0
2000-03-03,40.0,40.25,39.94,40.06,7.1819,357600,0.0,1.0
2000-03-06,39.75,40.13,39.75,40.06,7.1819,162400,0.0,1.0
2000-03-07,40.0,40.13,39.75,40.13,7.1944,507600,0.0,1.0
2000-03-08,39.81,40.0,39.25,39.31,7.0474,343400,0.0,1.0
2000-03-09,39.31,39.75,39.31,39.38,7.06,627700,0.0,1.0
2000-03-10,39.25,39.56,39.0,39.38,7.06,485600,0.0,1.0
2000-03-13,39.13,39.25,38.88,39.19,7.0259,186900,0.0,1.0
2000-03-14,39.31,39.5,39.0,39.06,7.0026,324300,0.0,1.0
2000-03-15,39.19,39.38,39.13,39.31,7.0474,739100,0.0,1.0
2000-03-16,38.69,39.5,38.69,39.25,7.1729,351500,0.76,1.0
2000-03-17,39.31,39.69,39.06,39.69,7.2533,449100,0.0,1.0
2000-03-20,39.44,39.88,39.25,39.5,7.2186,266400,0.0,1.0
2000-03-21,39.38,40.0,39.13,40.0,7.31,135200,0.0,1.0
2000-03-22,40.13,40.19,39.88,39.94,7.299,282400,0.0,1.0
2000-03-23,39.94,40.19,39.88,40.19,7.3447,177600,0.0,1.0
2000-03-24,40.0,40.38,40.0,40.38,7.3794,432700,0.0,1.0
2000-03-27,39.94,40.38,39.75,39.81,7.2753,583200,0.0,1.0
2000-03-28,39.88,40.19,39.75,39.88,7.2881,151100,0.0,1.0
2000-03-29,40.25,40.25,39.94,40.19,7.3447,177900,0.0,1.0
2000-03-30,40.31,40.44,40.0,40.44,7.3904,473700,0.0,1.0
