,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,20.63,20.63,20.0,20.13,10.8927,169600,0.0,1.0
2000-01-19,20.13,20.63,20.06,20.13,10.8927,302300,0.0,1.0
2000-01-20,20.31,20.63,20.31,20.63,11.1633,211700,0.0,1.0
2000-01-21,20.63,20.63,20.38,20.56,11.1254,158200,0.0,1.0
2000-01-24,20.38,20.44,19.56,19.75,10.6871,957100,0.0,1.0
2000-01-25,19.88,20.0,19.63,19.88,10.7574,1354700,0.0,1.0
2000-01-26,20.13,20.31,20.0,20.25,10.9577,618400,0.0,1.0
2000-01-27,20.25,20.63,20.25,20.56,11.1254,407300,0.0,1.0
2000-01-28,20.56,20.75,20.38,20.44,11.0605,178200,0.0,1.0
2000-01-31,20.44,20.5,20.0,20.5,11.0929,199600,0.0,1.0
2000-02-01,20.38,20.5,20.13,20.31,10.9901,189800,0.0,1.0
2000-02-02,20.31,20.69,20.31,20.31,10.9901,652200,0.0,1.0
2000-02-03,20.25,20.56,20.25,20.44,11.0605,189400,0.0,1.0
2000-02-04,20.44,20.5,20.13,20.19,10.9252,124200,0.0,1.0
2000-02-07,20.06,20.19,20.0,20.19,10.9252,256900,0.0,1.0
2000-02-08,20.06,20.31,20.06,20.13,10.8927,225400,0.0,1.0
2000-02-09,20.13,20.5,20.06,20.25,10.9577,132400,0.0,1.0
2000-02-10,20.06,20.25,19.88,19.88,10.7574,163800,0.0,1.0
2000-02-11,20.0,20.0,19.19,19.38,10.4869,350900,0.0,1.0
2000-02-14,19.5,19.56,19.31,19.31,10.449,577800,0.0,1.0
2000-02-15,19.31,19.44,19.19,19.19,10.3841,489100,0.0,1.0
2000-02-16,19.19,19.25,18.5,18.94,10.2488,1361000,0.0,1.0
2000-02-17,19.0,19.44,18.75,19.19,10.3841,266900,0.0,1.0
2000-02-18,19.0,19.06,18.88,18.94,10.2488,254000,0.0,1.0
2000-02-22,18.94,19.0,18.44,18.44,9.9782,246300,0.0,1.0
2000-02-23,18.44,18.75,18.44,18.75,10.146,253000,0.0,1.0
2000-02-24,18.63,18.69,18.0,18.31,9.9079,321200,0.0,1.0
2000-02-25,18.19,18.38,18.13,18.25,9.8754,341300,0.0,1.0
2000-02-28,18.25,18.88,18.19,18.81,10.1784,342600,0.0,1.0
2000-02-29,18.75,18.81,18.5,18.81,10.1784,280800,0.0,1.0
2000-03-01,18.81,19.31,18.63,19.19,10.3841,736600,0.0,1.0
2000-03-02,19.13,19.5,19.13,19.38,10.4869,1770700,0.0,1.0
2000-03-03,19.38,19.5,19.0,19.5,10.5518,245200,0.0,1.0
2000-03-06,19.75,19.75,18.81,19.19,10.3841,215600,0.0,1.0
2000-03-07,19.19,19.56,19.13,19.5,10.5518,239900,0.0,1.0
2000-03-08,19.44,19.75,19.38,19.63,10.6222,211800,0.0,1.0
2000-03-09,19.69,19.69,19.19,19.38,10.4869,378400,0.0,1.0
2000-03-10,19.44,19.88,19.38,19.88,10.7574,305500,0.0,1.0
2000-03-13,19.63,19.75,19.5,19.56,10.5843,250500,0.0,1.0
2000-03-14,19.44,19.5,19.38,19.38,10.4869,383500,0.0,1.0
