,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2018-06-04,55.24,55.48,53.48,54.0,51.4673,51172100,0.0,1.0
2018-06-05,54.0,54.0,54.0,54.0,51.4673,2904786,0.0,1.0
2018-06-06,54.05,54.19,52.11,52.29,49.8375,3642973,0.0,1.0
2018-06-07,52.25,52.56,51.74,51.93,49.4944,2928630,0.0,1.0
2018-06-08,52.26,52.51,51.26,51.32,48.913,1830776,0.0,1.0
2018-06-11,51.46,51.76,50.89,51.57,49.1513,2490703,0.0,1.0
2018-06-12,51.83,52.46,51.47,52.25,49.7994,2956130,0.0,1.0
2018-06-13,52.4,53.12,51.67,52.18,49.7327,2088989,0.0,1.0
2018-06-14,52.45,52.75,51.63,51.95,49.5134,2494432,0.0,1.0
2018-06-15,52.06,53.16,51.65,52.78,50.3045,5928826,0.0,1.0
2018-06-18,52.78,53.22,52.26,52.93,50.4475,1874817,0.0,1.0
2018-06-19,53.24,54.0,53.09,53.97,51.4387,2585688,0.0,1.0
2018-06-20,53.72,54.46,53.3,54.2,51.6579,1355965,0.0,1.0
2018-06-21,54.39,54.77,53.91,54.17,51.6293,1951191,0.0,1.0
2018-06-22,54.06,54.55,53.96,54.44,51.8867,2453877,0.0,1.0
2018-06-25,54.36,55.09,54.03,54.91,52.3346,2031643,0.0,1.0
2018-06-26,54.57,55.85,54.57,55.21,52.6205,2018132,0.0,1.0
2018-06-27,55.1,55.81,55.01,55.46,52.8588,1506724,0.0,1.0
2018-06-28,55.37,56.29,55.3,55.71,53.0971,1226498,0.0,1.0
2018-06-29,55.54,56.25,55.07,56.15,53.5164,2189669,0.0,1.0
2018-07-02,56.14,56.89,56.11,56.81,54.1455,1952092,0.0,1.0
2018-07-03,56.81,57.07,56.26,56.55,53.8977,849502,0.0,1.0
2018-07-05,56.55,56.735,55.96,56.56,53.9072,1523880,0.0,1.0
2018-07-06,56.45,57.09,56.41,56.76,54.0978,1242355,0.0,1.0
2018-07-09,56.7,56.74,54.6,54.77,52.2012,1309031,0.0,1.0
2018-07-10,54.37,55.04,54.17,55.0,52.4204,1776735,0.0,1.0
2018-07-11,55.18,56.14,54.93,55.97,53.3449,1061935,0.0,1.0
2018-07-12,55.71,56.07,55.35,55.75,53.1352,1423293,0.0,1.0
2018-07-13,55.8,56.07,55.55,55.91,53.2877,888701,0.0,1.0
2018-07-16,55.76,56.09,55.55,56.0,53.3735,740531,0.0,1.0
2018-07-17,56.24,56.4,55.8458,56.03,53.4021,1213722,0.0,1.0
2018-07-18,55.83,56.03,55.18,55.55,52.9446,680418,0.0,1.0
2018-07-19,55.65,56.58,55.65,56.15,53.5164,874451,0.0,1.0
2018-07-20,55.77,56.16,55.561,55.71,53.0971,817541,0.0,1.0
2018-07-23,55.79,55.8,54.93,55.05,52.468,1459946,0.0,1.0
2018-07-24,54.91,55.31,54.37,54.99,52.4109,1560829,0.0,1.0
2018-07-25,54.95,55.53,54.84,55.04,52.4585,1947552,0.0,1.0
2018-07-26,55.31,55.88,55.11,55.48,52.8779,951611,0.0,1.0
2018-07-27,55.43,55.73,54.9,55.33,52.7349,1013210,0.0,1.0
2018-07-30,55.3,55.89,54.8229,55.41,52.8112,951443,0.0,1.0
2018-07-31,55.51,56.23,55.05,56.09,53.4593,1155699,0.0,1.0
2018-08-01,55.81,56.04,54.94,55.6,52.9922,914627,0.0,1.0
2018-08-02,55.54,56.12,55.38,55.82,53.2019,1081343,0.0,1.0
2018-08-03,55.89,56.64,55.44,56.18,53.545,1089819,0.0,1.0
2018-08-06,56.17,56.9,55.9501,56.15,53.5164,1159138,0.0,1.0
2018-08-07,56.15,56.77,55.91,56.62,53.9644,1412066,0.0,1.0
2018-08-08,56.41,56.62,56.11,56.37,53.7261,1111468,0.0,1.0
2018-08-09,55.6,57.32,55.51,57.02,54.3456,1610132,0.0,1.0
2018-08-10,57.12,57.99,57.12,57.68,54.9747,1507528,0.0,1.0
2018-08-13,57.45,57.805,57.01,57.61,54.908,1977295,0.0,1.0
2018-08-14,57.64,57.96,57.34,57.44,54.7459,1033225,0.0,1.0
2018-08-15,57.46,58.22,57.26,57.69,54.9842,1423625,0.0,1.0
2018-08-16,57.57,57.88,57.3,57.68,54.9747,1828457,0.0,1.0
2018-08-17,57.57,58.22,57.3681,57.87,55.1558,3784634,0.0,1.0
2018-08-20,57.87,58.24,57.64,57.85,55.1367,1413355,0.0,1.0
2018-08-21,57.65,57.68,57.32,57.41,54.7174,1729299,0.0,1.0
2018-08-22,57.53,57.63,56.81,56.99,54.3171,1304378,0.0,1.0
2018-08-23,56.91,57.41,56.82,56.94,54.2694,995955,0.0,1.0
2018-08-24,56.97,57.52,56.61,57.45,54.7555,1137851,0.0,1.0
2018-08-27,57.43,57.76,56.7,56.96,54.2885,2003756,0.0,1.0
2018-08-28,56.44,57.28,56.27,56.9,54.6697,1428868,0.46,1.0
2018-08-29,56.82,57.31,56.72,57.11,54.8715,1266092,0.0,1.0
2018-08-30,57.28,57.61,57.12,57.35,55.1021,994138,0.0,1.0
2018-08-31,57.46,57.64,56.93,57.05,54.8138,1422216,0.0,1.0
2018-09-04,57.27,57.68,57.03,57.51,55.2558,1135348,0.0,1.0
2018-09-05,57.63,58.62,57.63,58.52,56.2262,1871963,0.0,1.0
2018-09-06,58.41,59.28,58.41,58.95,56.6393,1559552,0.0,1.0
2018-09-07,58.43,58.86,58.28,58.3,56.0148,1598405,0.0,1.0
2018-09-10,58.43,58.98,58.3,58.48,56.1878,1660024,0.0,1.0
2018-09-11,58.34,58.75,58.34,58.41,56.1205,1194773,0.0,1.0
2018-09-12,58.35,58.6,57.99,58.15,55.8707,1221583,0.0,1.0
2018-09-13,58.24,58.33,57.8,58.1,55.8227,1289140,0.0,1.0
2018-09-14,58.07,58.07,57.28,57.76,55.496,1268817,0.0,1.0
2018-09-17,57.92,58.13,57.48,57.7,55.4383,1355089,0.0,1.0
2018-09-18,57.47,57.81,56.42,57.48,55.227,1420615,0.0,1.0
2018-09-19,57.5,57.5,55.71,55.91,53.7185,3316033,0.0,1.0
2018-09-20,55.79,56.06,55.36,55.77,53.584,2740649,0.0,1.0
2018-09-21,55.61,56.16,55.27,55.87,53.6801,7317026,0.0,1.0
2018-09-24,55.95,55.98,55.31,55.65,53.4687,2633488,0.0,1.0
2018-09-25,55.56,55.6,54.93,55.02,52.8634,2801208,0.0,1.0
2018-09-26,55.14,55.42,54.19,54.23,52.1044,1548346,0.0,1.0
2018-09-27,54.27,54.77,54.22,54.31,52.1812,2383141,0.0,1.0
2018-09-28,54.5,54.95,54.34,54.92,52.7673,2879376,0.0,1.0
2018-10-01,54.96,55.35,54.82,55.13,52.9691,1159288,0.0,1.0
2018-10-02,55.14,55.625,55.11,55.44,53.2669,1495552,0.0,1.0
2018-10-03,55.35,55.63,54.26,54.89,52.7385,1927079,0.0,1.0
2018-10-04,54.74,55.4911,54.26,55.25,53.0844,1303763,0.0,1.0
2018-10-05,55.09,55.87,55.08,55.72,53.5359,1660586,0.0,1.0
2018-10-08,55.76,56.415,55.735,56.12,53.9203,2176142,0.0,1.0
2018-10-09,56.28,56.75,56.0,56.38,54.1701,1290854,0.0,1.0
2018-10-10,56.19,56.97,56.06,56.11,53.9107,1870055,0.0,1.0
2018-10-11,56.3,56.55,55.22,55.54,53.363,2516863,0.0,1.0
2018-10-12,55.46,55.86,54.89,55.62,53.4399,1758276,0.0,1.0
2018-10-15,55.64,56.12,55.64,55.73,53.5456,1239484,0.0,1.0
2018-10-16,55.57,56.44,55.38,56.14,53.9395,1639874,0.0,1.0
2018-10-17,56.04,56.3,55.84,56.01,53.8146,1169590,0.0,1.0
2018-10-18,56.07,56.29,55.83,56.26,54.0548,1178520,0.0,1.0
2018-10-19,56.24,57.18,56.115,57.02,54.785,1518972,0.0,1.0
2018-10-22,57.02,57.07,56.51,56.81,54.5832,1479408,0.0,1.0
2018-10-23,56.85,57.24,56.11,56.43,54.2181,1596209,0.0,1.0
2018-10-24,56.63,57.69,56.41,57.31,55.0636,1493426,0.0,1.0
2018-10-25,57.03,57.03,56.51,56.75,54.5256,1185651,0.0,1.0
2018-10-26,56.93,57.24,55.58,56.12,53.9203,1783331,0.0,1.0
2018-10-29,56.2,57.05,56.2,56.57,54.3526,1290427,0.0,1.0
2018-10-30,56.77,56.94,55.855,56.28,54.074,1448687,0.0,1.0
2018-10-31,56.08,56.4,55.41,55.99,53.7954,2117244,0.0,1.0
2018-11-01,55.93,56.22,55.7,56.11,53.9107,1778066,0.0,1.0
2018-11-02,56.21,56.6,55.49,55.83,53.6416,983260,0.0,1.0
2018-11-05,55.63,56.76,55.58,56.34,54.1316,1330870,0.0,1.0
2018-11-06,56.36,57.14,56.21,57.02,54.785,1085389,0.0,1.0
2018-11-07,57.18,57.46,56.74,57.18,54.9387,1299511,0.0,1.0
2018-11-08,58.01,58.01,56.205,57.14,54.9003,1772166,0.0,1.0
2018-11-09,57.22,58.51,57.03,58.35,56.0629,1391469,0.0,1.0
2018-11-12,58.2,59.79,58.14,59.31,56.9852,1353490,0.0,1.0
2018-11-13,59.24,59.86,58.66,59.73,57.3888,1456913,0.0,1.0
2018-11-14,59.46,60.25,59.25,59.94,57.5905,1822245,0.0,1.0
2018-11-15,59.69,60.22,59.08,60.09,57.7347,1887697,0.0,1.0
2018-11-16,60.73,61.1,59.85,60.12,57.7635,2070468,0.0,1.0
2018-11-19,60.05,60.18,59.1902,59.85,57.5041,1640673,0.0,1.0
2018-11-20,60.19,60.66,59.5,59.7,57.3599,1745335,0.0,1.0
2018-11-21,59.53,59.79,58.45,58.65,56.3511,853649,0.0,1.0
2018-11-23,58.65,58.8,57.94,58.73,56.428,539480,0.0,1.0
2018-11-26,58.57,59.54,58.57,59.53,57.1966,1615838,0.0,1.0
2018-11-27,59.55,59.99,59.03,59.98,57.629,1537394,0.0,1.0
2018-11-28,59.49,59.91,58.83,59.13,57.2687,1380971,0.475,1.0
2018-11-29,59.24,59.25,58.11,58.82,56.9684,1656882,0.0,1.0
2018-11-30,58.99,59.55,58.48,59.37,57.5011,2113051,0.0,1.0
2018-12-03,59.2,59.72,58.68,59.71,57.8304,1294891,0.0,1.0
2018-12-04,59.94,60.96,59.87,60.04,58.15,2045420,0.0,1.0
2018-12-06,60.29,60.81,59.43,60.77,58.857,2016172,0.0,1.0
2018-12-07,60.82,60.91,59.9201,60.31,58.4115,1682727,0.0,1.0
2018-12-10,60.3,60.61,59.03,60.51,58.6052,1917787,0.0,1.0
2018-12-11,60.49,61.0,60.25,60.63,58.7215,1365529,0.0,1.0
2018-12-12,60.58,61.0,59.725,59.83,57.9466,1495754,0.0,1.0
2018-12-13,59.79,60.77,59.7,60.23,58.334,1858914,0.0,1.0
2018-12-14,60.34,60.87,60.07,60.54,58.6343,1572994,0.0,1.0
2018-12-17,60.73,60.94,58.27,58.35,56.5132,2480483,0.0,1.0
2018-12-18,58.75,59.45,57.98,58.25,56.4164,1881383,0.0,1.0
2018-12-19,58.37,58.67,57.68,58.08,56.2517,1911573,0.0,1.0
2018-12-20,57.96,59.25,57.11,58.01,56.1839,2751718,0.0,1.0
2018-12-21,58.04,59.5765,57.58,58.28,56.4454,5400818,0.0,1.0
2018-12-24,58.45,58.83,55.83,55.91,54.15,1331978,0.0,1.0
2018-12-26,55.91,56.61,55.18,56.58,54.7989,1573123,0.0,1.0
2018-12-27,56.59,56.85,55.52,56.73,54.9442,1993886,0.0,1.0
2018-12-28,56.95,57.55,56.37,56.53,54.7505,1638427,0.0,1.0
2018-12-31,56.62,56.78,56.01,56.77,54.983,1623540,0.0,1.0
2019-01-02,56.71,56.82,55.65,55.88,54.121,1619680,0.0,1.0
2019-01-03,55.75,56.51,55.6,55.67,53.9176,1447830,0.0,1.0
2019-01-04,55.45,56.126,55.13,55.89,54.1307,2342125,0.0,1.0
2019-01-07,55.55,56.2,55.3944,55.95,54.1888,1419126,0.0,1.0
2019-01-08,55.89,56.8,55.89,56.61,54.828,1485529,0.0,1.0
2019-01-09,56.42,56.69,55.59,56.06,54.2953,1880899,0.0,1.0
2019-01-10,56.37,57.15,56.07,56.86,55.0701,1334930,0.0,1.0
2019-01-11,56.76,56.95,56.33,56.47,54.6924,2056810,0.0,1.0
2019-01-14,56.21,56.31,55.33,56.04,54.2759,3078571,0.0,1.0
2019-01-15,55.92,56.83,55.92,56.35,54.5762,2722929,0.0,1.0
2019-01-16,56.11,56.39,55.94,56.29,54.5181,2222636,0.0,1.0
2019-01-17,56.32,56.81,56.05,56.6,54.8183,1602604,0.0,1.0
2019-01-18,56.71,57.01,56.465,56.66,54.8764,2314229,0.0,1.0
2019-01-22,56.74,57.25,56.32,56.81,55.0217,1436012,0.0,1.0
2019-01-23,56.76,57.25,56.69,56.92,55.1282,1982521,0.0,1.0
2019-01-24,56.94,57.855,56.65,57.14,55.3413,1635549,0.0,1.0
2019-01-25,56.88,57.25,56.65,56.78,54.9926,1929428,0.0,1.0
2019-01-28,56.9,57.15,56.48,56.71,54.9248,1295626,0.0,1.0
2019-01-29,56.95,57.11,56.24,56.52,54.7408,1494381,0.0,1.0
2019-01-30,56.27,57.105,56.27,56.7,54.9152,1482568,0.0,1.0
2019-01-31,56.71,57.485,55.96,57.32,55.5156,1966865,0.0,1.0
2019-02-01,57.31,57.64,56.64,57.22,55.4188,1447238,0.0,1.0
2019-02-04,56.98,57.42,56.38,57.42,55.6125,1411472,0.0,1.0
2019-02-05,57.62,57.62,57.05,57.44,55.6319,1311779,0.0,1.0
2019-02-06,57.38,57.38,56.9,57.21,55.4091,1505784,0.0,1.0
2019-02-07,57.32,57.83,57.25,57.64,55.8256,1648803,0.0,1.0
2019-02-08,57.65,58.23,57.4283,58.1,56.2711,1006181,0.0,1.0
2019-02-11,57.89,58.3,57.89,58.07,56.242,926500,0.0,1.0
2019-02-12,58.82,58.95,58.05,58.3,56.4648,1628980,0.0,1.0
2019-02-13,58.15,58.49,57.8801,58.45,56.6101,925606,0.0,1.0
2019-02-14,58.49,58.79,58.08,58.42,56.581,1096611,0.0,1.0
2019-02-15,58.89,58.99,58.52,58.77,56.92,1436485,0.0,1.0
2019-02-19,58.97,59.415,58.75,59.29,57.4236,1020533,0.0,1.0
2019-02-20,59.18,59.545,58.87,59.39,57.5205,1044068,0.0,1.0
2019-02-21,59.16,59.94,59.0,59.87,57.9854,1259646,0.0,1.0
2019-02-22,57.01,57.09,54.57,55.49,53.7433,8399819,0.0,1.0
2019-02-25,55.28,55.73,54.58,55.64,53.8885,3055773,0.0,1.0
2019-02-26,55.77,56.02,55.44,55.79,54.0338,2498787,0.0,1.0
2019-02-27,55.45,55.87,55.18,55.49,53.7433,1511173,0.0,1.0
2019-02-28,55.52,56.32,55.52,55.91,54.15,2424742,0.0,1.0
2019-03-01,56.05,56.09,54.71,55.03,53.7578,1949240,0.475,1.0
2019-03-04,55.58,55.84,54.73,55.27,53.9922,1716715,0.0,1.0
2019-03-05,55.07,55.46,54.6,55.08,53.8066,1574560,0.0,1.0
2019-03-06,55.25,55.32,54.73,54.84,53.5722,2010783,0.0,1.0
2019-03-07,55.17,55.46,54.78,55.39,54.1095,2970414,0.0,1.0
2019-03-08,55.55,55.98,55.22,55.76,54.4709,2739404,0.0,1.0
2019-03-11,55.85,56.405,55.75,56.35,55.0473,1882979,0.0,1.0
2019-03-12,56.48,56.99,56.24,56.73,55.4185,1649090,0.0,1.0
2019-03-13,56.5,57.09,56.3125,56.93,55.6139,1283713,0.0,1.0
2019-03-14,56.88,57.7,56.78,57.12,55.7995,2292162,0.0,1.0
2019-03-15,56.91,57.925,55.9338,57.67,56.3367,6149190,0.0,1.0
2019-03-18,57.46,57.579,56.63,56.87,55.5552,1886318,0.0,1.0
2019-03-19,56.74,56.8645,56.07,56.43,55.1254,1979072,0.0,1.0
2019-03-20,56.38,57.2,56.18,56.5,55.1938,1483458,0.0,1.0
2019-03-21,56.54,57.4,56.0201,57.34,56.0144,1189389,0.0,1.0
2019-03-22,58.44,58.44,57.5582,58.0,56.6591,1634851,0.0,1.0
2019-03-25,58.1,58.34,57.76,57.8,56.4637,1288913,0.0,1.0
2019-03-26,57.97,58.53,57.82,58.45,57.0987,1452409,0.0,1.0
2019-03-27,58.53,58.59,58.01,58.15,56.8056,1199847,0.0,1.0
2019-03-28,58.2,58.34,57.56,57.95,56.6103,1340664,0.0,1.0
2019-03-29,57.98,58.37,57.7,58.05,56.708,1702180,0.0,1.0
