,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,44.63,44.63,41.88,41.88,8.6643,235600,0.0,1.0
2000-01-19,41.75,42.63,41.0,42.34,8.7594,214400,0.0,1.0
2000-01-20,42.44,42.88,42.0,42.41,8.7739,270200,0.0,1.0
2000-01-21,42.31,43.0,42.0,42.38,8.7677,84800,0.0,1.0
2000-01-24,42.5,43.0,40.88,42.0,8.6891,361500,0.0,1.0
2000-01-25,42.22,43.0,41.94,41.97,8.6829,148900,0.0,1.0
2000-01-26,42.25,43.56,42.25,42.94,8.8836,223800,0.0,1.0
2000-01-27,43.25,43.5,42.94,42.94,8.8836,171700,0.0,1.0
2000-01-28,42.81,43.5,40.5,42.09,8.7077,250100,0.0,1.0
2000-01-31,41.69,42.25,41.13,42.16,8.7222,125200,0.0,1.0
2000-02-01,42.5,42.5,40.75,42.22,8.7346,201300,0.0,1.0
2000-02-02,42.25,42.25,38.75,41.81,8.6498,271400,0.0,1.0
2000-02-03,41.75,45.38,41.5,44.25,9.1546,288200,0.0,1.0
2000-02-04,44.56,45.5,44.56,44.88,9.2849,173100,0.0,1.0
2000-02-07,45.25,45.25,41.94,42.38,8.7677,177400,0.0,1.0
2000-02-08,43.5,43.75,41.88,42.19,8.7284,494900,0.0,1.0
2000-02-09,42.25,43.13,39.31,40.0,8.2753,319300,0.0,1.0
2000-02-10,40.31,40.5,35.56,37.22,7.7002,851000,0.0,1.0
2000-02-11,38.0,38.13,36.5,38.0,7.8616,973300,0.0,1.0
2000-02-14,37.94,39.25,37.63,37.72,7.8036,649200,0.0,1.0
2000-02-15,38.0,38.13,37.25,37.5,7.7581,346500,0.0,1.0
2000-02-16,37.56,38.31,37.25,38.13,7.8885,378500,0.0,1.0
2000-02-17,38.31,38.31,35.5,36.5,7.5512,333800,0.0,1.0
2000-02-18,36.75,36.75,34.62,34.62,7.1623,273100,0.0,1.0
2000-02-22,34.75,34.88,33.63,34.19,7.0733,268900,0.0,1.0
2000-02-23,34.19,34.38,32.63,32.63,6.7506,705700,0.0,1.0
2000-02-24,33.13,35.63,32.88,33.38,6.9058,487100,0.0,1.0
2000-02-25,33.88,34.13,33.25,33.97,7.0278,455600,0.0,1.0
2000-02-28,33.69,39.13,33.5,39.09,8.0871,439000,0.0,1.0
2000-02-29,38.38,38.69,36.44,37.75,7.8098,375600,0.0,1.0
2000-03-01,38.63,38.63,37.38,38.03,7.8678,254500,0.0,1.0
2000-03-02,37.63,40.0,37.25,38.66,7.9981,374200,0.0,1.0
2000-03-03,38.88,39.13,38.0,39.0,8.0684,159200,0.0,1.0
2000-03-06,38.94,39.0,36.75,36.75,7.603,307700,0.0,1.0
2000-03-07,37.13,37.13,36.0,36.5,7.5512,220800,0.0,1.0
2000-03-08,36.5,37.13,36.0,36.63,7.5781,435100,0.0,1.0
2000-03-09,36.13,36.63,35.81,36.0,7.4478,742800,0.0,1.0
2000-03-10,36.0,36.13,35.38,35.63,7.3712,344100,0.0,1.0
2000-03-13,35.38,35.44,33.88,34.53,7.1437,537700,0.0,1.0
2000-03-14,34.63,35.13,34.44,34.88,7.2161,338600,0.0,1.0
2000-03-15,34.88,35.75,34.63,35.69,7.3837,609600,0.0,1.0
2000-03-16,36.5,40.19,36.19,38.56,7.9774,241500,0.0,1.0
2000-03-17,38.19,40.75,37.63,38.97,8.0622,218900,0.0,1.0
2000-03-20,38.75,38.75,37.13,37.25,7.7064,233700,0.0,1.0
2000-03-21,37.63,40.13,37.25,39.78,8.2298,171500,0.0,1.0
2000-03-22,40.5,41.5,40.0,40.88,8.4574,366700,0.0,1.0
2000-03-23,40.25,43.5,40.0,42.88,8.8712,549700,0.0,1.0
2000-03-24,42.88,43.94,42.5,43.88,9.078,262100,0.0,1.0
2000-03-27,44.13,44.13,42.25,42.38,8.7677,552600,0.0,1.0
2000-03-28,42.84,45.0,42.38,43.94,9.0904,327800,0.0,1.0
2000-03-29,43.84,44.0,43.25,43.5,8.9994,277300,0.0,1.0
2000-03-30,43.0,43.0,41.88,42.19,8.7284,223600,0.0,1.0
2000-03-31,42.13,42.13,39.13,39.75,8.2236,534900,0.0,1.0
2000-04-03,40.06,40.88,36.88,36.88,7.6299,273000,0.0,1.0
2000-04-04,37.0,39.75,36.5,39.56,8.1843,138700,0.0,1.0
2000-04-05,38.14,39.88,38.13,39.44,8.1595,96900,0.0,1.0
2000-04-06,39.88,39.88,38.38,39.63,8.1988,65600,0.0,1.0
2000-04-07,38.78,39.0,37.13,37.94,7.8491,125200,0.0,1.0
2000-04-10,38.48,38.48,37.13,37.19,7.694,138200,0.0,1.0
2000-04-11,37.94,38.94,35.5,38.03,7.8678,286800,0.0,1.0
2000-04-12,37.88,39.94,37.38,39.13,8.0953,156200,0.0,1.0
2000-04-13,38.88,39.75,38.5,38.5,7.965,245300,0.0,1.0
2000-04-14,38.75,39.0,37.75,38.2,7.9029,232900,0.0,1.0
2000-04-17,37.63,38.75,35.13,35.13,7.2678,447300,0.0,1.0
2000-04-18,35.38,42.31,34.75,41.31,8.5463,497500,0.0,1.0
2000-04-19,40.63,41.63,38.88,40.56,8.3912,223000,0.0,1.0
2000-04-20,40.81,41.0,40.13,40.25,8.327,167300,0.0,1.0
2000-04-24,41.0,41.0,37.88,38.5,7.965,245200,0.0,1.0
2000-04-25,39.13,42.75,38.63,42.75,8.8443,338000,0.0,1.0
2000-04-26,42.38,42.75,41.63,42.0,8.6891,138800,0.0,1.0
2000-04-27,42.0,42.75,41.44,41.64,8.6146,400300,0.0,1.0
2000-04-28,42.0,42.75,41.38,42.75,8.8443,472900,0.0,1.0
2000-05-01,42.75,42.75,40.75,40.75,8.4305,453000,0.0,1.0
2000-05-02,41.5,42.13,39.5,39.75,8.2236,185200,0.0,1.0
2000-05-03,39.38,39.5,37.88,37.89,7.8388,450500,0.0,1.0
2000-05-04,39.5,40.75,37.75,40.75,8.4305,529000,0.0,1.0
2000-05-05,40.5,45.5,40.38,43.94,9.0904,1338900,0.0,1.0
2000-05-08,42.88,44.19,42.75,43.0,8.896,535900,0.0,1.0
2000-05-09,43.0,44.38,43.0,44.38,9.1815,410000,0.0,1.0
2000-05-10,44.0,44.06,42.25,42.25,8.7408,251900,0.0,1.0
2000-05-11,42.81,44.13,41.81,43.81,9.0636,151800,0.0,1.0
2000-05-12,43.63,43.75,41.5,42.5,8.7925,48700,0.0,1.0
2000-05-15,42.25,44.0,41.5,42.75,8.8443,243200,0.0,1.0
2000-05-16,43.19,45.38,42.69,45.0,9.3097,287000,0.0,1.0
2000-05-17,44.5,44.94,43.13,44.94,9.2973,125700,0.0,1.0
2000-05-18,44.0,44.69,43.38,43.38,8.9746,95600,0.0,1.0
2000-05-19,43.25,43.88,43.0,43.44,8.987,88500,0.0,1.0
2000-05-22,43.5,43.5,42.13,42.44,8.7801,127500,0.0,1.0
2000-05-23,43.0,43.88,42.0,42.13,8.716,115400,0.0,1.0
2000-05-24,42.38,44.38,41.75,44.13,9.1298,117500,0.0,1.0
2000-05-25,44.25,44.25,40.0,41.13,8.5091,174200,0.0,1.0
2000-05-26,41.13,41.13,39.5,39.81,8.236,218700,0.0,1.0
2000-05-30,40.75,41.13,39.94,40.5,8.3933,153400,0.07,1.0
2000-05-31,40.63,42.38,39.88,42.0,8.7041,166000,0.0,1.0
2000-06-01,41.13,41.88,40.13,41.38,8.5756,186900,0.0,1.0
2000-06-02,42.13,43.13,42.13,42.75,8.8595,83500,0.0,1.0
2000-06-05,42.56,43.13,41.06,41.63,8.6274,95100,0.0,1.0
2000-06-06,41.81,43.69,41.44,43.16,8.9445,109200,0.0,1.0
2000-06-07,42.81,44.5,42.81,44.25,9.1704,144000,0.0,1.0
2000-06-08,43.88,44.25,42.63,43.0,8.9114,152500,0.0,1.0
2000-06-09,43.56,43.63,42.5,43.06,8.9238,83700,0.0,1.0
2000-06-12,44.13,44.25,43.25,44.13,9.1455,99600,0.0,1.0
2000-06-13,43.19,43.94,41.0,42.19,8.7435,177700,0.0,1.0
2000-06-14,42.75,44.63,42.69,43.44,9.0025,107200,0.0,1.0
2000-06-15,43.69,43.75,42.5,42.69,8.8471,122000,0.0,1.0
2000-06-16,42.94,44.5,42.5,44.0,9.1186,137200,0.0,1.0
2000-06-19,43.75,44.25,43.06,43.69,9.0543,69500,0.0,1.0
2000-06-20,43.75,46.5,43.75,45.38,9.4046,293600,0.0,1.0
2000-06-21,45.0,48.0,44.88,45.19,9.3652,204100,0.0,1.0
