,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-08-16,12.5,12.53,12.5,12.5,6.4085,188800,0.0,1.0
2004-08-17,12.5,12.54,12.5,12.51,6.4137,153600,0.0,1.0
2004-08-18,12.5,12.65,12.5,12.51,6.4137,149800,0.0,1.0
2004-08-19,12.5,12.55,12.5,12.53,6.4239,126900,0.0,1.0
2004-08-20,12.53,12.59,12.5,12.55,6.4342,144900,0.0,1.0
2004-08-23,12.55,12.59,12.5,12.55,6.4342,64400,0.0,1.0
2004-08-24,12.55,12.99,12.55,12.98,6.6546,382900,0.0,1.0
2004-08-25,12.75,13.09,12.75,13.0,6.6649,500200,0.0,1.0
2004-08-26,13.05,13.45,12.95,13.38,6.8597,435200,0.0,1.0
2004-08-27,13.4,13.63,13.21,13.45,6.8956,694300,0.0,1.0
2004-08-30,13.45,13.59,13.35,13.48,6.911,119100,0.0,1.0
2004-08-31,13.54,13.8,13.0,13.8,7.075,261900,0.0,1.0
2004-09-01,14.3,14.38,13.42,13.65,6.9981,170900,0.0,1.0
2004-09-02,13.65,13.88,13.1,13.79,7.0699,149200,0.0,1.0
2004-09-03,13.55,13.84,13.5,13.65,6.9981,88600,0.0,1.0
2004-09-07,13.55,13.85,13.46,13.8,7.075,101100,0.0,1.0
2004-09-08,13.8,13.83,13.61,13.65,6.9981,93800,0.0,1.0
2004-09-09,13.65,13.71,13.41,13.49,6.9161,113900,0.0,1.0
2004-09-10,13.4,13.73,13.25,13.6,6.9725,139900,0.0,1.0
2004-09-13,13.1,13.75,12.94,13.71,7.086,223700,0.1113,1.0
2004-09-14,13.65,13.65,13.3,13.51,6.9826,130000,0.0,1.0
2004-09-15,13.3,13.55,13.09,13.35,6.8999,138800,0.0,1.0
2004-09-16,13.35,13.48,13.1,13.33,6.8896,126300,0.0,1.0
2004-09-17,12.55,13.64,12.55,13.64,7.0498,400200,0.0,1.0
2004-09-20,13.54,13.64,13.13,13.35,6.8999,112300,0.0,1.0
2004-09-21,13.3,13.6,13.28,13.47,6.9619,243700,0.0,1.0
2004-09-22,13.2,13.62,13.05,13.5,6.9774,455800,0.0,1.0
2004-09-23,13.4,13.65,13.22,13.29,6.8689,211000,0.0,1.0
2004-09-24,13.3,13.55,13.25,13.5,6.9774,67500,0.0,1.0
2004-09-27,13.55,13.55,12.93,13.05,6.7448,182200,0.0,1.0
2004-09-28,13.06,13.14,12.63,12.91,6.6725,202900,0.0,1.0
2004-09-29,13.11,13.12,12.6,12.88,6.657,159900,0.0,1.0
2004-09-30,12.85,12.85,12.3,12.75,6.5898,1156500,0.0,1.0
2004-10-01,12.76,13.06,12.6,13.0,6.719,217900,0.0,1.0
2004-10-04,13.01,13.05,12.9,12.94,6.688,122500,0.0,1.0
2004-10-05,12.9,13.03,12.82,12.86,6.6466,128300,0.0,1.0
2004-10-06,12.86,13.15,12.86,13.1,6.7707,447600,0.0,1.0
2004-10-07,13.0,13.39,12.96,13.02,6.7293,160200,0.0,1.0
2004-10-08,13.05,13.22,13.0,13.22,6.8327,118000,0.0,1.0
2004-10-11,13.22,13.25,13.0,13.1,6.7707,90300,0.0,1.0
2004-10-12,13.1,13.25,12.97,13.1,6.7707,69000,0.0,1.0
2004-10-13,13.15,13.3,12.95,12.96,6.6983,75500,0.0,1.0
2004-10-14,12.96,13.06,12.93,13.06,6.75,44100,0.0,1.0
2004-10-15,13.04,13.17,12.87,12.98,6.7087,73600,0.0,1.0
2004-10-18,13.05,13.4,12.91,13.12,6.781,52000,0.0,1.0
2004-10-19,13.1,13.5,13.05,13.05,6.7448,56200,0.0,1.0
2004-10-20,12.95,13.1,12.85,13.1,6.7707,57400,0.0,1.0
2004-10-21,13.05,13.4,12.9,13.38,6.9154,49500,0.0,1.0
2004-10-22,13.38,13.5,13.29,13.3,6.874,75200,0.0,1.0
2004-10-25,13.27,13.49,13.2,13.3,6.874,99500,0.0,1.0
2004-10-26,13.25,13.7,13.2,13.55,7.0033,137200,0.0,1.0
2004-10-27,13.5,14.0,13.4,13.9,7.1842,173800,0.0,1.0
2004-10-28,14.0,14.26,13.8,13.92,7.1945,107400,0.0,1.0
2004-10-29,13.95,13.96,13.5,13.86,7.1635,233700,0.0,1.0
2004-11-01,13.76,13.96,13.59,13.74,7.1015,60200,0.0,1.0
2004-11-02,13.84,14.1,13.8,13.86,7.1635,93500,0.0,1.0
2004-11-03,13.9,14.05,13.6,13.9,7.1842,84400,0.0,1.0
2004-11-04,13.9,14.24,13.8,14.0,7.2358,47500,0.0,1.0
2004-11-05,14.0,14.15,13.8,14.05,7.2617,55700,0.0,1.0
2004-11-08,14.1,14.18,13.95,14.05,7.2617,63500,0.0,1.0
2004-11-09,14.05,14.24,13.8,14.08,7.2772,129100,0.0,1.0
2004-11-10,14.07,14.47,13.7,14.13,7.303,59300,0.0,1.0
2004-11-11,14.13,14.2,14.0,14.15,7.3134,44800,0.0,1.0
2004-11-12,14.15,14.21,14.04,14.1,7.2875,39100,0.0,1.0
2004-11-15,14.1,14.55,13.85,14.35,7.4167,133400,0.0,1.0
2004-11-16,14.2,14.2,13.65,14.1,7.2875,74900,0.0,1.0
2004-11-17,14.15,14.39,14.1,14.2,7.3392,120700,0.0,1.0
2004-11-18,14.1,14.25,13.83,14.05,7.2617,43800,0.0,1.0
2004-11-19,14.06,14.15,13.91,14.05,7.2617,22100,0.0,1.0
2004-11-22,14.05,14.18,13.8,14.18,7.3289,71600,0.0,1.0
2004-11-23,14.4,14.4,13.7,14.14,7.3082,108600,0.0,1.0
2004-11-24,14.14,14.2,13.9,13.98,7.2255,80900,0.0,1.0
2004-11-26,13.98,14.0,13.86,13.9,7.1842,25400,0.0,1.0
2004-11-29,13.95,14.1,13.85,14.0,7.2358,115500,0.0,1.0
2004-11-30,14.1,14.1,13.71,13.9,7.1842,83400,0.0,1.0
2004-12-01,13.85,14.11,13.71,14.0,7.2358,145900,0.0,1.0
2004-12-02,14.05,14.25,14.05,14.2,7.3392,46500,0.0,1.0
2004-12-03,14.2,14.4,14.2,14.35,7.4167,75400,0.0,1.0
2004-12-06,14.45,14.45,14.0,14.15,7.3134,94800,0.0,1.0
2004-12-07,14.15,14.2,13.89,14.0,7.2358,326800,0.0,1.0
2004-12-08,14.01,14.15,14.0,14.05,7.2617,621000,0.0,1.0
2004-12-09,13.85,13.86,13.65,13.75,7.2242,84700,0.2275,1.0
2004-12-10,13.75,13.79,13.58,13.68,7.1874,83300,0.0,1.0
2004-12-13,13.75,13.88,13.27,13.69,7.1927,98600,0.0,1.0
