,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,53.75,55.0,53.13,54.25,23.4395,4948822,0.0,1.0
2000-01-19,54.5,54.88,52.81,53.44,23.0895,2874602,0.0,1.0
2000-01-20,53.5,53.69,51.5,52.22,22.5624,4339465,0.0,1.0
2000-01-21,51.94,52.0,50.31,50.44,21.7933,5732018,0.0,1.0
2000-01-24,51.81,51.94,50.38,51.13,22.0915,5042648,0.0,1.0
2000-01-25,51.19,51.25,49.13,50.13,21.6594,4154997,0.0,1.0
2000-01-26,49.13,49.25,47.31,48.0,20.7391,9246849,0.0,1.0
2000-01-27,49.31,50.0,48.69,49.94,21.5773,6861680,0.0,1.0
2000-01-28,49.13,49.88,48.81,49.0,21.3906,3837810,0.508,1.0
2000-01-31,49.81,50.19,49.13,49.75,21.7181,3154933,0.0,1.0
2000-02-01,49.63,50.0,48.5,49.81,21.7442,4719605,0.0,1.0
2000-02-02,49.94,50.56,47.94,48.63,21.2291,6361362,0.0,1.0
2000-02-03,47.88,48.88,47.81,48.75,21.2815,4003883,0.0,1.0
2000-02-04,48.88,49.0,48.0,48.06,20.9803,2743730,0.0,1.0
2000-02-07,48.5,48.5,47.19,47.94,20.9279,2376066,0.0,1.0
2000-02-08,48.38,48.88,48.0,48.13,21.0109,3339656,0.0,1.0
2000-02-09,47.63,47.75,47.13,47.19,20.6005,2872820,0.0,1.0
2000-02-10,47.06,47.25,46.06,47.0,20.5176,3694398,0.0,1.0
2000-02-11,47.19,47.19,45.19,46.13,20.1378,3372693,0.0,1.0
2000-02-14,46.0,47.13,45.0,47.06,20.5438,3634755,0.0,1.0
2000-02-15,46.88,46.88,45.44,46.38,20.2469,2931254,0.0,1.0
2000-02-16,45.69,46.44,45.25,46.31,20.2163,3760471,0.0,1.0
2000-02-17,45.81,46.63,45.25,45.88,20.0286,3883705,0.0,1.0
2000-02-18,45.19,45.44,43.38,43.38,18.9373,5795544,0.0,1.0
2000-02-22,44.38,44.88,43.5,44.06,19.2341,4673838,0.0,1.0
2000-02-23,44.19,44.25,43.0,43.0,18.7714,2420051,0.0,1.0
2000-02-24,43.0,43.25,41.19,42.5,18.5531,5534118,0.0,1.0
2000-02-25,42.38,44.25,42.25,42.94,18.7452,5209102,0.0,1.0
2000-02-28,44.25,44.25,42.56,42.69,18.6361,5844621,0.0,1.0
2000-02-29,43.25,43.31,41.19,41.63,18.1733,4875302,0.0,1.0
2000-03-01,41.88,42.19,41.06,41.59,18.1559,6130681,0.0,1.0
2000-03-02,41.5,41.81,41.13,41.38,18.0642,3418396,0.0,1.0
2000-03-03,41.38,43.19,41.31,42.69,18.6361,5297008,0.0,1.0
2000-03-06,42.88,43.63,41.5,41.94,18.3086,4476894,0.0,1.0
2000-03-07,42.0,42.44,40.63,41.13,17.955,4395417,0.0,1.0
2000-03-08,41.13,42.63,40.25,42.56,18.5793,4986887,0.0,1.0
2000-03-09,42.06,42.19,40.81,41.63,18.1733,3761171,0.0,1.0
2000-03-10,40.81,41.81,40.63,41.06,17.9245,3830490,0.0,1.0
2000-03-13,40.56,42.63,40.5,42.56,18.5793,3779758,0.0,1.0
2000-03-14,41.94,41.94,40.25,41.0,17.8983,6227435,0.0,1.0
2000-03-15,41.0,44.06,40.88,44.06,19.2341,9524825,0.0,1.0
2000-03-16,44.0,44.38,42.75,43.81,19.125,9314831,0.0,1.0
2000-03-17,44.44,46.0,44.25,44.63,19.483,7679376,0.0,1.0
2000-03-20,44.06,44.25,43.13,43.75,19.0988,4907320,0.0,1.0
2000-03-21,43.06,45.94,42.75,45.81,19.9981,5762699,0.0,1.0
2000-03-22,44.75,45.25,43.25,44.0,19.2079,5892043,0.0,1.0
2000-03-23,43.81,45.25,43.69,44.5,19.4262,7906174,0.0,1.0
2000-03-24,44.0,45.25,44.0,44.63,19.483,4064036,0.0,1.0
2000-03-27,44.19,45.06,43.94,44.19,19.2909,3644876,0.0,1.0
2000-03-28,43.88,44.75,43.69,44.5,19.4262,3293762,0.0,1.0
2000-03-29,44.69,45.75,44.69,44.81,19.5615,3824507,0.0,1.0
2000-03-30,45.75,46.63,45.19,46.63,20.356,6263272,0.0,1.0
2000-03-31,46.56,46.69,45.69,45.94,20.0548,3244621,0.0,1.0
2000-04-03,46.75,48.0,46.75,47.0,20.5176,5916932,0.0,1.0
2000-04-04,48.75,49.81,46.69,49.06,21.4168,8764799,0.0,1.0
2000-04-05,48.69,49.63,48.0,49.31,21.526,5010567,0.0,1.0
2000-04-06,49.88,50.31,49.63,49.94,21.801,5195290,0.0,1.0
2000-04-07,50.19,50.38,48.13,48.38,21.12,2851687,0.0,1.0
2000-04-10,49.75,52.0,49.5,51.06,22.2899,6476321,0.0,1.0
2000-04-11,50.69,52.81,50.63,51.94,22.6741,5240356,0.0,1.0
2000-04-12,52.94,54.69,52.81,53.63,23.4118,6503692,0.0,1.0
2000-04-13,53.75,54.94,52.5,54.44,23.7654,6497454,0.0,1.0
2000-04-14,55.0,56.0,50.25,52.25,22.8094,12108339,0.0,1.0
2000-04-17,53.88,57.25,52.0,57.06,24.9092,13683004,0.0,1.0
2000-04-18,56.0,56.13,54.38,55.38,24.1758,6083641,0.0,1.0
2000-04-19,54.94,55.44,54.25,55.0,24.0099,4113686,0.0,1.0
2000-04-20,55.0,55.13,54.75,55.13,24.0667,4661044,0.0,1.0
2000-04-24,54.69,55.63,54.38,55.31,24.1452,3536155,0.0,1.0
2000-04-25,55.38,55.44,54.69,55.0,24.0099,3686824,0.0,1.0
2000-04-26,55.06,55.5,54.13,55.0,24.0099,4501591,0.0,1.0
2000-04-27,54.81,55.13,53.5,55.13,24.0667,5189052,0.0,1.0
2000-04-28,55.0,55.0,54.0,54.75,24.1225,3631636,0.508,1.0
2000-05-01,54.94,54.94,53.5,54.06,23.8185,3136028,0.0,1.0
2000-05-02,53.5,53.94,52.88,53.25,23.4616,2866009,0.0,1.0
2000-05-03,53.0,53.38,52.19,53.06,23.3779,3874857,0.0,1.0
2000-05-04,52.75,53.25,52.38,52.63,23.1885,3778103,0.0,1.0
2000-05-05,52.5,54.0,52.44,52.88,23.2986,3468619,0.0,1.0
2000-05-08,52.75,53.88,52.63,53.56,23.5982,3067091,0.0,1.0
2000-05-09,53.56,54.0,52.94,53.06,23.3779,4832336,0.0,1.0
2000-05-10,53.25,53.69,51.56,52.25,23.0211,4197136,0.0,1.0
2000-05-11,52.69,53.63,52.5,52.94,23.3251,2059516,0.0,1.0
2000-05-12,53.19,53.69,53.13,53.38,23.5189,2684978,0.0,1.0
2000-05-15,53.31,53.31,51.75,52.38,23.0783,4155761,0.0,1.0
2000-05-16,52.94,53.75,52.63,53.19,23.4352,3484723,0.0,1.0
2000-05-17,52.81,52.81,52.0,52.38,23.0783,3204901,0.0,1.0
2000-05-18,53.19,53.81,52.81,53.63,23.6291,4467664,0.0,1.0
2000-05-19,52.94,54.63,52.94,53.44,23.5454,4034882,0.0,1.0
2000-05-22,52.88,52.94,50.94,51.25,22.5805,4833673,0.0,1.0
2000-05-23,51.25,51.38,50.44,51.38,22.6377,3546085,0.0,1.0
2000-05-24,51.5,52.88,51.44,51.94,22.8845,3424316,0.0,1.0
2000-05-25,51.81,51.81,50.0,50.69,22.3337,3218460,0.0,1.0
2000-05-26,50.81,51.0,47.75,48.19,21.2322,5863399,0.0,1.0
2000-05-30,48.94,49.25,48.0,49.06,21.6156,3520051,0.0,1.0
2000-05-31,49.19,50.0,48.38,48.56,21.3953,2535519,0.0,1.0
2000-06-01,48.38,49.75,47.63,49.5,21.8094,5392362,0.0,1.0
2000-06-02,49.75,50.69,47.75,48.38,21.316,5069446,0.0,1.0
2000-06-05,48.75,51.56,48.69,50.88,22.4174,4029472,0.0,1.0
2000-06-06,50.88,50.88,49.81,50.0,22.0297,4038892,0.0,1.0
2000-06-07,50.0,50.0,49.0,49.44,21.783,2684850,0.0,1.0
2000-06-08,49.31,49.88,48.44,49.0,21.5891,3375557,0.0,1.0
2000-06-09,49.44,49.88,48.94,49.88,21.9768,2503947,0.0,1.0
2000-06-12,49.69,50.63,49.63,50.13,22.087,2213813,0.0,1.0
2000-06-13,49.63,50.44,49.38,49.94,22.0033,1989752,0.0,1.0
2000-06-14,49.5,49.69,47.94,48.25,21.2587,4684341,0.0,1.0
2000-06-15,48.0,48.13,45.75,46.0,20.2673,5364036,0.0,1.0
