,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.13,19.5,18.69,19.5,6.0394,678000,0.0,1.0
2000-01-19,19.5,20.0,19.38,20.0,6.1943,543000,0.0,1.0
2000-01-20,20.0,20.0,19.06,19.06,5.9031,565200,0.0,1.0
2000-01-21,19.25,19.25,18.38,18.38,5.6925,570500,0.0,1.0
2000-01-24,18.5,18.5,17.5,17.88,5.5377,355700,0.0,1.0
2000-01-25,17.75,17.81,17.0,17.63,5.4602,296100,0.0,1.0
2000-01-26,17.5,17.5,16.31,16.69,5.1691,438700,0.0,1.0
2000-01-27,16.81,17.81,16.75,17.81,5.516,528400,0.0,1.0
2000-01-28,17.5,18.25,17.13,17.44,5.4014,885400,0.0,1.0
2000-01-31,17.31,17.69,17.31,17.44,5.4014,429700,0.0,1.0
2000-02-01,17.19,17.81,17.19,17.44,5.4014,367800,0.0,1.0
2000-02-02,17.44,17.75,17.38,17.44,5.4014,737600,0.0,1.0
2000-02-03,17.38,17.63,17.31,17.5,5.42,770500,0.0,1.0
2000-02-04,18.0,18.75,18.0,18.56,5.7483,739700,0.0,1.0
2000-02-07,18.88,18.94,18.38,18.38,5.6925,765400,0.0,1.0
2000-02-08,18.38,18.44,17.94,18.0,5.5748,539900,0.0,1.0
2000-02-09,18.0,18.31,17.81,17.94,5.5563,733300,0.0,1.0
2000-02-10,18.0,18.06,17.75,17.81,5.516,784500,0.0,1.0
2000-02-11,17.69,18.19,17.63,18.19,5.6337,535700,0.0,1.0
2000-02-14,18.06,18.5,18.06,18.38,5.6925,378900,0.0,1.0
2000-02-15,18.44,18.69,18.25,18.31,5.6708,842200,0.0,1.0
2000-02-16,18.25,18.38,17.94,18.13,5.6151,308300,0.0,1.0
2000-02-17,18.0,18.56,17.88,18.13,5.6151,387900,0.0,1.0
2000-02-18,18.06,18.38,17.94,18.0,5.5748,563200,0.0,1.0
2000-02-22,17.88,18.25,17.38,17.75,5.4974,457700,0.0,1.0
2000-02-23,17.88,17.88,16.63,16.69,5.1691,385700,0.0,1.0
2000-02-24,16.69,16.69,14.94,14.94,4.6271,741300,0.0,1.0
2000-02-25,14.88,14.88,14.0,14.0,4.336,723200,0.0,1.0
2000-02-28,14.38,14.81,13.63,13.75,4.2586,863300,0.0,1.0
2000-02-29,13.81,14.25,13.63,13.75,4.2586,443200,0.0,1.0
2000-03-01,13.81,14.25,13.25,14.06,4.3546,558300,0.0,1.0
2000-03-02,14.06,14.06,13.0,13.31,4.1223,543400,0.0,1.0
2000-03-03,13.31,13.94,13.0,13.69,4.24,515200,0.0,1.0
2000-03-06,13.63,13.88,13.25,13.31,4.1223,449700,0.0,1.0
2000-03-07,13.44,13.94,13.44,13.94,4.3174,462900,0.0,1.0
2000-03-08,13.63,13.81,13.31,13.56,4.1997,609600,0.0,1.0
2000-03-09,13.44,13.69,13.06,13.25,4.1037,318300,0.0,1.0
2000-03-10,13.69,13.69,13.06,13.06,4.0449,231600,0.0,1.0
2000-03-13,13.19,13.31,12.88,12.94,4.0077,226900,0.0,1.0
2000-03-14,12.81,13.0,12.5,12.63,3.9117,284500,0.0,1.0
2000-03-15,12.63,13.38,12.63,13.31,4.1223,612800,0.0,1.0
2000-03-16,13.25,14.0,13.25,13.75,4.2586,1156000,0.0,1.0
2000-03-17,13.81,13.81,13.06,13.19,4.0851,607600,0.0,1.0
2000-03-20,13.56,13.88,13.44,13.75,4.2586,319300,0.0,1.0
2000-03-21,13.88,14.0,13.5,13.88,4.2988,443600,0.0,1.0
2000-03-22,13.75,13.75,12.5,12.63,3.9117,491700,0.0,1.0
2000-03-23,12.69,13.75,12.63,13.75,4.2586,540600,0.0,1.0
2000-03-24,13.63,13.94,13.44,13.56,4.1997,483100,0.0,1.0
2000-03-27,13.5,13.56,13.0,13.5,4.1811,269600,0.0,1.0
2000-03-28,13.5,13.75,13.5,13.69,4.24,351400,0.0,1.0
2000-03-29,13.56,13.63,12.25,12.38,3.8342,860400,0.0,1.0
2000-03-30,12.63,12.81,12.06,12.19,3.7754,603100,0.0,1.0
2000-03-31,12.06,12.69,12.06,12.06,3.7351,907200,0.0,1.0
2000-04-03,12.0,12.38,11.88,12.13,3.7568,370900,0.0,1.0
2000-04-04,12.06,12.69,11.63,12.0,3.7166,738500,0.0,1.0
2000-04-05,11.88,12.25,11.69,12.25,3.794,465100,0.0,1.0
2000-04-06,12.31,12.56,12.0,12.19,3.7754,289100,0.0,1.0
2000-04-07,12.0,12.0,10.5,10.94,3.3883,742600,0.0,1.0
2000-04-10,11.06,11.56,11.0,11.56,3.5803,583200,0.0,1.0
2000-04-11,11.44,11.63,10.44,10.69,3.3108,728800,0.0,1.0
2000-04-12,10.69,11.44,10.69,11.13,3.4471,735800,0.0,1.0
2000-04-13,11.13,11.56,11.06,11.38,3.5245,504700,0.0,1.0
2000-04-14,11.38,11.5,10.75,10.94,3.3883,402900,0.0,1.0
2000-04-17,10.94,10.94,10.31,10.56,3.2706,720300,0.0,1.0
2000-04-18,10.06,10.38,10.0,10.0,3.0971,496700,0.0,1.0
2000-04-19,10.06,10.38,9.625,10.38,3.2148,939800,0.0,1.0
2000-04-20,10.31,10.56,10.0,10.0,3.0971,593000,0.0,1.0
2000-04-24,10.13,10.31,9.875,10.0,3.0971,403000,0.0,1.0
2000-04-25,10.19,10.19,10.0,10.06,3.1157,260600,0.0,1.0
2000-04-26,10.06,10.19,9.75,9.813,3.0392,400300,0.0,1.0
2000-04-27,9.875,10.06,9.75,10.0,3.0971,285100,0.0,1.0
2000-04-28,9.938,9.938,9.563,9.625,2.981,552900,0.0,1.0
2000-05-01,9.5,9.938,9.375,9.938,3.0779,390600,0.0,1.0
2000-05-02,9.813,10.81,9.813,10.69,3.3108,962900,0.0,1.0
