,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,46.0,46.38,43.13,44.19,39.5243,2412200,0.0,1.0
2000-01-19,43.94,45.88,43.81,44.25,39.5779,1876500,0.0,1.0
2000-01-20,42.88,43.63,41.81,42.5,38.0127,2111300,0.0,1.0
2000-01-21,42.31,42.31,41.0,41.75,37.3419,2363300,0.0,1.0
2000-01-24,41.69,41.75,40.25,41.0,36.6711,1742000,0.0,1.0
2000-01-25,40.88,41.31,40.25,40.25,36.0003,1686500,0.0,1.0
2000-01-26,40.31,42.63,40.06,42.38,37.9054,2031900,0.0,1.0
2000-01-27,41.38,42.31,40.13,40.75,36.4475,1519900,0.0,1.0
2000-01-28,40.06,40.25,38.25,38.69,34.605,1970600,0.0,1.0
2000-01-31,38.44,39.56,38.06,39.56,35.3831,1489600,0.0,1.0
2000-02-01,39.06,39.44,37.94,38.94,34.8286,1677800,0.0,1.0
2000-02-02,39.0,39.13,38.0,38.56,34.4887,1539000,0.0,1.0
2000-02-03,38.94,40.19,38.25,39.5,35.3295,1491500,0.0,1.0
2000-02-04,39.63,39.63,38.94,39.19,35.0522,911100,0.0,1.0
2000-02-07,39.25,39.94,38.75,39.19,35.0522,1038600,0.0,1.0
2000-02-08,39.19,39.94,39.19,39.69,35.4994,1054400,0.0,1.0
2000-02-09,39.0,39.5,38.63,39.06,34.9359,1242900,0.0,1.0
2000-02-10,38.88,39.0,37.63,38.69,34.605,1463200,0.0,1.0
2000-02-11,38.69,38.69,36.94,37.13,33.2097,1496000,0.0,1.0
2000-02-14,36.56,37.81,36.0,36.31,32.4763,1834400,0.0,1.0
2000-02-15,36.5,36.56,35.06,35.94,32.1453,2040700,0.0,1.0
2000-02-16,36.0,37.56,35.38,36.44,32.5925,1787800,0.0,1.0
2000-02-17,36.06,37.38,35.38,35.63,31.8681,1452200,0.0,1.0
2000-02-18,36.31,37.44,35.38,36.81,32.9235,1602000,0.0,1.0
2000-02-22,35.69,37.0,35.69,36.0,32.199,1669000,0.0,1.0
2000-02-23,36.06,36.19,35.13,35.38,31.6445,945600,0.0,1.0
2000-02-24,35.13,35.75,34.0,34.13,30.5264,1451700,0.0,1.0
2000-02-25,34.75,34.94,33.25,33.56,30.0166,1386500,0.0,1.0
2000-02-28,33.31,35.19,33.19,34.75,31.081,1390700,0.0,1.0
2000-02-29,34.5,35.44,34.19,34.94,31.2509,2101100,0.0,1.0
2000-03-01,35.38,35.69,34.19,34.44,30.8037,1121500,0.0,1.0
2000-03-02,34.25,34.25,33.38,33.88,30.3028,1307900,0.0,1.0
2000-03-03,34.13,35.69,33.75,34.75,31.081,1691000,0.0,1.0
2000-03-06,34.06,34.56,32.25,32.75,29.2921,1336900,0.0,1.0
2000-03-07,32.5,33.13,30.56,31.06,27.7806,2191400,0.0,1.0
2000-03-08,32.5,34.25,31.81,33.06,29.5694,1946000,0.0,1.0
2000-03-09,33.31,34.25,32.38,33.38,29.8556,1306300,0.0,1.0
2000-03-10,33.38,33.88,32.69,33.56,30.0166,1155700,0.0,1.0
2000-03-13,33.0,33.69,32.69,32.81,29.3458,1148000,0.0,1.0
2000-03-14,33.0,33.38,32.0,32.5,29.0685,767900,0.0,1.0
2000-03-15,32.06,34.69,32.06,33.81,30.2402,1697700,0.0,1.0
2000-03-16,34.63,35.94,34.19,35.5,31.7518,2261200,0.0,1.0
2000-03-17,35.31,36.0,34.19,34.19,30.5801,2056400,0.0,1.0
2000-03-20,35.63,36.25,35.13,35.44,31.6981,1455600,0.0,1.0
2000-03-21,35.06,37.44,35.06,36.63,32.7625,2092000,0.0,1.0
2000-03-22,37.13,38.5,36.69,37.25,33.317,2207400,0.0,1.0
2000-03-23,38.38,40.25,37.5,39.75,35.5531,4524200,0.0,1.0
2000-03-24,40.12,40.81,39.25,39.62,35.4368,1836100,0.0,1.0
2000-03-27,39.63,39.75,38.5,38.79,34.6944,991100,0.0,1.0
2000-03-28,38.25,39.81,38.06,38.38,34.3277,1256600,0.0,1.0
2000-03-29,39.0,39.44,37.56,38.06,34.0415,1411800,0.0,1.0
2000-03-30,37.81,39.19,37.75,38.63,34.5513,1530400,0.0,1.0
2000-03-31,39.5,39.5,38.56,38.81,34.7123,1351400,0.0,1.0
2000-04-03,39.0,39.63,38.69,39.19,35.0522,1009500,0.0,1.0
2000-04-04,39.19,39.94,36.56,38.5,34.435,1714700,0.0,1.0
2000-04-05,37.81,39.69,37.81,39.38,35.2221,1198400,0.0,1.0
2000-04-06,39.5,39.81,38.25,38.94,34.8286,1193500,0.0,1.0
2000-04-07,38.75,39.69,37.44,38.19,34.1578,1600000,0.0,1.0
2000-04-10,38.94,41.44,38.75,40.5,36.2239,3331200,0.0,1.0
2000-04-11,40.94,41.63,40.5,41.13,36.7874,1422500,0.0,1.0
