,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,23.13,23.25,22.81,22.88,9.1578,561300,0.0,1.0
2000-01-19,22.81,23.0,22.5,22.81,9.1298,638200,0.0,1.0
2000-01-20,22.75,22.88,22.56,22.75,9.1058,410400,0.0,1.0
2000-01-21,22.75,23.0,22.56,23.0,9.2059,819800,0.0,1.0
2000-01-24,23.0,23.38,22.94,23.13,9.2579,556700,0.0,1.0
2000-01-25,23.06,23.31,22.69,22.81,9.1298,673400,0.0,1.0
2000-01-26,22.81,23.31,22.81,23.13,9.2579,1349700,0.0,1.0
2000-01-27,23.13,23.25,23.0,23.13,9.2579,808900,0.0,1.0
2000-01-28,23.13,23.19,22.5,22.69,9.0818,909000,0.0,1.0
2000-01-31,22.75,23.06,22.69,22.75,9.1058,523000,0.0,1.0
2000-02-01,22.81,23.13,22.75,22.94,9.1818,289500,0.0,1.0
2000-02-02,22.88,23.13,22.81,22.88,9.1578,3666600,0.0,1.0
2000-02-03,22.75,23.13,22.69,22.88,9.3079,618100,0.375,1.0
2000-02-04,22.94,22.94,22.19,22.31,9.076,688000,0.0,1.0
2000-02-07,22.13,22.25,22.0,22.0,8.9499,311400,0.0,1.0
2000-02-08,22.0,22.31,22.0,22.13,9.0028,202500,0.0,1.0
2000-02-09,22.13,22.38,22.13,22.31,9.076,523800,0.0,1.0
2000-02-10,22.31,22.38,21.88,22.0,8.9499,439900,0.0,1.0
2000-02-11,22.0,22.19,21.56,21.69,8.8238,940600,0.0,1.0
2000-02-14,21.69,21.75,21.5,21.63,8.7994,625700,0.0,1.0
2000-02-15,21.63,21.94,21.56,21.63,8.7994,392500,0.0,1.0
2000-02-16,21.63,21.88,21.44,21.69,8.8238,460400,0.0,1.0
2000-02-17,21.56,21.63,21.0,21.0,8.5431,910200,0.0,1.0
2000-02-18,20.88,20.94,20.44,20.44,8.3153,1194200,0.0,1.0
2000-02-22,20.44,20.5,19.88,20.06,8.1607,714900,0.0,1.0
2000-02-23,20.0,20.31,20.0,20.13,8.1892,503600,0.0,1.0
2000-02-24,20.13,20.13,19.38,19.56,7.9573,398500,0.0,1.0
2000-02-25,19.25,19.5,18.88,19.0,7.7295,1887500,0.0,1.0
2000-02-28,19.0,19.31,18.94,19.19,7.8068,877100,0.0,1.0
2000-02-29,19.13,19.31,18.5,18.5,7.5261,822800,0.0,1.0
2000-03-01,19.75,19.75,18.88,19.0,7.7295,880200,0.0,1.0
2000-03-02,19.19,19.25,18.81,18.94,7.7051,534300,0.0,1.0
2000-03-03,18.88,19.5,18.88,19.19,7.8068,820100,0.0,1.0
2000-03-06,19.06,19.31,18.38,18.5,7.5261,1076700,0.0,1.0
2000-03-07,18.5,18.5,18.13,18.19,7.4,712500,0.0,1.0
2000-03-08,18.0,18.38,18.0,18.19,7.4,605300,0.0,1.0
2000-03-09,18.19,18.5,18.0,18.5,7.5261,392100,0.0,1.0
2000-03-10,18.5,18.5,18.19,18.31,7.4488,264600,0.0,1.0
2000-03-13,18.19,18.38,18.0,18.19,7.4,384900,0.0,1.0
2000-03-14,18.19,18.5,18.13,18.38,7.4773,535700,0.0,1.0
2000-03-15,18.31,19.38,18.31,19.06,7.7539,614400,0.0,1.0
2000-03-16,18.94,20.31,18.94,20.13,8.1892,491300,0.0,1.0
2000-03-17,20.13,20.13,19.5,19.5,7.9329,812400,0.0,1.0
2000-03-20,19.56,19.75,19.38,19.56,7.9573,575300,0.0,1.0
2000-03-21,19.56,20.13,19.56,19.81,8.059,543800,0.0,1.0
2000-03-22,19.75,19.81,19.25,19.5,7.9329,797400,0.0,1.0
2000-03-23,19.31,19.88,19.19,19.5,7.9329,524400,0.0,1.0
2000-03-24,19.5,20.0,19.44,19.94,8.1119,546000,0.0,1.0
2000-03-27,20.0,20.25,19.94,20.06,8.1607,319300,0.0,1.0
2000-03-28,19.81,20.06,19.63,19.81,8.059,495200,0.0,1.0
2000-03-29,19.75,20.25,19.69,20.13,8.1892,499700,0.0,1.0
2000-03-30,20.38,20.69,20.25,20.56,8.3641,449000,0.0,1.0
2000-03-31,20.38,20.88,20.19,20.63,8.3926,563100,0.0,1.0
2000-04-03,20.63,21.06,20.56,21.06,8.5675,676400,0.0,1.0
2000-04-04,21.0,21.69,21.0,21.44,8.7221,495500,0.0,1.0
2000-04-05,21.56,22.19,21.44,22.0,8.9499,765000,0.0,1.0
2000-04-06,22.06,22.19,21.63,21.88,8.9011,809900,0.0,1.0
2000-04-07,21.88,21.94,21.5,21.63,8.7994,568600,0.0,1.0
2000-04-10,21.63,22.06,21.56,21.81,8.8726,974500,0.0,1.0
2000-04-11,21.69,22.25,21.69,22.25,9.0516,750800,0.0,1.0
2000-04-12,22.5,23.25,22.38,23.0,9.3567,750700,0.0,1.0
2000-04-13,23.13,24.5,23.0,24.38,9.9181,761000,0.0,1.0
2000-04-14,24.13,25.0,24.0,24.19,9.8409,1194700,0.0,1.0
