,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,15.88,16.19,15.75,16.0,4.3505,49400,0.0,1.0
2000-01-19,16.0,16.5,16.0,16.38,4.4538,62000,0.0,1.0
2000-01-20,16.44,16.44,15.88,16.31,4.4348,32000,0.0,1.0
2000-01-21,16.38,16.44,16.19,16.19,4.4022,67500,0.0,1.0
2000-01-24,16.13,16.31,15.38,15.38,4.1819,88700,0.0,1.0
2000-01-25,15.38,15.63,15.38,15.56,4.2309,28400,0.0,1.0
2000-01-26,15.63,15.69,15.5,15.56,4.2309,13400,0.0,1.0
2000-01-27,15.69,16.13,15.25,15.31,4.1629,28800,0.0,1.0
2000-01-28,15.19,15.69,15.19,15.38,4.1819,47900,0.0,1.0
2000-01-31,15.38,15.5,15.19,15.31,4.1629,46500,0.0,1.0
2000-02-01,15.44,15.5,15.19,15.19,4.1303,25400,0.0,1.0
2000-02-02,15.31,15.31,15.06,15.06,4.0949,44800,0.0,1.0
2000-02-03,15.13,15.19,14.88,15.13,4.114,38800,0.0,1.0
2000-02-04,15.13,15.62,15.13,15.56,4.2309,22600,0.0,1.0
2000-02-07,15.75,15.75,15.38,15.44,4.1982,15000,0.0,1.0
2000-02-08,15.25,15.69,15.13,15.13,4.114,45600,0.0,1.0
2000-02-09,15.19,15.19,14.75,14.81,4.0269,53800,0.0,1.0
2000-02-10,15.25,15.25,13.5,13.56,3.6871,1117800,0.0,1.0
2000-02-11,13.56,13.63,12.88,12.94,3.5185,122300,0.0,1.0
2000-02-14,12.56,12.56,12.31,12.38,3.3662,198300,0.0,1.0
2000-02-15,12.38,12.38,12.0,12.06,3.2792,460000,0.0,1.0
2000-02-16,12.0,12.0,11.88,11.94,3.2466,171800,0.0,1.0
2000-02-17,12.0,12.31,11.88,12.0,3.2629,229800,0.0,1.0
2000-02-18,12.0,12.0,11.75,11.75,3.1949,118400,0.0,1.0
2000-02-22,11.88,12.0,11.81,12.0,3.2629,90600,0.0,1.0
2000-02-23,12.0,12.0,11.81,11.94,3.2466,75700,0.0,1.0
2000-02-24,12.0,12.0,11.44,11.56,3.1432,98100,0.0,1.0
2000-02-25,11.56,11.56,11.38,11.5,3.1269,61800,0.0,1.0
2000-02-28,11.5,11.63,11.44,11.5,3.1269,57300,0.0,1.0
2000-02-29,11.56,11.56,11.44,11.5,3.1269,49500,0.0,1.0
2000-03-01,11.5,11.56,11.31,11.5,3.1269,129400,0.0,1.0
2000-03-02,11.5,11.5,11.19,11.25,3.059,77600,0.0,1.0
2000-03-03,11.19,11.31,11.0,11.25,3.059,79400,0.0,1.0
2000-03-06,11.5,11.5,11.0,11.06,3.0073,91000,0.0,1.0
2000-03-07,11.06,11.06,10.56,10.56,2.8713,162400,0.0,1.0
2000-03-08,10.63,11.25,10.63,11.19,3.0426,139700,0.0,1.0
2000-03-09,11.25,11.56,11.19,11.56,3.1432,660000,0.0,1.0
2000-03-10,11.69,11.81,11.38,11.38,3.0943,534700,0.0,1.0
2000-03-13,11.38,11.75,11.38,11.5,3.1269,114200,0.0,1.0
2000-03-14,11.63,11.69,11.38,11.44,3.1106,184400,0.0,1.0
2000-03-15,11.44,12.06,11.44,11.88,3.2303,300100,0.0,1.0
2000-03-16,11.88,12.25,11.81,11.94,3.2466,556600,0.0,1.0
2000-03-17,11.88,12.63,11.81,12.56,3.4152,721300,0.0,1.0
2000-03-20,12.63,12.69,12.13,12.56,3.4152,252100,0.0,1.0
2000-03-21,12.56,12.63,12.31,12.56,3.4152,54800,0.0,1.0
2000-03-22,12.56,12.81,12.38,12.5,3.3988,244600,0.0,1.0
2000-03-23,12.38,12.69,12.38,12.69,3.4505,134200,0.0,1.0
2000-03-24,12.81,13.56,12.5,13.56,3.6871,968900,0.0,1.0
2000-03-27,13.5,13.56,12.88,13.13,3.5701,99200,0.0,1.0
2000-03-28,13.19,13.31,12.75,12.75,3.4668,43600,0.0,1.0
2000-03-29,12.88,13.06,12.81,13.06,3.5511,96700,0.0,1.0
2000-03-30,13.19,13.5,13.19,13.38,3.6381,123300,0.0,1.0
2000-03-31,13.44,13.63,12.88,12.88,3.5022,344700,0.0,1.0
2000-04-03,12.88,13.31,12.81,13.19,3.5865,200900,0.0,1.0
2000-04-04,13.19,13.38,12.88,13.38,3.6381,124500,0.0,1.0
2000-04-05,13.31,13.31,13.0,13.06,3.5511,73600,0.0,1.0
2000-04-06,13.06,13.19,12.94,13.0,3.5348,73800,0.0,1.0
2000-04-07,13.0,13.5,13.0,13.5,3.6707,115800,0.0,1.0
2000-04-10,13.56,13.63,13.06,13.06,3.5511,64400,0.0,1.0
2000-04-11,13.06,13.06,12.69,12.75,3.4668,92000,0.0,1.0
2000-04-12,12.81,12.88,12.56,12.81,3.4831,130900,0.0,1.0
2000-04-13,13.0,13.31,12.94,13.25,3.6028,191300,0.0,1.0
2000-04-14,13.75,13.75,13.06,13.44,3.6544,220600,0.0,1.0
2000-04-17,13.44,13.44,13.0,13.25,3.6028,143200,0.0,1.0
2000-04-18,13.19,13.38,13.13,13.38,3.6381,61100,0.0,1.0
2000-04-19,13.38,13.38,13.0,13.19,3.5865,52600,0.0,1.0
2000-04-20,13.19,13.19,12.81,13.13,3.5701,31700,0.0,1.0
2000-04-24,13.19,13.19,12.0,12.44,3.3825,480000,0.0,1.0
2000-04-25,12.5,12.63,12.13,12.31,3.3472,337200,0.0,1.0
2000-04-26,12.31,13.0,12.31,13.0,3.5348,1375200,0.0,1.0
2000-04-27,13.0,14.13,12.94,14.13,3.8421,804800,0.0,1.0
2000-04-28,14.0,14.44,13.81,14.13,3.8421,357300,0.0,1.0
2000-05-01,14.06,14.13,13.94,13.94,3.7904,283300,0.0,1.0
2000-05-02,13.94,14.13,13.94,14.0,3.8067,202600,0.0,1.0
2000-05-03,14.0,14.63,13.94,14.63,3.978,300400,0.0,1.0
2000-05-04,14.56,16.19,14.56,16.13,4.3859,722500,0.0,1.0
2000-05-05,15.88,16.25,15.75,16.25,4.4185,189300,0.0,1.0
2000-05-08,16.13,16.25,16.0,16.06,4.3668,116500,0.0,1.0
2000-05-09,16.06,16.25,15.94,16.0,4.3505,93400,0.0,1.0
2000-05-10,16.13,16.25,15.81,16.13,4.3859,75300,0.0,1.0
2000-05-11,16.13,16.94,16.13,16.88,4.5898,233100,0.0,1.0
2000-05-12,17.0,17.69,16.94,17.31,4.7067,185200,0.0,1.0
2000-05-15,17.31,17.31,16.5,16.63,4.5218,140200,0.0,1.0
2000-05-16,16.75,17.25,16.75,17.13,4.6578,112900,0.0,1.0
2000-05-17,17.06,17.25,17.0,17.19,4.6741,121500,0.0,1.0
2000-05-18,17.19,17.31,17.19,17.31,4.7067,66800,0.0,1.0
2000-05-19,17.19,17.19,16.81,16.81,4.5708,48900,0.0,1.0
2000-05-22,16.69,17.0,16.69,16.88,4.5898,117300,0.0,1.0
2000-05-23,16.75,17.0,16.75,16.88,4.5898,50700,0.0,1.0
2000-05-24,16.88,16.88,16.06,16.44,4.4702,72000,0.0,1.0
2000-05-25,16.5,16.5,16.0,16.0,4.3505,50700,0.0,1.0
2000-05-26,16.0,16.13,15.75,16.13,4.3859,112300,0.0,1.0
2000-05-30,16.13,16.44,16.06,16.31,4.4348,71400,0.0,1.0
2000-05-31,16.38,16.94,16.38,16.88,4.5898,75700,0.0,1.0
2000-06-01,16.06,16.63,16.06,16.44,4.4702,65100,0.0,1.0
2000-06-02,16.5,17.56,16.5,17.38,4.7257,119800,0.0,1.0
2000-06-05,17.56,17.69,17.44,17.63,4.7937,197800,0.0,1.0
2000-06-06,17.63,17.63,17.19,17.19,4.6741,54500,0.0,1.0
2000-06-07,17.25,17.25,17.13,17.19,4.6741,71400,0.0,1.0
2000-06-08,17.31,17.31,16.81,16.81,4.5708,39400,0.0,1.0
2000-06-09,16.81,16.94,16.69,16.69,4.5381,81400,0.0,1.0
2000-06-12,16.75,16.81,16.56,16.63,4.5218,50400,0.0,1.0
2000-06-13,16.63,16.75,16.63,16.69,4.5381,51000,0.0,1.0
2000-06-14,16.69,16.75,16.5,16.5,4.4865,125500,0.0,1.0
2000-06-15,16.5,16.5,16.13,16.13,4.3859,149400,0.0,1.0
2000-06-16,16.0,16.25,15.69,15.69,4.2662,124400,0.0,1.0
2000-06-19,15.88,16.06,15.81,15.94,4.3342,28800,0.0,1.0
2000-06-20,16.0,16.19,15.38,15.38,4.1819,41600,0.0,1.0
2000-06-21,15.38,15.5,15.38,15.5,4.2146,141700,0.0,1.0
2000-06-22,15.44,15.5,14.88,14.88,4.046,82600,0.0,1.0
2000-06-23,14.94,14.94,14.5,14.81,4.0269,144200,0.0,1.0
2000-06-26,14.69,15.06,14.69,14.81,4.0269,147100,0.0,1.0
2000-06-27,14.75,15.5,14.75,15.31,4.1629,120300,0.0,1.0
2000-06-28,15.38,15.94,15.31,15.94,4.3342,48300,0.0,1.0
2000-06-29,15.94,15.94,15.75,15.75,4.2825,29300,0.0,1.0
2000-06-30,15.63,15.81,15.06,15.06,4.0949,84600,0.0,1.0
2000-07-03,15.13,15.44,15.06,15.38,4.1819,25700,0.0,1.0
2000-07-05,15.5,15.75,15.25,15.31,4.1629,63800,0.0,1.0
2000-07-06,15.38,15.5,15.19,15.25,4.1466,47500,0.0,1.0
2000-07-07,15.31,15.5,15.0,15.06,4.0949,105000,0.0,1.0
2000-07-10,15.13,15.13,14.88,14.94,4.0623,78400,0.0,1.0
2000-07-11,14.88,15.19,14.75,15.19,4.1303,523100,0.0,1.0
2000-07-12,15.19,15.5,15.19,15.44,4.1982,189800,0.0,1.0
2000-07-13,15.56,15.88,15.5,15.88,4.3179,75600,0.0,1.0
2000-07-14,15.81,15.88,15.31,15.38,4.1819,49500,0.0,1.0
2000-07-17,15.38,15.38,15.19,15.25,4.1466,103200,0.0,1.0
2000-07-18,15.38,15.38,14.63,14.63,3.978,95600,0.0,1.0
2000-07-19,14.69,15.0,14.63,15.0,4.0786,196700,0.0,1.0
2000-07-20,15.0,15.06,14.94,15.0,4.0786,167000,0.0,1.0
2000-07-21,15.0,15.0,14.5,14.94,4.0623,73900,0.0,1.0
2000-07-24,15.0,15.06,14.75,14.94,4.0623,59700,0.0,1.0
2000-07-25,15.06,15.31,14.81,15.19,4.1303,77900,0.0,1.0
2000-07-26,15.38,15.38,15.06,15.06,4.0949,96200,0.0,1.0
2000-07-27,15.31,15.38,15.25,15.31,4.1629,43300,0.0,1.0
2000-07-28,15.31,15.31,14.88,15.13,4.114,79100,0.0,1.0
2000-07-31,15.19,15.69,15.0,15.5,4.2146,230500,0.0,1.0
2000-08-01,15.63,16.13,15.63,15.94,4.3342,61400,0.0,1.0
2000-08-02,16.0,16.0,15.56,15.69,4.2662,146900,0.0,1.0
2000-08-03,15.69,15.88,15.5,15.75,4.2825,204100,0.0,1.0
2000-08-04,15.69,15.94,15.5,15.63,4.2499,66100,0.0,1.0
2000-08-07,15.88,15.94,15.69,15.75,4.2825,81800,0.0,1.0
2000-08-08,15.94,16.44,15.81,16.31,4.4348,88400,0.0,1.0
2000-08-09,16.31,16.69,16.19,16.69,4.5381,36600,0.0,1.0
2000-08-10,16.56,16.75,16.31,16.5,4.4865,131200,0.0,1.0
2000-08-11,16.44,16.75,16.44,16.75,4.5544,37500,0.0,1.0
2000-08-14,16.81,17.06,16.75,16.81,4.5708,111200,0.0,1.0
2000-08-15,16.88,16.94,16.69,16.75,4.5544,87800,0.0,1.0
2000-08-16,16.75,16.81,16.69,16.69,4.5381,181300,0.0,1.0
