,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,59.81,59.88,58.5,58.69,9.6385,177100,0.0,1.0
2000-01-19,58.63,59.0,56.88,57.0,9.3609,294400,0.0,1.0
2000-01-20,57.13,57.13,55.31,55.56,9.1244,175200,0.0,1.0
2000-01-21,55.69,55.88,54.63,55.19,9.0637,196800,0.0,1.0
2000-01-24,56.13,57.0,54.0,54.75,8.9914,317900,0.0,1.0
2000-01-25,54.63,55.75,52.75,53.25,8.7451,174800,0.0,1.0
2000-01-26,53.25,55.0,53.0,54.75,8.9914,203000,0.0,1.0
2000-01-27,54.63,56.13,54.5,55.25,9.0735,99600,0.0,1.0
2000-01-28,55.25,55.25,53.44,53.63,8.8075,80900,0.0,1.0
2000-01-31,53.88,54.5,53.63,53.75,8.8272,114300,0.0,1.0
2000-02-01,53.75,54.38,53.56,53.94,8.8584,166900,0.0,1.0
2000-02-02,53.75,54.0,53.56,53.56,8.796,121100,0.0,1.0
2000-02-03,53.69,54.13,53.25,53.75,8.8272,129700,0.0,1.0
2000-02-04,53.69,53.69,52.38,52.56,8.6318,93800,0.0,1.0
2000-02-07,52.75,53.25,52.13,52.63,8.6433,263300,0.0,1.0
2000-02-08,52.63,53.5,51.56,51.88,8.5201,172000,0.0,1.0
2000-02-09,51.63,52.44,50.25,50.63,8.3148,139000,0.0,1.0
2000-02-10,50.0,50.63,49.5,50.06,8.2212,136500,0.0,1.0
2000-02-11,50.31,50.5,49.25,49.25,8.0882,91200,0.0,1.0
2000-02-14,49.25,49.88,48.56,49.81,8.1801,99100,0.0,1.0
2000-02-15,49.81,51.63,49.63,51.0,8.3756,168900,0.0,1.0
2000-02-16,51.0,51.44,49.69,50.0,8.2113,140200,0.0,1.0
2000-02-17,49.75,50.75,49.06,50.69,8.3247,140500,0.0,1.0
2000-02-18,50.44,50.44,48.63,49.19,8.0783,151600,0.0,1.0
2000-02-22,48.88,49.75,48.75,49.75,8.1703,70200,0.0,1.0
2000-02-23,49.75,49.75,47.38,48.19,7.9141,161600,0.0,1.0
2000-02-24,48.31,48.63,47.88,48.5,7.965,210000,0.0,1.0
2000-02-25,48.5,48.63,46.38,46.69,7.6678,183700,0.0,1.0
2000-02-28,46.69,47.88,46.13,47.0,7.7187,201500,0.0,1.0
2000-02-29,47.13,48.31,47.0,48.31,7.9338,149500,0.0,1.0
2000-03-01,49.0,49.75,47.75,48.63,7.9864,215900,0.0,1.0
2000-03-02,48.63,49.13,48.06,48.19,7.9141,128600,0.0,1.0
2000-03-03,48.25,50.13,47.63,49.25,8.0882,113100,0.0,1.0
2000-03-06,49.31,49.88,47.75,48.0,7.8829,114900,0.0,1.0
2000-03-07,48.13,49.13,46.88,46.94,7.7088,154400,0.0,1.0
2000-03-08,46.75,48.38,46.06,48.25,7.924,156100,0.0,1.0
2000-03-09,49.0,49.69,48.13,48.94,8.0373,154800,0.0,1.0
2000-03-10,48.63,49.75,47.38,48.13,7.9042,254100,0.0,1.0
2000-03-13,48.0,48.38,47.44,48.25,7.924,180000,0.0,1.0
2000-03-14,48.0,49.25,47.75,49.19,8.0783,113500,0.0,1.0
2000-03-15,49.0,52.94,49.0,52.56,8.6318,250400,0.0,1.0
2000-03-16,52.63,56.75,52.06,56.13,9.2181,195200,0.0,1.0
2000-03-17,55.0,55.31,52.63,52.75,8.663,212400,0.0,1.0
2000-03-20,53.0,54.88,52.81,53.25,8.7451,159300,0.0,1.0
2000-03-21,53.38,55.13,53.38,54.19,8.8995,192200,0.0,1.0
2000-03-22,54.0,54.38,52.25,53.0,8.704,106800,0.0,1.0
2000-03-23,52.0,53.56,51.75,53.5,8.7861,92600,0.0,1.0
2000-03-24,53.31,54.13,53.25,53.5,8.7861,57000,0.0,1.0
2000-03-27,54.0,54.0,51.88,52.63,8.6433,114000,0.0,1.0
2000-03-28,52.63,55.0,52.63,55.0,9.0325,203600,0.0,1.0
2000-03-29,54.88,55.81,54.75,55.44,9.1047,127400,0.0,1.0
2000-03-30,55.69,57.13,55.56,56.63,9.3002,98800,0.0,1.0
2000-03-31,57.0,57.5,56.38,56.5,9.2788,150400,0.0,1.0
2000-04-03,56.5,57.69,56.5,57.56,9.4529,104300,0.0,1.0
2000-04-04,57.38,58.38,57.0,57.63,9.4644,192700,0.0,1.0
2000-04-05,57.25,58.25,56.94,57.06,9.3708,335800,0.0,1.0
2000-04-06,57.25,58.75,57.19,58.44,9.5974,227400,0.0,1.0
2000-04-07,58.25,58.38,57.63,57.75,9.4841,158100,0.0,1.0
2000-04-10,57.81,58.0,56.0,56.56,9.2887,171300,0.0,1.0
2000-04-11,57.0,59.69,57.0,58.75,9.6483,139200,0.0,1.0
2000-04-12,59.0,61.13,59.0,60.13,9.875,268200,0.0,1.0
2000-04-13,60.38,60.38,58.19,58.88,9.6697,163300,0.0,1.0
2000-04-14,58.75,58.75,56.63,57.25,9.402,237400,0.0,1.0
2000-04-17,57.0,57.63,56.13,56.75,9.3199,250000,0.0,1.0
2000-04-18,57.25,59.06,56.88,59.0,9.6894,461400,0.0,1.0
2000-04-19,58.88,59.38,57.5,58.0,9.5252,185600,0.0,1.0
2000-04-20,57.75,58.63,57.5,57.69,9.4743,135300,0.0,1.0
2000-04-24,57.94,58.44,56.88,57.94,9.5153,326400,0.0,1.0
