,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,51.63,53.19,51.5,51.81,17.5114,923000,0.0,1.0
2000-01-19,51.25,51.63,50.13,50.75,17.1531,674400,0.0,1.0
2000-01-20,50.5,50.56,48.69,49.32,16.6698,913600,0.0,1.0
2000-01-21,49.63,49.75,49.25,49.38,16.69,870200,0.0,1.0
2000-01-24,49.63,50.0,45.75,46.44,15.6963,840800,0.0,1.0
2000-01-25,46.44,47.38,45.38,47.06,15.9059,1225000,0.0,1.0
2000-01-26,47.31,47.81,45.69,46.94,15.8653,1419300,0.0,1.0
2000-01-27,48.94,49.0,46.81,47.0,15.8856,1052700,0.0,1.0
2000-01-28,47.25,48.0,46.63,47.25,15.9701,1147300,0.0,1.0
2000-01-31,47.13,47.31,46.0,47.13,15.9295,404400,0.0,1.0
2000-02-01,47.25,48.44,46.44,48.31,16.3284,566800,0.0,1.0
2000-02-02,49.13,49.44,47.44,47.5,16.0546,759900,0.0,1.0
2000-02-03,48.25,48.38,45.88,46.25,15.6321,885200,0.0,1.0
2000-02-04,45.56,47.25,45.5,45.56,15.3989,1124000,0.0,1.0
2000-02-07,46.06,46.13,42.25,44.5,15.0406,2692900,0.0,1.0
2000-02-08,44.13,44.63,42.69,43.0,14.5336,2071700,0.0,1.0
2000-02-09,42.5,42.5,40.94,41.75,14.1112,1656900,0.0,1.0
2000-02-10,41.81,43.25,41.69,42.19,14.2599,603600,0.0,1.0
2000-02-11,42.13,42.19,41.44,41.44,14.0064,777000,0.0,1.0
2000-02-14,42.0,42.06,41.0,41.56,14.0469,571500,0.0,1.0
2000-02-15,41.56,42.0,40.88,41.31,13.9624,1165000,0.0,1.0
2000-02-16,42.0,42.31,41.25,41.69,14.0909,650100,0.0,1.0
2000-02-17,41.63,43.38,41.44,43.13,14.5776,1006500,0.0,1.0
2000-02-18,43.25,43.31,41.44,41.88,14.1551,949900,0.0,1.0
2000-02-22,42.0,43.5,41.88,43.0,14.5336,504000,0.0,1.0
2000-02-23,43.25,43.5,42.56,43.13,14.5776,559200,0.0,1.0
2000-02-24,43.0,43.06,41.56,42.25,14.2801,1318200,0.0,1.0
2000-02-25,42.19,43.44,42.13,42.94,14.5134,495800,0.0,1.0
2000-02-28,43.19,43.44,42.38,43.06,14.5539,367700,0.0,1.0
2000-02-29,43.0,43.94,42.75,43.25,14.6181,578900,0.0,1.0
2000-03-01,43.25,43.25,42.19,42.38,14.3241,752400,0.0,1.0
2000-03-02,42.25,42.31,40.81,41.13,13.9016,863600,0.0,1.0
2000-03-03,41.13,41.13,38.75,38.88,13.1411,1989300,0.0,1.0
2000-03-06,39.0,39.75,37.75,37.81,12.7795,1386200,0.0,1.0
2000-03-07,37.0,37.56,36.25,37.0,12.5057,889300,0.0,1.0
2000-03-08,37.63,39.69,37.38,37.5,12.6747,2240600,0.0,1.0
2000-03-09,37.06,40.13,36.75,39.81,13.4554,1137900,0.0,1.0
2000-03-10,39.88,40.0,37.25,39.31,13.2865,1147800,0.0,1.0
2000-03-13,38.5,39.19,38.25,39.06,13.202,761600,0.0,1.0
2000-03-14,39.25,40.38,39.25,40.13,13.5636,1138300,0.0,1.0
2000-03-15,41.13,45.0,40.69,43.38,14.6621,1296600,0.0,1.0
2000-03-16,44.75,45.19,43.06,45.13,15.2536,1436600,0.0,1.0
2000-03-17,45.13,46.63,45.06,45.75,15.4631,1308000,0.0,1.0
2000-03-20,45.63,46.25,45.25,46.06,15.5679,908100,0.0,1.0
2000-03-21,46.0,46.75,45.63,46.5,15.7166,902900,0.0,1.0
2000-03-22,46.13,46.5,45.25,45.94,15.5273,850900,0.0,1.0
2000-03-23,45.88,46.88,44.94,46.44,15.6963,414500,0.0,1.0
2000-03-24,46.44,48.94,46.0,48.25,16.3081,761600,0.0,1.0
2000-03-27,48.0,48.25,47.5,47.81,16.1594,533100,0.0,1.0
2000-03-28,47.0,48.5,47.0,47.13,15.9295,380300,0.0,1.0
2000-03-29,47.38,47.44,46.38,47.06,15.9059,327500,0.0,1.0
2000-03-30,47.31,48.88,47.31,48.31,16.3284,528600,0.0,1.0
2000-03-31,48.44,51.44,48.19,49.75,16.8151,1085400,0.0,1.0
2000-04-03,50.0,51.25,49.06,50.88,17.197,680300,0.0,1.0
2000-04-04,50.69,53.88,50.25,51.94,17.5553,1467900,0.0,1.0
2000-04-05,51.38,51.38,50.31,50.88,17.2849,920200,0.26,1.0
2000-04-06,50.88,51.88,50.19,51.13,17.3698,573700,0.0,1.0
2000-04-07,51.0,51.63,50.5,50.75,17.2407,599800,0.0,1.0
2000-04-10,50.5,51.0,49.88,50.75,17.2407,474100,0.0,1.0
2000-04-11,49.0,51.38,49.0,51.19,17.3902,924400,0.0,1.0
2000-04-12,51.13,53.13,51.13,52.31,17.7707,999800,0.0,1.0
2000-04-13,52.31,53.94,51.44,52.75,17.9202,853700,0.0,1.0
2000-04-14,52.38,52.38,50.75,51.38,17.4548,822200,0.0,1.0
2000-04-17,50.0,50.75,48.81,50.44,17.1354,790100,0.0,1.0
2000-04-18,48.5,51.5,48.0,50.25,17.0709,606900,0.0,1.0
2000-04-19,50.44,53.38,50.38,52.0,17.6654,681800,0.0,1.0
2000-04-20,54.0,57.13,53.56,53.56,18.1953,2007300,0.0,1.0
2000-04-24,53.31,58.13,53.31,58.0,19.7037,1868600,0.0,1.0
2000-04-25,58.0,59.94,56.94,59.31,20.1487,1885600,0.0,1.0
2000-04-26,59.25,59.63,56.13,56.88,19.3232,2051300,0.0,1.0
2000-04-27,55.19,59.38,55.19,59.38,20.1725,1940300,0.0,1.0
2000-04-28,58.75,58.94,57.44,58.5,19.8736,1018200,0.0,1.0
2000-05-01,57.06,59.0,56.38,58.94,20.023,1691900,0.0,1.0
2000-05-02,57.81,58.31,57.0,57.19,19.4285,668600,0.0,1.0
2000-05-03,56.94,57.13,55.63,55.81,18.9597,450900,0.0,1.0
2000-05-04,55.5,56.63,54.88,55.81,18.9597,655200,0.0,1.0
2000-05-05,55.69,57.81,55.31,57.0,19.364,326200,0.0,1.0
2000-05-08,56.75,57.06,55.88,56.06,19.0446,346200,0.0,1.0
2000-05-09,56.0,57.81,55.38,57.5,19.5338,646900,0.0,1.0
2000-05-10,56.63,57.88,55.5,55.75,18.9393,615600,0.0,1.0
2000-05-11,56.0,57.19,55.94,56.5,19.1941,283300,0.0,1.0
2000-05-12,55.81,57.75,55.81,56.44,19.1737,455500,0.0,1.0
2000-05-15,56.19,57.44,56.19,56.94,19.3436,840500,0.0,1.0
2000-05-16,56.94,57.94,56.13,56.25,19.1092,943500,0.0,1.0
2000-05-17,54.63,55.56,54.56,54.63,18.5588,975300,0.0,1.0
2000-05-18,54.81,56.56,54.81,55.69,18.9189,799200,0.0,1.0
2000-05-19,55.5,57.0,55.44,56.81,19.2994,821700,0.0,1.0
