,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,149.63,149.63,146.75,148.0,26.4859,6098900,0.0,1.0
2000-01-19,146.5,150.94,146.25,148.72,26.6147,4949900,0.0,1.0
2000-01-20,149.06,149.75,142.63,145.94,26.1172,10253000,0.0,1.0
2000-01-21,147.94,148.25,143.94,144.13,25.7933,8001800,0.0,1.0
2000-01-24,145.31,145.94,136.44,138.13,24.7196,9038700,0.0,1.0
2000-01-25,138.06,140.38,137.0,138.5,24.7858,8462500,0.0,1.0
2000-01-26,140.5,142.19,138.88,141.44,25.3119,5285600,0.0,1.0
2000-01-27,141.56,141.75,137.06,141.75,25.3674,6414500,0.0,1.0
2000-01-28,140.31,140.5,133.63,134.0,23.9805,9948900,0.0,1.0
2000-01-31,134.0,135.94,133.06,134.0,23.9805,7260900,0.0,1.0
2000-02-01,134.25,137.0,134.0,136.0,24.3384,9113000,0.0,1.0
2000-02-02,137.13,137.63,134.06,134.06,23.9912,7273400,0.0,1.0
2000-02-03,135.94,139.81,135.25,139.25,24.92,6744000,0.0,1.0
2000-02-04,141.0,143.13,140.5,141.56,25.3334,6055700,0.0,1.0
2000-02-07,141.69,141.75,135.88,136.5,24.4279,6095000,0.0,1.0
2000-02-08,136.56,138.44,136.5,137.06,24.5281,6231700,0.0,1.0
2000-02-09,137.0,137.69,134.06,134.06,23.9912,5341300,0.0,1.0
2000-02-10,134.56,136.94,133.13,135.44,24.2382,6389200,0.0,1.0
2000-02-11,135.06,137.31,133.56,133.75,23.9357,6850800,0.0,1.0
2000-02-14,133.75,135.94,133.56,134.38,24.0485,4847300,0.0,1.0
2000-02-15,134.0,139.0,133.94,137.5,24.6068,6274500,0.0,1.0
2000-02-16,136.63,136.94,134.38,135.66,24.2775,4843600,0.0,1.0
2000-02-17,134.88,135.63,130.0,131.0,23.4436,9639700,0.0,1.0
2000-02-18,131.0,131.94,124.94,125.12,22.3913,11775800,0.0,1.0
2000-02-22,126.25,130.0,125.06,129.63,23.1984,9077000,0.0,1.0
