,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,32.0,33.25,31.81,33.0,9.0744,941600,0.0,1.0
2000-01-19,32.88,33.31,32.31,32.69,8.9892,1287700,0.0,1.0
2000-01-20,32.38,32.69,31.81,32.13,8.8352,968300,0.0,1.0
2000-01-21,32.13,32.25,31.31,31.5,8.662,1143600,0.0,1.0
2000-01-24,31.5,32.0,31.0,31.19,8.5767,981400,0.0,1.0
2000-01-25,30.75,31.31,30.19,30.19,8.3017,578600,0.0,1.0
2000-01-26,31.44,31.56,30.56,31.0,8.5245,693800,0.0,1.0
2000-01-27,31.25,31.56,30.31,30.38,8.354,660400,0.0,1.0
2000-01-28,30.88,30.94,30.0,30.25,8.3182,743000,0.0,1.0
2000-01-31,30.13,31.31,30.06,31.19,8.5767,671500,0.0,1.0
2000-02-01,31.56,31.63,30.0,30.25,8.3182,1628000,0.0,1.0
2000-02-02,30.25,30.81,29.5,30.13,8.2852,1287400,0.0,1.0
2000-02-03,30.13,30.69,29.38,30.63,8.4227,996900,0.0,1.0
2000-02-04,30.5,30.56,30.0,30.38,8.354,717500,0.0,1.0
2000-02-07,30.88,31.13,29.5,30.56,8.4035,1205200,0.0,1.0
2000-02-08,30.94,31.0,30.56,30.81,8.4722,1179200,0.0,1.0
2000-02-09,30.81,30.94,30.44,30.5,8.387,1513400,0.0,1.0
2000-02-10,30.38,30.5,29.75,30.06,8.266,1892000,0.0,1.0
2000-02-11,30.44,30.69,30.13,30.44,8.3705,913700,0.0,1.0
2000-02-14,30.5,31.0,30.5,31.0,8.5245,1206600,0.0,1.0
2000-02-15,31.25,32.44,31.25,32.44,8.9204,1401400,0.0,1.0
2000-02-16,32.06,32.25,31.56,32.06,8.816,866800,0.0,1.0
2000-02-17,32.13,32.56,31.75,32.38,8.9039,981600,0.0,1.0
2000-02-18,32.13,32.38,31.69,32.06,8.816,714100,0.0,1.0
2000-02-22,32.06,33.56,32.06,33.44,9.1954,1170100,0.0,1.0
2000-02-23,33.19,33.81,32.88,33.44,9.1954,1564900,0.0,1.0
2000-02-24,33.38,33.38,32.63,33.13,9.1102,1523400,0.0,1.0
2000-02-25,32.94,33.13,32.69,33.0,9.0744,1681700,0.0,1.0
2000-02-28,32.94,33.13,32.81,32.94,9.0579,1030800,0.0,1.0
2000-02-29,32.94,33.19,32.75,32.94,9.0579,1217100,0.0,1.0
2000-03-01,33.06,33.81,32.94,33.19,9.1267,1431500,0.0,1.0
2000-03-02,32.81,32.88,31.5,32.19,8.8517,1595000,0.0,1.0
2000-03-03,32.19,32.75,31.88,32.38,8.9039,908000,0.0,1.0
2000-03-06,32.75,32.75,31.56,31.75,8.7307,1314100,0.0,1.0
2000-03-07,32.0,32.0,30.5,31.0,8.5245,2457500,0.0,1.0
2000-03-08,30.75,31.69,30.31,31.38,8.629,1846200,0.0,1.0
2000-03-09,31.25,31.88,31.06,31.56,8.6785,1424800,0.0,1.0
2000-03-10,31.31,31.63,30.88,31.38,8.629,1221000,0.0,1.0
2000-03-13,30.63,31.44,30.44,31.0,8.5245,1207600,0.0,1.0
2000-03-14,30.69,31.25,30.56,30.63,8.4227,741300,0.0,1.0
2000-03-15,30.63,32.94,30.38,32.75,9.0057,1229300,0.0,1.0
2000-03-16,33.0,35.69,32.88,35.19,9.6766,1689500,0.0,1.0
2000-03-17,35.13,35.5,34.5,34.5,9.4869,1398400,0.0,1.0
2000-03-20,34.56,35.44,34.5,34.81,9.5722,1132400,0.0,1.0
2000-03-21,35.06,35.06,34.13,34.75,9.5557,1406600,0.0,1.0
2000-03-22,34.5,35.19,34.31,34.69,9.5392,1115600,0.0,1.0
2000-03-23,35.06,35.06,34.25,34.94,9.6079,1401800,0.0,1.0
2000-03-24,35.19,35.38,34.25,34.25,9.4182,555000,0.0,1.0
2000-03-27,34.0,34.5,34.0,34.13,9.3852,777900,0.0,1.0
2000-03-28,34.13,34.75,34.13,34.31,9.4347,803200,0.0,1.0
2000-03-29,34.0,35.25,34.0,34.81,9.5722,1517000,0.0,1.0
2000-03-30,34.63,35.88,34.63,35.88,9.8664,1740700,0.0,1.0
2000-03-31,36.0,36.69,35.69,36.19,9.9516,992000,0.0,1.0
2000-04-03,36.06,36.38,35.56,35.81,9.8471,847400,0.0,1.0
2000-04-04,35.81,37.75,35.81,37.0,10.1744,1694800,0.0,1.0
2000-04-05,36.88,37.44,36.31,36.5,10.0369,606800,0.0,1.0
2000-04-06,36.31,36.56,35.81,36.06,9.9915,542700,0.275,1.0
2000-04-07,35.81,36.0,35.19,35.38,9.8031,585500,0.0,1.0
2000-04-10,35.13,35.81,34.94,35.06,9.7144,948800,0.0,1.0
2000-04-11,35.19,35.88,35.06,35.63,9.8724,1083000,0.0,1.0
2000-04-12,35.88,36.94,35.75,36.5,10.1134,1330000,0.0,1.0
2000-04-13,36.25,37.5,36.13,37.06,10.2686,1085100,0.0,1.0
2000-04-14,36.31,37.19,36.06,36.19,10.0275,1035000,0.0,1.0
2000-04-17,36.25,36.81,35.94,36.69,10.1661,936200,0.0,1.0
2000-04-18,36.69,36.69,35.94,36.13,10.0109,639600,0.0,1.0
2000-04-19,36.0,36.44,35.81,36.06,9.9915,834200,0.0,1.0
2000-04-20,36.31,36.31,35.88,36.19,10.0275,531500,0.0,1.0
2000-04-24,36.06,37.0,36.06,36.81,10.1993,991900,0.0,1.0
2000-04-25,37.06,38.44,36.56,38.0,10.529,1658800,0.0,1.0
2000-04-26,37.75,38.0,37.38,37.75,10.4598,926100,0.0,1.0
2000-04-27,37.25,37.63,37.0,37.13,10.288,1095300,0.0,1.0
2000-04-28,36.75,36.94,36.31,36.38,10.0802,1026000,0.0,1.0
2000-05-01,36.44,36.88,36.0,36.44,10.0968,1084700,0.0,1.0
2000-05-02,36.69,36.75,36.06,36.25,10.0441,921500,0.0,1.0
2000-05-03,38.0,38.19,37.25,37.88,10.4958,2258100,0.0,1.0
2000-05-04,37.63,38.56,37.5,38.06,10.5457,1136100,0.0,1.0
2000-05-05,37.94,38.38,37.94,38.06,10.5457,559800,0.0,1.0
