,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,27.25,27.25,25.75,25.75,9.4371,877689,0.0,1.0
2000-01-19,25.94,26.0,24.38,24.38,8.935,759689,0.0,1.0
2000-01-20,24.63,24.69,23.38,23.63,8.6601,734622,0.0,1.0
2000-01-21,23.88,23.88,23.06,23.31,8.5429,679067,0.0,1.0
2000-01-24,23.56,23.75,23.13,23.5,8.6125,424222,0.0,1.0
2000-01-25,23.81,24.0,23.06,23.31,8.5429,438489,0.0,1.0
2000-01-26,23.56,24.25,22.63,23.69,8.6821,779422,0.0,1.0
2000-01-27,24.0,24.31,23.88,23.88,8.7518,406000,0.0,1.0
2000-01-28,23.88,23.88,23.0,23.0,8.4293,345689,0.0,1.0
2000-01-31,23.75,25.19,23.38,25.19,9.2319,445022,0.0,1.0
2000-02-01,25.0,25.0,22.0,22.5,8.246,834800,0.0,1.0
2000-02-02,22.75,23.56,22.38,23.19,8.4989,665867,0.0,1.0
2000-02-03,23.63,23.63,22.81,23.25,8.5209,292800,0.0,1.0
2000-02-04,23.19,23.44,22.5,23.06,8.4513,746267,0.0,1.0
2000-02-07,23.06,23.5,22.94,23.06,8.4513,544222,0.0,1.0
2000-02-08,22.94,23.25,22.13,22.25,8.1544,512000,0.0,1.0
2000-02-09,22.0,22.25,21.44,21.44,7.8575,1167600,0.0,1.0
2000-02-10,21.31,21.38,20.56,20.94,7.6743,415289,0.0,1.0
2000-02-11,20.94,21.44,20.81,21.0,7.6963,527067,0.0,1.0
2000-02-14,21.06,21.06,20.31,20.5,7.513,369822,0.0,1.0
2000-02-15,20.75,21.13,20.56,20.88,7.6523,321600,0.0,1.0
2000-02-16,20.88,21.19,20.69,20.75,7.6047,507067,0.0,1.0
2000-02-17,20.75,21.13,20.0,20.25,7.4214,515022,0.0,1.0
2000-02-18,19.75,20.94,19.75,19.88,7.2858,446400,0.0,1.0
2000-02-22,20.13,20.31,19.69,20.13,7.3774,236800,0.0,1.0
2000-02-23,19.38,20.13,19.38,19.63,7.1942,384800,0.0,1.0
2000-02-24,19.56,19.75,19.31,19.44,7.1246,362400,0.0,1.0
2000-02-25,19.5,20.19,19.25,19.38,7.1026,476222,0.0,1.0
2000-02-28,19.44,19.88,19.31,19.31,7.0769,535600,0.0,1.0
2000-02-29,19.56,20.0,19.44,19.81,7.2602,618667,0.0,1.0
2000-03-01,19.75,20.38,19.56,20.25,7.4214,384000,0.0,1.0
2000-03-02,20.0,20.44,19.5,19.69,7.2162,609067,0.0,1.0
2000-03-03,19.75,20.25,19.63,20.06,7.3518,329822,0.0,1.0
2000-03-06,20.25,20.25,19.63,19.63,7.1942,250000,0.0,1.0
2000-03-07,19.63,19.69,19.0,19.0,6.9633,554000,0.0,1.0
2000-03-08,18.94,19.44,18.88,19.19,7.0329,364089,0.0,1.0
2000-03-09,19.19,19.81,19.0,19.38,7.1026,319689,0.0,1.0
2000-03-10,19.5,19.5,19.13,19.13,7.0109,210089,0.0,1.0
2000-03-13,19.25,19.25,18.75,19.06,6.9853,241067,0.0,1.0
2000-03-14,19.06,19.44,19.0,19.06,6.9853,454267,0.0,1.0
2000-03-15,19.13,21.19,19.13,20.0,7.3298,1107200,0.0,1.0
2000-03-16,20.19,23.5,20.19,22.63,8.2937,776222,0.0,1.0
2000-03-17,22.19,22.75,22.0,22.44,8.224,559289,0.0,1.0
2000-03-20,22.31,22.63,21.88,22.56,8.268,268222,0.0,1.0
2000-03-21,22.69,23.56,22.63,23.5,8.6125,400889,0.0,1.0
2000-03-22,23.25,23.75,22.75,23.19,8.4989,389022,0.0,1.0
2000-03-23,23.31,24.13,23.19,23.75,8.7041,375200,0.0,1.0
2000-03-24,23.87,24.44,23.5,23.87,8.7481,873067,0.0,1.0
2000-03-27,23.94,24.0,22.75,23.0,8.4293,407022,0.0,1.0
2000-03-28,22.75,23.44,22.56,22.63,8.2937,552622,0.0,1.0
2000-03-29,22.5,23.44,22.5,22.75,8.3376,403200,0.0,1.0
2000-03-30,23.25,23.81,22.94,23.44,8.5905,470489,0.0,1.0
2000-03-31,24.0,24.31,23.13,23.13,8.4769,716089,0.0,1.0
2000-04-03,23.38,24.13,23.25,23.69,8.6821,523689,0.0,1.0
2000-04-04,24.25,24.81,23.25,23.31,8.5429,655600,0.0,1.0
2000-04-05,23.38,24.06,23.38,23.56,8.6675,375467,0.09,1.0
2000-04-06,23.81,24.5,23.5,23.69,8.7153,443689,0.0,1.0
2000-04-07,23.69,24.13,23.31,23.56,8.6675,382889,0.0,1.0
2000-04-10,23.19,24.0,23.19,23.88,8.7852,420667,0.0,1.0
2000-04-11,23.88,24.06,23.13,23.88,8.7852,490222,0.0,1.0
2000-04-12,23.88,24.25,23.69,24.0,8.8294,393022,0.0,1.0
2000-04-13,24.19,24.19,23.44,23.88,8.7852,363467,0.0,1.0
2000-04-14,23.56,23.75,22.13,22.38,8.2334,452089,0.0,1.0
2000-04-17,22.38,22.5,21.88,22.38,8.2334,435822,0.0,1.0
2000-04-18,22.44,22.94,22.13,22.94,8.4394,425200,0.0,1.0
2000-04-19,22.88,22.88,21.63,22.19,8.1635,252622,0.0,1.0
2000-04-20,22.19,22.81,22.13,22.63,8.3253,514400,0.0,1.0
2000-04-24,22.25,24.0,22.25,23.88,8.7852,565200,0.0,1.0
2000-04-25,23.5,25.19,23.25,25.0,9.1972,828222,0.0,1.0
2000-04-26,25.13,26.19,23.94,24.13,8.8772,343200,0.0,1.0
2000-04-27,24.06,24.19,22.75,23.44,8.6233,332800,0.0,1.0
2000-04-28,23.31,25.75,22.38,25.06,9.2193,1285689,0.0,1.0
2000-05-01,26.63,26.63,25.56,25.63,9.429,843289,0.0,1.0
2000-05-02,25.38,25.38,24.38,24.75,9.1053,379867,0.0,1.0
2000-05-03,24.5,25.0,23.94,24.19,8.8993,263600,0.0,1.0
2000-05-04,24.56,24.56,23.88,23.94,8.8073,441022,0.0,1.0
2000-05-05,23.69,23.88,23.5,23.69,8.7153,412000,0.0,1.0
2000-05-08,24.0,24.5,23.94,24.31,8.9434,317467,0.0,1.0
2000-05-09,23.81,24.25,23.69,24.19,8.8993,269689,0.0,1.0
2000-05-10,24.31,24.38,23.06,23.44,8.6233,333200,0.0,1.0
2000-05-11,23.38,23.81,23.25,23.31,8.5755,577067,0.0,1.0
2000-05-12,23.38,24.69,23.0,24.19,8.8993,967289,0.0,1.0
2000-05-15,24.31,25.13,24.25,24.88,9.1531,392489,0.0,1.0
2000-05-16,25.13,25.56,25.13,25.13,9.2451,227822,0.0,1.0
2000-05-17,25.13,25.25,24.63,25.13,9.2451,201289,0.0,1.0
2000-05-18,25.31,26.0,25.31,25.63,9.429,246489,0.0,1.0
2000-05-19,25.38,25.5,24.81,25.0,9.1972,189067,0.0,1.0
2000-05-22,25.06,25.94,25.06,25.94,9.5431,353467,0.0,1.0
2000-05-23,26.06,26.25,25.69,26.13,9.613,235289,0.0,1.0
2000-05-24,26.75,27.5,26.63,27.19,10.0029,463289,0.0,1.0
2000-05-25,27.31,27.63,25.81,26.31,9.6792,240089,0.0,1.0
2000-05-26,26.56,27.31,25.56,26.25,9.6571,407022,0.0,1.0
2000-05-30,26.38,26.63,26.06,26.38,9.7049,174622,0.0,1.0
2000-05-31,26.56,27.31,26.5,27.25,10.025,338089,0.0,1.0
2000-06-01,27.5,28.38,27.19,28.31,10.415,429467,0.0,1.0
2000-06-02,28.5,28.75,27.5,27.69,10.1869,227689,0.0,1.0
2000-06-05,27.94,27.94,27.25,27.31,10.0471,248267,0.0,1.0
2000-06-06,28.0,28.0,27.31,27.44,10.0949,403867,0.0,1.0
2000-06-07,27.56,28.5,27.56,28.0,10.3009,323467,0.0,1.0
2000-06-08,27.75,27.75,26.81,26.94,9.9109,130489,0.0,1.0
2000-06-09,27.13,27.44,27.0,27.19,10.0029,123822,0.0,1.0
2000-06-12,27.69,27.88,26.56,26.88,9.8889,239689,0.0,1.0
2000-06-13,26.81,27.63,26.81,27.38,10.0728,188000,0.0,1.0
2000-06-14,27.31,27.56,27.0,27.13,9.9808,406000,0.0,1.0
