,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,112.2,129.1,112.0,125.5,32.3658,3628900,0.0,1.0
2000-01-19,125.7,140.0,124.6,133.7,34.4805,4615900,0.0,1.0
2000-01-20,139.0,157.9,138.5,155.8,40.18,6293900,0.0,1.0
2000-01-21,156.9,163.3,150.0,162.0,41.779,4520400,0.0,1.0
2000-01-24,162.0,175.5,154.0,155.0,39.9737,4393400,0.0,1.0
2000-01-25,152.8,155.0,147.4,151.3,39.0195,4038500,0.0,1.0
2000-01-26,153.0,159.8,152.5,156.0,40.2316,6649300,0.0,1.0
2000-01-27,158.8,176.5,158.4,162.0,41.779,4904700,0.0,1.0
2000-01-28,161.5,166.5,145.5,147.0,37.9106,3983900,0.0,1.0
2000-01-31,147.1,158.5,144.8,154.3,39.7932,3001200,0.0,1.0
2000-02-01,150.0,151.8,145.1,147.3,37.9879,3103600,0.0,1.0
2000-02-02,147.4,149.9,146.3,148.3,38.2458,2398300,0.0,1.0
2000-02-03,150.0,154.3,145.3,154.3,39.7932,3099900,0.0,1.0
2000-02-04,164.9,167.0,162.6,164.9,42.5269,3289000,0.0,1.0
2000-02-07,164.6,165.6,158.0,165.6,42.7074,1990200,0.0,1.0
2000-02-08,168.0,170.3,160.3,169.8,43.7906,2331300,0.0,1.0
2000-02-09,169.6,169.7,163.2,165.0,42.5527,1627500,0.0,1.0
2000-02-10,164.0,179.8,160.4,171.5,44.229,2836600,0.0,1.0
2000-02-11,171.9,172.9,163.8,165.8,42.759,1577900,0.0,1.0
2000-02-14,166.0,180.5,162.6,180.0,46.4211,4017700,0.0,1.0
2000-02-15,178.9,180.9,174.5,175.8,45.3379,3359100,0.0,1.0
2000-02-16,175.8,179.3,173.3,178.0,45.9053,2132000,0.0,1.0
2000-02-17,179.3,192.5,178.6,191.1,49.2837,3464600,0.0,1.0
2000-02-18,191.1,194.9,190.0,193.3,49.8511,2670900,0.0,1.0
2000-02-22,196.0,198.1,184.4,190.0,49.0,2563800,0.0,1.0
2000-02-23,191.0,191.3,186.4,188.3,48.5616,2638300,0.0,1.0
2000-02-24,189.6,194.3,186.8,192.3,49.5932,1981100,0.0,1.0
2000-02-25,193.3,193.5,184.5,187.8,48.4327,1493600,0.0,1.0
2000-02-28,187.1,187.6,168.5,179.8,46.3695,3563700,0.0,1.0
2000-02-29,181.5,188.5,180.9,188.0,48.4842,2721900,0.0,1.0
2000-03-01,190.0,203.0,189.9,203.0,52.3527,3131200,0.0,1.0
2000-03-02,200.0,207.3,192.0,205.9,53.147,2848800,0.18,1.0
2000-03-03,206.9,207.9,200.1,205.3,52.9921,2877200,0.0,1.0
2000-03-06,207.3,212.4,201.9,209.6,54.102,2406600,0.0,1.0
2000-03-07,214.0,216.9,194.5,197.0,50.8497,3315300,0.0,1.0
2000-03-08,200.9,204.1,182.3,188.9,48.7589,3903500,0.0,1.0
2000-03-09,191.6,198.9,184.4,191.3,49.3784,2722300,0.0,1.0
2000-03-10,195.8,201.0,187.0,191.5,49.43,2032800,0.0,1.0
2000-03-13,183.0,187.6,181.0,184.6,47.649,2377200,0.0,1.0
2000-03-14,186.0,187.9,177.0,178.5,46.0745,2567000,0.0,1.0
2000-03-15,176.3,176.3,168.0,170.3,43.9579,3797800,0.0,1.0
2000-03-16,181.0,181.0,167.0,174.4,45.0162,4930500,0.0,1.0
2000-03-17,179.75,195.5,178.06,189.38,48.8828,4857000,0.0,1.0
2000-03-20,192.0,199.9,189.6,197.0,50.8497,2691000,0.0,1.0
2000-03-21,195.3,195.9,187.9,192.0,49.5591,2641100,0.0,1.0
2000-03-22,198.8,204.5,196.0,204.0,52.6566,3550900,0.0,1.0
2000-03-23,204.5,226.0,203.0,219.9,56.7607,4241300,0.0,1.0
2000-03-24,220.0,226.44,211.5,214.37,55.3333,2298700,0.0,1.0
2000-03-27,214.3,214.4,207.8,209.0,53.9472,1951300,0.0,1.0
2000-03-28,208.8,208.8,204.3,204.8,52.863,2275500,0.0,1.0
2000-03-29,204.8,205.9,192.0,197.5,50.9788,2840000,0.0,1.0
2000-03-30,193.5,198.1,180.1,188.0,48.5266,3327000,0.0,1.0
2000-03-31,188.0,197.2,180.1,194.0,50.0754,3173900,0.0,1.0
2000-04-03,196.0,196.0,179.9,180.9,46.694,2740700,0.0,1.0
2000-04-04,183.5,185.0,141.0,168.0,43.3642,6745100,0.0,1.0
2000-04-05,164.0,174.5,158.0,166.0,42.848,4924600,0.0,1.0
2000-04-06,167.3,175.9,166.5,175.6,45.3259,2770100,0.0,1.0
2000-04-07,178.0,198.0,178.0,196.0,50.5916,2692400,0.0,1.0
2000-04-10,195.6,196.3,188.0,189.2,48.8364,2519800,0.0,1.0
2000-04-11,178.0,180.3,165.0,170.3,43.9579,3764400,0.0,1.0
2000-04-12,168.8,170.3,152.0,154.0,39.7505,4811800,0.0,1.0
2000-04-13,153.3,168.8,148.3,153.0,39.4924,4768500,0.0,1.0
2000-04-14,148.5,157.0,133.0,144.0,37.1693,5494500,0.0,1.0
2000-04-17,141.3,152.5,128.5,148.5,38.3309,5735000,0.0,1.0
