,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,24.88,25.19,24.56,24.81,12.728,308400,0.0,1.0
2000-01-19,24.94,25.5,24.69,25.06,12.8563,321600,0.0,1.0
2000-01-20,25.12,25.12,24.0,24.31,12.4715,309400,0.0,1.0
2000-01-21,24.62,24.62,24.06,24.19,12.4099,450800,0.0,1.0
2000-01-24,24.44,24.75,24.06,24.06,12.3433,250800,0.0,1.0
2000-01-25,24.12,24.62,23.62,23.69,12.1534,748600,0.0,1.0
2000-01-26,23.69,23.69,23.0,23.19,11.8969,849200,0.0,1.0
2000-01-27,23.31,23.5,23.0,23.0,11.7995,435400,0.0,1.0
2000-01-28,23.06,23.25,22.69,22.75,11.6712,519100,0.0,1.0
2000-01-31,22.88,24.81,22.81,24.12,12.374,659400,0.0,1.0
2000-02-01,24.0,24.06,22.75,23.06,11.8302,452300,0.0,1.0
2000-02-02,23.06,23.25,22.81,23.0,11.7995,507000,0.0,1.0
2000-02-03,23.0,23.62,22.75,23.12,11.861,331000,0.0,1.0
2000-02-04,23.06,23.31,22.5,22.75,11.6712,316800,0.0,1.0
2000-02-07,22.75,23.31,22.5,22.94,11.7687,286700,0.0,1.0
2000-02-08,22.88,23.31,22.75,22.75,11.6712,352300,0.0,1.0
2000-02-09,22.75,22.94,22.38,22.5,11.5429,344900,0.0,1.0
2000-02-10,22.5,22.75,21.56,22.12,11.348,523700,0.0,1.0
2000-02-11,22.12,22.5,21.38,21.62,11.0915,439900,0.0,1.0
2000-02-14,21.69,22.38,21.62,22.06,11.3172,425600,0.0,1.0
2000-02-15,22.19,22.44,21.81,22.44,11.5122,363200,0.0,1.0
2000-02-16,22.38,22.62,22.25,22.31,11.4455,285200,0.0,1.0
2000-02-17,22.38,22.44,22.25,22.31,11.4455,425800,0.0,1.0
2000-02-18,22.31,22.44,22.19,22.38,11.4814,582200,0.0,1.0
2000-02-22,22.5,22.69,22.25,22.69,11.6404,409600,0.0,1.0
2000-02-23,22.44,22.62,21.94,22.06,11.3172,509900,0.0,1.0
2000-02-24,22.06,22.12,21.5,21.81,11.189,895500,0.0,1.0
2000-02-25,22.0,22.12,21.44,21.75,11.1582,449500,0.0,1.0
2000-02-28,22.0,22.25,21.5,22.06,11.3172,392200,0.0,1.0
2000-02-29,22.31,22.69,21.56,22.56,11.5737,435100,0.0,1.0
2000-03-01,22.25,22.31,21.25,21.94,11.3967,457500,0.275,1.0
2000-03-02,22.0,22.06,21.31,21.81,11.3292,562900,0.0,1.0
2000-03-03,21.62,22.06,21.38,21.88,11.3656,354100,0.0,1.0
2000-03-06,21.62,21.88,21.0,21.31,11.0695,569500,0.0,1.0
2000-03-07,21.06,21.06,20.12,20.31,10.55,426200,0.0,1.0
2000-03-08,20.06,20.94,19.94,20.75,10.7786,505800,0.0,1.0
2000-03-09,20.75,20.75,20.56,20.56,10.6799,415800,0.0,1.0
2000-03-10,20.5,20.94,20.5,20.69,10.7474,492500,0.0,1.0
2000-03-13,20.5,21.5,20.44,21.06,10.9396,536500,0.0,1.0
2000-03-14,21.0,21.06,20.25,20.38,10.5864,801300,0.0,1.0
2000-03-15,20.62,22.19,20.56,22.0,11.4279,582300,0.0,1.0
2000-03-16,22.25,23.88,22.06,23.38,12.1447,744100,0.0,1.0
2000-03-17,24.12,24.12,23.19,23.75,12.3369,857400,0.0,1.0
2000-03-20,23.75,23.75,23.06,23.31,12.1084,333500,0.0,1.0
2000-03-21,23.5,23.56,23.06,23.5,12.2071,382500,0.0,1.0
2000-03-22,23.5,23.75,23.12,23.39,12.1499,476900,0.0,1.0
2000-03-23,23.5,24.25,23.31,23.67,12.2954,359600,0.0,1.0
2000-03-24,23.5,23.56,23.19,23.25,12.0772,788300,0.0,1.0
2000-03-27,23.19,23.75,23.12,23.5,12.2071,352300,0.0,1.0
2000-03-28,23.19,23.62,23.12,23.25,12.0772,337900,0.0,1.0
2000-03-29,23.12,23.44,23.06,23.25,12.0772,400700,0.0,1.0
2000-03-30,23.25,23.75,23.06,23.56,12.2382,317000,0.0,1.0
2000-03-31,23.31,23.94,23.25,23.88,12.4045,341900,0.0,1.0
2000-04-03,23.88,24.31,23.56,24.19,12.5655,368400,0.0,1.0
2000-04-04,24.75,24.81,23.31,24.31,12.6278,504700,0.0,1.0
2000-04-05,24.5,24.5,24.06,24.31,12.6278,357200,0.0,1.0
2000-04-06,24.56,24.75,24.0,24.5,12.7265,267200,0.0,1.0
2000-04-07,24.12,24.81,23.94,24.0,12.4668,264100,0.0,1.0
2000-04-10,24.25,24.75,23.94,24.25,12.5967,233100,0.0,1.0
2000-04-11,24.38,25.25,24.0,25.12,13.0486,468300,0.0,1.0
2000-04-12,25.0,25.5,24.12,24.69,12.8252,715300,0.0,1.0
2000-04-13,24.62,25.19,24.5,24.56,12.7577,535200,0.0,1.0
2000-04-14,24.31,24.75,23.75,23.94,12.4356,644700,0.0,1.0
2000-04-17,24.0,24.75,23.94,24.56,12.7577,582100,0.0,1.0
2000-04-18,24.56,24.75,24.12,24.75,12.8564,250700,0.0,1.0
2000-04-19,24.56,25.0,24.25,24.69,12.8252,342100,0.0,1.0
2000-04-20,25.0,25.06,24.69,24.75,12.8564,321200,0.0,1.0
2000-04-24,25.0,25.44,24.75,25.25,13.1161,241100,0.0,1.0
2000-04-25,25.12,26.31,25.12,26.25,13.6356,414500,0.0,1.0
2000-04-26,26.12,26.5,25.94,26.31,13.6667,499200,0.0,1.0
2000-04-27,26.44,26.44,26.0,26.06,13.5369,533500,0.0,1.0
2000-04-28,26.06,26.44,25.94,26.25,13.6356,500600,0.0,1.0
2000-05-01,26.06,26.69,26.0,26.44,13.7343,278700,0.0,1.0
2000-05-02,26.44,26.62,26.19,26.25,13.6356,230000,0.0,1.0
2000-05-03,26.31,26.38,25.94,26.06,13.5369,364500,0.0,1.0
2000-05-04,26.25,26.62,25.88,26.0,13.5057,333900,0.0,1.0
2000-05-05,26.12,26.25,25.56,25.56,13.2771,280500,0.0,1.0
2000-05-08,25.62,26.25,25.38,25.94,13.4745,180100,0.0,1.0
2000-05-09,26.19,26.19,25.25,25.75,13.3758,211100,0.0,1.0
2000-05-10,25.5,26.0,25.0,25.44,13.2148,232600,0.0,1.0
2000-05-11,25.38,25.81,25.38,25.5,13.246,270700,0.0,1.0
2000-05-12,25.5,25.75,25.06,25.62,13.3083,403900,0.0,1.0
2000-05-15,25.44,25.69,25.31,25.44,13.2148,191900,0.0,1.0
2000-05-16,25.19,26.25,25.19,25.94,13.4745,240100,0.0,1.0
2000-05-17,25.69,25.69,25.06,25.31,13.1473,235500,0.0,1.0
2000-05-18,25.25,25.69,25.0,25.12,13.0486,494800,0.0,1.0
2000-05-19,24.88,25.19,24.75,25.12,13.0486,465600,0.0,1.0
2000-05-22,25.19,25.5,25.0,25.06,13.0174,293100,0.0,1.0
2000-05-23,25.06,25.31,25.0,25.0,12.9863,229900,0.0,1.0
2000-05-24,25.25,25.81,25.12,25.44,13.2148,437700,0.0,1.0
2000-05-25,25.19,25.31,24.75,25.12,13.0486,376800,0.0,1.0
2000-05-26,24.88,25.0,24.12,24.31,12.6278,404300,0.0,1.0
2000-05-30,24.31,24.81,24.31,24.62,12.7889,375900,0.0,1.0
2000-05-31,24.75,24.75,23.88,23.88,12.4045,705300,0.0,1.0
2000-06-01,23.88,24.31,23.88,24.25,12.5967,512200,0.0,1.0
2000-06-02,24.38,24.56,24.12,24.25,12.5967,396100,0.0,1.0
2000-06-05,24.12,24.62,24.06,24.19,12.5655,331900,0.0,1.0
2000-06-06,23.81,24.25,23.31,23.81,12.3681,759400,0.0,1.0
2000-06-07,23.5,23.62,23.06,23.19,12.1889,371200,0.275,1.0
2000-06-08,23.12,23.44,23.0,23.12,12.1521,582500,0.0,1.0
2000-06-09,23.0,23.25,22.88,23.0,12.089,310200,0.0,1.0
2000-06-12,23.0,23.19,22.81,22.94,12.0575,300700,0.0,1.0
2000-06-13,22.75,23.25,22.75,23.12,12.1521,291700,0.0,1.0
2000-06-14,23.19,23.69,23.0,23.19,12.1889,286000,0.0,1.0
2000-06-15,22.94,23.25,22.69,22.75,11.9576,370100,0.0,1.0
2000-06-16,22.75,22.81,21.88,22.12,11.6265,641600,0.0,1.0
2000-06-19,22.0,22.06,21.56,21.62,11.3637,490800,0.0,1.0
2000-06-20,21.62,21.69,21.12,21.38,11.2375,433900,0.0,1.0
2000-06-21,21.5,21.69,21.06,21.31,11.2007,386900,0.0,1.0
2000-06-22,21.25,21.38,21.0,21.12,11.1009,426700,0.0,1.0
2000-06-23,21.38,21.44,21.0,21.19,11.1377,387000,0.0,1.0
2000-06-26,21.0,21.5,20.69,21.0,11.0378,353200,0.0,1.0
2000-06-27,20.88,21.44,20.56,21.19,11.1377,359500,0.0,1.0
2000-06-28,21.06,21.5,20.94,21.08,11.0799,1103400,0.0,1.0
2000-06-29,20.81,21.12,20.5,20.75,10.9064,807600,0.0,1.0
2000-06-30,20.81,21.19,19.98,20.0,10.5122,1061100,0.0,1.0
2000-07-03,20.25,21.25,20.25,21.0,11.0378,386100,0.0,1.0
2000-07-05,20.75,21.19,20.75,21.06,11.0693,1033400,0.0,1.0
2000-07-06,21.06,21.38,20.5,21.06,11.0693,384000,0.0,1.0
2000-07-07,21.38,21.88,21.12,21.44,11.2691,1045200,0.0,1.0
2000-07-10,21.5,21.81,21.31,21.62,11.3637,661200,0.0,1.0
2000-07-11,21.56,22.19,21.44,21.94,11.5319,878100,0.0,1.0
2000-07-12,21.56,22.06,21.5,21.81,11.4636,229300,0.0,1.0
2000-07-13,21.75,21.94,21.44,21.81,11.4636,247700,0.0,1.0
2000-07-14,21.88,22.0,21.69,21.88,11.5003,197900,0.0,1.0
2000-07-17,21.5,21.56,21.25,21.44,11.2691,370300,0.0,1.0
2000-07-18,21.25,21.56,21.0,21.25,11.1692,454800,0.0,1.0
2000-07-19,21.31,21.34,20.88,20.88,10.9747,290500,0.0,1.0
2000-07-20,20.81,21.06,20.69,20.81,10.9379,301800,0.0,1.0
2000-07-21,20.75,20.94,20.56,20.62,10.8381,567400,0.0,1.0
2000-07-24,20.88,21.38,20.88,21.06,11.0693,315000,0.0,1.0
2000-07-25,21.44,21.5,20.62,20.75,10.9064,703300,0.0,1.0
2000-07-26,20.62,21.06,20.62,20.81,10.9379,477100,0.0,1.0
2000-07-27,20.56,20.88,20.38,20.5,10.775,717700,0.0,1.0
