,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-01-16,15.0,15.0,15.0,15.0,3.6058,800,0.0,1.0
2001-01-17,15.0,15.0,15.0,15.0,3.6058,30700,0.0,1.0
2001-01-18,15.32,16.32,15.32,16.32,3.9231,41800,0.0,1.0
2001-01-19,16.48,17.08,16.48,17.08,4.1058,14900,0.0,1.0
2001-01-22,17.0,18.32,17.0,18.16,4.3654,36700,0.0,1.0
2001-01-23,18.0,19.08,18.0,18.48,4.4423,19000,0.0,1.0
2001-01-24,18.32,18.32,18.16,18.16,4.3654,140000,0.0,1.0
2001-01-25,18.4,18.48,18.32,18.48,4.4423,35800,0.0,1.0
2001-01-26,18.32,18.36,18.32,18.32,4.4039,20500,0.0,1.0
2001-01-29,18.52,18.75,18.4,18.7,4.4952,65500,0.0,1.0
2001-01-30,18.7,18.7,18.35,18.6,4.4712,84800,0.0,1.0
2001-01-31,18.7,19.05,18.7,18.75,4.5072,81500,0.0,1.0
2001-02-01,19.0,21.2,18.76,20.9,5.0241,639200,0.0,1.0
2001-02-02,20.75,21.0,20.6,20.83,5.0072,198900,0.0,1.0
2001-02-05,20.85,21.45,19.92,19.97,4.8005,161200,0.0,1.0
2001-02-06,19.9,20.02,19.75,19.75,4.7476,334700,0.0,1.0
2001-02-07,19.7,20.0,19.65,20.0,4.8077,337600,0.0,1.0
2001-02-08,20.0,20.16,19.5,19.5,4.6875,144700,0.0,1.0
2001-02-09,19.5,19.75,19.5,19.75,4.7476,110400,0.0,1.0
2001-02-12,19.75,19.75,19.3,19.3,4.6394,81800,0.0,1.0
2001-02-13,19.3,19.54,19.25,19.25,4.6274,162200,0.0,1.0
2001-02-14,19.25,19.25,19.07,19.08,4.5866,33900,0.0,1.0
2001-02-15,19.1,19.15,18.3,18.3,4.3991,113600,0.0,1.0
2001-02-16,18.1,18.1,17.4,18.07,4.3438,106800,0.0,1.0
2001-02-20,18.07,18.15,17.81,18.09,4.3486,250100,0.0,1.0
2001-02-21,18.09,18.09,17.9,18.08,4.3462,110900,0.0,1.0
2001-02-22,18.08,18.14,17.9,18.03,4.3342,155900,0.0,1.0
2001-02-23,18.1,18.7,18.0,18.45,4.4351,305700,0.0,1.0
2001-02-26,18.5,19.12,18.5,19.0,4.5673,295600,0.0,1.0
2001-02-27,19.0,19.0,18.9,18.9,4.5433,172500,0.0,1.0
2001-02-28,18.9,19.0,18.85,19.0,4.5673,81500,0.0,1.0
2001-03-01,18.9,18.9,18.7,18.7,4.4952,38800,0.0,1.0
2001-03-02,18.75,18.81,18.7,18.76,4.5096,209200,0.0,1.0
2001-03-05,18.75,19.05,18.75,19.01,4.5697,100700,0.0,1.0
2001-03-06,19.01,19.1,18.8,18.8,4.5192,152500,0.0,1.0
