,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,55.63,55.69,53.63,54.63,38.3434,582300,0.0,1.0
2000-01-19,53.88,54.88,53.69,54.88,38.5188,305500,0.0,1.0
2000-01-20,55.0,55.25,53.88,54.63,38.3434,534900,0.0,1.0
2000-01-21,53.38,54.25,53.38,54.06,37.9433,537000,0.0,1.0
2000-01-24,54.06,54.5,54.0,54.19,38.0345,890100,0.0,1.0
2000-01-25,54.19,54.25,49.5,51.44,36.1044,796300,0.0,1.0
2000-01-26,50.44,51.38,49.88,50.38,35.3604,617500,0.0,1.0
2000-01-27,50.44,52.0,49.25,50.25,35.2692,426300,0.0,1.0
2000-01-28,50.0,50.06,48.13,48.13,33.7812,374800,0.0,1.0
2000-01-31,48.25,49.44,47.06,47.94,33.6478,595600,0.0,1.0
2000-02-01,48.0,48.0,46.63,46.94,32.946,541300,0.0,1.0
2000-02-02,47.0,47.81,47.0,47.44,33.2969,479100,0.0,1.0
2000-02-03,47.0,48.88,45.88,47.5,33.4513,695900,0.16,1.0
2000-02-04,47.38,48.31,47.0,48.0,33.8034,301400,0.0,1.0
2000-02-07,47.75,48.25,47.63,48.0,33.8034,204400,0.0,1.0
2000-02-08,48.0,48.25,47.81,48.0,33.8034,318100,0.0,1.0
2000-02-09,48.38,49.0,47.63,48.75,34.3316,664300,0.0,1.0
2000-02-10,48.63,50.13,48.44,50.13,35.3035,683400,0.0,1.0
2000-02-11,50.0,51.69,48.88,51.56,36.3105,628700,0.0,1.0
2000-02-14,51.63,53.06,51.38,52.81,37.1908,718000,0.0,1.0
2000-02-15,52.81,52.81,50.75,51.0,35.9161,433700,0.0,1.0
2000-02-16,51.0,51.0,49.69,50.56,35.6063,490900,0.0,1.0
2000-02-17,50.63,50.63,49.81,49.94,35.1696,371500,0.0,1.0
2000-02-18,49.25,49.5,47.0,47.63,33.5429,260000,0.0,1.0
2000-02-22,47.75,47.75,45.5,46.75,32.9231,345300,0.0,1.0
2000-02-23,47.0,47.31,46.0,47.13,33.1907,217500,0.0,1.0
2000-02-24,46.5,46.63,45.06,45.75,32.2189,340800,0.0,1.0
2000-02-25,45.69,45.69,42.25,43.31,30.5006,646100,0.0,1.0
2000-02-28,43.44,43.81,41.75,43.5,30.6344,510800,0.0,1.0
2000-02-29,43.63,44.06,42.63,42.81,30.1484,453700,0.0,1.0
2000-03-01,42.38,42.38,40.81,42.0,29.578,422500,0.0,1.0
2000-03-02,41.75,41.75,39.69,39.69,27.9512,376000,0.0,1.0
2000-03-03,39.69,41.25,39.44,40.56,28.5639,429900,0.0,1.0
2000-03-06,41.0,41.0,39.81,40.44,28.4794,479300,0.0,1.0
2000-03-07,40.88,41.0,38.81,38.88,27.3808,415300,0.0,1.0
2000-03-08,38.25,38.25,37.25,37.75,26.585,707200,0.0,1.0
2000-03-09,37.63,40.44,37.25,40.44,28.4794,656800,0.0,1.0
2000-03-10,40.44,40.44,38.5,39.63,27.909,460900,0.0,1.0
2000-03-13,39.63,39.75,38.0,38.81,27.3315,245100,0.0,1.0
2000-03-14,40.5,45.81,40.38,45.5,32.0428,1053400,0.0,1.0
2000-03-15,45.5,49.13,44.38,46.94,33.0569,1258500,0.0,1.0
2000-03-16,48.0,51.06,47.94,51.0,35.9161,1091100,0.0,1.0
2000-03-17,51.06,51.88,49.88,50.44,35.5218,921900,0.0,1.0
2000-03-20,50.19,51.75,49.44,50.25,35.388,618600,0.0,1.0
2000-03-21,50.0,51.94,50.0,51.88,36.5359,486100,0.0,1.0
2000-03-22,52.0,52.94,51.06,52.88,37.2401,437500,0.0,1.0
2000-03-23,52.88,55.06,52.88,55.0,38.7331,725500,0.0,1.0
2000-03-24,55.0,55.75,54.75,55.38,39.0007,856600,0.0,1.0
2000-03-27,55.0,55.5,54.19,55.0,38.7331,612800,0.0,1.0
2000-03-28,55.0,56.63,55.0,56.0,39.4373,631900,0.0,1.0
2000-03-29,55.94,56.88,55.38,56.0,39.4373,401700,0.0,1.0
2000-03-30,55.75,55.75,54.38,54.5,38.381,737000,0.0,1.0
2000-03-31,54.5,55.38,54.25,54.25,38.2049,1087600,0.0,1.0
2000-04-03,54.06,55.63,53.75,55.38,39.0007,685100,0.0,1.0
2000-04-04,55.13,55.69,52.5,53.75,37.8528,698600,0.0,1.0
2000-04-05,53.25,53.69,49.88,50.75,35.7401,958000,0.0,1.0
2000-04-06,50.88,51.94,50.81,51.56,36.3105,929900,0.0,1.0
2000-04-07,51.69,51.75,49.19,49.44,34.8175,1038600,0.0,1.0
2000-04-10,50.0,50.5,48.31,48.69,34.2894,920900,0.0,1.0
2000-04-11,48.88,50.5,48.88,49.94,35.1696,747000,0.0,1.0
2000-04-12,49.56,51.75,49.56,50.56,35.6063,849800,0.0,1.0
2000-04-13,50.63,50.94,49.63,50.13,35.3035,519100,0.0,1.0
2000-04-14,49.88,49.88,45.0,45.25,31.8668,1245900,0.0,1.0
2000-04-17,45.63,46.75,45.5,46.38,32.6626,322700,0.0,1.0
2000-04-18,46.44,46.69,45.63,45.63,32.1344,880800,0.0,1.0
2000-04-19,45.88,45.88,43.0,44.13,31.078,1105500,0.0,1.0
2000-04-20,43.75,44.0,43.44,43.75,30.8104,604600,0.0,1.0
2000-04-24,43.69,43.69,42.44,42.44,29.8879,381100,0.0,1.0
2000-04-25,43.0,43.63,42.81,43.5,30.6344,318700,0.0,1.0
2000-04-26,43.5,44.25,42.75,43.19,30.416,363100,0.0,1.0
2000-04-27,43.19,43.31,42.75,43.13,30.3738,403000,0.0,1.0
2000-04-28,43.06,43.5,42.75,43.38,30.5498,359300,0.0,1.0
2000-05-01,43.38,45.81,43.38,45.31,31.909,345000,0.0,1.0
2000-05-02,45.31,45.44,44.38,44.56,31.3808,386700,0.0,1.0
2000-05-03,44.44,44.81,44.0,44.56,31.3808,542100,0.0,1.0
2000-05-04,44.25,45.13,44.19,44.38,31.3738,291100,0.17,1.0
2000-05-05,44.38,45.44,44.13,45.44,32.1232,263100,0.0,1.0
2000-05-08,45.19,45.56,43.94,44.06,31.1476,188900,0.0,1.0
2000-05-09,44.31,44.44,43.75,44.13,31.1971,205300,0.0,1.0
2000-05-10,44.38,44.94,43.38,43.63,30.8436,300400,0.0,1.0
2000-05-11,43.88,44.63,43.25,43.56,30.7941,373500,0.0,1.0
2000-05-12,43.75,43.75,41.69,42.31,29.9104,614900,0.0,1.0
2000-05-15,42.56,44.94,42.38,44.69,31.593,387200,0.0,1.0
2000-05-16,44.5,45.25,44.38,44.75,31.6354,254100,0.0,1.0
2000-05-17,44.5,44.81,44.06,44.81,31.6778,308600,0.0,1.0
2000-05-18,44.81,45.19,44.5,44.88,31.7273,292100,0.0,1.0
