,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,38.31,42.25,38.25,41.69,15.3303,6354200,0.0,1.0
2000-01-19,41.69,42.5,41.06,42.19,15.5141,3856000,0.0,1.0
2000-01-20,42.19,42.19,40.81,40.81,15.0067,4899000,0.0,1.0
2000-01-21,41.5,43.5,41.31,42.38,15.584,3227800,0.0,1.0
2000-01-24,42.38,43.5,39.31,39.88,14.6647,3026100,0.0,1.0
2000-01-25,39.94,41.44,39.13,40.0,14.7088,2874000,0.0,1.0
2000-01-26,41.0,41.88,38.44,38.69,14.2271,4111500,0.0,1.0
2000-01-27,39.0,39.94,36.63,37.5,13.7895,3352000,0.0,1.0
2000-01-28,36.75,37.63,35.25,35.81,13.1681,3666700,0.0,1.0
2000-01-31,35.88,36.5,35.5,36.13,13.2857,2984700,0.0,1.0
2000-02-01,36.31,36.88,35.56,36.38,13.3777,2995600,0.0,1.0
2000-02-02,37.25,37.38,36.63,37.13,13.6535,3056700,0.0,1.0
2000-02-03,37.38,37.56,36.56,37.38,13.7454,2135900,0.0,1.0
2000-02-04,36.88,37.31,36.31,36.81,13.5358,2342100,0.0,1.0
2000-02-07,36.81,38.25,36.56,37.38,13.7454,1941700,0.0,1.0
2000-02-08,38.38,38.38,36.44,36.88,13.5615,2279800,0.0,1.0
2000-02-09,36.63,37.38,34.63,35.5,13.0541,3264400,0.0,1.0
2000-02-10,35.06,36.0,34.94,35.44,13.032,3803200,0.0,1.0
2000-02-11,35.88,35.94,34.0,34.25,12.5944,3103600,0.0,1.0
2000-02-14,34.75,36.25,33.69,35.94,13.2159,3095600,0.0,1.0
2000-02-15,36.0,38.56,35.94,38.5,14.1572,3989300,0.0,1.0
2000-02-16,39.0,39.75,38.63,39.13,14.3889,3824200,0.0,1.0
2000-02-17,38.5,39.38,37.19,38.5,14.1572,2701500,0.0,1.0
2000-02-18,38.0,38.38,36.56,36.69,13.4917,1796900,0.0,1.0
2000-02-22,36.63,36.75,35.25,35.5,13.0541,1893100,0.0,1.0
2000-02-23,35.25,35.69,34.31,34.31,12.6165,1844400,0.0,1.0
2000-02-24,34.5,36.56,34.38,35.44,13.032,3161600,0.0,1.0
2000-02-25,35.44,35.56,33.44,33.69,12.3885,3724000,0.0,1.0
