,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.94,22.0,20.94,21.19,11.0702,892100,0.0,1.0
2000-01-19,21.06,21.69,21.06,21.25,11.1015,1050900,0.0,1.0
2000-01-20,21.31,21.38,20.81,20.88,10.9082,886200,0.0,1.0
2000-01-21,20.94,21.25,20.38,20.5,10.7097,818200,0.0,1.0
2000-01-24,20.5,20.94,20.0,20.16,10.5321,453700,0.0,1.0
2000-01-25,20.13,20.69,19.88,20.5,10.7097,878200,0.0,1.0
2000-01-26,20.5,20.75,20.5,20.75,10.8403,1316400,0.0,1.0
2000-01-27,20.81,21.31,20.31,20.56,10.741,720900,0.0,1.0
2000-01-28,20.56,21.0,19.63,19.69,10.2865,733400,0.0,1.0
2000-01-31,19.88,22.0,19.75,21.56,11.2635,1338900,0.0,1.0
2000-02-01,21.19,21.31,20.69,21.25,11.1015,475800,0.0,1.0
2000-02-02,21.31,21.63,20.75,21.13,11.0388,1185900,0.0,1.0
2000-02-03,21.13,22.0,20.88,21.94,11.462,1627100,0.0,1.0
2000-02-04,21.91,21.94,20.75,21.25,11.1015,946000,0.0,1.0
2000-02-07,20.94,20.94,20.25,20.88,10.9082,536200,0.0,1.0
2000-02-08,20.88,21.06,20.25,20.44,10.6784,574600,0.0,1.0
2000-02-09,20.69,21.0,20.63,20.75,10.8403,1131100,0.0,1.0
2000-02-10,20.88,21.5,20.75,21.44,11.2008,1503800,0.0,1.0
2000-02-11,21.19,21.44,21.13,21.38,11.1694,2200300,0.0,1.0
2000-02-14,21.31,21.5,21.0,21.11,11.0284,1235800,0.0,1.0
2000-02-15,21.19,22.0,21.06,21.56,11.2635,470200,0.0,1.0
2000-02-16,21.63,21.63,20.94,21.19,11.0702,374000,0.0,1.0
2000-02-17,21.63,21.75,21.13,21.13,11.0388,852200,0.0,1.0
2000-02-18,20.75,21.09,20.63,20.63,10.7776,1771800,0.0,1.0
2000-02-22,20.5,21.5,20.5,20.91,10.9239,791100,0.0,1.0
2000-02-23,20.88,21.25,20.5,20.81,10.8716,808900,0.0,1.0
2000-02-24,20.81,21.06,20.38,21.0,10.9709,1901900,0.0,1.0
2000-02-25,20.88,21.19,20.63,20.75,10.8403,2401300,0.0,1.0
2000-02-28,20.81,21.75,20.69,21.25,11.1015,614400,0.0,1.0
2000-02-29,21.25,21.25,20.0,20.88,10.9082,664500,0.0,1.0
2000-03-01,20.81,20.88,19.94,20.19,10.5477,474700,0.0,1.0
2000-03-02,20.69,20.69,19.75,19.88,10.3858,502200,0.0,1.0
2000-03-03,19.94,20.06,19.25,19.78,10.3336,506100,0.0,1.0
2000-03-06,19.75,19.81,19.19,19.56,10.2186,520900,0.0,1.0
2000-03-07,19.53,19.69,18.19,18.5,9.6648,562900,0.0,1.0
2000-03-08,18.63,18.63,17.75,17.81,9.3044,625100,0.0,1.0
2000-03-09,18.06,18.88,17.75,18.63,9.7328,601900,0.0,1.0
2000-03-10,18.56,18.69,18.13,18.56,9.6962,413100,0.0,1.0
2000-03-13,18.22,18.63,17.75,18.56,9.6962,515300,0.0,1.0
2000-03-14,18.47,18.5,17.88,18.06,9.5395,519600,0.2,1.0
2000-03-15,18.25,19.88,17.94,19.63,10.3688,1106700,0.0,1.0
2000-03-16,19.88,22.0,19.63,21.67,11.4463,1272400,0.0,1.0
2000-03-17,21.75,22.13,21.0,21.38,11.2931,1043500,0.0,1.0
2000-03-20,21.41,21.44,19.94,20.31,10.7279,525000,0.0,1.0
2000-03-21,20.19,21.44,20.13,21.13,11.1611,540700,0.0,1.0
2000-03-22,21.0,21.25,20.5,21.0,11.0924,492800,0.0,1.0
2000-03-23,20.88,21.75,20.5,21.69,11.4569,500200,0.0,1.0
2000-03-24,21.13,22.25,21.06,21.13,11.1611,552600,0.0,1.0
2000-03-27,21.09,21.38,20.5,20.63,10.897,1000400,0.0,1.0
