,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-03-10,31.2,31.5,30.7,31.02,24.2027,64599900,0.0,1.0
2011-03-11,30.5,31.29,30.5,31.12,24.2807,9531600,0.0,1.0
2011-03-14,30.96,31.05,30.57,30.91,24.1169,8663800,0.0,1.0
2011-03-15,30.39,31.5,30.36,31.34,24.4524,7121200,0.0,1.0
2011-03-16,31.25,31.95,31.12,31.25,24.3822,6157900,0.0,1.0
2011-03-17,31.54,31.93,31.4,31.91,24.8971,3332400,0.0,1.0
2011-03-18,32.11,33.08,31.9,33.06,25.7944,5463200,0.0,1.0
2011-03-21,33.39,33.39,32.0,32.25,25.1624,3823500,0.0,1.0
2011-03-22,32.37,32.39,31.3904,31.87,24.8659,3943900,0.0,1.0
2011-03-23,31.7,32.68,31.5,32.68,25.4979,4216300,0.0,1.0
2011-03-24,32.53,32.95,32.5,32.69,25.5057,2125600,0.0,1.0
2011-03-25,32.71,33.1,32.58,32.95,25.7085,3026600,0.0,1.0
2011-03-28,32.87,33.11,32.75,33.04,25.7788,2098300,0.0,1.0
2011-03-29,33.44,34.01,33.05,33.89,26.442,5137300,0.0,1.0
2011-03-30,34.57,34.57,33.93,34.24,26.715,3049500,0.0,1.0
2011-03-31,34.0,34.11,33.665,33.87,26.4264,1960600,0.0,1.0
2011-04-01,33.89,34.1,33.66,33.74,26.3249,1822100,0.0,1.0
2011-04-04,33.87,33.87,33.31,33.67,26.2703,2648000,0.0,1.0
2011-04-05,33.7,34.05,33.25,34.02,26.5434,3607100,0.0,1.0
2011-04-06,33.75,34.2,33.24,33.3,25.9816,2718500,0.0,1.0
2011-04-07,33.28,33.85,32.85,33.66,26.2625,1946900,0.0,1.0
2011-04-08,33.52,33.99,32.99,33.17,25.8802,2339800,0.0,1.0
2011-04-11,33.34,33.34,30.79,32.12,25.061,15028000,0.0,1.0
2011-04-12,32.11,32.59,31.33,31.53,24.6006,3848800,0.0,1.0
2011-04-13,32.0,32.45,31.7,32.06,25.0141,3969800,0.0,1.0
2011-04-14,31.89,32.5,31.79,32.14,25.0766,1565900,0.0,1.0
2011-04-15,32.3,32.38,31.89,31.98,24.9517,3072800,0.0,1.0
2011-04-18,31.82,32.54,30.75,32.08,25.0297,2911100,0.0,1.0
2011-04-19,33.08,33.1,31.66,31.74,24.7645,3838100,0.0,1.0
2011-04-20,32.0,32.1897,31.15,31.65,24.6942,3866100,0.0,1.0
2011-04-21,31.81,31.98,31.27,31.4,24.4992,1462000,0.0,1.0
2011-04-25,31.56,31.5999,31.1,31.4,24.4992,732700,0.0,1.0
2011-04-26,31.35,32.07,31.16,32.0,24.9673,1800000,0.0,1.0
2011-04-27,32.26,33.0,32.2503,32.65,25.4745,3354500,0.0,1.0
2011-04-28,32.51,32.99,32.25,32.57,25.4121,1600000,0.0,1.0
2011-04-29,32.5,32.86,32.03,32.8,25.5915,1233900,0.0,1.0
2011-05-02,32.8,33.79,32.8,33.44,26.0909,2786200,0.0,1.0
2011-05-03,33.59,33.882,31.94,32.61,25.4433,3429400,0.0,1.0
2011-05-04,33.1,33.96,32.79,33.55,26.1767,4518300,0.0,1.0
2011-05-05,33.45,34.74,33.15,34.34,26.7931,2613000,0.0,1.0
2011-05-06,34.06,34.5,33.89,34.25,26.7228,1601300,0.0,1.0
2011-05-09,34.35,34.75,34.14,34.49,26.9101,1996100,0.0,1.0
2011-05-10,34.03,34.86,34.0,34.59,26.9881,1475100,0.0,1.0
2011-05-11,34.2,34.79,34.06,34.54,26.9491,1431700,0.0,1.0
2011-05-12,34.3,34.59,34.12,34.51,26.9257,814000,0.0,1.0
2011-05-13,34.43,34.769,34.232,34.6,26.9959,1694000,0.0,1.0
2011-05-16,34.3,34.6,34.05,34.25,26.7228,1719900,0.0,1.0
2011-05-17,34.21,34.95,34.0,34.54,26.9491,3131000,0.0,1.0
2011-05-18,34.4,35.24,34.15,35.07,27.3626,2070300,0.0,1.0
2011-05-19,35.02,35.23,34.5,35.05,27.347,1183900,0.0,1.0
2011-05-20,34.9,35.04,34.15,34.63,27.0193,2012400,0.0,1.0
2011-05-23,34.4,34.55,34.0,34.41,26.8477,2200000,0.0,1.0
2011-05-24,34.53,34.64,34.07,34.49,26.9101,3000000,0.0,1.0
2011-05-25,34.57,35.0,34.24,34.68,27.0583,2539100,0.0,1.0
2011-05-26,34.9,34.91,34.05,34.83,27.1754,1796500,0.0,1.0
2011-05-27,34.92,35.1,34.41,34.74,27.1052,1474700,0.0,1.0
2011-05-31,34.99,35.31,34.56,34.89,27.2222,8113400,0.0,1.0
2011-06-01,35.0,35.27,34.42,34.77,27.1286,3049800,0.0,1.0
2011-06-02,34.84,35.05,34.25,34.36,26.8087,2160100,0.0,1.0
2011-06-03,34.0,34.15,33.72,34.14,26.637,2519100,0.0,1.0
2011-06-06,33.98,34.28,33.06,33.74,26.3249,2361000,0.0,1.0
2011-06-07,33.79,34.9,33.73,34.52,26.9335,1896300,0.0,1.0
2011-06-08,34.57,34.99,34.25,34.76,27.1208,1458400,0.0,1.0
2011-06-09,35.03,35.37,34.58,35.24,27.4953,1634100,0.0,1.0
2011-06-10,35.0,35.0,33.86,33.9,26.4498,2222700,0.0,1.0
2011-06-13,34.15,34.15,33.25,33.65,26.2547,1671700,0.0,1.0
2011-06-14,33.8,34.07,33.26,33.54,26.1689,1846300,0.0,1.0
2011-06-15,33.25,33.52,32.62,33.15,25.8646,2544700,0.0,1.0
2011-06-16,34.05,34.8,33.5,33.87,26.4264,5779300,0.0,1.0
2011-06-17,34.0,34.99,33.95,34.59,26.9881,3872600,0.0,1.0
