,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,57.19,58.38,57.06,57.75,14.8948,439800,0.0,1.0
2000-01-19,58.13,58.25,57.44,58.19,15.0083,712700,0.0,1.0
2000-01-20,58.0,58.25,56.63,57.44,14.8148,391500,0.0,1.0
2000-01-21,58.0,59.0,57.94,58.56,15.1037,1001600,0.0,1.0
2000-01-24,59.63,59.75,56.69,56.94,14.6859,833000,0.0,1.0
2000-01-25,55.88,56.88,55.0,55.94,14.428,721900,0.0,1.0
2000-01-26,55.94,56.75,54.19,54.31,14.0075,515000,0.0,1.0
2000-01-27,54.56,55.25,53.0,53.63,13.8322,417400,0.0,1.0
2000-01-28,53.31,53.75,52.56,52.75,13.6052,322100,0.0,1.0
2000-01-31,52.88,53.44,52.56,53.19,13.7187,236100,0.0,1.0
2000-02-01,53.38,53.56,52.44,52.81,13.6207,204800,0.0,1.0
2000-02-02,53.06,53.69,52.56,53.0,13.6697,450000,0.0,1.0
2000-02-03,53.13,53.13,51.5,51.94,13.3963,526700,0.0,1.0
2000-02-04,52.38,52.38,51.5,52.0,13.4118,458800,0.0,1.0
2000-02-07,52.0,52.63,51.81,52.25,13.4762,744500,0.0,1.0
2000-02-08,52.38,52.56,51.13,51.31,13.2338,486900,0.0,1.0
2000-02-09,51.5,51.75,49.56,49.88,12.865,448900,0.0,1.0
2000-02-10,49.88,50.56,49.0,50.25,12.9604,858200,0.0,1.0
2000-02-11,50.0,50.06,47.81,48.25,12.4446,627800,0.0,1.0
2000-02-14,48.5,49.0,48.25,48.88,12.607,515300,0.0,1.0
2000-02-15,50.0,51.0,50.0,50.44,13.0094,565200,0.0,1.0
2000-02-16,51.0,51.31,50.75,51.13,13.1874,540900,0.0,1.0
2000-02-17,51.63,51.94,51.19,51.5,13.2828,614500,0.0,1.0
2000-02-18,51.75,51.75,50.88,51.25,13.2183,724800,0.0,1.0
2000-02-22,51.25,51.31,50.75,51.0,13.1538,654300,0.0,1.0
2000-02-23,51.0,51.06,50.06,50.25,12.9604,495700,0.0,1.0
2000-02-24,50.31,50.38,49.38,49.69,12.816,556900,0.0,1.0
2000-02-25,49.69,50.13,48.5,48.75,12.5735,689900,0.0,1.0
2000-02-28,48.75,50.0,48.75,49.88,12.865,359300,0.0,1.0
2000-02-29,50.13,51.13,49.94,50.56,13.0404,383400,0.0,1.0
2000-03-01,51.38,52.5,51.06,51.94,13.3963,748800,0.0,1.0
2000-03-02,52.63,54.31,52.31,53.31,13.7496,618100,0.0,1.0
2000-03-03,54.5,54.5,53.75,53.81,13.8786,663400,0.0,1.0
2000-03-06,53.81,54.19,53.75,54.0,13.9276,440500,0.0,1.0
2000-03-07,54.0,58.44,53.94,57.75,14.8948,911000,0.0,1.0
2000-03-08,58.0,58.94,56.5,56.5,14.5724,1124100,0.0,1.0
2000-03-09,56.5,57.19,56.44,56.94,14.7246,748500,0.15,1.0
2000-03-10,56.88,59.0,56.81,57.25,14.8047,545500,0.0,1.0
2000-03-13,57.0,58.19,56.56,56.75,14.6754,649100,0.0,1.0
2000-03-14,56.75,58.63,56.5,58.0,14.9987,731700,0.0,1.0
2000-03-15,57.75,58.06,56.81,57.69,14.9185,574000,0.0,1.0
2000-03-16,57.69,60.25,57.44,58.25,15.0633,972000,0.0,1.0
2000-03-17,58.63,59.0,57.38,57.75,14.934,817200,0.0,1.0
2000-03-20,58.0,58.0,56.88,57.0,14.7401,610600,0.0,1.0
2000-03-21,57.13,59.0,57.13,58.63,15.1616,413200,0.0,1.0
2000-03-22,59.0,59.75,57.88,57.94,14.9832,506700,0.0,1.0
2000-03-23,58.44,59.0,57.5,57.56,14.8849,352100,0.0,1.0
2000-03-24,57.88,59.56,57.88,58.94,15.2418,546300,0.0,1.0
2000-03-27,58.94,59.38,57.63,58.06,15.0142,517000,0.0,1.0
2000-03-28,58.5,59.38,58.5,58.88,15.2262,338700,0.0,1.0
2000-03-29,59.13,62.31,59.13,61.56,15.9193,1314100,0.0,1.0
2000-03-30,62.38,65.25,62.38,64.56,16.6951,1127000,0.0,1.0
2000-03-31,65.0,65.75,64.25,64.63,16.7132,669500,0.0,1.0
2000-04-03,64.63,65.94,64.63,64.88,16.7778,557500,0.0,1.0
2000-04-04,64.63,65.63,64.0,64.69,16.7287,913000,0.0,1.0
2000-04-05,64.44,65.63,62.5,62.5,16.1624,800300,0.0,1.0
2000-04-06,63.0,64.5,63.0,64.0,16.5503,395400,0.0,1.0
2000-04-07,64.0,64.0,62.38,62.63,16.196,394700,0.0,1.0
2000-04-10,62.56,62.75,61.06,62.5,16.1624,552600,0.0,1.0
