,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,13.5,13.56,13.5,13.56,0.4346,6100,0.0,1.0
2000-01-19,13.62,13.62,13.5,13.5,0.4327,36300,0.0,1.0
2000-01-20,13.38,13.5,13.38,13.44,0.4308,2100,0.0,1.0
2000-01-21,13.56,14.0,13.56,13.75,0.4407,23100,0.0,1.0
2000-01-24,13.75,13.88,13.75,13.75,0.4407,39400,0.0,1.0
2000-01-25,13.88,13.88,13.75,13.75,0.4407,12700,0.0,1.0
2000-01-26,13.69,13.81,13.69,13.75,0.4407,10000,0.0,1.0
2000-01-27,13.88,13.88,13.69,13.69,0.4388,5500,0.0,1.0
2000-01-28,13.69,13.88,13.62,13.75,0.4407,8200,0.0,1.0
2000-01-31,13.62,13.75,13.5,13.5,0.4327,13800,0.0,1.0
2000-02-01,13.62,13.62,13.25,13.62,0.4365,6600,0.0,1.0
2000-02-02,13.5,13.5,13.38,13.38,0.4288,7100,0.0,1.0
2000-02-03,13.5,13.75,13.5,13.75,0.4407,17400,0.0,1.0
2000-02-04,13.75,13.75,13.62,13.69,0.4388,4000,0.0,1.0
2000-02-07,13.62,13.69,13.62,13.69,0.4388,1900,0.0,1.0
2000-02-08,13.62,13.75,13.62,13.69,0.4388,3100,0.0,1.0
2000-02-09,13.75,13.75,13.5,13.75,0.4407,7700,0.0,1.0
2000-02-10,13.88,14.0,13.75,13.88,0.4449,7500,0.0,1.0
2000-02-11,13.88,14.0,13.75,13.75,0.4407,27900,0.0,1.0
2000-02-14,13.62,13.69,13.62,13.62,0.4365,2200,0.0,1.0
2000-02-15,13.75,13.75,13.38,13.5,0.4327,8000,0.0,1.0
2000-02-16,13.5,13.5,13.25,13.25,0.4247,61200,0.0,1.0
2000-02-17,13.25,13.38,13.12,13.12,0.4205,15300,0.0,1.0
2000-02-18,13.25,13.25,13.0,13.0,0.4167,1400,0.0,1.0
2000-02-22,13.06,13.06,12.94,12.94,0.4147,3100,0.0,1.0
2000-02-23,12.75,13.0,12.75,12.88,0.4128,3000,0.0,1.0
2000-02-24,12.62,13.12,12.62,13.12,0.4205,4200,0.0,1.0
