,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.31,43.31,41.63,41.81,27.7226,445700,0.0,1.0
2000-01-19,40.25,41.06,40.25,40.5,26.854,1199100,0.0,1.0
2000-01-20,41.0,41.0,39.25,39.44,26.1511,955300,0.0,1.0
2000-01-21,39.69,39.69,37.63,37.94,25.1566,848000,0.0,1.0
2000-01-24,38.0,39.0,38.0,38.69,25.6538,1336500,0.0,1.0
2000-01-25,38.69,39.19,37.75,38.06,25.2361,753100,0.0,1.0
2000-01-26,38.0,39.31,37.25,39.0,25.8594,696100,0.0,1.0
2000-01-27,39.0,39.56,38.31,39.06,25.8992,750100,0.0,1.0
2000-01-28,39.38,39.38,36.88,37.31,24.7388,1286100,0.0,1.0
2000-01-31,37.38,38.5,36.81,38.13,25.2825,1228300,0.0,1.0
2000-02-01,38.13,39.06,37.5,38.81,25.7334,577700,0.0,1.0
2000-02-02,38.81,39.69,38.44,39.56,26.2307,607500,0.0,1.0
2000-02-03,39.06,41.25,39.0,40.75,27.0198,1342000,0.0,1.0
2000-02-04,41.88,41.88,40.25,41.88,27.769,1006000,0.0,1.0
2000-02-07,40.38,40.56,39.13,39.94,26.4827,1282700,0.0,1.0
2000-02-08,39.69,40.0,37.44,37.5,24.8648,641000,0.0,1.0
2000-02-09,37.75,37.75,35.13,35.38,23.4591,1569900,0.0,1.0
2000-02-10,35.25,35.31,34.06,34.63,22.9618,1235200,0.0,1.0
2000-02-11,34.88,34.94,34.31,34.63,22.9618,1579400,0.0,1.0
2000-02-14,34.63,34.75,33.5,33.75,22.3783,972800,0.0,1.0
2000-02-15,34.0,36.0,33.75,35.31,23.4127,1618800,0.0,1.0
2000-02-16,35.25,35.25,33.25,34.0,22.5441,1108200,0.0,1.0
2000-02-17,34.38,34.5,32.81,34.0,22.5441,1123400,0.0,1.0
2000-02-18,34.0,34.0,32.56,33.06,21.9208,830300,0.0,1.0
2000-02-22,33.0,33.63,32.69,33.0,21.881,1175100,0.0,1.0
2000-02-23,33.25,33.25,32.5,32.69,21.6755,658200,0.0,1.0
2000-02-24,33.25,33.25,32.19,32.5,21.5495,1347800,0.0,1.0
2000-02-25,32.63,32.88,30.94,31.0,20.5549,716600,0.0,1.0
2000-02-28,31.25,31.81,30.88,31.0,20.714,684000,0.24,1.0
2000-02-29,31.0,31.38,30.94,31.25,20.8811,700400,0.0,1.0
2000-03-01,31.25,31.88,30.88,31.13,20.8009,942400,0.0,1.0
2000-03-02,31.0,31.0,29.63,30.63,20.4668,827500,0.0,1.0
2000-03-03,30.75,31.06,30.13,31.0,20.714,898900,0.0,1.0
2000-03-06,31.0,31.06,30.13,31.0,20.714,1069600,0.0,1.0
2000-03-07,31.0,31.0,29.63,30.0,20.0458,1316300,0.0,1.0
