,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-03-22,35.72,37.6,34.0,37.49,34.3396,491400,0.0,1.0
2011-03-23,37.07,37.8,36.95,37.25,34.1198,601200,0.0,1.0
2011-03-24,37.5,37.5,37.15,37.25,34.1198,230400,0.0,1.0
2011-03-25,37.5,39.25,37.25,39.25,35.9517,497400,0.0,1.0
2011-03-28,39.0,39.0,37.75,37.75,34.5778,53100,0.0,1.0
2011-03-29,37.76,37.95,37.47,37.5,34.3488,269300,0.0,1.0
2011-03-30,37.95,38.49,36.58,38.2,34.99,8573500,0.0,1.0
2011-03-31,38.45,42.74,38.0,41.5,38.0127,2653000,0.0,1.0
2011-04-01,40.99,42.44,39.84,40.04,36.6753,2222900,0.0,1.0
2011-04-04,39.86,41.02,39.14,40.15,36.7761,1122700,0.0,1.0
2011-04-05,39.53,40.33,38.73,40.25,36.8677,1373400,0.0,1.0
2011-04-06,39.86,40.31,39.12,39.68,36.3456,2080100,0.0,1.0
2011-04-07,38.25,39.25,37.51,38.8,35.5395,2134600,0.0,1.0
2011-04-08,38.33,38.88,38.2,38.5,35.2648,1307200,0.0,1.0
2011-04-11,38.5,38.58,38.28,38.32,35.0999,1563100,0.0,1.0
2011-04-12,37.91,38.42,37.66,38.05,34.8526,1637500,0.0,1.0
2011-04-13,37.71,38.37,37.28,38.0,34.8068,1649100,0.0,1.0
2011-04-14,37.9,39.36,37.85,38.77,35.5121,1232400,0.0,1.0
2011-04-15,38.89,40.75,38.81,40.14,36.7669,1502100,0.0,1.0
2011-04-18,39.45,40.22,38.59,40.05,36.6845,793700,0.0,1.0
2011-04-19,40.08,40.12,39.49,39.78,36.4372,802400,0.0,1.0
2011-04-20,40.14,40.36,39.5,40.06,36.6937,358200,0.0,1.0
2011-04-21,40.03,40.19,39.18,39.31,36.0067,799400,0.0,1.0
2011-04-25,39.13,39.409,38.61,39.07,35.7869,298000,0.0,1.0
2011-04-26,38.97,39.71,38.7,39.34,36.0342,696700,0.0,1.0
2011-04-27,38.97,40.2,38.1,40.01,36.6479,772000,0.0,1.0
2011-04-28,40.0,40.24,39.58,39.99,36.6295,692000,0.0,1.0
2011-04-29,40.0,40.17,39.94,40.0,36.6387,556000,0.0,1.0
2011-05-02,39.41,41.19,39.05,40.98,37.5364,542100,0.0,1.0
2011-05-03,40.89,41.09,40.38,40.5,37.0967,539000,0.0,1.0
2011-05-04,40.4,40.6699,39.59,39.95,36.5929,591800,0.0,1.0
2011-05-05,39.81,41.204,39.5,39.84,36.4922,635800,0.0,1.0
2011-05-06,40.01,40.15,39.34,39.5,36.1807,413800,0.0,1.0
2011-05-09,39.33,39.85,38.86,39.6,36.2723,368900,0.0,1.0
2011-05-10,39.79,40.34,39.77,40.17,36.7944,709100,0.0,1.0
2011-05-11,39.48,39.5,38.5,38.78,35.5212,1297900,0.0,1.0
2011-05-12,38.8,38.9,38.27,38.39,35.164,382000,0.0,1.0
2011-05-13,38.31,38.61,37.97,38.46,35.2281,435000,0.0,1.0
2011-05-16,38.2,38.89,38.2,38.69,35.4388,303700,0.0,1.0
2011-05-17,38.41,38.88,38.41,38.78,35.5212,369700,0.0,1.0
2011-05-18,38.64,38.65,38.09,38.5,35.2648,559900,0.0,1.0
2011-05-19,38.45,38.68,38.0001,38.38,35.1548,519700,0.0,1.0
2011-05-20,38.33,38.37,37.85,38.06,34.8617,349000,0.0,1.0
2011-05-23,37.73,38.15,37.31,37.8,34.6236,283600,0.0,1.0
2011-05-24,37.71,37.86,37.01,37.17,34.0465,368900,0.0,1.0
2011-05-25,37.02,37.1,36.61,36.67,33.5885,327400,0.0,1.0
2011-05-26,36.43,36.64,36.29,36.42,33.3595,481700,0.0,1.0
2011-05-27,36.68,36.9,36.45,36.58,33.5061,241300,0.0,1.0
2011-05-31,36.76,37.38,36.44,36.57,33.4969,835400,0.0,1.0
2011-06-01,36.57,36.57,35.96,36.1,33.0664,669000,0.0,1.0
2011-06-02,36.02,36.24,35.86,36.05,33.0206,317500,0.0,1.0
2011-06-03,35.67,36.04,35.24,35.8,32.7916,421500,0.0,1.0
2011-06-06,35.69,36.13,35.51,35.98,32.9565,355200,0.0,1.0
2011-06-07,36.0,36.53,35.89,36.44,33.3779,252100,0.0,1.0
2011-06-08,36.28,37.11,36.28,36.97,33.8633,254000,0.0,1.0
2011-06-09,36.94,37.41,36.81,36.99,33.8816,986800,0.0,1.0
2011-06-10,36.86,36.86,36.155,36.33,33.2771,462200,0.0,1.0
2011-06-13,36.33,36.74,36.33,36.51,33.442,385600,0.0,1.0
2011-06-14,36.7,36.75,36.36,36.58,33.5061,231300,0.0,1.0
2011-06-15,36.25,36.35,35.88,36.16,33.1214,289200,0.0,1.0
2011-06-16,36.11,36.44,35.97,36.0,32.9748,290100,0.0,1.0
2011-06-17,36.18,36.43,35.86,35.95,32.929,494300,0.0,1.0
2011-06-20,35.83,36.42,35.81,35.99,32.9657,1960200,0.0,1.0
2011-06-21,36.07,36.45,36.03,36.35,33.2954,198100,0.0,1.0
2011-06-22,36.18,36.685,36.0,36.15,33.1122,129800,0.0,1.0
2011-06-23,36.0,36.12,35.72,35.9,32.8832,169000,0.0,1.0
2011-06-24,35.98,35.98,35.25,35.59,32.5993,538600,0.0,1.0
2011-06-27,35.5,35.95,35.17,35.2,32.2421,162300,0.0,1.0
2011-06-28,35.3,35.72,35.05,35.26,32.297,160300,0.0,1.0
2011-06-29,35.26,35.3462,34.72,34.82,31.894,328600,0.0,1.0
2011-06-30,34.86,35.05,34.23,34.5,31.6009,600700,0.0,1.0
2011-07-01,34.51,35.075,34.45,34.61,31.7016,284600,0.0,1.0
2011-07-05,34.56,34.94,34.52,34.64,31.7291,333900,0.0,1.0
2011-07-06,34.55,36.0,34.19,35.25,32.2879,690300,0.0,1.0
2011-07-07,35.4,35.52,34.4,34.49,31.5917,313400,0.0,1.0
2011-07-08,34.19,35.28,34.175,35.0,32.0589,811200,0.0,1.0
2011-07-11,34.81,35.02,34.43,34.84,31.9123,518500,0.0,1.0
2011-07-12,34.66,34.66,34.15,34.4,31.5093,799500,0.0,1.0
2011-07-13,34.39,34.53,33.21,34.04,31.1795,1422700,0.0,1.0
2011-07-14,34.09,34.09,33.02,33.55,30.7307,482700,0.0,1.0
2011-07-15,33.48,33.66,33.01,33.52,30.7032,607400,0.0,1.0
2011-07-18,33.4,33.57,33.025,33.2,30.4101,619000,0.0,1.0
2011-07-19,33.31,33.33,32.91,33.31,30.5109,389800,0.0,1.0
2011-07-20,33.24,33.71,33.14,33.23,30.4376,314100,0.0,1.0
2011-07-21,33.32,33.65,33.16,33.42,30.6116,233500,0.0,1.0
2011-07-22,33.35,34.04,32.97,33.91,31.0605,328500,0.0,1.0
2011-07-25,33.56,34.52,33.36,34.28,31.3994,386900,0.0,1.0
2011-07-26,35.78,35.78,35.14,35.16,32.2054,686500,0.0,1.0
2011-07-27,34.94,35.22,34.04,34.2,31.3261,426900,0.0,1.0
2011-07-28,34.1,34.58,33.97,34.0,31.1429,314400,0.0,1.0
2011-07-29,33.7,34.1,33.34,33.48,30.6666,341700,0.0,1.0
2011-08-01,33.61,33.66,32.79,32.84,30.0804,539400,0.0,1.0
2011-08-02,32.7,33.34,32.45,32.45,29.7232,370800,0.0,1.0
2011-08-03,32.52,32.68,31.64,32.09,29.3934,515200,0.0,1.0
2011-08-04,31.785,32.16,31.56,31.6,28.9446,504800,0.0,1.0
2011-08-05,31.83,31.83,30.15,31.13,28.5141,559100,0.0,1.0
2011-08-08,30.38,30.66,29.65,29.89,27.3783,903800,0.0,1.0
2011-08-09,30.25,30.25,27.66,29.72,27.2226,1206000,0.0,1.0
2011-08-10,29.35,29.35,27.8,28.01,25.6563,1012200,0.0,1.0
2011-08-11,27.9,28.38,26.49,27.83,25.4914,649000,0.0,1.0
2011-08-12,27.98,29.06,27.83,28.02,25.6654,794000,0.0,1.0
2011-08-15,28.13,28.71,28.12,28.59,26.1875,494600,0.0,1.0
2011-08-16,28.35,29.63,28.35,29.48,27.0027,802500,0.0,1.0
2011-08-17,29.59,29.74,29.08,29.49,27.0119,204800,0.0,1.0
2011-08-18,29.09,29.37,28.22,28.64,26.2333,493900,0.0,1.0
2011-08-19,28.52,29.41,28.52,28.63,26.2242,495900,0.0,1.0
2011-08-22,28.98,29.47,28.28,28.4,26.0135,325100,0.0,1.0
2011-08-23,28.48,29.44,28.1,29.25,26.7921,486500,0.0,1.0
2011-08-24,29.26,30.87,29.26,30.6,28.0286,302300,0.0,1.0
2011-08-25,30.83,30.83,29.6,29.67,27.1768,243600,0.0,1.0
2011-08-26,29.43,30.43,28.85,30.25,27.708,220200,0.0,1.0
2011-08-29,30.4,30.99,29.8,30.8,28.2118,205300,0.0,1.0
2011-08-30,30.39,30.9,30.19,30.62,28.0469,250100,0.0,1.0
2011-08-31,30.77,31.24,29.71,29.94,27.4241,375600,0.0,1.0
2011-09-01,29.94,30.55,29.45,29.51,27.0302,249300,0.0,1.0
2011-09-02,29.22,29.34,27.55,27.62,25.299,322600,0.0,1.0
2011-09-06,27.1,27.865,26.56,27.59,25.2715,458700,0.0,1.0
2011-09-07,27.92,29.21,27.86,28.69,26.2791,371800,0.0,1.0
2011-09-08,28.38,28.635,27.08,27.14,24.8594,349600,0.0,1.0
2011-09-09,26.94,27.25,26.385,26.73,24.4838,342100,0.0,1.0
2011-09-12,26.77,27.2,26.4,27.2,24.9143,192300,0.0,1.0
2011-09-13,27.29,28.19,27.19,27.97,25.6196,291400,0.0,1.0
2011-09-14,28.09,28.83,27.53,28.4,26.0135,242300,0.0,1.0
2011-09-15,28.59,28.675,27.76,28.23,25.8578,286300,0.0,1.0
2011-09-16,28.41,28.81,28.15,28.7,26.2883,352100,0.0,1.0
2011-09-19,28.29,28.48,27.74,28.28,25.9036,157100,0.0,1.0
2011-09-20,28.23,28.44,27.29,27.31,25.0151,150900,0.0,1.0
2011-09-21,27.34,28.01,27.249,27.42,25.1158,217800,0.0,1.0
2011-09-22,26.76,27.49,26.76,27.1,24.8227,511200,0.0,1.0
2011-09-23,27.11,27.44,26.68,27.09,24.8136,380700,0.0,1.0
2011-09-26,27.25,27.34,26.41,26.98,24.7128,178900,0.0,1.0
2011-09-27,26.99,27.05,26.5,26.96,24.6945,400900,0.0,1.0
2011-09-28,26.155,26.155,24.26,24.58,22.5145,1972300,0.0,1.0
