,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,60.44,62.5,60.0,62.31,21.7071,965500,0.0,1.0
2000-01-19,66.5,70.0,66.0,69.38,24.1701,2210600,0.0,1.0
2000-01-20,69.38,72.88,68.0,72.5,25.2571,1169800,0.0,1.0
2000-01-21,72.25,72.25,70.38,71.38,24.8669,1297500,0.0,1.0
2000-01-24,71.44,72.06,71.12,71.38,24.8669,641600,0.0,1.0
2000-01-25,77.0,77.5,74.0,75.69,26.3684,2508500,0.0,1.0
2000-01-26,75.75,76.5,74.0,74.88,26.0862,1502700,0.0,1.0
2000-01-27,75.06,75.5,74.44,74.94,26.1071,1567500,0.0,1.0
2000-01-28,74.94,75.19,70.38,71.0,24.7345,10565200,0.0,1.0
2000-01-31,70.25,71.56,69.06,70.19,24.4523,1514000,0.0,1.0
2000-02-01,70.19,71.94,70.0,71.31,24.8425,941000,0.0,1.0
2000-02-02,71.88,71.88,70.75,71.44,24.8878,1008400,0.0,1.0
2000-02-03,71.19,72.0,70.62,72.0,25.0829,715500,0.0,1.0
2000-02-04,71.75,71.81,70.5,70.94,24.7136,376500,0.0,1.0
2000-02-07,70.12,70.94,69.94,70.75,24.6474,632200,0.0,1.0
2000-02-08,70.0,72.0,69.94,71.38,24.8669,687000,0.0,1.0
2000-02-09,71.0,71.88,70.25,70.25,24.4732,540000,0.0,1.0
2000-02-10,69.81,70.62,69.81,70.12,24.4279,579000,0.0,1.0
2000-02-11,70.06,70.06,69.5,70.0,24.3861,470500,0.0,1.0
2000-02-14,70.25,70.25,68.62,69.31,24.1457,568700,0.0,1.0
2000-02-15,69.75,70.12,68.06,70.12,24.4279,432800,0.0,1.0
2000-02-16,69.69,69.75,67.88,68.0,23.6894,504000,0.0,1.0
2000-02-17,68.25,68.25,66.12,66.88,23.2992,479800,0.0,1.0
2000-02-18,68.0,69.5,66.69,66.88,23.2992,919100,0.0,1.0
2000-02-22,68.0,68.06,66.62,67.62,23.557,516300,0.0,1.0
2000-02-23,67.0,67.44,65.88,66.38,23.125,373800,0.0,1.0
2000-02-24,66.62,66.75,64.25,64.81,22.5781,416100,0.0,1.0
2000-02-25,65.5,69.5,64.62,68.94,24.0169,1002300,0.0,1.0
2000-02-28,69.75,70.0,68.69,69.06,24.0587,478400,0.0,1.0
2000-02-29,69.06,69.06,67.38,68.12,23.7312,421200,0.0,1.0
2000-03-01,68.38,69.5,68.0,68.56,23.8845,338000,0.0,1.0
2000-03-02,70.0,71.25,68.56,70.44,24.5394,580500,0.0,1.0
2000-03-03,70.44,74.5,70.38,73.88,25.7378,543600,0.0,1.0
2000-03-06,73.62,73.62,71.0,71.19,24.8007,419200,0.0,1.0
2000-03-07,71.12,71.12,68.12,68.5,23.8636,478300,0.0,1.0
2000-03-08,68.56,69.0,67.5,69.0,24.0378,315900,0.0,1.0
2000-03-09,69.0,69.12,68.25,68.94,24.0169,345900,0.0,1.0
2000-03-10,69.0,70.0,68.75,69.62,24.2537,579400,0.0,1.0
2000-03-13,68.75,71.88,68.75,71.38,24.8826,630400,0.045,1.0
2000-03-14,71.12,71.94,70.62,71.0,24.7501,524300,0.0,1.0
2000-03-15,70.75,73.5,70.75,73.5,25.6216,482600,0.0,1.0
2000-03-16,75.0,81.0,74.94,81.0,28.236,919300,0.0,1.0
2000-03-17,81.0,85.31,80.56,81.81,28.5184,1398000,0.0,1.0
2000-03-20,81.75,81.81,76.75,77.5,27.0159,720800,0.0,1.0
2000-03-21,77.75,78.0,75.88,77.0,26.8416,672000,0.0,1.0
2000-03-22,77.0,79.0,76.62,78.38,27.3227,701500,0.0,1.0
2000-03-23,77.0,77.62,76.44,77.12,26.8835,593200,0.0,1.0
2000-03-24,77.06,78.0,76.81,77.12,26.8835,456000,0.0,1.0
2000-03-27,77.38,82.0,77.31,81.94,28.5637,997200,0.0,1.0
2000-03-28,80.5,81.25,79.5,79.5,27.7131,435100,0.0,1.0
2000-03-29,79.75,80.69,79.25,79.75,27.8003,354400,0.0,1.0
2000-03-30,79.75,80.0,78.0,78.56,27.3855,348900,0.0,1.0
2000-03-31,78.31,82.25,78.25,79.38,27.6713,688900,0.0,1.0
2000-04-03,79.5,84.94,79.5,83.0,28.9332,1208400,0.0,1.0
2000-04-04,83.0,85.88,81.12,84.25,29.3689,1848100,0.0,1.0
2000-04-05,84.0,84.0,81.0,81.88,28.5428,667200,0.0,1.0
2000-04-06,81.94,83.25,81.31,83.0,28.9332,626300,0.0,1.0
2000-04-07,84.0,84.0,82.25,83.06,28.9541,671000,0.0,1.0
2000-04-10,42.0,43.75,42.0,42.75,29.8047,815650,0.0,2.0
2000-04-11,42.75,44.25,42.12,44.25,30.8505,1675300,0.0,1.0
2000-04-12,43.75,46.62,43.75,44.0,30.6762,3875200,0.0,1.0
2000-04-13,45.0,45.5,40.12,40.44,28.1942,2529400,0.0,1.0
2000-04-14,40.0,40.06,38.0,38.0,26.4931,1939600,0.0,1.0
2000-04-17,38.25,39.0,38.06,38.75,27.0159,1696000,0.0,1.0
2000-04-18,38.25,39.5,38.25,39.38,27.4552,1828100,0.0,1.0
2000-04-19,39.62,40.5,39.5,39.88,27.8038,1009100,0.0,1.0
2000-04-20,39.94,40.94,39.5,40.5,28.236,1016500,0.0,1.0
2000-04-24,41.0,41.94,40.0,40.06,27.9293,866600,0.0,1.0
2000-04-25,39.94,41.94,39.12,41.19,28.7171,770000,0.0,1.0
2000-04-26,41.25,42.38,41.19,41.62,29.0169,565600,0.0,1.0
2000-04-27,40.5,41.38,40.25,41.12,28.6683,569000,0.0,1.0
2000-04-28,41.12,41.19,39.75,39.81,27.755,744900,0.0,1.0
2000-05-01,39.94,42.0,39.81,42.0,29.2818,1075000,0.0,1.0
2000-05-02,41.75,41.88,41.0,41.88,29.1981,862200,0.0,1.0
