,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,59.75,60.38,57.63,59.0,35.8077,3184300,0.0,1.0
2000-01-19,59.0,59.0,52.5,54.25,32.9249,11410700,0.0,1.0
2000-01-20,54.5,55.25,52.56,52.88,32.0934,5193200,0.0,1.0
2000-01-21,53.0,53.13,49.94,51.31,31.1406,5065300,0.0,1.0
2000-01-24,51.44,51.44,47.0,47.75,28.98,6944600,0.0,1.0
2000-01-25,46.25,47.94,45.0,47.56,28.8647,5044200,0.0,1.0
2000-01-26,47.94,48.5,46.13,47.63,28.9072,4770500,0.0,1.0
2000-01-27,47.13,48.19,44.63,46.25,28.0696,4691000,0.0,1.0
2000-01-28,45.13,46.63,44.81,45.19,27.4263,3140100,0.0,1.0
2000-01-31,45.19,48.0,45.19,48.0,29.1317,3392700,0.0,1.0
2000-02-01,48.0,48.38,47.13,47.5,28.8283,2850600,0.0,1.0
2000-02-02,48.0,49.0,47.75,48.13,29.2106,2598900,0.0,1.0
2000-02-03,48.25,49.0,46.75,47.5,28.8283,2445100,0.0,1.0
2000-02-04,47.5,47.69,46.63,47.38,28.7554,3652000,0.0,1.0
2000-02-07,47.0,47.0,44.5,45.0,27.311,2656600,0.0,1.0
2000-02-08,46.0,46.94,44.94,45.25,27.4627,4497100,0.0,1.0
2000-02-09,44.5,44.94,42.5,43.75,26.5523,3706600,0.0,1.0
2000-02-10,43.25,44.44,42.38,43.25,26.2489,3168200,0.0,1.0
2000-02-11,42.5,44.44,42.25,42.25,25.642,3240000,0.0,1.0
2000-02-14,43.25,44.88,42.63,42.63,25.8726,3246700,0.0,1.0
2000-02-15,42.88,46.63,42.75,46.31,28.106,3409900,0.0,1.0
2000-02-16,46.13,46.13,44.63,44.88,27.352,2729000,0.1875,1.0
2000-02-17,46.25,46.88,45.44,46.44,28.3027,2385000,0.0,1.0
2000-02-18,46.19,46.38,43.94,44.31,27.0046,2392600,0.0,1.0
2000-02-22,44.06,47.25,43.0,47.25,28.7963,2469800,0.0,1.0
2000-02-23,47.25,47.25,43.94,45.19,27.5409,2193600,0.0,1.0
2000-02-24,45.19,46.06,42.56,45.75,27.8822,3503600,0.0,1.0
2000-02-25,45.75,46.75,44.38,46.56,28.3758,2572500,0.0,1.0
2000-02-28,46.63,48.75,45.44,48.0,29.2534,2908400,0.0,1.0
