,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,23.13,24.06,23.13,23.38,7.9423,453300,0.0,1.0
2000-01-19,22.5,24.75,22.44,24.25,8.2378,406400,0.0,1.0
2000-01-20,23.88,23.88,22.5,22.69,7.7079,310700,0.0,1.0
2000-01-21,22.94,24.25,22.94,23.63,8.0272,295800,0.0,1.0
2000-01-24,23.56,24.06,22.88,23.25,7.8981,335900,0.0,1.0
2000-01-25,23.25,23.94,22.94,23.38,7.9423,353700,0.0,1.0
2000-01-26,23.13,24.5,23.13,23.5,7.9831,673500,0.0,1.0
2000-01-27,23.69,24.25,22.75,22.94,7.7928,418000,0.0,1.0
2000-01-28,23.06,23.56,22.5,22.63,7.6875,251600,0.0,1.0
2000-01-31,22.69,23.56,22.5,23.5,7.9831,285900,0.0,1.0
2000-02-01,23.38,24.0,23.13,24.0,8.1529,145800,0.0,1.0
2000-02-02,23.38,24.5,23.19,23.25,7.8981,320100,0.0,1.0
2000-02-03,23.44,24.06,23.06,23.5,7.9831,285400,0.0,1.0
2000-02-04,23.56,23.88,23.31,23.56,8.0034,156000,0.0,1.0
2000-02-07,23.31,24.75,23.31,24.63,8.3669,218400,0.0,1.0
2000-02-08,24.88,24.88,23.5,23.88,8.1121,291500,0.0,1.0
2000-02-09,23.88,23.88,23.0,23.0,7.8132,371400,0.0,1.0
2000-02-10,23.13,24.25,23.13,24.06,8.1733,242600,0.0,1.0
2000-02-11,23.88,24.38,23.69,23.81,8.1121,260900,0.07,1.0
2000-02-14,24.0,25.0,23.31,24.75,8.4324,493900,0.0,1.0
2000-02-15,24.88,26.0,24.88,25.75,8.7731,281800,0.0,1.0
2000-02-16,25.63,26.38,25.31,26.19,8.923,260500,0.0,1.0
2000-02-17,26.19,26.44,25.25,26.38,8.9878,284600,0.0,1.0
2000-02-18,26.13,26.13,24.81,24.88,8.4767,169000,0.0,1.0
2000-02-22,24.81,25.0,23.75,24.31,8.2825,232100,0.0,1.0
2000-02-23,24.25,24.25,23.63,23.69,8.0713,115200,0.0,1.0
2000-02-24,23.19,25.38,23.19,25.13,8.5619,302400,0.0,1.0
2000-02-25,24.88,24.88,23.94,24.31,8.2825,197200,0.0,1.0
2000-02-28,23.88,25.44,23.69,25.31,8.6232,198200,0.0,1.0
2000-02-29,25.06,26.69,25.06,26.63,9.0729,342100,0.0,1.0
2000-03-01,26.38,26.88,25.81,26.88,9.1581,389300,0.0,1.0
2000-03-02,26.88,28.56,26.88,28.25,9.6249,384800,0.0,1.0
2000-03-03,28.38,28.38,27.25,28.0,9.5397,658800,0.0,1.0
2000-03-06,27.63,28.75,27.63,28.38,9.6692,322400,0.0,1.0
2000-03-07,28.38,29.56,28.38,29.13,9.9247,367000,0.0,1.0
2000-03-08,28.75,28.75,26.88,28.0,9.5397,290300,0.0,1.0
