,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-10-19,18.5,18.5,16.48,16.55,8.8769,1581576,0.0,1.0
2015-10-20,16.25,16.93,16.25,16.87,9.0486,709632,0.0,1.0
2015-10-21,17.25,17.35,16.4,16.48,8.8394,78598,0.0,1.0
2015-10-22,16.71,17.05,16.24,16.95,9.0915,110000,0.0,1.0
2015-10-23,17.25,17.25,16.85,17.0,9.1183,59910,0.0,1.0
2015-10-26,17.11,17.11,16.31,16.42,8.8072,514799,0.0,1.0
2015-10-27,16.56,16.75,15.6,15.73,8.4371,636017,0.0,1.0
2015-10-28,15.9,16.35,15.845,16.28,8.7321,296321,0.0,1.0
2015-10-29,16.01,16.27,15.55,15.95,8.5551,290446,0.0,1.0
2015-10-30,15.9,16.1,14.72,14.72,7.8954,2449278,0.0,1.0
2015-11-02,14.99,15.17,13.86,14.49,7.772,40865891,0.0,1.0
2015-11-03,14.07,14.71,13.675,14.36,7.7023,40205612,0.0,1.0
2015-11-04,14.39,14.51,13.61,13.66,7.3268,31516491,0.0,1.0
2015-11-05,13.64,13.89,13.12,13.28,7.123,22189959,0.0,1.0
2015-11-06,13.18,14.48,13.15,14.4,7.7237,30049669,0.0,1.0
2015-11-09,14.26,14.48,14.13,14.2,7.6165,17528088,0.0,1.0
2015-11-10,14.13,14.44,14.01,14.41,7.7291,14777765,0.0,1.0
2015-11-11,14.2,14.31,14.09,14.11,7.5682,11009387,0.0,1.0
2015-11-12,13.81,13.82,13.59,13.7,7.3483,20371666,0.0,1.0
2015-11-13,13.61,13.76,13.15,13.39,7.182,14924533,0.0,1.0
2015-11-16,13.37,13.61,13.14,13.38,7.1766,13781375,0.0,1.0
2015-11-17,13.38,13.49,13.12,13.22,7.0908,12420759,0.0,1.0
2015-11-18,13.48,13.73,13.1886,13.64,7.3161,13020475,0.0,1.0
2015-11-19,13.53,13.89,13.52,13.78,7.3912,13171491,0.0,1.0
2015-11-20,13.78,14.63,13.68,14.21,7.6218,18558586,0.0,1.0
2015-11-23,14.17,14.21,13.57,13.85,7.4287,15317345,0.0,1.0
2015-11-24,13.58,14.025,13.5,13.69,7.3429,24108918,0.0,1.0
2015-11-25,13.91,14.86,13.84,14.12,7.5736,22674894,0.0,1.0
2015-11-27,14.12,14.64,14.05,14.35,7.6969,6041718,0.0,1.0
2015-11-30,14.23,15.0,14.18,14.86,7.9705,29096030,0.0,1.0
2015-12-01,14.88,15.88,14.85,15.61,8.3727,25106264,0.0,1.0
2015-12-02,15.37,15.54,14.87,14.95,8.0187,12681067,0.0,1.0
2015-12-03,15.0,15.34,14.58,14.62,7.8417,18905240,0.0,1.0
2015-12-04,14.39,15.295,14.24,15.22,8.1636,12001085,0.0,1.0
2015-12-07,15.0,15.48,14.92,15.45,8.3164,9545947,0.055,1.0
2015-12-08,15.09,15.29,14.62,15.17,8.1657,11617601,0.0,1.0
2015-12-09,14.99,15.39,14.68,14.85,7.9935,14261925,0.0,1.0
2015-12-10,14.79,14.81,14.53,14.72,7.9235,11350207,0.0,1.0
2015-12-11,14.99,15.4,14.14,14.18,7.6328,10614763,0.0,1.0
2015-12-14,14.3,14.5,13.92,14.44,7.7728,11527694,0.0,1.0
2015-12-15,14.51,14.98,14.485,14.56,7.8374,12888739,0.0,1.0
2015-12-16,14.62,14.81,14.55,14.7,7.9127,7840968,0.0,1.0
2015-12-17,14.61,14.72,14.22,14.31,7.7028,7625458,0.0,1.0
2015-12-18,14.27,14.385,14.0,14.16,7.622,19307237,0.0,1.0
2015-12-21,14.12,14.4,13.87,14.02,7.5467,9863255,0.0,1.0
2015-12-22,14.04,14.14,13.9201,14.06,7.5682,7292476,0.0,1.0
2015-12-23,14.19,14.97,14.05,14.91,8.0258,11252128,0.0,1.0
2015-12-24,14.81,15.17,14.7901,15.02,8.085,2178459,0.0,1.0
2015-12-28,14.89,15.28,14.82,15.23,8.198,5930636,0.0,1.0
2015-12-29,15.29,15.4371,15.18,15.2,8.1819,6275753,0.0,1.0
2015-12-30,15.29,15.48,15.15,15.28,8.2249,6275778,0.0,1.0
2015-12-31,15.23,15.31,15.1,15.2,8.1819,6767773,0.0,1.0
2016-01-04,14.97,15.15,14.74,15.13,8.1442,15076835,0.0,1.0
2016-01-05,15.13,15.25,14.94,15.03,8.0904,10285834,0.0,1.0
2016-01-06,14.62,15.0,14.51,14.8,7.9665,11315099,0.0,1.0
2016-01-07,14.5,14.56,13.65,13.71,7.3798,19844532,0.0,1.0
2016-01-08,13.77,14.02,13.31,13.54,7.2883,16431854,0.0,1.0
2016-01-11,13.43,13.71,13.07,13.26,7.1376,15110838,0.0,1.0
2016-01-12,13.35,13.42,13.09,13.26,7.1376,12458350,0.0,1.0
2016-01-13,13.35,13.35,12.53,12.75,6.8631,17720765,0.0,1.0
2016-01-14,12.75,13.17,12.65,13.0,6.9976,13352501,0.0,1.0
2016-01-15,12.6,12.8,12.49,12.54,6.75,19729482,0.0,1.0
2016-01-19,12.68,12.78,12.2,12.32,6.6316,12925129,0.0,1.0
2016-01-20,12.0,12.2,11.625,12.06,6.4917,16640055,0.0,1.0
2016-01-21,12.0,12.54,11.82,12.41,6.6801,16728144,0.0,1.0
2016-01-22,12.7,13.43,12.65,13.35,7.186,15269821,0.0,1.0
2016-01-25,13.29,13.55,13.12,13.34,7.1807,11183427,0.0,1.0
2016-01-26,13.35,13.725,13.35,13.6,7.3206,10726138,0.0,1.0
2016-01-27,13.53,13.61,12.955,13.39,7.2076,18484506,0.0,1.0
2016-01-28,13.45,13.7,13.07,13.19,7.0999,9874424,0.0,1.0
2016-01-29,13.41,13.88,13.35,13.76,7.4067,11361905,0.0,1.0
2016-02-01,13.67,13.88,13.53,13.79,7.4229,9549644,0.0,1.0
2016-02-02,13.7,13.97,13.36,13.45,7.2399,9677516,0.0,1.0
2016-02-03,13.66,13.77,13.11,13.37,7.1968,7553022,0.0,1.0
2016-02-04,13.31,13.89,13.31,13.85,7.4552,6499149,0.0,1.0
2016-02-05,13.69,13.75,13.035,13.2,7.1053,13227678,0.0,1.0
2016-02-08,13.0,13.05,12.37,12.51,6.7339,14815851,0.0,1.0
2016-02-09,12.37,12.86,12.31,12.72,6.8469,6686490,0.0,1.0
2016-02-10,12.77,13.07,12.71,12.86,6.9223,5982701,0.0,1.0
2016-02-11,12.57,12.67,12.015,12.4,6.6747,9834289,0.0,1.0
2016-02-12,12.5,12.79,12.18,12.29,6.6155,10549410,0.0,1.0
2016-02-16,12.41,12.49,12.27,12.33,6.637,11976893,0.0,1.0
2016-02-17,12.39,13.135,12.37,13.02,7.0084,8665514,0.0,1.0
2016-02-18,13.05,13.7,13.02,13.53,7.2829,11734114,0.0,1.0
2016-02-19,13.51,13.74,13.25,13.67,7.3583,9414376,0.0,1.0
2016-02-22,13.75,13.88,13.57,13.8,7.4283,10755568,0.0,1.0
2016-02-23,13.72,13.82,12.84,13.09,7.0461,14646955,0.0,1.0
2016-02-24,13.0,13.57,12.82,13.53,7.2829,13226774,0.0,1.0
2016-02-25,13.45,13.71,13.24,13.68,7.3637,12079898,0.0,1.0
