,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,111.0,116.5,110.9,113.6,19.2984,3224800,0.0,1.0
2000-01-19,114.1,116.4,111.4,116.0,19.7061,3480100,0.0,1.0
2000-01-20,117.3,117.9,112.9,116.1,19.7231,3073300,0.0,1.0
2000-01-21,116.5,116.5,112.9,113.1,19.2135,2929500,0.0,1.0
2000-01-24,114.5,114.7,111.7,113.0,19.1965,2847600,0.0,1.0
2000-01-25,112.8,113.3,107.9,112.6,19.1285,3627700,0.0,1.0
2000-01-26,111.0,111.3,107.0,108.8,18.483,3703500,0.0,1.0
2000-01-27,111.9,113.9,107.0,108.5,18.432,4519400,0.0,1.0
2000-01-28,108.3,111.9,107.3,108.8,18.483,2951600,0.0,1.0
2000-01-31,108.9,109.8,103.9,108.3,18.3981,2776700,0.0,1.0
2000-02-01,109.4,109.4,104.0,105.8,17.9734,3276500,0.0,1.0
2000-02-02,107.2,112.7,106.4,110.6,18.7888,3417500,0.0,1.0
2000-02-03,111.0,116.5,111.0,113.5,19.2814,3966700,0.0,1.0
2000-02-04,114.5,119.6,114.4,118.0,20.0459,4611000,0.0,1.0
2000-02-07,118.9,129.0,117.2,128.5,21.8296,6287800,0.0,1.0
2000-02-08,127.3,127.5,122.5,124.2,21.0992,4721200,0.0,1.0
2000-02-09,123.0,127.0,122.3,124.0,21.0652,4129800,0.0,1.0
2000-02-10,125.0,126.5,123.1,126.0,21.4049,2527200,0.0,1.0
2000-02-11,126.0,126.0,119.9,121.4,20.6235,2787500,0.0,1.0
2000-02-14,121.3,124.3,120.5,123.0,20.8953,3278200,0.0,1.0
2000-02-15,124.4,126.3,121.9,124.8,21.2011,4129100,0.0,1.0
2000-02-16,126.3,132.0,125.6,131.0,22.2543,5056600,0.0,1.0
2000-02-17,128.0,128.5,123.6,128.0,21.7447,5281000,0.0,1.0
2000-02-18,128.0,130.4,127.6,129.0,21.9146,5603600,0.0,1.0
2000-02-22,129.3,129.3,125.1,128.0,21.7447,3823900,0.0,1.0
2000-02-23,127.0,131.0,125.4,130.8,22.2204,3465900,0.0,1.0
2000-02-24,129.1,130.4,127.0,129.5,21.9995,3770900,0.0,1.0
2000-02-25,129.0,129.5,124.6,124.6,21.1671,3824000,0.0,1.0
2000-02-28,127.5,129.3,122.4,128.9,21.8976,4959700,0.0,1.0
2000-02-29,127.7,138.3,127.7,134.5,22.8489,5393800,0.0,1.0
2000-03-01,132.3,137.8,132.2,133.6,22.696,3809100,0.0,1.0
2000-03-02,135.0,135.0,132.3,134.0,22.764,2455900,0.0,1.0
2000-03-03,134.5,139.9,134.1,138.6,23.5454,4442000,0.0,1.0
2000-03-06,137.0,152.1,136.8,146.5,24.8875,6092700,0.0,1.0
2000-03-07,151.0,151.1,142.0,143.0,24.2929,6035600,0.0,1.0
2000-03-08,143.0,144.2,139.7,140.9,23.9362,4012700,0.0,1.0
2000-03-09,143.0,153.8,141.4,151.9,25.8048,4581000,0.0,1.0
2000-03-10,151.9,155.5,146.0,146.9,24.9554,3299000,0.0,1.0
2000-03-13,142.0,149.4,141.8,146.5,24.8875,3263400,0.0,1.0
2000-03-14,147.5,150.0,139.8,139.8,23.7493,3284300,0.0,1.0
2000-03-15,140.5,140.9,129.8,132.0,22.4242,5296800,0.0,1.0
2000-03-16,130.5,133.0,124.0,133.0,22.5941,7672000,0.0,1.0
2000-03-17,133.0,143.1,133.0,139.0,23.6134,6948900,0.0,1.0
2000-03-20,138.5,146.8,138.3,144.0,24.4628,3689400,0.0,1.0
2000-03-21,142.5,143.7,138.8,141.9,24.106,3667200,0.0,1.0
2000-03-22,143.1,146.8,141.8,146.2,24.8365,2665200,0.0,1.0
2000-03-23,143.5,149.5,142.6,147.3,25.0234,2689100,0.0,1.0
2000-03-24,147.25,149.62,140.06,142.38,24.1876,2928700,0.0,1.0
2000-03-27,143.6,148.9,143.6,146.2,24.8365,2307700,0.0,1.0
2000-03-28,146.3,146.8,140.0,140.7,23.9022,2646500,0.0,1.0
2000-03-29,140.7,140.8,133.9,135.0,22.9339,3838100,0.0,1.0
2000-03-30,133.7,135.0,130.1,130.8,22.2204,3349000,0.0,1.0
2000-03-31,132.9,137.5,130.0,132.6,22.5262,3893800,0.0,1.0
2000-04-03,133.6,136.5,130.3,132.6,22.5262,3575100,0.0,1.0
2000-04-04,133.9,139.8,129.0,138.1,23.4605,4876900,0.0,1.0
2000-04-05,138.0,148.2,137.0,142.0,24.123,5350900,0.0,1.0
2000-04-06,145.4,148.6,143.0,148.1,25.1593,3516900,0.0,1.0
2000-04-07,148.2,156.0,146.6,156.0,26.5014,3245900,0.0,1.0
2000-04-10,153.3,153.4,145.9,147.3,25.0234,3853800,0.0,1.0
2000-04-11,144.1,149.9,140.9,145.8,24.7686,3405000,0.0,1.0
2000-04-12,146.8,147.4,133.3,135.0,22.9339,4670200,0.0,1.0
2000-04-13,133.8,138.6,131.6,131.9,22.4072,4642400,0.0,1.0
2000-04-14,130.6,135.8,120.9,123.0,20.8953,6249300,0.0,1.0
2000-04-17,123.1,133.8,123.1,133.8,22.73,5597400,0.0,1.0
2000-04-18,134.6,141.0,132.8,139.1,23.6304,5329000,0.0,1.0
2000-04-19,138.6,139.4,134.5,135.8,23.0698,3376900,0.0,1.0
2000-04-20,136.0,139.9,135.3,139.5,23.6983,2993400,0.0,1.0
2000-04-24,135.5,138.2,130.2,132.3,22.4752,4072600,0.0,1.0
2000-04-25,134.5,140.0,133.6,139.3,23.6644,3890000,0.0,1.0
2000-04-26,139.0,143.9,138.3,140.6,23.8852,4031700,0.0,1.0
2000-04-27,136.3,140.1,135.3,137.9,23.4265,3762600,0.0,1.0
2000-04-28,138.0,138.7,134.2,135.0,22.9339,2474100,0.0,1.0
2000-05-01,136.0,141.6,132.5,139.0,23.6134,3829900,0.0,1.0
2000-05-02,140.5,142.0,138.0,138.1,23.4605,2538300,0.0,1.0
2000-05-03,135.5,136.4,129.0,132.5,22.5092,3445500,0.0,1.0
2000-05-04,132.5,133.0,127.6,132.1,22.4412,2894200,0.0,1.0
2000-05-05,132.0,138.8,130.8,136.8,23.2396,2419000,0.0,1.0
2000-05-08,136.6,136.7,133.4,135.7,23.0528,1647200,0.0,1.0
2000-05-09,135.4,135.4,131.3,132.8,22.5601,1995100,0.0,1.0
2000-05-10,131.0,131.9,122.6,126.3,21.4559,3698300,0.0,1.0
2000-05-11,126.3,131.4,123.8,130.9,22.2374,3236600,0.0,1.0
2000-05-12,132.5,138.5,131.1,131.6,22.3563,3153900,0.0,1.0
2000-05-15,133.5,134.5,127.4,134.0,22.764,2832300,0.0,1.0
2000-05-16,135.0,141.5,134.6,138.5,23.5284,4553100,0.0,1.0
2000-05-17,135.5,135.5,128.3,130.1,22.1014,5546800,0.0,1.0
2000-05-18,131.5,132.6,129.9,131.7,22.3733,3321900,0.0,1.0
2000-05-19,131.8,131.8,124.7,126.2,21.4389,3301700,0.0,1.0
2000-05-22,126.3,126.9,118.5,122.8,20.8613,3701900,0.0,1.0
2000-05-23,120.0,124.9,120.0,120.7,20.5046,2636900,0.0,1.0
2000-05-24,120.1,120.4,113.2,118.6,20.1478,5212900,0.0,1.0
2000-05-25,115.1,121.9,115.0,116.3,19.7571,3756700,0.0,1.0
2000-05-26,114.6,119.9,114.6,118.1,20.0629,2303800,0.0,1.0
2000-05-30,119.8,124.8,119.6,124.5,21.1501,2459900,0.0,1.0
2000-05-31,123.1,124.4,120.6,121.0,20.5555,3654100,0.0,1.0
2000-06-01,125.0,134.9,124.4,134.3,22.8149,7156200,0.0,1.0
2000-06-02,136.5,145.4,134.1,142.1,24.14,5799300,0.0,1.0
2000-06-05,114.5,138.0,114.3,120.3,20.4366,5597000,0.0,1.0
2000-06-06,118.8,119.9,116.0,118.0,20.0459,4696700,0.0,1.0
2000-06-07,118.1,124.5,117.0,122.6,20.8273,5244600,0.0,1.0
2000-06-08,122.6,127.8,120.5,125.9,21.388,5167200,0.0,1.0
2000-06-09,127.5,130.4,127.4,128.0,21.7447,4126600,0.0,1.0
2000-06-12,126.9,127.8,124.6,126.0,21.4049,3262800,0.0,1.0
2000-06-13,120.5,120.6,117.0,119.0,20.2158,8768500,0.0,1.0
2000-06-14,119.5,119.6,114.0,114.0,19.3664,5017900,0.0,1.0
2000-06-15,115.0,119.9,114.5,117.0,19.876,4228600,0.0,1.0
2000-06-16,116.8,116.9,114.0,114.1,19.3834,3934900,0.0,1.0
2000-06-19,116.1,119.5,114.3,117.8,20.0119,2862900,0.0,1.0
2000-06-20,118.4,120.4,116.1,116.5,19.7911,2571300,0.0,1.0
2000-06-21,115.1,119.9,115.1,119.5,20.3007,2572700,0.0,1.0
2000-06-22,119.8,121.6,118.1,118.6,20.1478,3572400,0.0,1.0
2000-06-23,120.0,120.0,116.7,117.1,19.893,2377500,0.0,1.0
2000-06-26,118.6,121.8,118.0,120.0,20.3857,2141100,0.0,1.0
2000-06-27,119.5,122.3,116.6,116.6,19.8081,2847700,0.0,1.0
2000-06-28,120.8,124.9,120.1,123.8,21.0312,4553400,0.0,1.0
2000-06-29,123.7,123.9,119.0,119.8,20.3517,4623000,0.0,1.0
2000-06-30,120.0,125.0,119.9,124.9,21.2181,4265500,0.0,1.0
2000-07-03,124.0,124.9,123.1,124.3,21.1161,1003900,0.0,1.0
2000-07-05,124.4,124.4,119.6,119.6,20.3177,2773400,0.0,1.0
2000-07-06,121.8,121.8,115.6,118.4,20.1138,4324200,0.0,1.0
2000-07-07,119.3,125.0,118.4,124.8,21.2011,3616500,0.0,1.0
2000-07-10,123.5,124.8,122.0,123.7,21.0142,2153500,0.0,1.0
2000-07-11,123.0,126.9,122.8,126.6,21.5069,3470100,0.0,1.0
2000-07-12,127.3,130.3,126.0,128.4,21.8127,3717200,0.0,1.0
2000-07-13,128.5,135.2,128.1,134.9,22.9169,3747800,0.0,1.0
2000-07-14,134.9,136.2,133.0,133.8,22.73,3274600,0.0,1.0
2000-07-17,133.9,135.7,132.0,134.8,22.8999,2410200,0.0,1.0
2000-07-18,133.8,133.8,130.6,131.0,22.2543,2313800,0.0,1.0
2000-07-19,130.8,132.4,129.5,129.8,22.0505,2357200,0.0,1.0
2000-07-20,130.9,132.4,128.0,130.0,22.0845,2511300,0.0,1.0
2000-07-21,127.5,129.6,120.5,124.0,21.0652,7495300,0.0,1.0
2000-07-24,123.4,124.4,117.4,118.8,20.1818,3465000,0.0,1.0
2000-07-25,118.8,119.5,114.8,115.4,19.6042,5888900,0.0,1.0
2000-07-26,115.9,117.2,109.5,110.0,18.6869,7787700,0.0,1.0
2000-07-27,109.8,109.8,104.3,106.0,18.0073,4863700,0.0,1.0
2000-07-28,106.0,109.1,103.0,107.3,18.2282,4886300,0.0,1.0
2000-07-31,108.4,112.0,105.8,109.3,18.5679,5103800,0.0,1.0
2000-08-01,111.3,111.3,107.0,107.9,18.3301,2383000,0.0,1.0
2000-08-02,108.0,115.0,107.3,112.5,19.1116,5064600,0.0,1.0
2000-08-03,109.8,112.7,108.3,112.0,19.0266,3223800,0.0,1.0
2000-08-04,112.6,114.8,109.1,111.8,18.9926,2043400,0.0,1.0
2000-08-07,111.5,115.8,111.1,115.3,19.5872,3027000,0.0,1.0
2000-08-08,115.3,116.8,113.2,115.8,19.6722,2605300,0.0,1.0
2000-08-09,116.3,116.9,112.0,113.8,19.3324,2235200,0.0,1.0
2000-08-10,114.6,114.8,112.1,112.3,19.0776,1813600,0.0,1.0
2000-08-11,110.9,110.9,109.0,110.0,18.6869,2255400,0.0,1.0
2000-08-14,112.0,114.5,109.9,114.5,19.4513,2282200,0.0,1.0
2000-08-15,112.8,113.4,109.8,110.4,18.7548,2698500,0.0,1.0
2000-08-16,111.5,120.9,109.4,120.9,20.5385,4444900,0.0,1.0
2000-08-17,107.0,111.0,107.0,108.9,18.5,12396800,0.0,1.0
2000-08-18,109.9,113.0,108.6,112.0,19.0266,7333100,0.0,1.0
2000-08-21,112.1,112.9,110.6,111.0,18.8567,3094600,0.0,1.0
2000-08-22,111.6,114.5,111.3,113.1,19.2135,3614700,0.0,1.0
2000-08-23,112.0,115.7,111.1,115.0,19.5363,3147600,0.0,1.0
2000-08-24,115.5,119.9,115.3,119.9,20.3687,3097900,0.0,1.0
2000-08-25,119.0,119.4,117.3,118.8,20.1818,2232800,0.0,1.0
2000-08-28,118.8,121.4,117.4,120.0,20.3857,3011700,0.0,1.0
2000-08-29,121.1,121.4,118.9,119.9,20.3687,2618900,0.0,1.0
2000-08-30,120.5,120.6,117.6,118.0,20.0459,2003000,0.0,1.0
2000-08-31,120.0,121.5,119.6,120.6,20.4876,3080500,0.0,1.0
2000-09-01,122.0,126.4,121.3,125.0,21.2351,3246400,0.0,1.0
2000-09-05,125.4,125.6,122.4,122.9,20.8783,2530200,0.0,1.0
2000-09-06,123.5,123.5,119.5,120.0,20.3857,2445600,0.0,1.0
2000-09-07,121.1,125.3,120.6,123.8,21.0312,3065900,0.0,1.0
2000-09-08,124.4,124.4,121.0,121.0,20.5555,2305000,0.0,1.0
2000-09-11,117.3,118.3,113.6,114.0,19.3664,5091500,0.0,1.0
2000-09-12,111.0,112.6,108.0,111.0,18.8567,5967100,0.0,1.0
2000-09-13,108.6,108.8,104.9,105.0,17.8374,7424700,0.0,1.0
2000-09-14,107.0,108.3,105.1,108.3,18.3981,4745900,0.0,1.0
2000-09-15,106.8,107.0,102.0,103.0,17.4977,6932800,0.0,1.0
2000-09-18,103.6,105.6,101.6,103.0,17.5249,4553500,0.16,1.0
2000-09-19,104.9,106.5,103.3,106.5,18.1204,4479100,0.0,1.0
2000-09-20,106.0,106.0,100.3,102.4,17.4228,5388500,0.0,1.0
2000-09-21,103.6,103.8,94.0,95.0,16.1637,4345600,0.0,1.0
2000-09-22,97.75,104.4,96.0,104.2,17.729,8342700,0.0,1.0
2000-09-25,106.0,106.4,97.25,98.88,16.8239,4360300,0.0,1.0
2000-09-26,99.86,102.9,98.0,98.13,16.6963,5552100,0.0,1.0
2000-09-27,100.0,104.0,98.13,103.5,17.6099,8151300,0.0,1.0
2000-09-28,104.3,107.4,103.4,103.8,17.661,4180100,0.0,1.0
2000-09-29,103.0,103.0,95.69,97.0,16.504,8823600,0.0,1.0
2000-10-02,98.5,98.94,93.63,93.81,15.9612,5458200,0.0,1.0
2000-10-03,96.81,97.75,93.0,93.5,15.9085,4948900,0.0,1.0
2000-10-04,95.63,98.0,93.5,95.63,16.2709,4964100,0.0,1.0
2000-10-05,93.0,93.0,86.25,88.25,15.0152,9836100,0.0,1.0
2000-10-06,90.5,90.81,86.44,87.19,14.8349,6992000,0.0,1.0
2000-10-09,90.0,92.75,88.44,90.94,15.4729,3959100,0.0,1.0
2000-10-10,90.88,92.81,88.06,89.44,15.2177,4955000,0.0,1.0
2000-10-11,89.19,89.31,83.88,85.56,14.5576,6159300,0.0,1.0
2000-10-12,88.5,89.56,82.5,83.69,14.2394,6231300,0.0,1.0
2000-10-13,85.5,91.5,84.88,90.63,15.4202,6136800,0.0,1.0
