,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,46.44,46.69,46.0,46.13,6.3849,271700,0.0,1.0
2000-01-19,46.0,46.63,45.81,45.88,6.3503,381100,0.0,1.0
2000-01-20,45.38,45.44,44.69,45.25,6.2631,180300,0.0,1.0
2000-01-21,45.25,45.25,44.13,44.94,6.2202,409800,0.0,1.0
2000-01-24,45.13,45.25,43.63,43.81,6.0638,289200,0.0,1.0
2000-01-25,43.94,43.94,42.56,43.5,6.0209,433900,0.0,1.0
2000-01-26,43.75,44.38,43.31,43.69,6.0472,314200,0.0,1.0
2000-01-27,43.75,44.63,43.25,43.81,6.0638,372700,0.0,1.0
2000-01-28,43.63,43.75,42.5,43.75,6.0555,341500,0.0,1.0
2000-01-31,43.75,43.75,43.0,43.13,5.9697,267000,0.0,1.0
2000-02-01,43.13,44.0,42.38,42.56,5.8908,467900,0.0,1.0
2000-02-02,42.38,44.69,42.31,44.5,6.1593,418400,0.0,1.0
2000-02-03,44.56,45.69,44.56,45.38,6.2811,655700,0.0,1.0
2000-02-04,45.13,46.0,45.13,46.0,6.3669,384700,0.0,1.0
2000-02-07,45.63,45.69,45.31,45.44,6.2894,366500,0.0,1.0
2000-02-08,45.38,45.88,45.06,45.31,6.2714,409000,0.0,1.0
2000-02-09,45.19,45.19,42.81,43.06,5.96,348100,0.0,1.0
2000-02-10,43.0,43.25,42.31,43.13,5.9697,474800,0.0,1.0
2000-02-11,43.06,43.5,43.0,43.19,5.978,268800,0.0,1.0
2000-02-14,43.19,43.31,42.75,42.75,5.9171,406800,0.0,1.0
2000-02-15,42.94,43.38,42.38,43.38,6.0043,308300,0.0,1.0
2000-02-16,43.25,43.94,42.75,42.94,5.9434,434500,0.0,1.0
2000-02-17,43.0,43.0,40.56,40.69,5.632,449700,0.0,1.0
2000-02-18,40.88,41.56,39.5,40.38,5.5891,358100,0.0,1.0
2000-02-22,40.38,41.19,39.94,40.44,5.5974,289000,0.0,1.0
2000-02-23,40.19,41.19,40.19,40.69,5.632,367000,0.0,1.0
2000-02-24,41.13,42.5,41.13,42.5,5.8825,850200,0.0,1.0
2000-02-25,42.38,43.81,42.38,42.88,5.9351,462800,0.0,1.0
2000-02-28,42.75,42.81,41.38,41.63,5.7621,255100,0.0,1.0
2000-02-29,41.88,44.13,41.25,43.88,6.0735,551600,0.0,1.0
2000-03-01,44.13,44.5,43.38,43.75,6.0555,468800,0.0,1.0
2000-03-02,43.75,44.0,42.25,43.94,6.0818,294300,0.0,1.0
2000-03-03,43.88,44.94,43.88,44.88,6.2119,550800,0.0,1.0
2000-03-06,44.38,45.0,43.75,44.75,6.1939,456900,0.0,1.0
2000-03-07,44.63,44.63,42.5,42.5,5.8825,199000,0.0,1.0
2000-03-08,42.63,43.13,41.75,42.38,5.8659,315400,0.0,1.0
2000-03-09,41.88,43.38,41.88,43.13,6.0078,339600,0.275,1.0
2000-03-10,43.0,44.0,42.63,42.94,5.9813,253000,0.0,1.0
2000-03-13,42.69,42.81,41.94,42.06,5.8587,208400,0.0,1.0
2000-03-14,41.69,41.94,40.88,41.0,5.7111,224800,0.0,1.0
2000-03-15,41.25,42.69,41.06,41.88,5.8336,534800,0.0,1.0
2000-03-16,43.25,46.0,42.88,45.13,6.2864,1095900,0.0,1.0
2000-03-17,45.13,47.19,44.88,44.94,6.2599,767400,0.0,1.0
2000-03-20,44.94,45.06,43.25,43.69,6.0858,278900,0.0,1.0
2000-03-21,43.94,46.25,43.88,45.25,6.3031,704900,0.0,1.0
2000-03-22,44.88,45.0,43.5,44.13,6.1471,366800,0.0,1.0
2000-03-23,44.38,45.0,43.81,44.25,6.1638,985400,0.0,1.0
2000-03-24,45.0,45.75,42.38,42.81,5.9632,906700,0.0,1.0
2000-03-27,42.94,46.38,42.94,45.06,6.2766,842700,0.0,1.0
2000-03-28,44.69,46.19,44.63,45.25,6.3031,635300,0.0,1.0
2000-03-29,45.25,45.5,44.31,44.56,6.207,301200,0.0,1.0
2000-03-30,44.63,45.06,44.25,44.38,6.1819,283800,0.0,1.0
2000-03-31,44.13,45.19,43.69,44.75,6.2334,353400,0.0,1.0
2000-04-03,44.75,45.75,44.75,45.69,6.3644,248600,0.0,1.0
2000-04-04,45.5,45.63,44.19,44.44,6.1902,358200,0.0,1.0
2000-04-05,44.25,45.56,44.06,45.56,6.3462,360700,0.0,1.0
2000-04-06,45.56,46.0,45.0,45.44,6.3295,321600,0.0,1.0
2000-04-07,45.88,46.44,45.38,46.25,6.4424,472200,0.0,1.0
2000-04-10,46.63,48.5,46.5,48.06,6.6945,562200,0.0,1.0
2000-04-11,48.0,48.81,46.81,46.88,6.5301,318900,0.0,1.0
2000-04-12,47.38,49.5,47.38,48.19,6.7126,548300,0.0,1.0
2000-04-13,48.0,48.44,47.06,47.38,6.5998,366600,0.0,1.0
2000-04-14,46.88,46.88,43.19,43.31,6.0328,518700,0.0,1.0
2000-04-17,43.38,44.69,43.38,44.44,6.1902,480900,0.0,1.0
2000-04-18,44.19,44.75,42.5,43.06,5.998,675700,0.0,1.0
2000-04-19,43.19,43.75,43.0,43.63,6.0774,347100,0.0,1.0
2000-04-20,43.38,45.19,43.0,44.81,6.2418,374300,0.0,1.0
2000-04-24,44.5,45.63,44.44,45.5,6.3379,291100,0.0,1.0
2000-04-25,45.13,46.19,45.06,45.88,6.3908,242300,0.0,1.0
2000-04-26,45.38,45.38,43.69,43.88,6.1122,226800,0.0,1.0
2000-04-27,42.75,42.75,41.75,42.69,5.9465,427500,0.0,1.0
2000-04-28,42.13,42.19,40.0,41.81,5.8239,745000,0.0,1.0
2000-05-01,41.56,42.56,40.5,42.56,5.9284,527600,0.0,1.0
2000-05-02,40.19,40.25,33.13,35.13,4.8934,4968200,0.0,1.0
2000-05-03,35.06,36.13,32.94,33.13,4.6148,1936900,0.0,1.0
2000-05-04,32.81,33.75,32.69,33.31,4.6399,1263800,0.0,1.0
2000-05-05,33.0,33.19,31.56,32.0,4.4574,1317400,0.0,1.0
2000-05-08,31.88,32.69,31.81,32.19,4.4839,729800,0.0,1.0
2000-05-09,32.31,32.44,30.19,30.75,4.2833,1206400,0.0,1.0
2000-05-10,30.69,31.69,30.31,31.13,4.3362,966200,0.0,1.0
2000-05-11,32.0,33.25,31.69,33.0,4.5967,1114500,0.0,1.0
2000-05-12,32.81,32.94,32.25,32.56,4.5354,627400,0.0,1.0
2000-05-15,33.38,35.0,32.56,33.19,4.6232,1185400,0.0,1.0
2000-05-16,33.19,33.38,32.44,32.81,4.5702,880900,0.0,1.0
2000-05-17,32.56,32.56,31.69,31.88,4.4407,382800,0.0,1.0
2000-05-18,31.63,32.25,31.06,31.38,4.3711,765900,0.0,1.0
2000-05-19,30.88,31.38,30.5,30.69,4.2749,548700,0.0,1.0
2000-05-22,30.69,31.0,29.63,29.94,4.1705,338200,0.0,1.0
2000-05-23,29.81,29.94,28.5,28.94,4.0312,1037200,0.0,1.0
2000-05-24,29.19,30.13,29.19,29.94,4.1705,1370800,0.0,1.0
2000-05-25,29.88,30.44,28.75,29.0,4.0395,595200,0.0,1.0
2000-05-26,28.88,29.38,28.25,28.56,3.9782,814400,0.0,1.0
2000-05-30,29.0,30.06,28.75,30.0,4.1788,387500,0.0,1.0
2000-05-31,29.5,30.94,29.5,30.88,4.3014,684100,0.0,1.0
2000-06-01,30.88,32.88,30.81,32.63,4.5452,622900,0.0,1.0
2000-06-02,32.5,33.69,32.31,32.44,4.5187,415500,0.0,1.0
2000-06-05,32.5,33.25,31.13,31.69,4.4142,651700,0.0,1.0
2000-06-06,31.75,31.81,31.06,31.44,4.3794,317800,0.0,1.0
2000-06-07,31.5,32.69,31.5,32.25,4.4922,388600,0.0,1.0
2000-06-08,31.94,32.31,31.13,31.38,4.4094,474200,0.275,1.0
2000-06-09,27.5,29.94,26.94,28.69,4.0314,5556800,0.0,1.0
2000-06-12,29.0,29.44,29.0,29.19,4.1016,979800,0.0,1.0
