,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,40.25,40.81,40.06,40.69,3.5236,71300,0.0,1.0
2000-01-19,40.38,40.38,39.38,39.5,3.4357,117200,0.175,1.0
2000-01-20,39.69,39.69,39.19,39.63,3.447,66500,0.0,1.0
2000-01-21,40.0,40.0,39.06,39.44,3.4305,150900,0.0,1.0
2000-01-24,39.44,39.63,38.25,38.75,3.3705,142300,0.0,1.0
2000-01-25,38.69,38.81,38.25,38.5,3.3487,134000,0.0,1.0
2000-01-26,38.5,39.69,38.5,39.38,3.4253,147500,0.0,1.0
2000-01-27,39.63,39.94,38.75,38.75,3.3705,82300,0.0,1.0
2000-01-28,38.75,38.75,37.0,38.38,3.3383,208600,0.0,1.0
2000-01-31,38.38,40.63,38.13,40.63,3.534,124800,0.0,1.0
2000-02-01,40.38,40.38,38.0,38.81,3.3757,136300,0.0,1.0
2000-02-02,38.81,38.81,37.81,38.13,3.3165,166800,0.0,1.0
2000-02-03,38.13,38.19,37.25,37.88,3.2948,316300,0.0,1.0
2000-02-04,37.38,38.25,37.38,37.88,3.2948,187400,0.0,1.0
2000-02-07,37.63,37.69,37.0,37.13,3.2296,125400,0.0,1.0
2000-02-08,37.13,38.25,37.0,38.0,3.3052,99300,0.0,1.0
2000-02-09,38.25,38.63,38.0,38.38,3.3383,90600,0.0,1.0
2000-02-10,38.81,39.0,37.0,37.44,3.2565,191500,0.0,1.0
2000-02-11,37.38,37.38,35.44,35.88,3.1208,208600,0.0,1.0
2000-02-14,35.88,36.31,35.5,35.56,3.093,140100,0.0,1.0
2000-02-15,35.5,36.12,33.62,35.69,3.1043,327700,0.0,1.0
2000-02-16,18.0,18.44,17.13,18.0,3.1313,159100,0.0,2.0
2000-02-17,17.63,18.25,17.31,18.19,3.1643,292900,0.0,1.0
2000-02-18,17.94,18.5,17.5,18.0,3.1313,280700,0.0,1.0
2000-02-22,18.38,18.38,17.81,17.94,3.1208,286100,0.0,1.0
2000-02-23,17.75,17.75,17.34,17.69,3.0773,121700,0.0,1.0
2000-02-24,17.5,17.63,17.0,17.5,3.0443,409100,0.0,1.0
2000-02-25,17.88,17.88,17.25,17.38,3.0234,453900,0.0,1.0
2000-02-28,17.31,17.5,16.81,16.94,2.9469,239700,0.0,1.0
2000-02-29,17.06,17.38,16.63,16.69,2.9034,302900,0.0,1.0
2000-03-01,16.63,17.25,16.63,16.94,2.9469,334300,0.0,1.0
2000-03-02,16.69,16.75,16.31,16.31,2.8373,397700,0.0,1.0
2000-03-03,16.38,16.38,15.0,15.19,2.6424,890600,0.0,1.0
2000-03-06,15.25,16.0,15.25,15.44,2.6859,481500,0.0,1.0
2000-03-07,15.5,15.63,14.5,14.5,2.5224,587200,0.0,1.0
2000-03-08,15.0,15.31,14.94,15.13,2.632,405800,0.0,1.0
2000-03-09,16.0,16.0,15.0,15.06,2.6198,349800,0.0,1.0
2000-03-10,15.0,15.25,14.56,14.63,2.545,225300,0.0,1.0
2000-03-13,14.5,15.0,14.19,14.31,2.4894,183100,0.0,1.0
2000-03-14,14.31,14.38,13.63,14.13,2.458,451700,0.0,1.0
2000-03-15,14.25,16.94,13.88,15.25,2.6529,611600,0.0,1.0
2000-03-16,15.25,17.06,15.25,17.06,2.9677,516500,0.0,1.0
2000-03-17,15.75,16.5,15.0,15.0,2.6094,344600,0.0,1.0
2000-03-20,15.25,16.19,15.25,15.75,2.7399,521200,0.0,1.0
2000-03-21,16.0,16.0,15.25,15.38,2.6755,441300,0.0,1.0
2000-03-22,15.06,15.38,14.25,14.5,2.5224,373000,0.0,1.0
2000-03-23,15.0,15.13,14.75,15.0,2.6094,446600,0.0,1.0
2000-03-24,14.62,14.94,14.5,14.62,2.5433,233200,0.0,1.0
2000-03-27,14.94,15.13,14.5,14.5,2.5224,177600,0.0,1.0
2000-03-28,14.25,14.5,14.0,14.19,2.4685,288500,0.0,1.0
2000-03-29,14.25,14.5,14.13,14.44,2.512,147200,0.0,1.0
2000-03-30,15.0,16.88,14.81,15.0,2.6094,576500,0.0,1.0
2000-03-31,15.75,16.75,15.75,16.44,2.8599,549500,0.0,1.0
2000-04-03,16.19,16.63,14.5,14.63,2.545,574400,0.0,1.0
2000-04-04,14.69,15.75,14.63,15.75,2.7399,278400,0.0,1.0
2000-04-05,15.75,16.06,15.56,15.94,2.7729,406100,0.0,1.0
2000-04-06,16.0,16.38,15.75,15.75,2.7399,323700,0.0,1.0
2000-04-07,15.81,15.88,15.5,15.5,2.6964,266000,0.0,1.0
2000-04-10,15.75,16.13,15.56,15.63,2.719,111800,0.0,1.0
2000-04-11,15.75,15.88,15.56,15.75,2.7399,114600,0.0,1.0
2000-04-12,15.81,16.25,15.75,16.06,2.7938,247200,0.0,1.0
2000-04-13,16.19,16.38,16.0,16.31,2.8373,303300,0.0,1.0
2000-04-14,16.06,16.19,15.5,15.88,2.7625,254000,0.0,1.0
