,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,9.0,9.313,8.938,9.063,4.4639,1099300,0.0,1.0
2000-01-19,9.313,9.625,9.25,9.563,4.7102,1435600,0.0,1.0
2000-01-20,9.5,9.563,9.313,9.375,4.6176,1133300,0.0,1.0
2000-01-21,9.375,9.438,9.125,9.188,4.5255,524700,0.0,1.0
2000-01-24,9.313,9.5,9.188,9.188,4.5255,1226800,0.0,1.0
2000-01-25,9.313,9.5,9.063,9.313,4.5871,711400,0.0,1.0
2000-01-26,9.25,9.438,9.25,9.313,4.5871,362100,0.0,1.0
2000-01-27,9.313,9.438,9.125,9.25,4.556,1224800,0.0,1.0
2000-01-28,9.25,9.25,8.938,9.0,4.4329,1186900,0.0,1.0
2000-01-31,9.0,9.0,8.75,8.875,4.3713,459600,0.0,1.0
2000-02-01,9.0,9.188,8.875,9.125,4.4945,266800,0.0,1.0
2000-02-02,9.125,9.188,9.0,9.125,4.4945,479500,0.0,1.0
2000-02-03,9.125,9.188,9.063,9.188,4.5255,276200,0.0,1.0
2000-02-04,9.19,9.25,9.12,9.19,4.5265,843900,0.0,1.0
2000-02-07,9.188,9.5,9.188,9.313,4.5871,544400,0.0,1.0
2000-02-08,9.375,9.5,9.313,9.438,4.6486,431400,0.0,1.0
2000-02-09,9.375,9.5,9.375,9.438,4.6486,678800,0.0,1.0
2000-02-10,9.375,9.563,9.313,9.375,4.6176,366200,0.0,1.0
2000-02-11,9.313,9.375,9.063,9.125,4.4945,372700,0.0,1.0
2000-02-14,9.125,9.25,9.0,9.188,4.5255,964700,0.0,1.0
2000-02-15,9.125,9.25,9.063,9.188,4.5255,483400,0.0,1.0
2000-02-16,9.125,9.313,9.063,9.25,4.556,1242500,0.0,1.0
2000-02-17,9.313,9.5,9.188,9.438,4.6486,899100,0.0,1.0
2000-02-18,9.375,9.438,9.25,9.25,4.556,900200,0.0,1.0
2000-02-22,9.125,9.25,9.0,9.063,4.4639,607000,0.0,1.0
2000-02-23,9.063,9.125,9.0,9.125,4.4945,336800,0.0,1.0
2000-02-24,9.125,9.125,8.875,9.0,4.4329,711300,0.0,1.0
2000-02-25,9.0,9.0,8.75,8.938,4.4024,420300,0.0,1.0
2000-02-28,8.813,8.938,8.813,8.875,4.3713,317600,0.0,1.0
2000-02-29,8.875,9.0,8.75,8.875,4.3713,469400,0.0,1.0
2000-03-01,8.875,8.938,8.688,8.688,4.2792,459900,0.0,1.0
2000-03-02,8.75,8.813,8.5,8.688,4.2792,2714100,0.0,1.0
2000-03-03,8.625,8.688,8.563,8.625,4.2482,329500,0.0,1.0
2000-03-06,8.625,8.875,8.563,8.875,4.3713,1036200,0.0,1.0
2000-03-07,8.813,8.938,8.625,8.75,4.3098,537900,0.0,1.0
2000-03-08,8.688,8.813,8.625,8.813,4.3408,333300,0.0,1.0
2000-03-09,8.875,8.938,8.75,8.875,4.3713,656000,0.0,1.0
2000-03-10,8.938,9.188,8.938,8.938,4.4024,763000,0.0,1.0
2000-03-13,9.0,9.0,8.875,8.938,4.4024,135300,0.0,1.0
2000-03-14,8.938,9.0,8.75,8.875,4.3713,387200,0.0,1.0
2000-03-15,8.875,8.938,8.75,8.938,4.4024,267000,0.0,1.0
2000-03-16,9.0,9.25,8.938,8.938,4.4024,939500,0.0,1.0
2000-03-17,9.063,9.188,8.938,9.0,4.4329,411300,0.0,1.0
2000-03-20,9.0,9.125,8.875,9.0,4.4329,354600,0.0,1.0
2000-03-21,8.938,9.063,8.813,8.875,4.3713,286400,0.0,1.0
2000-03-22,8.875,8.938,8.813,8.938,4.4024,832900,0.0,1.0
2000-03-23,8.938,9.0,8.813,8.938,4.4024,292700,0.0,1.0
2000-03-24,8.875,9.0,8.875,8.875,4.3713,501000,0.0,1.0
2000-03-27,8.875,8.875,8.625,8.688,4.2792,462400,0.0,1.0
2000-03-28,8.563,8.875,8.5,8.875,4.3713,531500,0.0,1.0
2000-03-29,8.625,8.813,8.5,8.688,4.3827,465700,0.21,1.0
2000-03-30,8.625,8.938,8.625,8.813,4.4457,455300,0.0,1.0
2000-03-31,8.813,9.0,8.813,8.875,4.477,328900,0.0,1.0
2000-04-03,9.0,9.063,8.938,8.938,4.5088,502500,0.0,1.0
2000-04-04,9.0,9.063,8.875,8.938,4.5088,272600,0.0,1.0
2000-04-05,8.938,9.188,8.813,8.813,4.4457,896500,0.0,1.0
2000-04-06,8.938,9.5,8.938,9.5,4.7923,565100,0.0,1.0
2000-04-07,9.438,9.813,9.375,9.813,4.9502,817500,0.0,1.0
2000-04-10,9.938,10.0,9.813,9.875,4.9814,797800,0.0,1.0
2000-04-11,9.938,10.06,9.875,9.938,5.0132,799800,0.0,1.0
2000-04-12,9.938,10.63,9.938,10.44,5.2664,3580600,0.0,1.0
2000-04-13,10.44,10.56,10.19,10.31,5.2009,1169200,0.0,1.0
2000-04-14,10.31,10.31,9.75,10.0,5.0445,543700,0.0,1.0
2000-04-17,9.938,10.0,9.625,9.875,4.9814,412000,0.0,1.0
2000-04-18,9.75,10.06,9.75,10.0,5.0445,497900,0.0,1.0
2000-04-19,10.0,10.0,9.688,9.813,4.9502,591000,0.0,1.0
2000-04-20,9.938,10.06,9.938,9.938,5.0132,316200,0.0,1.0
2000-04-24,10.0,10.25,9.938,10.25,5.1706,477700,0.0,1.0
2000-04-25,10.31,10.44,10.25,10.44,5.2664,463200,0.0,1.0
2000-04-26,10.44,10.44,10.13,10.19,5.1403,419800,0.0,1.0
2000-04-27,10.06,10.63,10.0,10.56,5.327,752300,0.0,1.0
