,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.56,43.0,41.63,43.0,13.5671,501700,0.0,1.0
2000-01-19,42.5,43.38,42.13,43.13,13.6082,515700,0.0,1.0
2000-01-20,43.06,43.13,42.0,42.19,13.3116,543700,0.0,1.0
2000-01-21,42.19,42.44,40.75,41.25,13.015,480100,0.0,1.0
2000-01-24,41.63,41.63,40.13,40.13,12.6616,332900,0.0,1.0
2000-01-25,40.38,41.19,39.31,39.81,12.5606,320800,0.0,1.0
2000-01-26,40.0,40.44,39.25,40.19,12.6805,499100,0.0,1.0
2000-01-27,40.13,40.13,39.0,39.44,12.4439,311800,0.0,1.0
2000-01-28,39.25,39.25,37.75,37.75,11.9107,703800,0.0,1.0
2000-01-31,38.5,42.81,38.44,42.5,13.4094,991200,0.0,1.0
2000-02-01,42.25,42.5,40.25,40.56,12.7973,599200,0.0,1.0
2000-02-02,40.5,41.19,40.38,40.75,12.8572,650000,0.0,1.0
2000-02-03,40.94,41.81,40.94,41.38,13.056,487600,0.0,1.0
2000-02-04,41.63,41.75,41.0,41.5,13.0939,393400,0.0,1.0
2000-02-07,41.13,41.5,40.88,41.0,12.9361,313900,0.0,1.0
2000-02-08,41.0,42.19,41.0,42.19,13.3116,443800,0.0,1.0
2000-02-09,41.88,42.31,41.56,41.75,13.1727,455600,0.0,1.0
2000-02-10,41.5,42.13,41.19,42.0,13.2516,538800,0.0,1.0
2000-02-11,42.0,45.44,41.88,42.75,13.4883,1104600,0.0,1.0
2000-02-14,42.75,43.0,41.56,42.44,13.3905,442600,0.0,1.0
2000-02-15,42.25,44.13,42.25,43.81,13.8227,605700,0.0,1.0
2000-02-16,44.25,45.19,43.25,44.19,13.9426,825000,0.0,1.0
2000-02-17,44.06,45.06,44.0,44.56,14.0593,419200,0.0,1.0
2000-02-18,44.5,45.19,44.5,45.13,14.2392,607700,0.0,1.0
2000-02-22,44.94,47.25,44.38,46.69,14.7314,818000,0.0,1.0
2000-02-23,46.13,47.38,45.5,46.13,14.6367,925100,0.26,1.0
2000-02-24,45.31,45.31,43.69,44.75,14.1989,1386400,0.0,1.0
2000-02-25,44.81,45.31,44.19,45.13,14.3194,813700,0.0,1.0
2000-02-28,45.0,45.06,43.94,44.13,14.0022,523600,0.0,1.0
2000-02-29,43.0,43.94,41.88,43.94,13.9419,1073900,0.0,1.0
2000-03-01,43.94,45.0,43.0,44.81,14.2179,742900,0.0,1.0
2000-03-02,44.56,44.63,42.94,43.69,13.8625,425100,0.0,1.0
2000-03-03,43.44,43.44,42.88,43.13,13.6849,414000,0.0,1.0
2000-03-06,42.5,42.75,41.56,42.19,13.3866,444600,0.0,1.0
2000-03-07,41.19,41.25,39.63,40.0,12.6917,654100,0.0,1.0
2000-03-08,40.0,43.13,39.75,41.81,13.266,920800,0.0,1.0
2000-03-09,40.44,41.63,40.31,41.13,13.0503,826300,0.0,1.0
2000-03-10,40.69,41.0,39.75,40.0,12.6917,511000,0.0,1.0
2000-03-13,39.38,40.0,39.19,40.0,12.6917,412900,0.0,1.0
2000-03-14,40.0,41.13,40.0,40.94,12.99,534900,0.0,1.0
2000-03-15,41.0,43.88,40.63,43.75,13.8816,803300,0.0,1.0
2000-03-16,44.0,48.31,44.0,47.69,15.1317,946100,0.0,1.0
2000-03-17,46.5,47.0,46.13,46.13,14.6367,764700,0.0,1.0
2000-03-20,46.13,48.0,46.13,47.0,14.9128,729600,0.0,1.0
2000-03-21,47.25,47.25,46.0,46.94,14.8937,353900,0.0,1.0
2000-03-22,46.25,46.5,44.25,45.06,14.2972,525800,0.0,1.0
2000-03-23,44.63,45.44,43.81,45.31,14.3766,373300,0.0,1.0
2000-03-24,44.81,45.0,43.75,44.0,13.9609,487000,0.0,1.0
2000-03-27,43.13,43.94,43.0,43.19,13.7039,368200,0.0,1.0
2000-03-28,43.0,43.56,41.81,42.0,13.3263,1169300,0.0,1.0
2000-03-29,42.19,47.0,42.19,46.81,14.8525,1459500,0.0,1.0
2000-03-30,46.81,49.81,46.75,49.0,15.5474,811500,0.0,1.0
2000-03-31,49.63,50.69,48.75,48.75,15.468,786600,0.0,1.0
2000-04-03,48.5,48.88,47.0,47.0,14.9128,809700,0.0,1.0
2000-04-04,47.25,50.06,47.25,48.69,15.449,791100,0.0,1.0
2000-04-05,48.0,49.63,47.44,48.0,15.2301,313600,0.0,1.0
2000-04-06,47.5,47.63,46.75,47.56,15.0905,373100,0.0,1.0
2000-04-07,47.25,47.44,45.94,46.19,14.6558,372200,0.0,1.0
2000-04-10,46.19,46.56,45.88,46.44,14.7351,336000,0.0,1.0
2000-04-11,46.63,48.38,46.38,47.94,15.211,517400,0.0,1.0
2000-04-12,47.94,50.38,47.88,49.13,15.5886,673200,0.0,1.0
2000-04-13,49.38,49.38,48.0,48.31,15.3284,492800,0.0,1.0
2000-04-14,48.31,49.25,46.44,47.06,14.9318,552400,0.0,1.0
2000-04-17,47.19,47.94,45.88,46.81,14.8525,645300,0.0,1.0
2000-04-18,46.88,47.19,46.13,46.56,14.7732,251600,0.0,1.0
2000-04-19,46.75,48.5,46.44,47.56,15.0905,508000,0.0,1.0
2000-04-20,47.5,48.38,47.25,47.69,15.1317,269900,0.0,1.0
2000-04-24,47.0,50.44,47.0,49.13,15.5886,860700,0.0,1.0
2000-04-25,48.0,49.94,47.56,49.13,15.5886,430700,0.0,1.0
2000-04-26,48.88,48.88,47.13,47.63,15.1127,593900,0.0,1.0
2000-04-27,47.38,47.69,46.63,47.06,14.9318,462400,0.0,1.0
2000-04-28,46.75,46.75,45.0,45.5,14.4368,572900,0.0,1.0
2000-05-01,45.38,45.88,45.0,45.31,14.3766,323200,0.0,1.0
2000-05-02,45.31,46.31,45.0,45.88,14.5574,376800,0.0,1.0
2000-05-03,47.25,48.75,46.88,47.06,14.9318,565600,0.0,1.0
2000-05-04,47.31,48.13,46.53,47.25,14.9921,329400,0.0,1.0
2000-05-05,47.06,47.88,46.13,46.38,14.7161,237900,0.0,1.0
2000-05-08,46.19,48.63,46.06,48.25,15.3094,372100,0.0,1.0
2000-05-09,48.06,49.0,48.0,48.69,15.449,265200,0.0,1.0
2000-05-10,48.44,50.25,48.44,50.0,15.8647,506100,0.0,1.0
2000-05-11,49.5,50.56,49.44,50.0,15.8647,329700,0.0,1.0
2000-05-12,49.81,50.31,49.06,49.38,15.6679,445800,0.0,1.0
2000-05-15,49.75,51.94,49.69,51.56,16.3596,707100,0.0,1.0
2000-05-16,51.75,51.94,50.5,51.38,16.3025,282200,0.0,1.0
2000-05-17,51.13,51.13,49.63,50.25,15.944,198400,0.0,1.0
2000-05-18,50.13,51.13,49.63,50.69,16.0836,173000,0.0,1.0
2000-05-19,50.44,51.0,49.63,49.81,15.8044,277300,0.0,1.0
2000-05-22,49.31,51.13,49.06,50.94,16.1629,327900,0.0,1.0
2000-05-23,50.81,51.94,50.38,51.88,16.5437,340600,0.26,1.0
2000-05-24,51.75,53.44,51.75,53.06,16.92,454900,0.0,1.0
2000-05-25,52.94,53.31,52.19,53.25,16.9805,450100,0.0,1.0
2000-05-26,53.94,55.81,53.69,55.0,17.5386,772100,0.0,1.0
2000-05-30,54.94,54.94,52.94,53.81,17.1591,687300,0.0,1.0
2000-05-31,54.19,54.19,52.44,52.5,16.7414,568000,0.0,1.0
2000-06-01,52.25,52.38,50.88,51.38,16.3842,465100,0.0,1.0
2000-06-02,52.13,52.13,50.0,50.06,15.9633,545600,0.0,1.0
2000-06-05,50.25,51.25,49.0,49.19,15.6859,460300,0.0,1.0
2000-06-06,49.25,51.06,49.0,50.81,16.2025,386600,0.0,1.0
2000-06-07,50.44,52.69,50.44,52.13,16.6234,499000,0.0,1.0
2000-06-08,52.88,52.88,50.81,52.38,16.7031,389200,0.0,1.0
2000-06-09,52.38,52.44,51.44,51.81,16.5213,224800,0.0,1.0
2000-06-12,51.81,52.63,51.5,51.56,16.4416,198400,0.0,1.0
2000-06-13,51.75,52.81,51.5,52.56,16.7605,363000,0.0,1.0
2000-06-14,52.69,53.31,52.19,53.25,16.9805,319600,0.0,1.0
2000-06-15,53.31,54.19,53.25,53.31,16.9997,266900,0.0,1.0
2000-06-16,52.44,53.19,51.63,51.69,16.4831,360400,0.0,1.0
2000-06-19,51.63,52.25,50.88,52.06,16.6011,547400,0.0,1.0
2000-06-20,52.06,52.13,50.5,50.56,16.1227,413500,0.0,1.0
2000-06-21,50.0,50.19,48.44,49.63,15.8262,952800,0.0,1.0
2000-06-22,49.0,49.13,48.56,48.81,15.5647,550900,0.0,1.0
2000-06-23,47.63,49.75,47.19,49.69,15.8453,616400,0.0,1.0
2000-06-26,49.56,50.69,49.5,50.0,15.9442,343300,0.0,1.0
2000-06-27,50.19,51.13,50.0,50.88,16.2248,306000,0.0,1.0
2000-06-28,50.44,50.69,49.31,50.23,16.0175,297700,0.0,1.0
2000-06-29,49.0,49.31,48.31,48.69,15.5264,432200,0.0,1.0
2000-06-30,48.69,48.81,48.13,48.5,15.4658,524100,0.0,1.0
2000-07-03,48.75,48.94,47.88,48.13,15.3479,199400,0.0,1.0
2000-07-05,47.38,48.56,47.38,48.19,15.367,580700,0.0,1.0
2000-07-06,47.13,47.25,45.06,45.88,14.6304,1202900,0.0,1.0
2000-07-07,45.38,46.38,44.88,46.31,14.7675,480300,0.0,1.0
2000-07-10,45.69,45.94,44.81,45.31,14.4486,380000,0.0,1.0
2000-07-11,44.75,45.38,44.44,45.38,14.4709,409300,0.0,1.0
2000-07-12,45.13,45.19,44.25,44.5,14.1903,241900,0.0,1.0
2000-07-13,44.5,45.13,44.5,45.06,14.3689,257200,0.0,1.0
2000-07-14,44.88,45.25,44.63,44.75,14.27,296900,0.0,1.0
2000-07-17,44.75,44.75,43.44,43.81,13.9703,272200,0.0,1.0
2000-07-18,43.81,44.88,43.69,44.75,14.27,305900,0.0,1.0
2000-07-19,44.88,45.81,44.75,45.19,14.4103,425700,0.0,1.0
2000-07-20,45.25,45.75,44.44,44.5,14.1903,257600,0.0,1.0
2000-07-21,44.25,44.5,43.13,43.13,13.7534,278500,0.0,1.0
2000-07-24,42.88,43.56,42.5,43.19,13.7726,423600,0.0,1.0
2000-07-25,43.31,45.38,43.31,44.19,14.0915,426100,0.0,1.0
2000-07-26,44.38,47.94,44.38,46.5,14.8281,1242900,0.0,1.0
2000-07-27,46.5,47.44,45.5,45.75,14.5889,526300,0.0,1.0
2000-07-28,45.88,46.88,45.56,46.56,14.8472,349200,0.0,1.0
2000-07-31,46.56,46.88,45.88,46.25,14.7484,661800,0.0,1.0
2000-08-01,46.06,46.69,46.0,46.25,14.7484,342400,0.0,1.0
2000-08-02,46.31,46.56,45.56,46.25,14.7484,474300,0.0,1.0
2000-08-03,46.44,46.94,46.06,46.38,14.7898,294700,0.0,1.0
2000-08-04,46.5,47.06,46.0,46.88,14.9493,332900,0.0,1.0
2000-08-07,46.75,46.88,45.5,46.75,14.9078,300100,0.0,1.0
2000-08-08,46.31,46.44,45.69,46.44,14.8089,243700,0.0,1.0
2000-08-09,46.19,46.31,45.25,46.13,14.7101,244200,0.0,1.0
2000-08-10,46.25,47.81,46.25,47.0,14.9875,348700,0.0,1.0
2000-08-11,47.25,47.75,46.31,46.69,14.8887,270900,0.0,1.0
2000-08-14,46.56,46.75,46.0,46.31,14.7675,238300,0.0,1.0
2000-08-15,46.25,46.94,46.13,46.19,14.7292,187700,0.0,1.0
2000-08-16,46.06,46.13,45.19,45.88,14.6304,425300,0.0,1.0
2000-08-17,45.19,45.88,45.19,45.44,14.4901,232500,0.0,1.0
2000-08-18,45.38,45.44,44.44,44.5,14.1903,630800,0.0,1.0
2000-08-21,44.5,45.25,44.31,45.0,14.3498,501700,0.0,1.0
2000-08-22,45.06,45.13,44.19,44.56,14.2094,289900,0.0,1.0
2000-08-23,44.25,44.94,44.06,44.88,14.4008,222000,0.28,1.0
2000-08-24,44.75,44.94,44.38,44.44,14.2596,267600,0.0,1.0
2000-08-25,44.38,44.88,43.75,43.75,14.0382,552400,0.0,1.0
2000-08-28,43.94,44.69,43.81,44.13,14.1601,768800,0.0,1.0
2000-08-29,44.19,44.44,43.81,44.0,14.1184,313100,0.0,1.0
2000-08-30,44.19,44.19,43.13,43.13,13.8392,446900,0.0,1.0
2000-08-31,43.13,43.13,42.25,42.69,13.6981,346100,0.0,1.0
2000-09-01,43.0,43.0,41.56,42.44,13.6178,862100,0.0,1.0
2000-09-05,42.38,42.63,41.56,42.13,13.5184,901400,0.0,1.0
2000-09-06,42.63,45.13,42.38,44.44,14.2596,671600,0.0,1.0
2000-09-07,44.44,45.19,44.06,44.75,14.3591,460200,0.0,1.0
2000-09-08,44.56,45.0,44.25,44.81,14.3783,269700,0.0,1.0
2000-09-11,45.19,45.19,44.13,44.19,14.1794,213200,0.0,1.0
2000-09-12,44.13,45.25,44.0,45.13,14.481,268900,0.0,1.0
2000-09-13,44.75,45.31,44.5,45.25,14.5195,292400,0.0,1.0
2000-09-14,45.19,45.94,45.06,45.63,14.6414,704400,0.0,1.0
2000-09-15,45.63,46.94,45.63,46.81,15.0201,674600,0.0,1.0
2000-09-18,48.88,48.94,47.44,48.13,15.4436,1003200,0.0,1.0
2000-09-19,48.0,48.63,47.88,48.56,15.5816,600400,0.0,1.0
2000-09-20,48.44,49.13,47.5,49.13,15.7645,568700,0.0,1.0
2000-09-21,48.94,50.19,48.94,49.75,15.9634,554600,0.0,1.0
2000-09-22,49.94,52.06,49.81,50.94,16.3453,514700,0.0,1.0
2000-09-25,50.69,50.75,49.25,49.44,15.864,449800,0.0,1.0
2000-09-26,49.31,50.5,49.31,50.13,16.0854,450500,0.0,1.0
2000-09-27,50.5,52.75,50.25,52.19,16.7464,637600,0.0,1.0
2000-09-28,52.63,54.38,52.56,53.5,17.1667,745900,0.0,1.0
2000-09-29,53.56,54.69,53.44,54.13,17.3688,605100,0.0,1.0
2000-10-02,53.69,53.75,51.5,52.5,16.8458,514000,0.0,1.0
2000-10-03,52.38,52.44,50.81,50.88,16.326,839600,0.0,1.0
2000-10-04,51.0,51.63,50.63,51.63,16.5667,687700,0.0,1.0
2000-10-05,52.0,52.88,51.81,52.38,16.8073,284500,0.0,1.0
2000-10-06,52.5,53.25,52.25,52.75,16.926,314400,0.0,1.0
2000-10-09,52.63,53.75,52.63,53.63,17.2084,293500,0.0,1.0
2000-10-10,53.63,53.69,52.44,52.63,16.8875,362600,0.0,1.0
2000-10-11,52.19,53.25,52.13,52.81,16.9453,377400,0.0,1.0
2000-10-12,52.81,52.81,51.63,52.19,16.7464,323200,0.0,1.0
2000-10-13,52.06,52.56,50.44,50.69,16.265,526600,0.0,1.0
2000-10-16,51.0,51.69,50.13,51.13,16.4062,751400,0.0,1.0
2000-10-17,51.13,51.31,50.0,50.19,16.1046,561800,0.0,1.0
2000-10-18,50.19,50.44,49.63,50.31,16.1431,354700,0.0,1.0
2000-10-19,50.31,50.75,49.0,49.31,15.8222,371400,0.0,1.0
2000-10-20,49.25,49.38,48.56,48.75,15.6426,253600,0.0,1.0
2000-10-23,49.25,50.25,48.44,49.75,15.9634,361100,0.0,1.0
2000-10-24,50.13,51.94,50.13,51.56,16.5442,739100,0.0,1.0
