,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,119.69,119.75,115.0,115.75,77.5574,7643900,0.0,1.0
2000-01-19,115.56,122.0,112.69,119.5,80.07,8634500,0.0,1.0
2000-01-20,123.0,124.75,119.0,119.0,79.735,17783400,0.0,1.0
2000-01-21,121.87,123.0,119.94,121.5,81.4101,7868700,0.0,1.0
2000-01-24,121.87,122.87,116.56,121.5,81.4101,6499200,0.0,1.0
2000-01-25,116.75,119.5,116.0,119.12,79.8154,6936900,0.0,1.0
2000-01-26,119.06,119.94,116.0,116.75,78.2274,4895100,0.0,1.0
2000-01-27,118.0,118.44,111.62,113.5,76.0498,8324600,0.0,1.0
2000-01-28,112.75,114.19,110.06,111.56,74.7499,6669400,0.0,1.0
2000-01-31,111.37,112.81,109.62,112.25,75.2122,6202700,0.0,1.0
2000-02-01,112.37,113.44,109.12,110.0,73.7046,7304700,0.0,1.0
2000-02-02,112.0,115.81,110.37,113.5,76.0498,7707700,0.0,1.0
2000-02-03,115.0,117.5,114.06,117.12,78.4753,6213800,0.0,1.0
2000-02-04,118.19,118.44,114.81,115.62,77.4702,5405300,0.0,1.0
2000-02-07,116.0,116.87,113.12,114.12,76.4652,5779500,0.0,1.0
2000-02-08,116.94,119.0,116.19,118.81,79.6881,5464300,0.12,1.0
2000-02-09,119.0,119.75,117.0,117.37,78.7222,5374700,0.0,1.0
2000-02-10,117.69,119.12,116.87,119.12,79.896,4446600,0.0,1.0
2000-02-11,119.06,119.44,114.56,115.37,77.3808,5749400,0.0,1.0
2000-02-14,116.0,116.37,114.5,116.06,77.8436,4544000,0.0,1.0
2000-02-15,115.87,117.44,113.87,117.12,78.5546,5177500,0.0,1.0
2000-02-16,116.5,117.31,115.25,115.75,77.6357,3966900,0.0,1.0
2000-02-17,116.5,118.87,115.75,116.75,78.3064,5237500,0.0,1.0
2000-02-18,115.25,115.94,111.5,112.5,75.4558,7673400,0.0,1.0
2000-02-22,112.0,113.44,108.75,111.0,74.4498,7654800,0.0,1.0
2000-02-23,110.5,110.5,108.5,108.75,72.9407,7435300,0.0,1.0
2000-02-24,108.81,111.0,108.19,110.5,74.1144,9112000,0.0,1.0
2000-02-25,109.87,109.87,104.94,108.0,72.4376,10312200,0.0,1.0
2000-02-28,104.62,106.5,103.94,104.5,70.0901,8479900,0.0,1.0
2000-02-29,105.56,105.56,100.94,102.75,68.9163,10484900,0.0,1.0
2000-03-01,102.0,105.5,100.06,100.25,67.2395,10807800,0.0,1.0
2000-03-02,100.5,105.44,99.5,103.12,69.1645,11192900,0.0,1.0
2000-03-03,107.25,110.0,106.06,108.0,72.4376,10162800,0.0,1.0
2000-03-06,109.94,111.0,101.0,103.06,69.1243,10747400,0.0,1.0
2000-03-07,106.0,107.0,101.69,103.0,69.084,10035100,0.0,1.0
2000-03-08,103.0,106.87,102.75,106.25,71.2639,8376400,0.0,1.0
2000-03-09,106.5,108.0,104.12,108.0,72.4376,6334100,0.0,1.0
