,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,36.0,36.75,35.75,36.44,23.5227,185100,0.0,1.0
2000-01-19,36.31,37.06,36.22,36.69,23.6841,248300,0.0,1.0
2000-01-20,36.69,37.06,36.56,36.81,23.7616,236200,0.0,1.0
2000-01-21,37.5,37.5,36.56,36.63,23.6454,246300,0.0,1.0
2000-01-24,36.38,36.56,35.81,35.81,23.116,283600,0.0,1.0
2000-01-25,35.56,36.19,34.88,35.63,22.9998,404600,0.0,1.0
2000-01-26,35.63,36.25,34.75,36.19,23.3613,245600,0.0,1.0
2000-01-27,35.75,36.38,35.38,36.06,23.2774,154900,0.0,1.0
2000-01-28,36.06,36.19,34.69,35.88,23.1612,425100,0.0,1.0
2000-01-31,35.88,36.13,35.5,35.69,23.0386,206000,0.0,1.0
2000-02-01,35.44,35.63,35.0,35.44,22.8772,169500,0.0,1.0
2000-02-02,35.38,35.63,35.0,35.31,22.7933,269300,0.0,1.0
2000-02-03,35.0,36.31,35.0,36.19,23.3613,320200,0.0,1.0
2000-02-04,36.19,36.19,35.44,35.5,22.9159,224700,0.0,1.0
2000-02-07,35.25,35.5,34.88,35.0,22.5932,317700,0.0,1.0
2000-02-08,34.0,34.56,33.5,34.56,22.3091,326900,0.0,1.0
2000-02-09,33.88,33.88,32.25,33.31,21.5022,510600,0.0,1.0
2000-02-10,33.31,33.75,32.75,33.5,21.6249,274700,0.0,1.0
2000-02-11,33.0,33.75,31.56,32.56,21.0181,374900,0.0,1.0
2000-02-14,32.0,32.44,31.31,32.44,20.9406,274300,0.0,1.0
2000-02-15,32.25,33.88,32.13,33.5,21.6249,276800,0.0,1.0
2000-02-16,33.5,33.5,32.19,33.13,21.386,204100,0.0,1.0
2000-02-17,33.38,33.5,31.75,32.38,20.9019,257600,0.0,1.0
2000-02-18,32.0,32.0,31.5,31.75,20.4952,196700,0.0,1.0
2000-02-22,31.31,32.44,31.13,31.69,20.4565,375700,0.0,1.0
2000-02-23,31.75,31.75,30.25,30.31,19.5657,381100,0.0,1.0
2000-02-24,30.38,30.38,29.31,30.25,19.5269,780100,0.0,1.0
2000-02-25,29.94,30.25,29.25,29.75,19.2042,224200,0.0,1.0
2000-02-28,29.75,30.19,29.69,29.81,19.2429,476900,0.0,1.0
2000-02-29,29.56,30.63,29.19,30.0,19.3656,471200,0.0,1.0
2000-03-01,30.25,30.25,29.56,29.94,19.3268,296700,0.0,1.0
2000-03-02,30.19,30.19,29.0,29.31,18.9202,5187800,0.0,1.0
2000-03-03,29.25,32.0,28.81,30.0,19.3656,1271000,0.0,1.0
2000-03-06,30.38,30.38,28.75,29.88,19.2881,469300,0.0,1.0
2000-03-07,29.88,30.44,28.88,29.13,18.804,646000,0.0,1.0
2000-03-08,29.13,30.69,29.13,29.88,19.2881,438400,0.0,1.0
2000-03-09,30.06,31.63,30.06,30.75,19.8497,502100,0.0,1.0
2000-03-10,30.38,31.63,29.38,31.25,20.1725,473100,0.0,1.0
2000-03-13,31.0,31.38,30.5,31.0,20.0111,396700,0.0,1.0
2000-03-14,31.0,31.25,30.56,31.13,20.095,223400,0.0,1.0
2000-03-15,31.94,34.19,31.0,33.81,21.825,426500,0.0,1.0
2000-03-16,33.5,35.5,32.88,35.38,22.8385,517700,0.0,1.0
2000-03-17,35.44,35.44,34.5,35.0,22.5932,368500,0.0,1.0
2000-03-20,35.0,35.0,34.19,34.44,22.2317,395800,0.0,1.0
2000-03-21,34.69,35.13,34.0,34.81,22.4705,256800,0.0,1.0
2000-03-22,34.13,34.25,33.19,33.44,21.8314,283400,0.38,1.0
2000-03-23,33.25,34.75,33.19,34.25,22.3603,158200,0.0,1.0
2000-03-24,34.0,34.5,33.81,34.19,22.3211,219100,0.0,1.0
2000-03-27,33.94,34.0,32.94,32.94,21.505,202500,0.0,1.0
2000-03-28,33.06,33.88,32.69,32.69,21.3418,185800,0.0,1.0
