,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,55.0,55.25,52.0625,52.1875,27.2968,3180500,0.0,1.0
2000-01-19,52.6875,53.8125,51.625,52.5,27.4603,3271100,0.0,1.0
2000-01-20,52.75,53.375,50.3125,50.6875,26.5122,2801900,0.0,1.0
2000-01-21,51.0,51.4375,49.5,50.125,26.218,3185800,0.0,1.0
2000-01-24,50.4375,50.6875,47.25,48.5,25.3681,3285800,0.0,1.0
2000-01-25,48.875,49.1875,46.25,47.75,24.9758,3237500,0.0,1.0
2000-01-26,47.75,49.5,47.5,48.25,25.2373,3280700,0.0,1.0
2000-01-27,48.3125,49.4375,46.75,47.8125,25.0085,1801700,0.0,1.0
2000-01-28,48.375,49.0625,47.5625,47.875,25.0411,1595000,0.0,1.0
2000-01-31,46.75,47.8125,46.375,47.625,24.9104,2242700,0.0,1.0
2000-02-01,46.8125,49.0,46.8125,48.0625,25.1392,1726000,0.0,1.0
2000-02-02,47.8125,48.0,46.125,47.6875,24.9431,2113500,0.0,1.0
2000-02-03,48.0,48.1875,45.3125,46.25,24.1912,2594000,0.0,1.0
2000-02-04,46.5,46.875,45.25,45.625,23.8643,2146100,0.0,1.0
2000-02-07,46.25,46.25,44.0625,44.5625,23.3085,1619000,0.0,1.0
2000-02-08,45.375,46.0625,44.5625,45.0,23.5374,2170900,0.0,1.0
2000-02-09,45.0,45.875,43.0625,43.125,22.5567,2348100,0.0,1.0
2000-02-10,43.0,43.75,41.5625,43.75,22.8836,4093200,0.0,1.0
2000-02-11,44.0,44.6875,41.5,42.6875,22.3278,4510100,0.0,1.0
2000-02-14,42.75,43.4375,41.5625,42.4375,22.1971,2715500,0.0,1.0
2000-02-15,42.25,44.4375,41.5625,43.5625,22.7855,4365800,0.0,1.0
2000-02-16,44.25,44.3125,42.625,43.1875,22.7185,1817300,0.247,1.0
2000-02-17,44.25,44.375,42.0625,42.5,22.3569,2715700,0.0,1.0
2000-02-18,42.5,42.5,39.5,40.5625,21.3377,3232900,0.0,1.0
2000-02-22,40.75,41.9375,40.0,41.5,21.8308,2472500,0.0,1.0
