,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,52.63,54.44,52.38,54.0,40.6167,805500,0.0,1.0
2000-01-19,54.0,55.94,53.5,55.56,41.7901,1375700,0.0,1.0
2000-01-20,55.56,55.56,53.19,53.31,40.0978,645500,0.0,1.0
2000-01-21,52.31,53.13,51.56,52.75,39.6765,1050900,0.0,1.0
2000-01-24,52.75,52.75,50.56,50.88,38.27,465700,0.0,1.0
2000-01-25,50.69,51.5,50.44,50.94,38.3151,916900,0.0,1.0
2000-01-26,50.94,51.56,49.75,50.69,38.1271,609400,0.0,1.0
2000-01-27,50.94,51.19,47.5,48.38,36.3896,1005500,0.0,1.0
2000-01-28,48.75,48.75,46.31,47.0,35.3516,753300,0.0,1.0
2000-01-31,47.0,47.0,45.25,46.0,34.5995,850900,0.0,1.0
2000-02-01,46.13,48.38,45.75,48.19,36.2467,941500,0.0,1.0
2000-02-02,48.0,49.13,47.88,48.31,36.3369,682400,0.0,1.0
2000-02-03,48.25,49.88,48.25,49.0,36.8559,772000,0.0,1.0
2000-02-04,50.06,50.31,49.19,50.06,37.6532,661900,0.0,1.0
2000-02-07,49.88,50.0,49.25,49.5,37.232,750400,0.0,1.0
2000-02-08,49.94,50.75,49.94,50.38,37.8939,734200,0.0,1.0
2000-02-09,49.75,49.81,47.38,47.75,35.9157,1043400,0.0,1.0
2000-02-10,48.0,48.25,46.69,46.94,35.3065,923600,0.0,1.0
2000-02-11,46.25,46.75,45.81,46.06,34.6446,1173400,0.0,1.0
2000-02-14,46.0,46.13,45.75,45.88,34.5092,545900,0.0,1.0
2000-02-15,45.94,46.13,45.44,45.94,34.5543,735400,0.0,1.0
2000-02-16,46.0,46.0,45.5,45.69,34.3663,846100,0.0,1.0
2000-02-17,45.94,45.94,44.5,44.56,33.5163,803000,0.0,1.0
2000-02-18,44.69,45.75,44.5,44.88,33.757,1430100,0.0,1.0
2000-02-22,45.5,45.88,44.63,45.0,33.8473,1046100,0.0,1.0
2000-02-23,44.75,45.38,42.88,43.0,32.343,1360800,0.0,1.0
2000-02-24,42.0,42.63,39.94,42.13,31.7525,2390900,0.085,1.0
2000-02-25,41.88,41.94,36.0,38.31,28.8735,5279000,0.0,1.0
2000-02-28,38.0,39.31,37.0,39.19,29.5367,1546800,0.0,1.0
2000-02-29,39.88,41.0,39.5,40.19,30.2904,1960300,0.0,1.0
2000-03-01,40.19,41.5,39.69,41.5,31.2777,1644400,0.0,1.0
2000-03-02,41.0,41.38,40.5,41.38,31.1873,1151700,0.0,1.0
2000-03-03,40.88,42.44,40.75,42.19,31.7977,838200,0.0,1.0
2000-03-06,42.19,42.19,40.88,41.31,31.1345,893200,0.0,1.0
2000-03-07,41.06,41.13,40.06,40.13,30.2452,1555500,0.0,1.0
2000-03-08,40.06,40.19,38.69,39.5,29.7703,938300,0.0,1.0
2000-03-09,39.25,39.25,36.63,37.63,28.361,1907600,0.0,1.0
2000-03-10,37.44,37.94,36.5,37.0,27.8861,1581100,0.0,1.0
2000-03-13,37.0,37.44,36.38,37.06,27.9314,1133900,0.0,1.0
2000-03-14,37.5,38.5,37.13,38.0,28.6398,1351300,0.0,1.0
2000-03-15,38.13,38.75,37.88,38.0,28.6398,1539800,0.0,1.0
2000-03-16,38.63,40.81,38.31,40.81,30.7577,1311800,0.0,1.0
2000-03-17,40.81,42.44,40.81,42.13,31.7525,1454200,0.0,1.0
2000-03-20,42.38,43.5,41.0,41.56,31.3229,1171200,0.0,1.0
2000-03-21,41.56,41.75,40.75,41.31,31.1345,977500,0.0,1.0
2000-03-22,40.94,42.63,40.88,42.44,31.9862,685900,0.0,1.0
2000-03-23,42.5,43.75,42.19,43.38,32.6946,1278300,0.0,1.0
2000-03-24,43.5,44.0,43.38,43.75,32.9735,1121800,0.0,1.0
2000-03-27,44.13,47.5,44.0,45.69,34.4356,1602600,0.0,1.0
2000-03-28,45.88,46.56,45.69,46.06,34.7145,917600,0.0,1.0
2000-03-29,46.13,48.5,45.94,48.25,36.365,2002900,0.0,1.0
2000-03-30,48.06,48.94,47.5,48.06,36.2218,1088600,0.0,1.0
2000-03-31,47.81,48.31,47.19,47.25,35.6114,932000,0.0,1.0
2000-04-03,47.25,47.5,46.75,47.38,35.7093,637100,0.0,1.0
2000-04-04,48.25,49.19,46.44,47.25,35.6114,1979500,0.0,1.0
2000-04-05,47.25,47.38,45.88,47.06,35.4682,882500,0.0,1.0
2000-04-06,47.0,48.75,46.94,48.25,36.365,869900,0.0,1.0
2000-04-07,48.13,48.25,46.5,47.44,35.7546,788400,0.0,1.0
2000-04-10,47.38,47.38,46.31,46.63,35.1441,1445800,0.0,1.0
2000-04-11,46.63,46.75,45.63,45.88,34.5788,926500,0.0,1.0
2000-04-12,46.0,46.06,44.0,44.88,33.8251,1037900,0.0,1.0
2000-04-13,44.38,44.38,42.69,43.56,32.8303,1147100,0.0,1.0
2000-04-14,43.0,43.0,39.13,40.94,30.8556,1364600,0.0,1.0
2000-04-17,39.13,39.38,37.19,38.0,28.6398,2191600,0.0,1.0
2000-04-18,38.63,39.25,38.0,38.44,28.9714,2573000,0.0,1.0
2000-04-19,38.69,39.19,38.06,38.5,29.0167,1287200,0.0,1.0
2000-04-20,38.69,39.19,38.56,39.13,29.4915,961500,0.0,1.0
2000-04-24,39.13,39.63,38.25,38.81,29.2503,939300,0.0,1.0
2000-04-25,39.0,40.06,39.0,39.69,29.9135,1620000,0.0,1.0
2000-04-26,42.25,42.75,41.25,41.25,31.0893,2866600,0.0,1.0
2000-04-27,39.75,41.13,39.75,40.75,30.7124,1924600,0.0,1.0
2000-04-28,40.75,41.63,40.75,41.0,30.9009,808600,0.0,1.0
2000-05-01,41.13,41.81,40.13,41.0,30.9009,562500,0.0,1.0
2000-05-02,41.25,41.5,40.25,40.25,30.3356,449500,0.0,1.0
2000-05-03,39.5,40.31,39.19,39.81,30.004,813400,0.0,1.0
2000-05-04,40.25,41.88,39.94,41.56,31.3229,944700,0.0,1.0
