,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,52.88,53.5,52.19,53.0,15.0663,443800,0.0,1.0
2000-01-19,53.25,53.31,51.31,52.0,14.782,1420100,0.0,1.0
2000-01-20,52.0,52.5,49.19,50.61,14.3869,1347650,0.0,1.0
2000-01-21,49.56,49.69,47.5,48.19,13.6989,1323200,0.0,1.0
2000-01-24,47.94,48.25,46.69,47.19,13.4147,1412000,0.0,1.0
2000-01-25,46.75,47.0,44.5,45.94,13.0593,1557450,0.0,1.0
2000-01-26,47.25,49.44,45.56,49.25,14.0003,1845400,0.0,1.0
2000-01-27,48.0,50.25,46.63,47.88,13.6108,1150300,0.0,1.0
2000-01-28,47.13,47.69,46.88,47.0,13.3606,891750,0.0,1.0
2000-01-31,47.25,47.25,46.31,47.06,13.3777,602800,0.0,1.0
2000-02-01,46.75,47.56,45.81,46.06,13.0934,484600,0.0,1.0
2000-02-02,47.0,47.88,46.44,46.44,13.2015,621700,0.0,1.0
2000-02-03,46.44,47.25,45.38,45.81,13.0224,964650,0.0,1.0
2000-02-04,46.25,46.63,45.75,46.5,13.2185,1336850,0.0,1.0
2000-02-07,46.25,46.38,44.75,45.06,12.8092,837950,0.0,1.0
2000-02-08,45.06,45.75,44.19,44.38,12.6159,892900,0.0,1.0
2000-02-09,44.5,44.88,42.75,42.75,12.1525,1183750,0.0,1.0
2000-02-10,43.0,44.38,39.75,40.19,11.4248,3722900,0.0,1.0
2000-02-11,40.69,40.94,38.25,38.94,11.1178,1723250,0.17,1.0
2000-02-14,39.13,41.19,38.94,41.13,11.743,1717100,0.0,1.0
2000-02-15,41.38,43.75,40.69,43.13,12.3141,1999050,0.0,1.0
2000-02-16,43.13,44.0,41.94,42.5,12.1342,960250,0.0,1.0
2000-02-17,42.38,42.44,41.09,41.81,11.9372,511650,0.0,1.0
2000-02-18,41.63,41.69,39.75,40.63,11.6003,730250,0.0,1.0
2000-02-22,40.38,41.06,39.5,40.75,11.6345,554250,0.0,1.0
2000-02-23,40.0,40.13,37.0,37.31,10.6524,1579100,0.0,1.0
2000-02-24,38.31,38.31,35.63,35.75,10.207,2386400,0.0,1.0
2000-02-25,36.5,36.56,35.13,35.38,10.1013,1448150,0.0,1.0
2000-02-28,35.38,37.88,35.19,37.13,10.601,1733500,0.0,1.0
2000-02-29,36.88,38.81,36.88,38.31,10.9379,1759800,0.0,1.0
2000-03-01,38.13,38.25,37.0,37.81,10.7951,733650,0.0,1.0
2000-03-02,37.56,37.56,35.06,35.94,10.2612,1153300,0.0,1.0
2000-03-03,36.75,38.38,36.19,36.88,10.5296,2057250,0.0,1.0
2000-03-06,37.5,38.81,36.5,37.31,10.6524,1616800,0.0,1.0
2000-03-07,37.88,38.13,34.81,34.88,9.9586,1392850,0.0,1.0
2000-03-08,35.13,36.63,35.0,35.0,9.9929,1302050,0.0,1.0
2000-03-09,35.0,36.19,34.13,35.88,10.2441,946750,0.0,1.0
2000-03-10,36.19,36.88,35.5,36.0,10.2784,666800,0.0,1.0
2000-03-13,35.5,35.75,35.13,35.5,10.1356,960650,0.0,1.0
2000-03-14,35.75,36.13,35.13,35.38,10.1013,1006100,0.0,1.0
2000-03-15,35.38,38.88,35.38,38.25,10.9208,1238450,0.0,1.0
2000-03-16,39.0,43.69,38.75,42.94,12.2598,1606050,0.0,1.0
2000-03-17,42.94,42.94,40.19,40.5,11.5632,978650,0.0,1.0
2000-03-20,41.38,42.25,40.88,41.38,11.8144,953500,0.0,1.0
2000-03-21,41.38,43.81,40.25,42.69,12.1884,1227450,0.0,1.0
2000-03-22,42.69,43.5,41.81,42.0,11.9914,1104000,0.0,1.0
2000-03-23,41.75,42.75,41.31,42.38,12.0999,1913050,0.0,1.0
2000-03-24,42.13,42.69,41.56,42.31,12.0799,836700,0.0,1.0
2000-03-27,42.44,43.25,40.56,40.56,11.5803,957400,0.0,1.0
2000-03-28,42.0,43.5,41.0,41.56,11.8658,1188000,0.0,1.0
2000-03-29,42.38,43.0,41.56,42.94,12.2598,1108850,0.0,1.0
2000-03-30,43.25,47.88,43.0,45.44,12.9736,1627300,0.0,1.0
2000-03-31,45.38,46.06,44.25,44.25,12.6338,1163350,0.0,1.0
2000-04-03,44.5,44.56,43.25,44.25,12.6338,905650,0.0,1.0
2000-04-04,44.38,47.88,44.25,47.0,13.419,1837150,0.0,1.0
2000-04-05,46.38,47.56,44.75,45.56,13.0078,779200,0.0,1.0
2000-04-06,45.63,46.88,44.94,45.25,12.9193,498650,0.0,1.0
2000-04-07,45.25,45.44,44.0,44.13,12.5996,618350,0.0,1.0
2000-04-10,43.88,45.88,43.31,45.5,12.9907,874350,0.0,1.0
2000-04-11,45.25,46.63,44.88,45.06,12.8651,656900,0.0,1.0
2000-04-12,44.81,48.31,44.81,46.81,13.3647,1412100,0.0,1.0
2000-04-13,47.06,48.56,47.06,48.25,13.7759,1012950,0.0,1.0
2000-04-14,47.0,47.0,41.5,41.94,11.9743,1948850,0.0,1.0
2000-04-17,42.19,45.38,42.19,43.56,12.4368,1250450,0.0,1.0
2000-04-18,43.81,44.5,43.0,43.31,12.3654,1964100,0.0,1.0
2000-04-19,43.75,44.0,41.19,41.25,11.7773,1043650,0.0,1.0
2000-04-20,42.63,44.63,42.56,44.06,12.5796,1051050,0.0,1.0
2000-04-24,43.63,46.25,43.63,45.81,13.0792,926450,0.0,1.0
2000-04-25,44.81,46.38,44.44,46.25,13.2048,875350,0.0,1.0
2000-04-26,46.38,46.69,44.5,45.38,12.9564,888750,0.0,1.0
2000-04-27,45.38,47.5,44.88,47.0,13.419,851850,0.0,1.0
2000-04-28,46.75,47.13,45.38,46.94,13.4018,934200,0.0,1.0
2000-05-01,46.69,46.88,45.63,46.56,13.2934,1013850,0.0,1.0
2000-05-02,46.81,47.81,46.13,47.44,13.5446,603800,0.0,1.0
2000-05-03,47.0,47.13,46.13,46.44,13.2591,612100,0.0,1.0
