,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,33.69,33.69,32.5,32.69,4.761,130459,0.0,1.0
2000-01-19,32.88,33.06,32.63,32.69,4.761,34815,0.0,1.0
2000-01-20,32.63,33.63,32.63,33.5,4.879,61481,0.0,1.0
2000-01-21,33.5,35.0,33.25,34.5,5.0246,222015,0.0,1.0
2000-01-24,34.56,35.69,34.56,34.88,5.08,448415,0.0,1.0
2000-01-25,34.88,34.88,33.63,33.63,4.8979,130696,0.0,1.0
2000-01-26,33.63,34.94,33.5,33.5,4.879,139644,0.0,1.0
2000-01-27,33.63,34.25,33.5,33.5,4.879,270933,0.0,1.0
2000-01-28,33.63,34.38,33.0,34.0,4.9518,108919,0.0,1.0
2000-01-31,34.25,34.75,32.88,33.0,4.8062,138341,0.0,1.0
2000-02-01,32.88,32.88,32.06,32.63,4.7523,149185,0.0,1.0
2000-02-02,32.38,33.5,31.88,33.38,4.8615,84148,0.0,1.0
2000-02-03,33.13,34.25,33.13,33.63,4.8979,118193,0.0,1.0
2000-02-04,33.25,34.87,33.25,34.81,5.0698,48030,0.0,1.0
2000-02-07,34.63,34.63,32.75,33.0,4.8062,176326,0.0,1.0
2000-02-08,33.25,34.38,33.0,34.13,4.9707,154104,0.0,1.0
2000-02-09,34.0,34.0,32.13,32.13,4.6795,88474,0.0,1.0
2000-02-10,32.13,32.13,30.56,31.44,4.579,158252,0.0,1.0
2000-02-11,31.44,32.5,30.88,31.38,4.5702,194756,0.0,1.0
2000-02-14,31.31,31.31,29.0,30.0,4.3692,352326,0.0,1.0
2000-02-15,30.25,31.38,30.25,31.06,4.5236,209896,0.0,1.0
2000-02-16,30.94,31.13,30.94,31.0,4.5149,82726,0.0,1.0
2000-02-17,31.06,33.94,31.06,33.44,4.8702,132059,0.0,1.0
2000-02-18,33.44,33.63,32.44,32.75,4.7698,80919,0.0,1.0
2000-02-22,32.38,32.38,32.0,32.06,4.6693,27733,0.0,1.0
2000-02-23,32.0,32.0,29.0,31.31,4.56,227496,0.0,1.0
2000-02-24,31.31,31.31,30.13,30.5,4.4421,101481,0.0,1.0
2000-02-25,30.5,30.5,27.75,29.25,4.26,306844,0.0,1.0
2000-02-28,29.0,29.75,28.0,29.19,4.2513,177185,0.0,1.0
2000-02-29,29.13,31.38,29.0,30.5,4.4421,413096,0.0,1.0
2000-03-01,30.0,31.0,30.0,30.44,4.4333,154963,0.0,1.0
2000-03-02,30.56,31.0,30.25,30.75,4.4785,87911,0.0,1.0
2000-03-03,30.88,31.38,30.81,31.31,4.56,64356,0.0,1.0
2000-03-06,31.25,33.25,31.25,33.25,4.8426,229393,0.0,1.0
2000-03-07,33.25,33.38,32.06,32.06,4.6693,263170,0.0,1.0
2000-03-08,32.06,32.44,31.5,31.81,4.6329,111407,0.0,1.0
2000-03-09,31.69,32.5,31.38,32.19,4.6882,56267,0.0,1.0
2000-03-10,31.69,31.75,31.38,31.38,4.5702,83141,0.0,1.0
2000-03-13,31.13,32.88,31.13,32.25,4.6969,210074,0.0,1.0
2000-03-14,32.25,33.75,31.69,32.44,4.7246,296741,0.0,1.0
2000-03-15,32.19,33.56,31.56,32.94,4.7974,152356,0.0,1.0
2000-03-16,32.81,33.5,32.63,33.0,4.8062,339733,0.0,1.0
2000-03-17,32.69,33.0,32.38,32.38,4.7159,143022,0.0,1.0
2000-03-20,32.25,32.38,30.88,32.0,4.6605,239970,0.0,1.0
2000-03-21,31.63,32.69,31.38,32.69,4.761,131852,0.0,1.0
2000-03-22,32.56,34.75,32.56,33.81,4.9241,170726,0.0,1.0
2000-03-23,33.63,34.25,33.38,33.88,4.9343,106756,0.0,1.0
2000-03-24,33.63,34.5,33.5,33.63,4.8979,212681,0.0,1.0
2000-03-27,33.5,33.63,33.44,33.56,4.8877,66696,0.0,1.0
2000-03-28,33.56,34.0,33.25,33.5,4.879,170815,0.0,1.0
2000-03-29,33.5,34.13,33.5,33.81,4.9241,149067,0.0,1.0
2000-03-30,34.0,34.75,33.38,33.69,4.9067,161896,0.0,1.0
2000-03-31,33.56,34.75,33.56,34.06,4.9605,179793,0.0,1.0
2000-04-03,34.13,34.31,33.69,33.69,4.9067,96563,0.0,1.0
2000-04-04,33.69,34.31,32.81,33.31,4.8513,128593,0.0,1.0
2000-04-05,32.88,34.0,32.88,34.0,4.9518,151022,0.0,1.0
2000-04-06,33.75,34.0,33.31,33.44,4.8702,116681,0.0,1.0
2000-04-07,33.63,33.63,32.06,32.25,4.6969,75052,0.0,1.0
2000-04-10,31.25,31.88,30.75,30.75,4.4785,118607,0.0,1.0
2000-04-11,31.25,31.25,29.81,30.06,4.378,95822,0.0,1.0
2000-04-12,30.25,32.38,30.25,32.38,4.7159,138044,0.0,1.0
2000-04-13,32.31,33.25,32.31,33.0,4.8062,148059,0.0,1.0
2000-04-14,32.75,34.25,31.63,31.63,4.6066,323170,0.0,1.0
2000-04-17,31.38,31.88,29.63,31.0,4.5149,120148,0.0,1.0
2000-04-18,31.75,32.94,31.25,32.94,4.7974,201719,0.0,1.0
2000-04-19,32.75,33.38,32.56,33.13,4.8251,83378,0.0,1.0
2000-04-20,33.19,34.06,32.75,33.88,4.9343,81570,0.0,1.0
2000-04-24,33.63,34.25,33.31,34.25,4.9882,106756,0.0,1.0
2000-04-25,34.25,34.94,33.72,34.5,5.0246,244800,0.0,1.0
2000-04-26,34.44,34.44,34.0,34.31,4.997,40000,0.0,1.0
2000-04-27,34.13,34.94,34.0,34.88,5.08,207763,0.0,1.0
2000-04-28,34.63,35.56,34.5,35.06,5.1062,100889,0.0,1.0
2000-05-01,34.88,35.44,34.75,35.44,5.1615,96089,0.0,1.0
2000-05-02,35.31,36.75,34.69,35.63,5.1892,223941,0.0,1.0
2000-05-03,35.5,35.75,34.63,35.25,5.1339,190844,0.0,1.0
2000-05-04,35.25,36.0,35.0,35.06,5.1062,104563,0.0,1.0
2000-05-05,35.0,35.63,35.0,35.5,5.1703,69244,0.0,1.0
2000-05-08,35.25,35.88,34.69,35.63,5.1892,93511,0.0,1.0
2000-05-09,35.63,35.63,34.75,34.75,5.061,362696,0.0,1.0
2000-05-10,34.88,34.88,33.5,33.69,4.9067,168119,0.0,1.0
2000-05-11,33.94,35.63,33.94,35.5,5.1703,113244,0.0,1.0
2000-05-12,35.38,35.38,34.5,34.63,5.0436,72711,0.0,1.0
2000-05-15,34.63,34.63,33.75,33.81,4.9241,24533,0.0,1.0
2000-05-16,34.06,35.75,34.06,34.69,5.0523,90933,0.0,1.0
2000-05-17,34.69,34.69,33.75,33.75,4.9154,32622,0.0,1.0
2000-05-18,33.63,35.0,33.56,34.81,5.0698,113807,0.0,1.0
2000-05-19,34.88,34.88,34.0,34.0,4.9518,24948,0.0,1.0
