,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,66.25,66.44,64.5,64.56,21.1939,707600,0.0,1.0
2000-01-19,64.12,64.88,63.5,64.37,21.1315,624600,0.0,1.0
2000-01-20,65.0,65.12,62.5,62.94,20.6621,442300,0.0,1.0
2000-01-21,64.25,64.37,62.12,62.44,20.4979,1160400,0.0,1.0
2000-01-24,62.75,62.75,61.0,61.31,20.127,546000,0.0,1.0
2000-01-25,61.31,61.37,58.56,59.62,19.5722,1175400,0.0,1.0
2000-01-26,59.87,60.38,58.63,60.31,19.7987,914600,0.0,1.0
2000-01-27,60.38,61.56,59.5,59.75,19.6149,691000,0.0,1.0
2000-01-28,59.5,59.75,57.5,57.5,18.8762,554600,0.0,1.0
2000-01-31,58.0,59.62,56.94,58.5,19.2045,822000,0.0,1.0
2000-02-01,58.75,59.69,58.31,59.31,19.4704,617900,0.0,1.0
2000-02-02,59.31,59.94,58.69,59.31,19.4704,752700,0.0,1.0
2000-02-03,60.0,61.75,59.56,60.38,19.8217,771300,0.0,1.0
2000-02-04,60.62,60.62,59.94,60.31,19.7987,628600,0.0,1.0
2000-02-07,60.19,60.88,60.06,60.56,19.8808,510200,0.0,1.0
2000-02-08,60.81,61.31,59.44,59.69,19.5952,758100,0.0,1.0
2000-02-09,59.62,59.87,59.19,59.25,19.4507,617200,0.0,1.0
2000-02-10,59.44,59.62,56.0,57.0,18.7121,554100,0.0,1.0
2000-02-11,57.25,57.25,54.75,55.69,18.282,649600,0.0,1.0
2000-02-14,55.69,55.88,54.25,54.69,17.9538,840200,0.0,1.0
2000-02-15,54.62,59.69,54.5,58.5,19.2045,893700,0.0,1.0
2000-02-16,58.44,59.62,56.69,57.81,18.978,677900,0.0,1.0
2000-02-17,57.81,58.31,57.38,57.56,18.8959,612300,0.0,1.0
2000-02-18,56.0,58.25,56.0,56.31,18.4856,989000,0.0,1.0
2000-02-22,57.38,58.31,56.06,57.88,19.001,532600,0.0,1.0
2000-02-23,56.75,59.56,56.5,59.25,19.4507,652700,0.0,1.0
2000-02-24,58.0,58.06,54.69,56.56,18.5676,983100,0.0,1.0
2000-02-25,56.0,56.0,51.88,52.75,17.3169,1001300,0.0,1.0
2000-02-28,51.13,52.94,51.13,52.25,17.1527,1242800,0.0,1.0
2000-02-29,52.25,52.75,51.06,51.69,16.9689,1072500,0.0,1.0
2000-03-01,51.94,53.5,51.62,53.0,17.399,791200,0.0,1.0
2000-03-02,53.0,53.44,52.37,53.0,17.399,590600,0.0,1.0
2000-03-03,53.0,56.0,53.0,55.12,18.0949,509800,0.0,1.0
2000-03-06,55.88,56.38,53.19,53.94,17.7075,588100,0.0,1.0
2000-03-07,53.94,54.44,52.12,52.5,17.2348,844600,0.0,1.0
2000-03-08,52.69,54.81,52.5,54.06,17.7469,828100,0.0,1.0
2000-03-09,53.81,54.94,53.5,54.88,18.0161,740800,0.0,1.0
2000-03-10,54.62,54.88,53.56,54.38,17.852,502900,0.0,1.0
2000-03-13,53.0,54.5,52.0,54.19,17.7896,782800,0.0,1.0
