,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,61.75,63.5,60.5,60.5,14.0836,22480,0.0,1.0
2000-01-19,59.75,59.75,58.5,59.0,13.7344,7480,0.0,1.0
2000-01-20,57.75,57.75,56.0,56.75,13.2106,3600,0.0,1.0
2000-01-21,56.5,56.75,55.75,56.56,13.1664,13280,0.0,1.0
2000-01-24,57.25,57.94,57.25,57.94,13.4876,13200,0.0,1.0
2000-01-25,57.13,57.13,56.0,56.94,13.2549,10000,0.0,1.0
2000-01-26,55.5,55.5,54.0,54.44,12.6729,10000,0.0,1.0
2000-01-27,54.38,54.38,53.38,54.0,12.5705,11600,0.0,1.0
2000-01-28,53.75,53.75,53.5,53.5,12.4541,1600,0.0,1.0
2000-01-31,53.25,54.5,53.25,54.19,12.6147,7480,0.0,1.0
2000-02-01,54.0,55.0,53.88,55.0,12.8033,5080,0.0,1.0
2000-02-02,54.38,57.25,53.75,56.38,13.1245,28280,0.0,1.0
2000-02-03,55.38,55.75,54.75,55.5,12.9196,18200,0.0,1.0
2000-02-04,55.75,57.0,55.75,56.62,13.1804,5480,0.0,1.0
2000-02-07,56.75,58.25,56.75,57.88,13.4737,9000,0.0,1.0
2000-02-08,58.13,60.25,58.13,59.75,13.909,17680,0.0,1.0
2000-02-09,60.75,60.75,59.56,60.25,14.0254,10400,0.0,1.0
2000-02-10,59.75,59.75,57.0,57.19,13.3131,17200,0.0,1.0
2000-02-11,57.06,57.06,56.25,56.25,13.0942,2200,0.0,1.0
2000-02-14,56.0,56.13,55.88,56.13,13.0663,10600,0.0,1.0
2000-02-15,54.0,54.0,52.25,53.75,12.5123,12680,0.0,1.0
2000-02-16,55.63,57.0,55.63,56.69,13.1967,14280,0.0,1.0
2000-02-17,57.5,58.0,57.5,58.0,13.5016,4280,0.0,1.0
2000-02-18,59.75,59.75,58.5,58.75,13.6762,12400,0.0,1.0
2000-02-22,58.75,59.06,58.69,59.06,13.7484,8400,0.0,1.0
2000-02-23,58.5,58.5,57.63,57.75,13.4434,11280,0.0,1.0
2000-02-24,57.75,58.5,57.75,58.5,13.618,5600,0.0,1.0
2000-02-25,58.5,58.5,58.25,58.44,13.604,2400,0.0,1.0
2000-02-28,56.0,56.94,56.0,56.94,13.2549,7880,0.0,1.0
2000-02-29,56.81,57.06,56.38,57.06,13.2828,4000,0.0,1.0
2000-03-01,57.06,58.0,56.75,57.5,13.3852,8080,0.0,1.0
2000-03-02,57.25,59.5,57.25,59.0,13.7344,4400,0.0,1.0
2000-03-03,60.5,61.25,60.0,60.0,13.9672,10080,0.0,1.0
2000-03-06,61.88,62.75,61.63,61.63,14.3466,11680,0.0,1.0
2000-03-07,62.44,63.5,60.5,60.5,14.0836,14480,0.0,1.0
2000-03-08,62.31,62.75,61.94,62.0,14.4328,12080,0.0,1.0
2000-03-09,62.06,64.25,62.06,63.63,14.8122,12080,0.0,1.0
2000-03-10,63.5,63.5,62.25,62.25,14.491,9000,0.0,1.0
2000-03-13,60.75,60.75,59.5,59.5,13.8508,6800,0.0,1.0
2000-03-14,59.75,60.69,59.75,60.63,14.1138,9000,0.0,1.0
2000-03-15,59.94,59.94,59.5,59.88,13.9393,8200,0.0,1.0
2000-03-16,59.88,62.0,59.75,61.63,14.3466,7200,0.0,1.0
2000-03-17,63.44,63.63,62.5,62.5,14.5492,14280,0.0,1.0
2000-03-20,63.19,64.0,62.81,62.81,14.6213,11200,0.0,1.0
2000-03-21,64.38,69.38,64.38,68.75,16.0041,55880,0.0,1.0
