,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,52.47,55.88,52.06,55.25,10.9637,130600,0.0,1.0
2000-01-19,55.0,57.92,54.88,56.31,11.174,109400,0.0,1.0
2000-01-20,55.75,57.0,55.0,56.88,11.2872,55600,0.0,1.0
2000-01-21,57.13,58.25,56.5,58.13,11.5352,107400,0.0,1.0
2000-01-24,58.0,58.38,57.25,58.25,11.559,184800,0.0,1.0
2000-01-25,58.0,58.38,57.75,58.06,11.5213,85600,0.0,1.0
2000-01-26,57.88,59.0,57.75,58.0,11.5094,91000,0.0,1.0
2000-01-27,58.88,59.0,57.5,58.13,11.5352,96100,0.0,1.0
2000-01-28,58.0,58.88,57.75,58.38,11.5848,147500,0.0,1.0
2000-01-31,58.0,60.75,56.0,57.25,11.3606,207800,0.0,1.0
2000-02-01,57.25,58.13,53.25,55.0,10.9141,135100,0.0,1.0
2000-02-02,54.38,55.75,54.38,55.0,10.9141,106200,0.0,1.0
2000-02-03,54.78,55.97,54.78,55.25,10.9637,75900,0.0,1.0
2000-02-04,55.44,58.75,55.13,58.75,11.6582,113800,0.0,1.0
2000-02-07,57.0,59.38,57.0,59.25,11.7575,78800,0.0,1.0
2000-02-08,59.19,60.5,59.0,60.31,11.9678,127900,0.0,1.0
2000-02-09,60.25,61.13,60.25,60.63,12.0313,134600,0.0,1.0
2000-02-10,60.69,61.13,59.38,59.72,11.8507,99000,0.0,1.0
2000-02-11,59.97,61.75,59.44,61.0,12.1047,120200,0.0,1.0
2000-02-14,60.81,64.75,59.63,60.13,11.9519,373000,0.1,1.0
2000-02-15,61.0,61.0,59.06,59.44,11.8148,40900,0.0,1.0
2000-02-16,59.0,60.25,59.0,60.13,11.9519,185900,0.0,1.0
2000-02-17,60.31,60.31,58.5,60.0,11.9261,82100,0.0,1.0
2000-02-18,59.88,60.13,59.5,59.94,11.9142,127800,0.0,1.0
2000-02-22,59.91,60.0,59.0,59.5,11.8267,58700,0.0,1.0
2000-02-23,59.25,61.75,59.25,61.66,12.256,174800,0.0,1.0
2000-02-24,61.75,63.0,61.0,62.5,12.423,184800,0.0,1.0
2000-02-25,61.69,64.5,61.63,63.75,12.6715,104400,0.0,1.0
2000-02-28,63.75,65.0,62.94,64.66,12.8523,129400,0.0,1.0
2000-02-29,63.75,70.0,63.75,69.88,13.8899,126100,0.0,1.0
2000-03-01,69.56,70.75,68.88,70.5,14.0131,158800,0.0,1.0
2000-03-02,70.06,70.5,69.63,70.06,13.9257,115000,0.0,1.0
2000-03-03,35.03,35.75,34.75,35.09,13.9495,134600,0.0,2.0
2000-03-06,35.38,35.63,34.81,35.19,13.9893,153200,0.0,1.0
2000-03-07,35.25,35.25,32.0,34.38,13.6673,220500,0.0,1.0
2000-03-08,34.38,35.36,34.0,35.06,13.9376,175000,0.0,1.0
2000-03-09,35.25,37.38,34.75,37.06,14.7327,231700,0.0,1.0
2000-03-10,37.0,40.0,36.78,39.13,15.5556,351100,0.0,1.0
2000-03-13,37.5,38.13,36.5,37.06,14.7327,163400,0.0,1.0
2000-03-14,37.13,39.25,36.56,38.25,15.2058,217500,0.0,1.0
2000-03-15,38.5,38.81,36.19,37.19,14.7844,307500,0.0,1.0
2000-03-16,37.25,38.06,35.75,36.0,14.3113,142200,0.0,1.0
2000-03-17,36.06,38.5,36.0,36.09,14.3471,111500,0.0,1.0
2000-03-20,36.28,36.5,33.0,34.0,13.5162,93000,0.0,1.0
2000-03-21,33.38,34.25,32.0,34.06,13.5401,87400,0.0,1.0
2000-03-22,34.0,36.25,33.25,35.94,14.2874,73000,0.0,1.0
2000-03-23,36.63,38.13,36.0,37.06,14.7327,95200,0.0,1.0
2000-03-24,37.44,37.94,33.94,37.06,14.7327,180100,0.0,1.0
2000-03-27,37.0,37.38,36.0,36.0,14.3113,116800,0.0,1.0
2000-03-28,36.25,36.69,33.88,34.31,13.6395,76900,0.0,1.0
2000-03-29,34.31,35.25,33.0,34.38,13.6673,64200,0.0,1.0
2000-03-30,34.0,34.0,33.0,33.19,13.1942,80900,0.0,1.0
2000-03-31,33.5,37.0,33.13,36.88,14.6611,239500,0.0,1.0
2000-04-03,36.63,37.0,34.88,35.13,13.9654,210600,0.0,1.0
2000-04-04,35.13,35.88,30.0,33.75,13.4168,210000,0.0,1.0
2000-04-05,34.13,36.0,33.75,34.94,13.8899,170900,0.0,1.0
2000-04-06,34.69,36.44,34.31,36.25,14.4107,254600,0.0,1.0
2000-04-07,36.75,39.0,36.38,39.0,15.5039,332400,0.0,1.0
2000-04-10,39.0,39.0,34.0,34.63,13.7667,156700,0.0,1.0
2000-04-11,34.5,37.0,34.0,35.84,14.2477,138700,0.0,1.0
2000-04-12,35.25,37.0,34.5,35.81,14.2358,91400,0.0,1.0
2000-04-13,35.75,36.38,33.63,33.75,13.4168,81500,0.0,1.0
2000-04-14,33.0,33.0,31.63,31.94,12.6973,144000,0.0,1.0
2000-04-17,31.81,35.5,31.81,35.5,14.1125,163200,0.0,1.0
2000-04-18,35.5,37.88,34.31,37.88,15.0587,71900,0.0,1.0
2000-04-19,38.44,40.56,36.75,40.38,16.0525,248000,0.0,1.0
2000-04-20,40.31,40.5,38.5,38.56,15.329,88000,0.0,1.0
2000-04-24,38.56,39.56,36.0,39.56,15.7265,143100,0.0,1.0
2000-04-25,40.38,41.0,39.25,39.25,15.6033,328800,0.0,1.0
2000-04-26,39.88,41.31,36.0,36.0,14.3113,239200,0.0,1.0
2000-04-27,36.31,40.25,35.81,40.25,16.0008,226600,0.0,1.0
2000-04-28,40.31,40.88,38.81,39.5,15.7027,187700,0.0,1.0
2000-05-01,39.53,40.38,39.0,40.0,15.9014,100700,0.0,1.0
2000-05-02,40.0,40.31,37.38,37.38,14.8798,251200,0.05,1.0
2000-05-03,38.75,39.0,36.5,38.0,15.1266,94500,0.0,1.0
2000-05-04,38.0,40.44,37.25,39.5,15.7237,205600,0.0,1.0
2000-05-05,39.06,40.38,38.88,39.88,15.8749,124900,0.0,1.0
2000-05-08,40.0,40.0,36.5,36.63,14.5812,102500,0.0,1.0
2000-05-09,37.5,38.0,36.0,36.81,14.6529,79200,0.0,1.0
2000-05-10,36.53,36.75,36.13,36.31,14.4538,55400,0.0,1.0
2000-05-11,36.13,39.0,36.13,39.0,15.5246,109100,0.0,1.0
2000-05-12,38.56,38.94,36.63,36.63,14.5812,154500,0.0,1.0
2000-05-15,37.0,37.19,35.25,36.5,14.5295,168400,0.0,1.0
2000-05-16,36.44,38.38,36.38,38.38,15.2778,79500,0.0,1.0
2000-05-17,37.88,39.88,37.75,39.81,15.8471,154400,0.0,1.0
2000-05-18,39.5,39.75,37.25,37.25,14.828,127700,0.0,1.0
2000-05-19,37.28,38.5,36.5,37.25,14.828,76100,0.0,1.0
2000-05-22,37.5,37.5,36.0,37.25,14.828,112600,0.0,1.0
2000-05-23,37.13,37.25,36.25,36.44,14.5056,110000,0.0,1.0
2000-05-24,36.44,38.56,36.31,37.97,15.1146,159100,0.0,1.0
2000-05-25,37.75,40.0,37.75,38.0,15.1266,656000,0.0,1.0
2000-05-26,38.0,39.19,37.56,39.13,15.5764,275300,0.0,1.0
2000-05-30,39.13,40.25,38.63,40.13,15.9745,344400,0.0,1.0
2000-05-31,38.81,41.25,38.81,40.5,16.1217,552800,0.0,1.0
2000-06-01,44.94,47.0,44.0,46.69,18.5858,525800,0.0,1.0
2000-06-02,46.63,49.75,45.75,48.56,19.3302,561900,0.0,1.0
2000-06-05,47.94,47.94,46.88,47.06,18.7331,170700,0.0,1.0
2000-06-06,46.94,47.66,46.5,47.66,18.9719,264200,0.0,1.0
2000-06-07,47.31,49.0,47.0,49.0,19.5053,226000,0.0,1.0
2000-06-08,48.69,49.13,47.38,48.0,19.1073,243700,0.0,1.0
2000-06-09,48.56,49.0,47.63,48.44,19.2824,82300,0.0,1.0
2000-06-12,48.69,48.81,47.5,48.38,19.2585,193800,0.0,1.0
2000-06-13,47.13,48.88,46.88,48.88,19.4576,212200,0.0,1.0
2000-06-14,48.0,48.75,47.75,48.06,19.1311,73400,0.0,1.0
2000-06-15,48.28,50.38,47.5,50.31,20.0268,452400,0.0,1.0
2000-06-16,51.0,53.0,50.25,51.94,20.6756,801500,0.0,1.0
2000-06-19,52.0,52.13,49.88,51.0,20.3015,208000,0.0,1.0
2000-06-20,51.63,52.13,49.75,50.81,20.2258,329900,0.0,1.0
2000-06-21,51.25,51.25,48.5,49.5,19.7044,141000,0.0,1.0
2000-06-22,49.69,51.5,49.69,50.25,20.0029,229300,0.0,1.0
2000-06-23,50.0,50.56,45.19,45.94,18.2872,197400,0.0,1.0
2000-06-26,46.31,51.13,45.75,50.88,20.2537,181700,0.0,1.0
2000-06-27,49.63,49.88,47.0,48.44,19.2824,172700,0.0,1.0
2000-06-28,48.59,49.88,48.59,49.88,19.8556,253700,0.0,1.0
2000-06-29,48.25,48.92,46.63,48.56,19.3302,240300,0.0,1.0
2000-06-30,48.94,51.0,47.0,50.13,19.9551,785100,0.0,1.0
2000-07-03,50.0,50.0,48.5,48.81,19.4297,25300,0.0,1.0
2000-07-05,48.25,50.13,46.63,47.06,18.7331,130200,0.0,1.0
2000-07-06,47.31,48.0,45.88,47.63,18.96,163300,0.0,1.0
2000-07-07,48.0,49.5,47.75,49.38,19.6566,242900,0.0,1.0
2000-07-10,49.03,50.0,47.33,49.75,19.8039,144800,0.0,1.0
2000-07-11,49.88,51.13,49.63,49.81,19.8278,431900,0.0,1.0
2000-07-12,50.0,50.19,47.38,48.88,19.4576,147600,0.0,1.0
2000-07-13,48.66,49.06,46.5,48.88,19.4576,250100,0.0,1.0
2000-07-14,47.66,49.75,46.06,49.63,19.7561,235800,0.0,1.0
2000-07-17,49.88,50.63,48.88,50.63,20.1542,125200,0.0,1.0
2000-07-18,49.63,54.5,48.19,51.63,20.5522,241900,0.0,1.0
2000-07-19,50.63,52.13,50.63,51.38,20.4527,127400,0.0,1.0
2000-07-20,51.0,54.0,51.0,54.0,21.4957,251000,0.0,1.0
2000-07-21,53.75,53.94,48.44,49.13,19.5571,195600,0.0,1.0
2000-07-24,49.28,50.06,46.56,47.0,18.7092,103800,0.0,1.0
2000-07-25,47.25,48.75,47.0,47.75,19.0077,85300,0.0,1.0
2000-07-26,47.5,48.25,46.69,48.0,19.1073,75500,0.0,1.0
2000-07-27,46.94,47.69,46.88,47.0,18.7092,188000,0.0,1.0
2000-07-28,46.94,47.0,43.38,44.25,17.6145,180900,0.0,1.0
2000-07-31,43.75,45.0,43.31,44.88,17.8653,133400,0.0,1.0
2000-08-01,45.5,46.25,44.5,44.94,17.8892,109500,0.0,1.0
2000-08-02,45.38,45.5,41.88,43.0,17.1169,89200,0.0,1.0
2000-08-03,41.5,45.0,38.81,44.88,17.8653,154100,0.0,1.0
2000-08-04,44.25,44.63,42.25,43.0,17.1169,139500,0.0,1.0
2000-08-07,42.75,42.75,40.75,41.13,16.3725,224100,0.0,1.0
2000-08-08,41.25,42.0,39.0,39.94,15.8988,413600,0.0,1.0
2000-08-09,43.5,45.63,42.56,43.75,17.4155,564600,0.0,1.0
2000-08-10,44.0,46.5,44.0,45.19,17.9887,326500,0.0,1.0
2000-08-11,40.5,42.25,40.25,41.25,16.4203,2570300,0.0,1.0
2000-08-14,41.56,42.5,41.25,41.94,16.695,505100,0.0,1.0
2000-08-15,42.0,43.0,42.0,42.63,16.9696,382100,0.0,1.0
2000-08-16,42.69,43.13,42.31,42.38,16.8701,244800,0.0,1.0
2000-08-17,42.44,43.44,42.0,43.06,17.1408,243000,0.0,1.0
2000-08-18,42.81,43.38,42.13,42.5,16.9179,114000,0.0,1.0
2000-08-21,43.0,43.25,42.38,42.81,17.0413,230200,0.0,1.0
2000-08-22,42.94,43.38,42.5,43.0,17.1169,201700,0.0,1.0
2000-08-23,42.81,43.69,42.38,42.94,17.093,131500,0.0,1.0
2000-08-24,43.75,44.31,43.38,43.5,17.316,249600,0.0,1.0
2000-08-25,43.75,43.75,42.63,43.75,17.4155,76400,0.0,1.0
2000-08-28,43.63,45.0,43.0,44.25,17.6145,180100,0.0,1.0
2000-08-29,44.19,45.56,44.19,45.0,17.9131,245000,0.0,1.0
2000-08-30,45.06,45.75,44.88,45.0,17.9131,112400,0.0,1.0
2000-08-31,45.5,45.88,44.06,44.38,17.6663,314900,0.0,1.0
2000-09-01,44.56,44.63,43.75,44.0,17.515,163700,0.0,1.0
2000-09-05,43.63,43.75,42.75,42.75,17.0373,144600,0.05,1.0
2000-09-06,43.25,43.25,42.44,42.69,17.0134,130800,0.0,1.0
2000-09-07,43.63,44.38,43.25,43.31,17.2605,139900,0.0,1.0
2000-09-08,43.19,44.69,43.13,44.56,17.7587,463900,0.0,1.0
2000-09-11,44.63,44.63,44.06,44.39,17.6909,186400,0.0,1.0
2000-09-12,44.25,45.25,44.13,44.56,17.7587,225000,0.0,1.0
2000-09-13,44.13,45.75,44.13,45.5,18.1333,147800,0.0,1.0
2000-09-14,45.75,46.38,45.0,46.0,18.3325,427600,0.0,1.0
2000-09-15,45.94,46.5,45.0,45.13,17.9858,158600,0.0,1.0
2000-09-18,45.13,45.88,43.38,43.75,17.4358,212400,0.0,1.0
2000-09-19,43.56,44.0,42.94,44.0,17.5355,116500,0.0,1.0
2000-09-20,42.31,43.06,42.25,43.0,17.1369,218600,0.0,1.0
2000-09-21,43.34,43.38,42.0,42.0,16.7384,77300,0.0,1.0
2000-09-22,40.25,44.13,39.75,43.75,17.4358,401500,0.0,1.0
2000-09-25,43.84,44.88,43.06,44.38,17.6869,135800,0.0,1.0
2000-09-26,44.25,44.5,43.5,44.06,17.5594,188300,0.0,1.0
2000-09-27,43.94,44.38,43.75,44.13,17.5873,160300,0.0,1.0
2000-09-28,43.38,46.25,42.38,45.88,18.2847,206600,0.0,1.0
2000-09-29,45.75,45.88,43.25,43.38,17.2884,289500,0.0,1.0
2000-10-02,43.44,44.75,43.25,44.13,17.5873,55200,0.0,1.0
2000-10-03,44.19,44.63,41.38,41.88,16.6906,302300,0.0,1.0
2000-10-04,41.89,43.94,41.75,43.94,17.5116,144500,0.0,1.0
2000-10-05,42.94,45.0,42.88,44.81,17.8583,179500,0.0,1.0
2000-10-06,44.06,45.0,43.0,44.5,17.7347,136900,0.0,1.0
2000-10-09,44.25,45.63,43.75,45.5,18.1333,107300,0.0,1.0
2000-10-10,44.94,46.25,43.75,45.0,17.934,236100,0.0,1.0
2000-10-11,43.66,47.25,43.63,47.0,18.7311,217200,0.0,1.0
2000-10-12,46.88,48.5,45.88,48.25,19.2292,313700,0.0,1.0
2000-10-13,48.75,49.13,47.5,48.75,19.4285,163000,0.0,1.0
2000-10-16,48.38,51.25,48.25,49.63,19.7792,453400,0.0,1.0
2000-10-17,50.25,50.75,49.0,49.75,19.827,270400,0.0,1.0
2000-10-18,49.47,51.13,48.44,50.5,20.1259,238900,0.0,1.0
2000-10-19,51.5,51.63,49.63,51.13,20.377,249400,0.0,1.0
2000-10-20,51.13,51.63,50.25,50.69,20.2017,124600,0.0,1.0
2000-10-23,49.88,52.48,49.88,51.5,20.5245,145500,0.0,1.0
2000-10-24,51.13,54.13,51.13,53.13,21.1741,329600,0.0,1.0
2000-10-25,53.0,55.31,53.0,54.5,21.7201,352700,0.0,1.0
2000-10-26,54.13,58.25,53.63,57.75,23.0153,377000,0.0,1.0
