,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,110.3,120.0,110.3,118.8,53.148,1408000,0.0,3.0
2000-01-19,121.8,122.5,113.6,119.0,53.2375,4525500,0.0,1.0
2000-01-20,120.5,120.6,114.9,116.9,52.298,3049700,0.0,1.0
2000-01-21,118.1,150.2,116.5,149.9,67.0614,7553000,0.0,1.0
2000-01-24,148.6,149.8,138.8,141.4,63.2587,3978600,0.0,1.0
2000-01-25,143.0,145.9,134.0,142.9,63.9298,2501900,0.0,1.0
2000-01-26,145.0,149.1,141.3,143.8,64.3324,1849900,0.0,1.0
2000-01-27,145.3,148.0,141.1,142.4,63.7061,1776600,0.0,1.0
2000-01-28,139.0,145.9,138.4,140.8,62.9903,1907900,0.0,1.0
2000-01-31,138.0,138.6,125.1,135.3,60.5297,1478100,0.0,1.0
2000-02-01,136.4,143.4,134.2,138.5,61.9613,1242400,0.0,1.0
2000-02-02,141.0,144.8,137.0,137.1,61.335,1054600,0.0,1.0
2000-02-03,141.1,156.3,140.5,154.9,69.2983,4414100,0.0,1.0
2000-02-04,156.0,171.5,156.0,170.0,76.0536,4200300,0.0,1.0
2000-02-07,181.1,181.9,168.8,173.0,77.3957,2383100,0.0,1.0
2000-02-08,172.0,174.1,169.5,169.6,75.8747,3017700,0.0,1.0
2000-02-09,172.5,204.7,171.5,185.9,83.1668,5052100,0.0,1.0
2000-02-10,189.0,214.0,180.6,208.5,93.2775,3424300,0.0,1.0
2000-02-11,216.1,230.0,207.0,215.9,96.5881,3543400,0.0,1.0
2000-02-14,222.0,231.0,200.8,204.1,91.3091,3251900,0.0,1.0
2000-02-15,206.8,218.5,200.3,212.9,95.246,2447000,0.0,1.0
2000-02-16,215.0,222.0,207.1,220.5,98.646,2621900,0.0,1.0
2000-02-17,224.3,251.3,223.0,241.3,107.9514,3101300,0.0,1.0
2000-02-18,248.9,269.8,230.4,238.3,106.6093,4010800,0.0,1.0
2000-02-22,245.5,247.4,220.5,230.8,103.2539,2320800,0.0,1.0
2000-02-23,234.0,249.8,222.5,234.9,105.0882,1523000,0.0,1.0
2000-02-24,239.9,242.0,223.3,229.0,102.4487,2135400,0.0,1.0
2000-02-25,229.8,238.9,229.7,232.8,104.1487,962200,0.0,1.0
2000-02-28,232.6,240.0,228.8,229.1,102.4934,1211900,0.0,1.0
2000-02-29,239.8,280.8,232.9,274.3,122.7147,4059000,0.0,1.0
2000-03-01,283.0,295.8,264.3,271.0,121.2384,3088400,0.0,1.0
2000-03-02,277.4,278.0,260.0,260.3,116.4515,1623600,0.0,1.0
2000-03-03,274.0,276.5,260.5,264.4,118.2857,2316200,0.0,1.0
2000-03-06,269.8,284.9,267.0,270.6,121.0594,1975400,0.0,1.0
2000-03-07,279.4,281.0,264.4,278.7,124.6832,2273900,0.0,1.0
2000-03-08,287.5,287.5,258.5,274.6,122.8489,2436200,0.0,1.0
2000-03-09,276.4,279.6,267.1,276.0,123.4753,2154500,0.0,1.0
2000-03-10,275.0,301.3,271.0,282.4,126.3385,2424000,0.0,1.0
2000-03-13,268.0,278.1,262.4,263.9,118.062,2256800,0.0,1.0
2000-03-14,275.4,275.4,245.0,245.6,109.8751,1930800,0.0,1.0
2000-03-15,242.5,253.0,222.0,229.8,102.8066,4052600,0.0,1.0
2000-03-16,235.0,245.0,207.5,237.0,106.0277,3315600,0.0,1.0
2000-03-17,240.0,263.5,237.5,249.9,111.7988,1893300,0.0,1.0
2000-03-20,254.3,254.3,232.6,235.1,105.1777,1165800,0.0,1.0
2000-03-21,230.3,260.0,213.0,259.0,115.8699,2853400,0.0,1.0
2000-03-22,263.0,276.0,262.0,266.3,119.1357,1963000,0.0,1.0
2000-03-23,270.9,274.6,255.4,270.0,120.791,1298500,0.0,1.0
2000-03-24,271.75,279.5,266.25,269.0,120.3436,1319200,0.0,1.0
2000-03-27,274.1,283.0,270.5,276.4,123.6542,1908400,0.0,1.0
2000-03-28,287.5,308.5,281.6,307.0,137.3439,6401600,0.0,1.0
2000-03-29,312.0,312.9,287.8,288.0,128.8437,3792100,0.0,1.0
2000-03-30,275.0,288.0,250.0,267.0,119.4489,4350500,0.0,1.0
2000-03-31,273.5,276.6,246.0,263.6,117.9278,3681000,0.0,1.0
2000-04-03,264.0,271.5,216.3,233.0,104.2382,3442400,0.0,1.0
2000-04-04,237.9,237.9,186.8,210.5,94.1723,8913000,0.0,1.0
2000-04-05,201.0,239.9,200.0,218.8,97.8855,3626500,0.0,1.0
2000-04-06,222.7,244.9,221.0,241.3,107.9514,2569600,0.0,1.0
2000-04-07,245.1,271.0,245.0,269.4,120.5226,3156600,0.0,1.0
2000-04-10,273.5,274.0,234.3,238.0,106.475,3952300,0.0,1.0
2000-04-11,227.0,247.6,216.3,223.3,99.8986,5380700,0.0,1.0
2000-04-12,222.4,230.0,198.4,204.1,91.3091,6480500,0.0,1.0
2000-04-13,204.5,208.0,174.6,175.0,78.2905,8529600,0.0,1.0
2000-04-14,169.0,190.5,151.5,158.1,70.7298,10701600,0.0,1.0
2000-04-17,153.0,178.9,152.0,172.6,77.2168,7124400,0.0,1.0
2000-04-18,176.9,201.8,175.0,198.0,88.5801,5529200,0.0,1.0
2000-04-19,203.3,206.3,182.0,182.8,81.78,4000500,0.0,1.0
2000-04-20,188.4,194.8,176.3,186.1,83.2563,3059100,0.0,1.0
2000-04-24,173.0,182.3,155.7,174.6,78.1115,4426800,0.0,1.0
2000-04-25,181.3,192.9,177.0,192.5,86.1195,2965600,0.0,1.0
2000-04-26,193.1,203.0,185.0,195.6,87.5064,3195500,0.0,1.0
2000-04-27,183.1,209.0,182.0,208.9,93.4565,4754200,0.0,1.0
2000-04-28,211.5,222.5,207.0,212.7,95.1565,3636800,0.0,1.0
2000-05-01,217.9,227.6,215.3,218.9,97.9302,3007000,0.0,1.0
2000-05-02,214.1,218.5,196.8,197.9,88.5353,2912500,0.0,1.0
2000-05-03,197.3,205.4,180.8,194.9,87.1932,3840100,0.0,1.0
2000-05-04,191.4,194.9,182.0,183.0,81.8695,4402200,0.0,1.0
2000-05-05,184.8,195.5,183.3,193.4,86.5222,3321200,0.0,1.0
2000-05-08,188.3,195.0,186.1,189.0,84.5537,2365000,0.0,1.0
2000-05-09,192.0,193.0,170.6,177.0,79.1852,6348800,0.0,1.0
2000-05-10,173.0,175.0,153.1,156.4,69.9693,7379500,0.0,1.0
2000-05-11,161.3,164.4,144.0,148.0,66.2114,5745200,0.0,1.0
2000-05-12,152.8,167.6,150.3,163.4,73.1009,6273800,0.0,1.0
2000-05-15,162.3,171.0,152.3,168.7,75.472,4380000,0.0,1.0
2000-05-16,177.8,183.0,164.0,175.1,78.3352,5729300,0.0,1.0
2000-05-17,168.4,175.0,164.3,167.8,75.0694,3588900,0.0,1.0
2000-05-18,167.4,174.4,165.0,170.1,76.0983,3437000,0.0,1.0
2000-05-19,165.5,169.5,160.4,163.0,72.922,3668300,0.0,1.0
