,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,73.94,74.5,70.25,71.0,25.5698,3531067,0.0,1.0
2000-01-19,72.25,75.38,72.25,74.13,26.697,10489800,0.0,1.0
2000-01-20,75.38,76.0,72.75,74.06,26.6718,5180200,0.0,1.0
2000-01-21,73.88,74.0,72.63,72.94,26.2685,3440400,0.0,1.0
2000-01-24,74.37,74.56,72.19,73.0,26.2901,4306067,0.0,1.0
2000-01-25,73.0,75.75,73.0,74.62,26.8735,5053267,0.0,1.0
2000-01-26,75.38,79.0,75.0,78.44,28.2492,5591067,0.0,1.0
2000-01-27,79.44,81.5,78.56,80.69,29.0595,5443867,0.0,1.0
2000-01-28,79.56,79.56,76.62,76.69,27.619,5000000,0.0,1.0
2000-01-31,76.81,81.5,76.81,80.69,29.0595,4773467,0.0,1.0
2000-02-01,82.44,84.5,81.31,83.75,30.1615,6434000,0.0,1.0
2000-02-02,83.0,84.19,81.38,82.38,29.6682,4750800,0.0,1.0
2000-02-03,83.5,84.87,80.25,83.19,29.9599,6133467,0.0,1.0
2000-02-04,82.5,83.31,81.56,81.75,29.4413,3410067,0.0,1.0
2000-02-07,82.19,83.37,81.75,82.19,29.5997,3122800,0.0,1.0
2000-02-08,84.06,86.13,84.0,85.06,30.6333,4212400,0.0,1.0
2000-02-09,84.94,86.37,82.44,82.88,29.8482,6545667,0.0,1.0
2000-02-10,83.13,83.75,81.38,83.13,29.9383,4587000,0.0,1.0
2000-02-11,83.25,85.0,82.0,82.62,29.7546,4701667,0.0,1.0
2000-02-14,82.25,83.44,79.06,79.06,28.4725,3936467,0.0,1.0
2000-02-15,80.06,82.5,79.62,81.06,29.1928,5977000,0.0,1.0
2000-02-16,81.0,82.19,79.0,79.5,28.631,3219800,0.0,1.0
2000-02-17,80.62,81.5,77.81,78.38,28.2276,3810800,0.0,1.0
2000-02-18,78.06,78.56,74.56,74.75,26.9203,5414200,0.0,1.0
2000-02-22,76.0,78.87,75.12,77.25,27.8207,4712400,0.0,1.0
2000-02-23,77.37,79.19,76.56,77.37,27.8639,2968600,0.0,1.0
2000-02-24,77.25,77.56,74.62,76.0,27.3705,3466600,0.0,1.0
2000-02-25,76.62,78.75,74.88,75.87,27.3237,3096200,0.0,1.0
2000-02-28,76.75,80.25,76.38,77.94,28.0691,4034000,0.0,1.0
2000-02-29,77.69,81.0,77.69,79.62,28.6742,4111267,0.0,1.0
2000-03-01,79.88,82.0,78.87,82.0,29.5313,3244200,0.0,1.0
2000-03-02,80.5,81.12,79.75,80.56,29.0127,2389200,0.0,1.0
2000-03-03,82.0,82.38,79.38,81.12,29.2144,3987600,0.0,1.0
2000-03-06,82.94,84.38,82.25,83.44,30.0499,3794267,0.0,1.0
2000-03-07,83.44,84.19,81.0,81.81,29.4629,3044600,0.0,1.0
2000-03-08,80.75,81.44,78.63,79.0,28.4509,3498467,0.0,1.0
2000-03-09,78.75,81.25,78.06,81.12,29.2144,2653000,0.0,1.0
2000-03-10,80.0,81.56,77.75,78.69,28.3392,3540867,0.0,1.0
2000-03-13,77.62,81.19,77.13,80.06,28.8326,3148867,0.0,1.0
2000-03-14,80.5,80.94,78.5,79.0,28.4509,2753067,0.0,1.0
2000-03-15,77.88,84.19,77.19,83.13,29.9383,5907800,0.0,1.0
2000-03-16,84.94,90.38,84.19,90.12,32.4556,10423267,0.0,1.0
2000-03-17,89.25,92.25,88.5,91.0,32.7725,7926067,0.0,1.0
2000-03-20,90.0,90.5,84.5,86.56,31.1735,5384067,0.0,1.0
2000-03-21,86.44,92.5,85.5,92.0,33.1327,5563667,0.0,1.0
2000-03-22,90.63,92.13,88.75,91.56,32.9742,5736067,0.0,1.0
2000-03-23,91.0,99.19,90.94,98.5,35.4736,6954267,0.0,1.0
2000-03-24,97.0,100.75,96.0,96.19,34.6417,6326000,0.0,1.0
2000-03-27,96.0,96.87,93.56,94.69,34.1015,3219267,0.0,1.0
2000-03-28,93.75,95.75,93.12,94.25,33.943,4883800,0.0,1.0
2000-03-29,94.25,94.5,89.31,90.38,32.5493,6058867,0.0,1.0
2000-03-30,89.44,90.75,85.94,87.0,31.332,5344800,0.0,1.0
2000-03-31,88.0,88.38,86.0,87.19,31.4004,4536667,0.0,1.0
2000-04-03,87.94,93.0,87.81,92.5,33.3128,5673000,0.0,1.0
2000-04-04,91.5,91.88,83.0,86.75,31.4148,8425800,0.48,1.0
2000-04-05,84.25,86.94,84.25,86.37,31.2772,4873800,0.0,1.0
2000-04-06,87.0,88.25,86.81,87.44,31.6647,3235600,0.0,1.0
2000-04-07,88.25,88.25,86.0,86.37,31.2772,3276067,0.0,1.0
2000-04-10,85.5,89.06,85.12,88.12,31.9109,5243267,0.0,1.0
2000-04-11,87.0,87.87,85.0,86.0,31.1432,5478067,0.0,1.0
2000-04-12,87.94,90.94,86.5,86.81,31.4366,6088867,0.0,1.0
2000-04-13,86.0,86.75,84.25,84.5,30.6,4520667,0.0,1.0
2000-04-14,82.0,82.38,75.75,78.87,28.5612,8723000,0.0,1.0
2000-04-17,77.5,79.44,74.94,78.63,28.4743,5805800,0.0,1.0
2000-04-18,78.25,80.94,78.06,80.5,29.1515,4555600,0.0,1.0
2000-04-19,80.75,81.0,75.63,78.0,28.2462,6038067,0.0,1.0
2000-04-20,78.12,78.19,76.25,77.31,27.9963,3027067,0.0,1.0
2000-04-24,76.0,76.44,74.44,74.75,27.0693,5195200,0.0,1.0
2000-04-25,75.75,78.56,75.25,78.06,28.2679,4218067,0.0,1.0
2000-04-26,78.75,78.75,76.19,76.44,27.6813,3667000,0.0,1.0
2000-04-27,75.12,75.5,73.31,73.88,26.7542,6198800,0.0,1.0
2000-04-28,74.25,74.69,71.75,72.12,26.1169,5735467,0.0,1.0
2000-05-01,72.5,75.38,71.56,73.75,26.7071,5626467,0.0,1.0
2000-05-02,73.81,77.0,73.38,76.12,27.5654,5607467,0.0,1.0
2000-05-03,75.19,76.75,74.25,74.25,26.8882,6213667,0.0,1.0
2000-05-04,75.12,75.44,72.87,73.25,26.5261,4114800,0.0,1.0
2000-05-05,72.0,72.75,70.5,72.19,26.1422,9670067,0.0,1.0
2000-05-08,71.62,73.19,71.31,72.0,26.0734,3665067,0.0,1.0
2000-05-09,72.25,72.69,70.88,70.88,25.6678,4252000,0.0,1.0
2000-05-10,70.69,70.69,68.75,68.75,24.8965,4410667,0.0,1.0
2000-05-11,70.06,70.69,68.5,70.0,25.3491,5235400,0.0,1.0
2000-05-12,69.12,72.87,68.13,71.62,25.9358,8147867,0.0,1.0
2000-05-15,72.75,75.19,72.06,74.62,27.0222,4468800,0.0,1.0
2000-05-16,76.62,76.69,73.69,74.25,26.8882,5283400,0.0,1.0
2000-05-17,73.25,74.94,73.06,74.0,26.7977,2900400,0.0,1.0
2000-05-18,73.75,76.38,73.75,75.12,27.2032,3437467,0.0,1.0
2000-05-19,74.62,74.94,72.25,72.5,26.2545,3409667,0.0,1.0
2000-05-22,73.25,73.25,70.5,72.19,26.1422,2776400,0.0,1.0
2000-05-23,71.94,74.56,71.94,73.12,26.479,3472467,0.0,1.0
2000-05-24,72.5,73.44,70.5,71.62,25.9358,5715400,0.0,1.0
2000-05-25,72.0,73.75,69.75,70.25,25.4397,5147600,0.0,1.0
2000-05-26,70.38,71.25,69.38,70.5,25.5302,4109267,0.0,1.0
2000-05-30,71.62,73.5,71.13,73.5,26.6166,2798467,0.0,1.0
2000-05-31,73.0,75.38,73.0,74.69,27.0475,3322067,0.0,1.0
2000-06-01,75.87,78.25,75.44,77.13,27.9311,5853067,0.0,1.0
2000-06-02,82.38,82.38,80.0,80.69,29.2203,5911600,0.0,1.0
2000-06-05,80.5,81.12,79.25,79.38,28.7459,3260267,0.0,1.0
2000-06-06,79.38,79.38,76.5,77.0,27.8841,3697867,0.0,1.0
2000-06-07,77.44,78.44,76.62,76.88,27.8406,3934067,0.0,1.0
2000-06-08,77.69,77.69,75.38,76.5,27.703,2650067,0.0,1.0
2000-06-09,77.0,78.63,71.37,73.31,26.5478,6863267,0.0,1.0
2000-06-12,49.38,49.75,48.19,48.59,26.3939,3428400,0.0,1.5
2000-06-13,48.38,48.5,47.62,48.19,26.1766,5649900,0.0,1.0
2000-06-14,48.88,50.38,48.25,50.06,27.1924,5920600,0.0,1.0
2000-06-15,49.81,49.88,46.62,48.81,26.5134,9911800,0.0,1.0
2000-06-16,46.75,46.94,44.12,45.44,24.6828,16619900,0.0,1.0
2000-06-19,45.38,47.38,45.12,46.88,25.465,7731000,0.0,1.0
2000-06-20,48.0,48.56,47.5,47.94,26.0408,5643600,0.0,1.0
2000-06-21,47.69,47.94,46.38,47.0,25.5302,4059300,0.0,1.0
2000-06-22,47.25,47.31,46.0,46.38,25.1934,3268600,0.0,1.0
2000-06-23,46.62,48.06,46.44,46.88,25.465,3662500,0.0,1.0
2000-06-26,46.56,48.44,46.56,47.56,25.8344,3195000,0.0,1.0
2000-06-27,48.38,48.75,47.81,47.94,26.0408,5146100,0.0,1.0
2000-06-28,48.12,48.94,46.69,47.05,25.5574,4898400,0.0,1.0
2000-06-29,47.44,48.88,46.62,47.62,25.867,4679500,0.0,1.0
2000-06-30,47.69,48.25,45.62,46.06,25.0196,6995300,0.0,1.0
2000-07-03,45.88,48.0,45.88,47.56,26.0082,2746100,0.32,1.0
2000-07-05,48.44,49.69,47.38,47.75,26.1121,5083900,0.0,1.0
2000-07-06,47.81,48.19,46.62,48.0,26.2488,3497600,0.0,1.0
2000-07-07,48.25,50.69,48.25,50.06,27.3753,6245000,0.0,1.0
2000-07-10,50.19,51.0,49.69,49.75,27.2058,3393600,0.0,1.0
2000-07-11,50.38,51.94,49.81,50.69,27.7199,4641900,0.0,1.0
2000-07-12,51.69,52.19,50.5,50.56,27.6488,4531400,0.0,1.0
2000-07-13,51.38,51.81,50.62,50.75,27.7527,4588500,0.0,1.0
2000-07-14,51.44,52.75,51.0,52.5,28.7097,4532300,0.0,1.0
2000-07-17,53.75,53.75,51.81,52.03,28.4526,5069900,0.0,1.0
2000-07-18,51.25,51.5,50.12,50.94,27.8566,3273200,0.0,1.0
2000-07-19,51.0,51.5,50.12,50.69,27.7199,4287100,0.0,1.0
2000-07-20,50.75,53.25,50.5,51.31,28.0589,6117400,0.0,1.0
2000-07-21,53.0,53.75,51.62,52.73,28.8354,5470100,0.0,1.0
2000-07-24,52.44,52.62,50.75,51.56,28.1956,3232600,0.0,1.0
2000-07-25,51.62,51.75,50.88,51.25,28.0261,2697100,0.0,1.0
2000-07-26,51.0,51.0,48.62,49.38,27.0035,4654000,0.0,1.0
2000-07-27,49.38,50.38,48.38,49.88,27.2769,3556100,0.0,1.0
2000-07-28,50.06,50.12,48.06,48.38,26.4566,2880800,0.0,1.0
2000-07-31,49.0,49.81,48.25,49.81,27.2386,3650700,0.0,1.0
2000-08-01,49.88,53.38,49.62,51.62,28.2284,10556800,0.0,1.0
2000-08-02,51.94,52.38,50.69,51.44,28.13,6692900,0.0,1.0
2000-08-03,51.0,51.94,50.0,50.25,27.4792,5914200,0.0,1.0
2000-08-04,51.88,52.75,50.62,52.44,28.6768,8546500,0.0,1.0
2000-08-07,53.06,54.12,52.56,53.56,29.2893,6924000,0.0,1.0
2000-08-08,53.81,53.88,52.62,53.5,29.2565,3458500,0.0,1.0
2000-08-09,53.44,53.62,52.12,52.31,28.6058,6305600,0.0,1.0
2000-08-10,52.31,53.19,51.75,51.88,28.3706,4979200,0.0,1.0
2000-08-11,51.56,52.44,51.31,52.0,28.4362,4492200,0.0,1.0
2000-08-14,52.75,53.0,51.56,52.75,28.8464,4970100,0.0,1.0
2000-08-15,53.0,53.38,51.62,51.81,28.3323,7236200,0.0,1.0
2000-08-16,51.25,51.81,50.06,50.38,27.5503,5305600,0.0,1.0
2000-08-17,50.06,51.12,50.06,50.69,27.7199,4514400,0.0,1.0
2000-08-18,50.81,51.25,50.25,50.75,27.7527,3694100,0.0,1.0
2000-08-21,51.0,51.62,50.62,50.94,27.8566,3502300,0.0,1.0
2000-08-22,51.44,53.5,51.0,52.75,28.8464,7456800,0.0,1.0
2000-08-23,52.94,54.38,52.75,54.31,29.6995,6868200,0.0,1.0
2000-08-24,53.38,54.88,53.0,53.25,29.1198,4508200,0.0,1.0
2000-08-25,53.12,53.69,51.88,52.06,28.469,4746600,0.0,1.0
2000-08-28,52.0,53.31,52.0,52.69,28.8136,5261600,0.0,1.0
2000-08-29,53.06,53.19,51.62,51.88,28.3706,7020300,0.0,1.0
2000-08-30,52.5,53.88,52.31,53.25,29.1198,8367100,0.0,1.0
2000-08-31,53.69,56.56,53.5,55.88,30.558,8450600,0.0,1.0
2000-09-01,56.69,56.81,55.12,56.31,30.7932,5478500,0.0,1.0
2000-09-05,56.44,57.56,56.19,57.12,31.2361,4851200,0.0,1.0
2000-09-06,57.25,58.25,55.75,56.0,30.6236,6821900,0.0,1.0
2000-09-07,56.56,57.31,55.94,57.25,31.3072,3495800,0.0,1.0
2000-09-08,56.88,58.31,56.75,57.81,31.6134,4496500,0.0,1.0
2000-09-11,57.5,58.38,56.5,57.5,31.4439,5219500,0.0,1.0
2000-09-12,57.75,57.94,52.0,52.81,28.8792,7314600,0.0,1.0
2000-09-13,50.38,51.19,49.62,50.69,27.7199,42585300,0.0,1.0
2000-09-14,52.0,52.0,49.94,50.0,27.3425,20361300,0.0,1.0
2000-09-15,50.31,50.31,48.44,49.12,26.8613,14822300,0.0,1.0
2000-09-18,49.12,49.12,46.56,46.56,25.4614,15120400,0.0,1.0
2000-09-19,46.69,47.75,46.44,46.88,25.6364,15642000,0.0,1.0
2000-09-20,46.81,47.06,45.62,46.5,25.4286,12493000,0.0,1.0
2000-09-21,46.5,46.56,44.62,44.62,24.9473,12166800,1.0,1.0
2000-09-22,44.75,47.56,44.56,47.25,26.4178,17425600,0.0,1.0
2000-09-25,47.5,48.69,47.0,47.0,26.278,11709900,0.0,1.0
2000-09-26,47.38,47.94,45.75,46.06,25.7524,8176500,0.0,1.0
2000-09-27,46.44,46.94,45.25,45.5,25.4393,7879200,0.0,1.0
2000-09-28,45.31,47.06,45.12,46.88,26.2109,9307900,0.0,1.0
2000-09-29,46.38,47.62,46.19,46.19,25.8251,8576500,0.0,1.0
2000-10-02,46.62,47.5,46.31,47.5,26.5576,7138200,0.0,1.0
2000-10-03,47.62,48.12,46.56,46.75,26.1382,9742300,0.0,1.0
2000-10-04,46.38,46.69,45.44,45.56,25.6518,6363900,0.32,1.0
2000-10-05,45.62,46.44,44.25,44.44,25.0212,9189200,0.0,1.0
2000-10-06,44.5,45.0,41.75,42.88,24.1429,13400700,0.0,1.0
2000-10-09,43.12,43.25,41.94,42.06,23.6812,6499500,0.0,1.0
2000-10-10,42.06,42.5,40.25,40.81,22.9774,11926200,0.0,1.0
2000-10-11,40.12,40.94,38.88,40.69,22.9098,16885900,0.0,1.0
2000-10-12,40.12,40.25,37.44,37.81,21.2883,14847200,0.0,1.0
2000-10-13,37.88,40.12,37.75,39.69,22.3468,14143700,0.0,1.0
2000-10-16,40.19,40.69,38.75,39.56,22.2736,8405600,0.0,1.0
2000-10-17,40.0,40.5,37.75,37.94,21.3615,8318700,0.0,1.0
2000-10-18,33.5,38.12,32.38,36.88,20.7647,29641500,0.0,1.0
2000-10-19,38.12,40.12,38.12,38.94,21.9245,14981100,0.0,1.0
2000-10-20,38.69,39.38,38.12,38.38,21.6092,7559300,0.0,1.0
2000-10-23,38.19,38.75,37.94,38.38,21.6092,5240100,0.0,1.0
2000-10-24,38.19,40.31,38.12,40.06,22.5551,10595900,0.0,1.0
2000-10-25,40.06,41.44,39.75,40.0,22.5213,9256100,0.0,1.0
2000-10-26,40.69,40.94,38.88,40.0,22.5213,10398700,0.0,1.0
2000-10-27,40.5,42.94,40.31,42.69,24.0359,9867500,0.0,1.0
2000-10-30,42.81,43.94,42.81,43.75,24.6327,7884900,0.0,1.0
2000-10-31,44.81,45.94,44.12,45.5,25.618,13186900,0.0,1.0
2000-11-01,45.5,45.81,44.5,45.69,25.725,8789400,0.0,1.0
2000-11-02,45.69,46.5,45.38,45.5,25.618,6435700,0.0,1.0
2000-11-03,45.56,45.56,44.12,44.44,25.0212,5879800,0.0,1.0
2000-11-06,44.88,45.69,44.56,45.5,25.618,4568100,0.0,1.0
2000-11-07,45.12,45.38,44.62,44.94,25.3027,4101800,0.0,1.0
2000-11-08,44.94,44.94,43.25,43.56,24.5257,5754400,0.0,1.0
2000-11-09,43.06,44.31,42.56,44.12,24.841,6306500,0.0,1.0
2000-11-10,43.62,44.56,42.81,42.81,24.1035,4465600,0.0,1.0
2000-11-13,41.88,42.62,40.75,42.12,23.715,6041800,0.0,1.0
2000-11-14,42.81,43.19,41.75,42.56,23.9627,6506300,0.0,1.0
2000-11-15,42.06,42.81,40.62,40.75,22.9436,8300500,0.0,1.0
2000-11-16,40.88,41.75,40.56,40.88,23.0168,6940400,0.0,1.0
2000-11-17,40.94,41.0,39.12,39.62,22.3074,8358900,0.0,1.0
2000-11-20,39.75,39.94,38.12,38.56,21.7106,7421300,0.0,1.0
2000-11-21,38.56,39.31,37.75,38.69,21.7838,6202100,0.0,1.0
2000-11-22,38.31,38.38,37.0,37.44,21.08,6600100,0.0,1.0
2000-11-24,37.94,39.19,37.81,39.12,22.0259,3835500,0.0,1.0
2000-11-27,39.44,40.19,39.19,39.38,22.1723,10451600,0.0,1.0
2000-11-28,39.44,40.12,37.44,38.0,21.3953,13168300,0.0,1.0
2000-11-29,37.38,38.56,37.19,37.94,21.3615,9867200,0.0,1.0
2000-11-30,37.19,38.25,35.44,36.88,20.7647,15472400,0.0,1.0
2000-12-01,37.12,38.69,37.06,37.31,21.0068,9448300,0.0,1.0
2000-12-04,37.38,38.38,36.88,37.94,21.3615,6819200,0.0,1.0
2000-12-05,38.62,41.44,38.06,41.31,23.2589,13818600,0.0,1.0
2000-12-06,41.25,43.25,39.06,40.06,22.5551,19776900,0.0,1.0
2000-12-07,39.44,40.44,38.31,39.19,22.0653,9650300,0.0,1.0
2000-12-08,40.31,40.88,39.62,40.0,22.5213,8411700,0.0,1.0
2000-12-11,40.25,42.62,40.06,42.5,23.9289,9131000,0.0,1.0
2000-12-12,42.5,43.69,41.94,43.0,24.2104,7843400,0.0,1.0
2000-12-13,43.94,44.69,43.62,44.5,25.055,10288900,0.0,1.0
2000-12-14,42.31,43.94,41.38,42.88,24.1429,16122600,0.0,1.0
2000-12-15,42.0,43.94,41.88,43.94,24.7397,11412000,0.0,1.0
2000-12-18,44.0,45.38,43.81,45.38,25.5505,13271000,0.0,1.0
2000-12-19,44.75,45.94,43.94,44.81,25.2295,13078000,0.0,1.0
2000-12-20,44.81,44.81,43.25,43.5,24.492,6853300,0.0,1.0
2000-12-21,43.44,45.75,43.44,45.19,25.4435,8796400,0.0,1.0
2000-12-22,45.44,46.38,45.0,45.62,25.6856,7098600,0.0,1.0
2000-12-26,45.62,46.25,45.19,45.75,25.7588,4832200,0.0,1.0
