,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.69,23.0,22.25,22.5,6.7278,494900,0.0,1.0
2000-01-19,22.5,23.56,22.31,23.25,6.9521,471500,0.0,1.0
2000-01-20,23.25,23.38,22.63,22.69,6.7846,392900,0.0,1.0
2000-01-21,23.0,23.25,22.25,22.31,6.671,374300,0.0,1.0
2000-01-24,22.5,22.63,21.88,21.88,6.5424,414300,0.0,1.0
2000-01-25,21.75,22.31,21.69,21.94,6.5603,400000,0.0,1.0
2000-01-26,22.06,23.06,21.88,22.88,6.8414,430200,0.0,1.0
2000-01-27,22.88,23.13,22.25,22.5,6.7278,569200,0.0,1.0
2000-01-28,22.25,22.38,21.63,21.81,6.5215,446100,0.0,1.0
2000-01-31,21.81,22.0,21.31,22.0,6.5783,449100,0.0,1.0
2000-02-01,21.94,22.31,21.38,22.06,6.5962,426000,0.0,1.0
2000-02-02,22.0,22.5,21.88,22.13,6.6172,289000,0.0,1.0
2000-02-03,22.19,23.38,22.19,22.5,6.7278,547000,0.0,1.0
2000-02-04,22.62,23.0,22.38,23.0,6.8773,625500,0.0,1.0
2000-02-07,22.94,23.25,22.56,22.63,6.7667,784900,0.0,1.0
2000-02-08,22.63,24.25,22.63,23.75,7.1016,526500,0.0,1.0
2000-02-09,23.5,23.69,22.88,22.88,6.8414,972700,0.0,1.0
2000-02-10,22.88,23.31,22.88,22.94,6.8594,617000,0.0,1.0
2000-02-11,22.94,22.94,22.0,22.0,6.5783,980800,0.0,1.0
2000-02-14,21.25,21.38,19.0,21.0,6.2793,2128500,0.0,1.0
2000-02-15,20.5,20.56,20.25,20.44,6.1118,496600,0.0,1.0
2000-02-16,20.56,20.56,19.25,19.44,5.8128,681600,0.0,1.0
2000-02-17,19.5,19.88,18.25,19.88,5.9444,1087100,0.0,1.0
2000-02-18,20.69,21.44,20.06,21.0,6.2793,1065000,0.0,1.0
2000-02-22,21.06,21.75,21.0,21.25,6.354,806500,0.0,1.0
2000-02-23,21.0,21.25,21.0,21.0,6.2793,432500,0.0,1.0
2000-02-24,21.0,21.0,19.88,20.0,5.9803,888000,0.0,1.0
2000-02-25,20.06,21.25,20.0,20.38,6.1178,549700,0.08,1.0
2000-02-28,20.5,21.0,20.25,20.44,6.1358,480400,0.0,1.0
2000-02-29,20.25,21.75,20.13,21.31,6.397,994100,0.0,1.0
2000-03-01,21.31,21.56,21.0,21.31,6.397,232400,0.0,1.0
2000-03-02,21.56,22.44,21.13,21.38,6.418,678600,0.0,1.0
2000-03-03,22.25,24.0,22.0,22.5,6.7542,818600,0.0,1.0
2000-03-06,22.5,22.5,21.63,22.0,6.6041,516300,0.0,1.0
2000-03-07,21.56,21.69,21.13,21.25,6.379,395300,0.0,1.0
2000-03-08,21.06,22.13,20.88,21.81,6.5471,399400,0.0,1.0
2000-03-09,21.88,22.94,21.81,22.31,6.6972,418800,0.0,1.0
2000-03-10,22.63,22.63,22.0,22.13,6.6431,324300,0.0,1.0
2000-03-13,21.94,21.94,21.31,21.56,6.472,339300,0.0,1.0
2000-03-14,21.75,21.88,21.06,21.25,6.379,501000,0.0,1.0
2000-03-15,21.19,23.25,21.19,23.25,6.9793,593300,0.0,1.0
2000-03-16,23.38,25.5,23.38,24.88,7.4686,1098500,0.0,1.0
2000-03-17,24.88,24.88,23.63,23.94,7.1865,701200,0.0,1.0
2000-03-20,24.63,24.88,23.5,24.13,7.2435,523600,0.0,1.0
2000-03-21,24.13,25.13,23.88,24.94,7.4867,588500,0.0,1.0
2000-03-22,24.44,24.75,23.88,24.63,7.3936,292300,0.0,1.0
2000-03-23,24.75,27.75,24.44,27.56,8.2731,1425900,0.0,1.0
2000-03-24,27.63,30.25,27.5,28.0,8.4052,1291600,0.0,1.0
2000-03-27,28.25,29.5,28.13,28.81,8.6484,641100,0.0,1.0
2000-03-28,28.56,28.94,28.06,28.06,8.4232,466700,0.0,1.0
2000-03-29,28.0,28.69,27.19,27.63,8.2942,573200,0.0,1.0
2000-03-30,27.38,28.38,26.56,28.19,8.4623,786800,0.0,1.0
2000-03-31,28.81,29.94,28.19,29.5,8.8555,1088800,0.0,1.0
2000-04-03,29.94,30.88,29.19,30.31,9.0987,970800,0.0,1.0
2000-04-04,30.75,32.88,29.44,30.94,9.2878,1597600,0.0,1.0
2000-04-05,30.5,33.0,30.38,32.56,9.7741,914200,0.0,1.0
2000-04-06,32.5,32.75,31.63,31.94,9.588,803200,0.0,1.0
2000-04-07,31.75,32.0,31.06,31.69,9.5129,473700,0.0,1.0
2000-04-10,31.56,32.69,31.44,32.0,9.606,336600,0.0,1.0
2000-04-11,32.0,32.31,31.69,32.19,9.663,460500,0.0,1.0
2000-04-12,32.5,34.5,32.38,33.75,10.1313,849100,0.0,1.0
2000-04-13,34.13,34.38,33.31,33.56,10.0743,485600,0.0,1.0
2000-04-14,31.0,32.25,29.0,29.5,8.8555,1059000,0.0,1.0
2000-04-17,29.25,29.5,27.5,27.94,8.3872,704900,0.0,1.0
2000-04-18,28.19,30.44,28.13,29.88,8.9696,466000,0.0,1.0
2000-04-19,29.69,30.75,29.69,30.5,9.1557,269700,0.0,1.0
2000-04-20,30.0,30.13,29.31,29.63,8.8945,375400,0.0,1.0
2000-04-24,29.88,31.13,29.81,31.0,9.3058,1016500,0.0,1.0
2000-04-25,31.06,32.75,31.0,32.56,9.7741,857500,0.0,1.0
2000-04-26,32.69,32.69,30.81,30.88,9.2698,1013500,0.0,1.0
2000-04-27,30.25,30.25,28.0,28.38,8.5193,819000,0.0,1.0
2000-04-28,28.38,28.5,27.5,27.81,8.3482,617500,0.0,1.0
