,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.44,21.56,20.94,21.13,10.951,861500,0.0,1.0
2000-01-19,21.25,21.81,20.5,20.63,10.6919,1410600,0.0,1.0
2000-01-20,20.88,20.88,20.25,20.5,10.6245,999700,0.0,1.0
2000-01-21,20.56,21.44,20.31,21.38,11.0806,2572600,0.0,1.0
2000-01-24,21.5,21.56,20.38,20.44,10.5934,1335700,0.0,1.0
2000-01-25,20.5,20.69,19.81,20.13,10.4327,1966900,0.0,1.0
2000-01-26,20.38,21.63,20.25,21.56,11.1739,1775500,0.0,1.0
2000-01-27,21.5,21.63,20.69,21.06,10.9147,1158700,0.0,1.0
2000-01-28,21.0,21.0,20.38,20.5,10.6245,1075600,0.0,1.0
2000-01-31,20.63,21.0,20.19,21.0,10.8836,1499400,0.0,1.0
2000-02-01,20.94,21.06,20.56,20.75,10.7541,1311300,0.0,1.0
2000-02-02,20.75,20.75,20.44,20.5,10.6245,1037700,0.0,1.0
2000-02-03,20.56,20.75,20.38,20.44,10.5934,1351500,0.0,1.0
2000-02-04,20.13,20.56,20.06,20.13,10.4327,1255600,0.0,1.0
2000-02-07,20.13,20.31,19.94,20.0,10.3654,1078400,0.0,1.0
2000-02-08,20.0,20.38,19.94,20.38,10.5623,1166700,0.0,1.0
2000-02-09,20.06,20.06,19.44,19.5,10.1062,1393500,0.0,1.0
2000-02-10,19.31,19.5,18.38,18.75,9.7175,2713700,0.0,1.0
2000-02-11,18.5,18.94,18.19,18.69,9.6864,2172900,0.0,1.0
2000-02-14,18.44,18.5,18.0,18.19,9.4273,1438000,0.0,1.0
2000-02-15,18.38,18.75,17.88,18.56,9.6191,2061300,0.0,1.0
2000-02-16,18.25,18.44,17.81,17.88,9.2666,1970700,0.0,1.0
2000-02-17,18.31,18.44,17.75,17.94,9.2977,993600,0.0,1.0
2000-02-18,17.69,17.81,17.0,17.25,8.9401,2011700,0.0,1.0
2000-02-22,17.44,17.69,17.31,17.44,9.0386,1760900,0.0,1.0
2000-02-23,17.44,17.5,17.19,17.19,8.909,1511500,0.0,1.0
2000-02-24,17.38,17.5,16.81,17.44,9.0386,1818600,0.0,1.0
2000-02-25,17.44,17.56,16.81,17.0,8.9557,1988400,0.28,1.0
2000-02-28,17.0,17.25,16.81,17.0,8.9557,2103200,0.0,1.0
2000-02-29,17.0,17.13,16.56,16.94,8.9241,1340600,0.0,1.0
2000-03-01,17.0,17.13,16.56,17.13,9.0242,1556100,0.0,1.0
2000-03-02,17.0,17.06,16.63,16.94,8.9241,1080600,0.0,1.0
2000-03-03,17.5,17.69,16.94,17.44,9.1875,1646600,0.0,1.0
2000-03-06,17.44,17.63,17.0,17.38,9.1559,1088500,0.0,1.0
2000-03-07,17.25,17.25,15.94,16.0,8.4289,2859400,0.0,1.0
2000-03-08,16.25,16.31,15.56,15.69,8.2656,2702700,0.0,1.0
2000-03-09,15.69,15.81,15.56,15.81,8.3288,2084900,0.0,1.0
