,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,65.31,65.31,63.81,64.06,32.4097,1879100,0.0,1.0
2000-01-19,65.25,65.38,63.13,64.19,32.4755,1351200,0.0,1.0
2000-01-20,64.25,66.0,64.06,64.25,32.5058,1713300,0.0,1.0
2000-01-21,66.13,66.13,63.94,64.69,32.7284,2090800,0.0,1.0
2000-01-24,64.25,64.38,61.25,63.06,31.9038,1819500,0.0,1.0
2000-01-25,64.25,64.25,60.88,62.25,31.494,1748000,0.0,1.0
2000-01-26,63.19,65.56,63.19,64.94,32.8549,2641400,0.0,1.0
2000-01-27,64.94,66.06,64.63,65.06,32.9156,2124100,0.0,1.0
2000-01-28,64.5,64.94,62.19,63.13,31.9392,1013300,0.0,1.0
2000-01-31,63.13,63.13,60.75,62.13,31.4333,1767200,0.0,1.0
2000-02-01,61.94,62.63,60.44,61.56,31.1449,1392300,0.0,1.0
2000-02-02,60.69,61.69,60.38,61.63,31.1803,1839500,0.0,1.0
2000-02-03,60.81,62.44,60.81,62.44,31.5901,1813700,0.0,1.0
2000-02-04,62.44,63.0,60.63,61.56,31.1449,1669600,0.0,1.0
2000-02-07,61.0,61.5,60.06,61.38,31.0538,1206600,0.0,1.0
2000-02-08,62.0,62.94,61.75,61.94,31.3371,1622200,0.0,1.0
2000-02-09,61.88,61.88,60.19,61.0,30.8616,1742700,0.0,1.0
2000-02-10,60.63,60.63,57.25,58.63,29.6625,1751900,0.0,1.0
2000-02-11,58.38,58.44,54.69,57.94,29.3134,2823100,0.0,1.0
2000-02-14,58.75,59.0,56.75,57.31,28.9947,1307800,0.0,1.0
2000-02-15,56.0,58.56,56.0,58.0,29.3438,1739800,0.0,1.0
2000-02-16,57.56,58.06,56.0,57.0,28.8379,1460100,0.0,1.0
2000-02-17,57.25,57.75,54.81,55.0,27.826,1875000,0.0,1.0
2000-02-18,54.25,54.88,51.88,52.88,26.7534,1880500,0.0,1.0
2000-02-22,53.0,56.25,53.0,55.31,27.9828,1646300,0.0,1.0
2000-02-23,55.06,56.13,54.44,54.88,27.7653,2042400,0.0,1.0
2000-02-24,55.0,55.5,52.5,53.25,26.9406,2503700,0.0,1.0
2000-02-25,52.13,52.69,51.06,51.44,26.0249,1808800,0.0,1.0
2000-02-28,51.31,52.63,50.75,51.91,26.2627,2315700,0.0,1.0
2000-02-29,52.0,52.5,51.5,51.5,26.0553,2181800,0.0,1.0
2000-03-01,51.44,51.5,48.5,48.88,24.7297,2928900,0.0,1.0
2000-03-02,49.0,49.75,48.38,49.25,24.9169,2249600,0.0,1.0
2000-03-03,49.5,52.63,49.38,51.81,26.2121,1856600,0.0,1.0
2000-03-06,50.56,51.13,49.06,50.63,25.6151,1781900,0.0,1.0
2000-03-07,42.25,46.56,42.0,45.38,22.959,7638100,0.0,1.0
2000-03-08,46.75,50.06,46.31,49.0,24.927,5496700,0.27,1.0
2000-03-09,49.0,50.19,48.31,50.19,25.5324,2526300,0.0,1.0
2000-03-10,50.0,50.31,46.44,47.5,24.164,3065000,0.0,1.0
2000-03-13,46.38,48.0,46.13,47.69,24.2606,1974700,0.0,1.0
2000-03-14,47.75,47.88,45.81,46.49,23.6502,2307700,0.0,1.0
2000-03-15,46.13,51.75,46.0,50.88,25.8834,3264500,0.0,1.0
2000-03-16,52.5,57.38,52.0,55.63,28.2998,3338200,0.0,1.0
2000-03-17,54.88,56.94,52.94,54.0,27.4706,2637200,0.0,1.0
2000-03-20,54.0,54.69,53.0,53.44,27.1857,1846100,0.0,1.0
2000-03-21,53.56,54.94,52.31,53.0,26.9619,1779500,0.0,1.0
2000-03-22,51.63,52.75,51.0,51.81,26.3565,1463100,0.0,1.0
2000-03-23,51.75,53.81,51.44,53.44,27.1857,2121800,0.0,1.0
2000-03-24,53.44,54.94,52.75,53.13,27.028,1849700,0.0,1.0
2000-03-27,53.13,54.0,51.81,52.0,26.4532,1526800,0.0,1.0
2000-03-28,51.0,52.5,51.0,51.69,26.2955,1821700,0.0,1.0
2000-03-29,51.69,53.31,51.63,53.13,27.028,2097800,0.0,1.0
2000-03-30,53.63,57.81,53.25,56.63,28.8085,2531100,0.0,1.0
2000-03-31,56.88,58.25,55.19,56.06,28.5186,2402500,0.0,1.0
2000-04-03,56.38,59.31,56.19,59.31,30.1719,1527600,0.0,1.0
2000-04-04,59.31,61.38,56.25,59.06,30.0447,2302500,0.0,1.0
2000-04-05,59.06,59.06,55.88,55.88,28.427,1640000,0.0,1.0
2000-04-06,56.75,57.06,55.5,56.13,28.5542,1061400,0.0,1.0
2000-04-07,56.25,56.88,55.69,56.25,28.6152,790100,0.0,1.0
2000-04-10,56.13,58.0,55.81,56.06,28.5186,1537400,0.0,1.0
2000-04-11,56.44,58.69,56.13,57.56,29.2816,1529000,0.0,1.0
2000-04-12,57.44,60.44,57.44,59.56,30.2991,2355400,0.0,1.0
2000-04-13,59.56,60.5,57.5,60.5,30.7773,2257800,0.0,1.0
2000-04-14,59.0,59.13,55.94,56.88,28.9357,1924400,0.0,1.0
2000-04-17,55.88,58.75,54.0,58.75,29.887,2293300,0.0,1.0
2000-04-18,58.25,59.0,57.0,58.25,29.6326,2425500,0.0,1.0
2000-04-19,58.25,58.38,57.56,58.0,29.5055,1481500,0.0,1.0
