,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-02-11,31.7,32.14,30.75,31.05,22.1062,50610600,0.0,1.0
2011-02-14,31.05,31.3,30.7,30.7,21.857,6275900,0.0,1.0
2011-02-15,30.9,31.15,30.73,30.94,22.0279,4337800,0.0,1.0
2011-02-16,31.05,31.44,30.66,30.72,21.8713,4627100,0.0,1.0
2011-02-17,30.68,31.09,30.51,30.55,21.7502,3290700,0.0,1.0
2011-02-18,30.65,31.39,30.4,31.37,22.334,2583800,0.0,1.0
2011-02-22,31.14,31.43,30.71,30.72,21.8713,2454300,0.0,1.0
2011-02-23,30.76,30.9,30.25,30.42,21.6577,2671200,0.0,1.0
2011-02-24,30.55,30.65,30.3,30.46,21.6862,1698000,0.0,1.0
2011-02-25,30.53,30.75,30.3,30.5,21.7146,2225900,0.0,1.0
2011-02-28,30.57,30.79,30.42,30.5,21.7146,2380400,0.0,1.0
2011-03-01,30.65,30.78,30.23,30.45,21.679,1908000,0.0,1.0
2011-03-02,30.57,30.69,30.26,30.57,21.7645,2197000,0.0,1.0
2011-03-03,30.68,30.77,30.53,30.77,21.9069,1901800,0.0,1.0
2011-03-04,30.8,30.9392,30.66,30.85,21.9638,892300,0.0,1.0
2011-03-07,30.94,31.04,30.7,30.9,21.9994,1049600,0.0,1.0
2011-03-08,30.8,31.04,30.8,30.97,22.0493,827400,0.0,1.0
2011-03-09,30.9,30.98,30.74,30.75,21.8926,294100,0.0,1.0
2011-03-10,30.71,30.71,29.75,30.1,21.4299,2715200,0.0,1.0
2011-03-11,30.1,30.48,29.97,30.1,21.4299,1896900,0.0,1.0
2011-03-14,30.0,30.22,29.8,29.99,21.3515,1967700,0.0,1.0
2011-03-15,29.81,30.2,29.6,29.88,21.2732,1968400,0.0,1.0
2011-03-16,29.89,30.16,29.76,30.05,21.3943,2062200,0.0,1.0
2011-03-17,30.2,30.41,30.06,30.15,21.4655,1511400,0.0,1.0
2011-03-18,30.21,30.5,30.08,30.5,21.7146,1906600,0.0,1.0
2011-03-21,30.53,31.0,30.4,30.82,21.9425,1253000,0.0,1.0
2011-03-22,30.9,30.98,30.57,30.7,21.857,1014700,0.0,1.0
2011-03-23,30.53,30.67,29.95,30.02,21.3729,2570500,0.0,1.0
2011-03-24,30.1,30.25,29.9,30.05,21.3943,1411600,0.0,1.0
2011-03-25,30.01,30.0899,29.5,29.52,21.0169,2687100,0.0,1.0
2011-03-28,29.74,29.93,29.56,29.62,21.0881,1552900,0.0,1.0
2011-03-29,29.75,29.8846,29.54,29.79,21.2092,1313800,0.0,1.0
2011-03-30,29.87,29.89,29.58,29.69,21.138,769700,0.0,1.0
2011-03-31,29.8,29.87,29.51,29.64,21.1024,884400,0.0,1.0
2011-04-01,29.79,29.85,29.49,29.5,21.0027,1869200,0.0,1.0
2011-04-04,29.44,29.7,29.25,29.44,20.96,1177900,0.0,1.0
2011-04-05,29.49,29.64,29.0,29.44,20.96,1021200,0.0,1.0
2011-04-06,29.46,29.49,29.21,29.46,20.9742,725100,0.0,1.0
2011-04-07,29.52,29.56,29.13,29.22,20.8033,1226100,0.0,1.0
2011-04-08,29.22,29.42,29.12,29.33,20.8817,934800,0.0,1.0
2011-04-11,29.3,29.41,29.07,29.25,20.8247,1160900,0.0,1.0
2011-04-12,29.1,29.24,28.27,28.73,20.4545,1278100,0.0,1.0
2011-04-13,28.74,29.02,28.66,28.83,20.5257,2766900,0.0,1.0
2011-04-14,28.79,29.16,28.57,29.12,20.7321,785800,0.0,1.0
2011-04-15,29.11,29.15,28.69,28.88,20.5613,863900,0.0,1.0
2011-04-18,28.79,28.8399,28.23,28.52,20.305,882400,0.0,1.0
2011-04-19,28.59,28.86,28.53,28.78,20.4901,1121200,0.0,1.0
2011-04-20,28.98,29.6,28.79,29.45,20.9671,2054000,0.0,1.0
2011-04-21,29.32,29.93,29.07,29.63,21.0952,1516900,0.0,1.0
2011-04-25,29.81,29.81,29.07,29.36,20.903,604100,0.0,1.0
2011-04-26,29.54,29.589,29.05,29.12,20.7321,1100000,0.0,1.0
2011-04-27,29.3,29.49,28.75,28.86,20.547,1479600,0.0,1.0
2011-04-28,28.84,28.95,28.69,28.83,20.6253,1041000,0.14,1.0
2011-04-29,29.04,29.29,28.35,28.58,20.4465,1843400,0.0,1.0
2011-05-02,28.73,28.99,28.38,28.82,20.6182,1036600,0.0,1.0
2011-05-03,28.84,28.89,28.05,28.19,20.1675,1158700,0.0,1.0
2011-05-04,28.2,28.3597,27.31,27.96,20.0029,2537800,0.0,1.0
2011-05-05,28.02,28.26,27.41,27.98,20.0172,1618300,0.0,1.0
2011-05-06,28.08,28.41,27.85,28.0,20.0316,653600,0.0,1.0
2011-05-09,28.11,28.45,28.01,28.29,20.239,752100,0.0,1.0
2011-05-10,28.27,28.69,28.08,28.52,20.4036,777800,0.0,1.0
2011-05-11,28.53,28.63,28.01,28.31,20.2533,1400100,0.0,1.0
2011-05-12,28.2,28.45,27.82,28.45,20.3535,1800000,0.0,1.0
2011-05-13,28.37,28.37,27.75,27.93,19.9815,1344100,0.0,1.0
2011-05-16,28.06,28.48,27.4,27.54,19.7025,1737600,0.0,1.0
2011-05-17,27.6,27.71,26.87,27.5,19.6739,2404600,0.0,1.0
2011-05-18,27.77,27.88,27.42,27.56,19.7168,895200,0.0,1.0
2011-05-19,27.68,28.34,27.53,28.29,20.239,1096500,0.0,1.0
2011-05-20,28.25,28.9,27.97,28.5,20.3893,1535400,0.0,1.0
2011-05-23,28.41,28.57,28.19,28.33,20.2676,2927600,0.0,1.0
2011-05-24,28.53,29.06,28.47,29.06,20.7899,2587700,0.0,1.0
2011-05-25,28.98,29.28,28.8,29.02,20.7613,3304700,0.0,1.0
2011-05-26,29.1,29.22,28.61,28.69,20.5252,1507000,0.0,1.0
2011-05-27,28.9,29.18,28.5,29.18,20.8757,1896600,0.0,1.0
2011-05-31,29.53,29.76,29.0,29.29,20.9544,5489900,0.0,1.0
2011-06-01,29.4,29.47,28.85,29.0,20.747,1042800,0.0,1.0
2011-06-02,29.15,29.38,28.44,29.38,21.0188,978400,0.0,1.0
2011-06-03,29.06,29.76,28.73,29.75,21.2835,1566400,0.0,1.0
2011-06-06,29.6,29.77,29.25,29.52,21.119,1402100,0.0,1.0
2011-06-07,29.58,29.97,29.42,29.79,21.3121,1980000,0.0,1.0
2011-06-08,29.58,29.86,29.46,29.73,21.2692,766800,0.0,1.0
2011-06-09,29.72,29.8899,29.64,29.69,21.2406,1215900,0.0,1.0
2011-06-10,29.74,29.846,29.43,29.53,21.1261,895800,0.0,1.0
2011-06-13,29.62,29.93,29.2,29.45,21.0689,901900,0.0,1.0
2011-06-14,29.41,29.86,29.06,29.5,21.1047,760200,0.0,1.0
2011-06-15,29.42,29.65,28.89,29.36,21.0045,1149000,0.0,1.0
2011-06-16,29.4,29.44,29.0708,29.21,20.8972,792100,0.0,1.0
2011-06-17,29.36,29.74,29.15,29.7,21.2478,2448200,0.0,1.0
2011-06-20,29.61,29.6699,29.4,29.61,21.1834,866700,0.0,1.0
2011-06-21,29.7,29.7,29.34,29.62,21.1905,631300,0.0,1.0
