,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,61.31,65.0,61.06,65.0,19.0204,9175400,0.0,1.0
2000-01-19,65.0,65.25,63.75,65.25,19.0936,6406700,0.0,1.0
2000-01-20,65.31,65.94,65.13,65.88,19.2779,5769900,0.0,1.0
2000-01-21,66.75,66.88,65.75,66.88,19.5706,5692900,0.0,1.0
2000-01-24,66.0,66.75,63.56,64.88,18.9853,5653000,0.0,1.0
2000-01-25,64.0,66.06,62.88,65.88,19.2779,4859300,0.0,1.0
2000-01-26,64.25,65.5,62.75,63.06,18.4527,11861900,0.0,1.0
2000-01-27,62.63,62.69,58.44,59.5,17.411,8775400,0.0,1.0
2000-01-28,59.44,59.56,56.94,56.94,16.6619,5437600,0.0,1.0
2000-01-31,57.06,58.75,56.56,57.44,16.8082,5367300,0.0,1.0
2000-02-01,57.75,58.38,56.31,58.13,17.0101,4057300,0.0,1.0
2000-02-02,57.56,57.88,56.38,56.38,16.498,3582000,0.0,1.0
2000-02-03,56.5,56.75,55.06,55.25,16.1674,4732200,0.0,1.0
2000-02-04,55.25,57.75,55.25,56.25,16.46,5750900,0.0,1.0
2000-02-07,56.06,57.63,55.56,56.88,16.6443,3871400,0.0,1.0
2000-02-08,57.44,57.88,56.75,57.19,16.735,4130600,0.0,1.0
2000-02-09,57.0,57.75,56.75,57.0,16.6794,3974300,0.0,1.0
2000-02-10,57.25,57.38,56.25,56.69,16.5887,4015500,0.0,1.0
2000-02-11,55.75,55.94,54.88,55.56,16.2581,3844300,0.0,1.0
2000-02-14,55.06,55.25,53.81,54.13,15.8396,3567000,0.0,1.0
2000-02-15,53.38,55.75,53.25,55.69,16.2961,3925400,0.0,1.0
2000-02-16,55.06,55.44,53.25,53.56,15.6728,3434600,0.0,1.0
2000-02-17,53.5,53.56,51.19,52.31,15.3071,5830500,0.0,1.0
2000-02-18,51.5,52.31,50.75,51.38,15.0349,5721700,0.0,1.0
2000-02-22,50.81,52.63,50.5,51.75,15.1432,5271500,0.0,1.0
2000-02-23,51.38,51.44,50.0,51.25,14.9969,5510800,0.0,1.0
2000-02-24,50.38,50.5,48.31,49.81,14.5755,7725800,0.0,1.0
2000-02-25,49.75,50.69,48.06,48.69,14.2478,5452600,0.0,1.0
2000-02-28,48.06,49.69,47.56,49.31,14.4292,5395400,0.0,1.0
2000-02-29,48.13,48.81,47.63,48.63,14.2302,5173100,0.0,1.0
2000-03-01,49.19,51.38,49.19,51.0,14.9237,7806100,0.0,1.0
2000-03-02,51.19,51.81,49.38,49.63,14.5228,5679300,0.0,1.0
2000-03-03,50.13,50.38,49.06,50.13,14.6691,4505300,0.0,1.0
2000-03-06,49.19,49.5,48.31,49.0,14.3385,3933000,0.0,1.0
2000-03-07,48.38,49.0,44.81,47.13,13.7913,11720100,0.0,1.0
2000-03-08,46.63,48.06,45.88,47.5,13.8995,7220800,0.0,1.0
2000-03-09,47.56,47.56,45.88,46.75,13.6801,6194700,0.0,1.0
2000-03-10,46.06,46.63,44.06,45.5,13.3143,7029600,0.0,1.0
2000-03-13,43.25,44.31,43.13,43.75,12.852,7823200,0.17,1.0
2000-03-14,44.31,44.31,42.88,43.31,12.7227,5581000,0.0,1.0
2000-03-15,43.69,47.81,43.5,47.56,13.9712,11069100,0.0,1.0
2000-03-16,49.31,49.88,48.56,49.75,14.6145,8805100,0.0,1.0
2000-03-17,49.38,49.94,48.75,49.13,14.4324,7265400,0.0,1.0
2000-03-20,49.0,49.0,48.06,48.56,14.2649,3377600,0.0,1.0
2000-03-21,47.38,49.69,47.38,49.44,14.5234,4287900,0.0,1.0
2000-03-22,49.0,49.0,46.19,47.06,13.8243,5942100,0.0,1.0
2000-03-23,47.0,48.38,46.44,47.0,13.8067,5166900,0.0,1.0
2000-03-24,47.0,47.19,46.38,47.0,13.8067,4384600,0.0,1.0
2000-03-27,46.81,47.13,45.25,45.25,13.2926,5267700,0.0,1.0
2000-03-28,45.75,46.5,44.88,44.88,13.1839,6836500,0.0,1.0
2000-03-29,45.38,47.06,45.31,46.88,13.7714,8146300,0.0,1.0
2000-03-30,47.13,49.94,47.13,48.56,14.2649,9397600,0.0,1.0
2000-03-31,48.69,48.69,46.94,46.94,13.789,4428500,0.0,1.0
2000-04-03,47.44,49.94,47.25,49.31,14.4853,7093400,0.0,1.0
2000-04-04,49.5,52.38,48.19,52.38,15.3871,13695100,0.0,1.0
2000-04-05,50.25,50.94,47.38,47.63,13.9917,10128300,0.0,1.0
2000-04-06,47.88,47.94,44.75,45.75,13.4395,10337500,0.0,1.0
2000-04-07,45.75,46.44,44.75,46.19,13.5687,6187000,0.0,1.0
2000-04-10,46.5,47.19,44.88,45.0,13.2192,6451500,0.0,1.0
2000-04-11,46.44,47.75,45.69,47.19,13.8625,6048200,0.0,1.0
2000-04-12,48.0,49.94,47.69,48.5,14.2473,7793200,0.0,1.0
2000-04-13,47.5,48.63,47.13,47.25,13.8801,4446400,0.0,1.0
2000-04-14,46.25,47.56,46.06,47.0,13.8067,4744100,0.0,1.0
2000-04-17,46.75,48.63,46.25,48.5,14.2473,5355100,0.0,1.0
2000-04-18,48.31,49.13,46.38,48.63,14.2855,6500500,0.0,1.0
2000-04-19,48.63,49.69,47.94,49.19,14.45,5036600,0.0,1.0
2000-04-20,48.5,49.44,48.0,49.44,14.5234,4139300,0.0,1.0
2000-04-24,49.44,50.44,49.0,49.63,14.5793,4688800,0.0,1.0
2000-04-25,49.31,50.5,48.19,50.5,14.8348,4355800,0.0,1.0
2000-04-26,49.0,50.13,48.88,49.44,14.5234,4768100,0.0,1.0
2000-04-27,48.5,49.13,47.44,48.25,14.1739,4511600,0.0,1.0
2000-04-28,48.13,48.38,46.75,47.25,13.8801,3784400,0.0,1.0
2000-05-01,46.63,47.0,46.25,46.25,13.5864,3877000,0.0,1.0
2000-05-02,46.56,47.56,45.94,46.25,13.5864,4604700,0.0,1.0
2000-05-03,46.13,48.81,46.13,48.5,14.2473,7198700,0.0,1.0
2000-05-04,48.75,49.19,47.31,48.5,14.2473,3421200,0.0,1.0
2000-05-05,47.56,48.0,46.75,47.06,13.8243,2999600,0.0,1.0
2000-05-08,47.69,48.5,47.63,48.5,14.2473,3006500,0.0,1.0
2000-05-09,50.0,51.25,49.94,50.5,14.8348,11193000,0.0,1.0
2000-05-10,50.56,53.0,50.5,52.81,15.5134,10531000,0.0,1.0
2000-05-11,53.81,53.81,53.0,53.56,15.7337,7959700,0.0,1.0
2000-05-12,53.0,53.0,51.5,52.25,15.3489,3749100,0.0,1.0
2000-05-15,52.0,52.75,51.0,51.75,15.202,4028300,0.0,1.0
2000-05-16,50.75,50.75,48.63,48.94,14.3766,8238300,0.0,1.0
2000-05-17,48.63,49.19,48.0,48.25,14.1739,4224300,0.0,1.0
2000-05-18,48.25,49.88,48.19,49.44,14.5234,4049300,0.0,1.0
2000-05-19,49.06,50.31,49.06,50.06,14.7056,5026800,0.0,1.0
2000-05-22,50.06,50.69,49.44,50.69,14.8906,4858200,0.0,1.0
2000-05-23,50.0,50.19,49.69,50.0,14.6879,3605000,0.0,1.0
2000-05-24,50.25,53.06,50.19,52.69,15.4782,5394000,0.0,1.0
2000-05-25,52.56,52.94,52.0,52.69,15.4782,3865900,0.0,1.0
2000-05-26,53.25,55.0,53.25,54.56,16.0275,6190100,0.0,1.0
2000-05-30,54.94,55.0,53.06,53.88,15.8277,3725600,0.0,1.0
2000-05-31,53.56,53.88,52.75,53.38,15.6809,2770500,0.0,1.0
2000-06-01,53.19,54.63,53.06,53.25,15.6427,2996900,0.0,1.0
2000-06-02,53.25,53.25,52.13,52.56,15.44,3162400,0.0,1.0
2000-06-05,52.31,52.88,51.75,52.0,15.2755,2418700,0.0,1.0
2000-06-06,51.13,51.94,51.06,51.81,15.2197,3304600,0.0,1.0
2000-06-07,52.0,53.25,51.88,53.0,15.5692,3432600,0.0,1.0
2000-06-08,52.13,53.0,51.88,52.81,15.5134,3889500,0.0,1.0
2000-06-09,52.81,53.38,52.13,52.31,15.3665,2483000,0.0,1.0
2000-06-12,52.31,53.44,52.25,52.63,15.4605,2061300,0.0,1.0
2000-06-13,53.0,54.0,52.81,53.38,15.7308,2813100,0.17,1.0
2000-06-14,53.56,54.13,52.38,53.0,15.6188,5082900,0.0,1.0
