,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,18.62,18.62,17.62,18.0,7.203,4726100,0.0,1.0
2000-01-19,18.0,18.19,17.75,18.0,7.203,2838100,0.0,1.0
2000-01-20,18.06,18.06,17.19,17.37,6.9509,3568900,0.0,1.0
2000-01-21,17.44,17.44,16.69,16.81,6.7268,4075500,0.0,1.0
2000-01-24,17.0,17.12,16.06,16.31,6.5267,5800100,0.0,1.0
2000-01-25,16.19,16.25,15.81,16.12,6.4507,3858300,0.0,1.0
2000-01-26,16.06,16.81,16.06,16.5,6.6028,6618500,0.0,1.0
2000-01-27,16.87,17.69,16.81,16.94,6.7788,7468500,0.0,1.0
2000-01-28,16.81,17.12,16.56,16.56,6.6268,4410600,0.0,1.0
2000-01-31,16.94,17.62,16.81,17.37,6.9509,4368800,0.0,1.0
2000-02-01,17.44,17.75,17.19,17.75,7.103,3251000,0.0,1.0
2000-02-02,17.69,18.25,17.31,18.19,7.2791,3867100,0.0,1.0
2000-02-03,18.25,18.5,17.62,18.0,7.203,5885800,0.0,1.0
2000-02-04,17.75,17.81,16.94,17.62,7.051,4261500,0.0,1.0
2000-02-07,16.94,17.5,16.87,16.94,6.7788,2595100,0.0,1.0
2000-02-08,17.12,17.81,17.0,17.81,7.127,3445700,0.0,1.0
2000-02-09,17.62,17.62,16.94,17.0,6.8029,2611800,0.0,1.0
2000-02-10,17.0,17.37,15.94,16.19,6.4787,5093700,0.0,1.0
2000-02-11,16.44,16.94,16.25,16.75,6.7028,4162600,0.0,1.0
2000-02-14,16.44,16.5,15.88,16.37,6.5508,3797100,0.0,1.0
2000-02-15,16.31,17.25,16.12,17.0,6.8029,3790000,0.0,1.0
2000-02-16,16.81,17.0,16.19,16.81,6.7268,2622200,0.0,1.0
2000-02-17,16.5,16.62,15.81,15.94,6.3787,3847500,0.0,1.0
2000-02-18,15.88,15.94,15.0,15.0,6.0025,4376200,0.0,1.0
2000-02-22,15.06,15.5,15.0,15.19,6.0786,3720900,0.0,1.0
2000-02-23,15.06,15.38,14.88,15.06,6.0265,4577900,0.0,1.0
2000-02-24,15.19,15.25,14.38,14.75,5.9025,4180200,0.0,1.0
2000-02-25,14.38,14.63,14.06,14.19,5.6784,6883100,0.0,1.0
2000-02-28,15.0,15.38,14.56,15.13,6.0545,4526400,0.0,1.0
2000-02-29,15.13,15.31,14.75,14.94,5.9785,4905800,0.0,1.0
2000-03-01,14.94,15.06,14.63,14.81,5.9265,3048500,0.0,1.0
2000-03-02,14.94,14.94,14.5,14.56,5.8264,3289900,0.0,1.0
2000-03-03,14.88,15.06,14.69,14.75,5.9025,4535700,0.0,1.0
2000-03-06,14.94,15.25,14.63,14.94,5.9785,3142600,0.0,1.0
2000-03-07,14.88,14.94,14.5,14.75,5.9025,3660600,0.0,1.0
2000-03-08,14.69,15.5,14.25,15.38,6.1546,5991000,0.0,1.0
2000-03-09,15.31,15.31,14.5,14.81,5.9265,4870300,0.0,1.0
2000-03-10,14.81,15.13,14.56,14.75,5.9025,4450900,0.0,1.0
2000-03-13,14.69,15.0,14.5,14.94,5.9785,4185700,0.0,1.0
2000-03-14,14.88,14.94,14.38,14.44,5.7784,8680400,0.0,1.0
2000-03-15,14.44,15.0,14.06,14.88,5.9545,8022000,0.0,1.0
2000-03-16,15.0,15.69,14.88,15.56,6.2266,9790000,0.0,1.0
2000-03-17,15.81,17.5,15.75,16.69,6.6788,12456400,0.0,1.0
2000-03-20,16.69,16.94,15.94,16.06,6.4267,3163800,0.0,1.0
2000-03-21,16.0,17.0,15.81,16.62,6.6508,3318100,0.0,1.0
2000-03-22,16.81,17.44,16.75,17.19,6.8789,3215800,0.0,1.0
2000-03-23,17.25,17.56,16.37,16.62,6.6508,3159300,0.0,1.0
2000-03-24,16.62,18.25,16.62,17.87,7.151,5310700,0.0,1.0
2000-03-27,17.75,17.81,17.31,17.44,6.9789,2210000,0.0,1.0
2000-03-28,17.0,18.19,17.0,17.25,6.9029,3356400,0.0,1.0
2000-03-29,17.31,17.75,17.31,17.69,7.079,3235000,0.0,1.0
2000-03-30,17.69,18.12,17.25,17.44,6.9789,3591900,0.0,1.0
2000-03-31,17.44,18.06,17.31,17.56,7.027,3307000,0.0,1.0
2000-04-03,17.81,19.25,17.75,18.87,7.5512,5766300,0.0,1.0
2000-04-04,19.25,20.37,19.06,20.19,8.0794,10598800,0.0,1.0
2000-04-05,19.87,20.5,19.87,20.25,8.1034,4624000,0.0,1.0
2000-04-06,20.75,20.87,19.31,19.56,7.8273,3007700,0.0,1.0
2000-04-07,19.69,19.75,19.06,19.25,7.7032,2523200,0.0,1.0
2000-04-10,19.31,19.44,18.5,19.25,7.7032,2456800,0.0,1.0
2000-04-11,19.5,21.12,19.37,20.62,8.2515,5348400,0.0,1.0
2000-04-12,20.37,21.94,20.31,21.37,8.5516,7218600,0.0,1.0
2000-04-13,21.5,21.56,20.25,20.31,8.1274,3852800,0.0,1.0
2000-04-14,20.12,20.12,18.69,19.06,7.6272,4257800,0.0,1.0
2000-04-17,18.81,18.87,17.81,18.0,7.203,4909700,0.0,1.0
2000-04-18,17.12,17.94,16.69,17.94,7.179,6273500,0.0,1.0
2000-04-19,17.94,18.19,17.75,18.0,7.203,4922300,0.0,1.0
2000-04-20,17.87,18.0,17.62,17.69,7.079,2762400,0.0,1.0
2000-04-24,17.62,19.19,17.5,18.87,7.5512,4457800,0.0,1.0
2000-04-25,19.0,19.56,18.37,19.44,7.7793,3093500,0.0,1.0
2000-04-26,19.5,19.5,18.56,19.19,7.6792,3316400,0.0,1.0
2000-04-27,18.62,19.37,18.62,19.06,7.6272,3060700,0.0,1.0
2000-04-28,19.06,19.19,18.31,18.56,7.4271,2852200,0.0,1.0
2000-05-01,18.19,18.87,18.0,18.19,7.2791,3577500,0.0,1.0
2000-05-02,18.0,19.56,17.87,18.87,7.5512,3614400,0.0,1.0
2000-05-03,18.87,19.62,18.5,18.5,7.4031,2257300,0.0,1.0
2000-05-04,18.75,19.5,18.5,18.94,7.5792,2989200,0.0,1.0
2000-05-05,18.56,19.62,18.56,19.56,7.8273,2305700,0.0,1.0
2000-05-08,19.37,19.44,19.0,19.25,7.7032,2018400,0.0,1.0
2000-05-09,19.37,19.5,18.87,19.31,7.7272,2107400,0.0,1.0
2000-05-10,19.06,20.12,18.87,20.12,8.0514,2920900,0.0,1.0
2000-05-11,20.06,20.75,19.62,20.62,8.2515,3308800,0.0,1.0
2000-05-12,20.19,20.5,19.44,20.06,8.0274,2863000,0.0,1.0
2000-05-15,19.81,20.81,19.81,20.81,8.3275,2079100,0.0,1.0
2000-05-16,20.94,21.31,20.31,21.0,8.4035,2662000,0.0,1.0
2000-05-17,20.5,21.0,20.37,20.69,8.2795,1763800,0.0,1.0
2000-05-18,20.75,20.94,20.37,20.5,8.2034,1384800,0.0,1.0
2000-05-19,19.75,20.62,19.69,20.06,8.0274,2068600,0.0,1.0
2000-05-22,20.31,20.37,19.87,20.0,8.0034,2946400,0.0,1.0
2000-05-23,20.0,20.25,19.56,19.56,7.8273,3367600,0.0,1.0
2000-05-24,19.56,19.94,18.69,19.94,7.9794,3511100,0.0,1.0
2000-05-25,19.75,19.81,19.19,19.37,7.7513,2757700,0.0,1.0
2000-05-26,19.62,21.0,19.56,20.75,8.3035,4290400,0.0,1.0
2000-05-30,20.5,20.75,20.25,20.75,8.3035,2040800,0.0,1.0
2000-05-31,20.37,20.62,19.81,19.87,7.9513,2117600,0.0,1.0
2000-06-01,19.87,20.44,19.5,20.19,8.0794,1892400,0.0,1.0
2000-06-02,20.06,20.12,18.56,19.0,7.6032,3405500,0.0,1.0
2000-06-05,18.94,19.12,18.12,18.5,7.4031,2608100,0.0,1.0
2000-06-06,18.25,18.5,17.94,18.5,7.4031,2878400,0.0,1.0
2000-06-07,18.5,19.19,18.44,18.87,7.5512,2932400,0.0,1.0
2000-06-08,18.81,19.19,17.94,18.5,7.4031,2375700,0.0,1.0
2000-06-09,18.12,18.56,18.12,18.37,7.3511,1332700,0.0,1.0
2000-06-12,18.44,19.06,18.12,18.75,7.5032,2301700,0.0,1.0
2000-06-13,18.5,19.06,18.5,19.0,7.6032,2298700,0.0,1.0
2000-06-14,18.94,19.06,18.69,18.87,7.5512,2505200,0.0,1.0
2000-06-15,18.94,19.12,18.69,18.75,7.5032,2752300,0.0,1.0
2000-06-16,18.62,18.69,18.25,18.31,7.3271,2755000,0.0,1.0
2000-06-19,18.44,18.87,18.25,18.69,7.4791,2762500,0.0,1.0
2000-06-20,19.62,20.19,19.5,19.75,7.9033,6958900,0.0,1.0
2000-06-21,19.75,19.94,19.06,19.62,7.8513,3763100,0.0,1.0
2000-06-22,19.69,20.94,19.62,20.69,8.2795,6349100,0.0,1.0
2000-06-23,20.5,22.19,20.5,22.0,8.8037,10067000,0.0,1.0
2000-06-26,21.37,21.69,20.25,20.44,8.1794,2941300,0.0,1.0
2000-06-27,20.44,21.06,20.44,20.56,8.2275,2432100,0.0,1.0
2000-06-28,20.81,20.94,20.25,20.27,8.1114,1909700,0.0,1.0
2000-06-29,20.25,21.44,20.25,20.75,8.3035,2524900,0.0,1.0
2000-06-30,20.62,22.17,20.62,22.06,8.8277,6025700,0.0,1.0
2000-07-03,21.87,22.0,21.56,21.94,8.7797,980000,0.0,1.0
2000-07-05,22.19,22.56,21.81,21.94,8.7797,2559100,0.0,1.0
2000-07-06,22.0,23.06,22.0,22.69,9.0798,3754500,0.0,1.0
2000-07-07,22.81,23.19,22.56,22.81,9.1278,2768700,0.0,1.0
2000-07-10,22.5,22.62,22.06,22.56,9.0278,2932600,0.0,1.0
2000-07-11,22.19,22.81,22.12,22.5,9.0038,3306800,0.0,1.0
