,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,69.62,69.81,67.88,68.56,2.0775,1205400,0.0,1.0
2000-01-19,68.56,69.44,68.56,68.81,2.0851,887400,0.0,1.0
2000-01-20,69.38,69.69,67.0,68.38,2.072,1081800,0.0,1.0
2000-01-21,69.25,71.06,68.12,70.19,2.1269,1059800,0.0,1.0
2000-01-24,71.0,74.94,71.0,71.62,2.1702,2146400,0.0,1.0
2000-01-25,71.62,71.88,69.44,70.25,2.1287,695000,0.0,1.0
2000-01-26,70.75,71.06,68.12,70.44,2.1344,905600,0.0,1.0
2000-01-27,74.0,77.06,72.88,73.75,2.2347,2199800,0.0,1.0
2000-01-28,72.75,73.12,68.75,69.31,2.1002,1029200,0.0,1.0
2000-01-31,68.19,69.19,65.94,69.19,2.0966,1531000,0.0,1.0
2000-02-01,66.75,68.75,66.31,68.5,2.0757,1119200,0.0,1.0
2000-02-02,68.75,70.44,68.5,70.06,2.1229,496200,0.0,1.0
2000-02-03,70.44,73.44,70.19,70.94,2.1496,1161800,0.0,1.0
2000-02-04,71.38,74.31,70.75,73.56,2.229,1228200,0.0,1.0
2000-02-07,73.88,74.81,73.31,73.5,2.2272,778600,0.0,1.0
2000-02-08,73.25,74.62,73.25,74.56,2.2593,1002400,0.0,1.0
2000-02-09,75.12,76.25,72.88,73.38,2.2235,1002600,0.0,1.0
2000-02-10,73.38,73.88,71.38,72.06,2.1835,631600,0.0,1.0
2000-02-11,72.31,72.38,70.12,70.44,2.1344,542400,0.0,1.0
2000-02-14,70.44,72.25,70.44,71.25,2.159,777400,0.0,1.0
2000-02-15,71.5,73.44,70.94,73.38,2.2235,766000,0.0,1.0
2000-02-16,73.5,73.69,70.5,71.25,2.159,1152200,0.0,1.0
2000-02-17,72.0,73.5,71.25,71.94,2.1799,862800,0.0,1.0
2000-02-18,71.69,71.75,70.25,70.56,2.1381,759000,0.0,1.0
2000-02-22,70.19,72.0,68.06,71.38,2.1629,1545600,0.0,1.0
