,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,61.13,61.13,60.38,60.63,8.4999,358600,0.0,1.0
2000-01-19,60.38,61.0,57.06,60.0,8.4116,237800,0.0,1.0
2000-01-20,59.75,59.88,58.19,58.38,8.1845,148400,0.0,1.0
2000-01-21,58.38,59.0,58.38,58.63,8.2195,280500,0.0,1.0
2000-01-24,58.69,58.69,57.5,57.5,8.0611,329500,0.0,1.0
2000-01-25,57.5,57.81,56.94,57.0,7.991,289800,0.0,1.0
2000-01-26,57.25,57.5,56.75,57.13,8.0092,442300,0.0,1.0
2000-01-27,57.38,57.38,56.19,56.31,7.8943,292600,0.0,1.0
2000-01-28,56.13,56.25,55.5,55.63,7.834,258200,0.25,1.0
2000-01-31,55.19,56.44,55.19,56.0,7.8861,427000,0.0,1.0
2000-02-01,56.0,57.0,55.81,57.0,8.0269,276100,0.0,1.0
2000-02-02,56.75,57.25,56.63,56.69,7.9833,132400,0.0,1.0
2000-02-03,56.75,57.88,56.63,57.31,8.0706,291800,0.0,1.0
2000-02-04,57.19,57.81,57.06,57.38,8.0804,231700,0.0,1.0
2000-02-07,57.38,57.94,56.63,57.0,8.0269,1292000,0.0,1.0
2000-02-08,56.56,56.56,52.63,52.81,7.4369,322700,0.0,1.0
2000-02-09,52.81,54.25,51.81,52.44,7.3848,305300,0.0,1.0
2000-02-10,52.44,53.25,52.06,52.06,7.3312,312000,0.0,1.0
2000-02-11,52.06,52.19,50.31,50.5,7.1116,330900,0.0,1.0
2000-02-14,50.5,50.5,49.5,49.5,6.9707,368800,0.0,1.0
2000-02-15,49.31,49.38,48.25,48.44,6.8215,520700,0.0,1.0
2000-02-16,48.56,48.81,48.31,48.75,6.8651,407800,0.0,1.0
2000-02-17,48.94,49.0,48.31,48.44,6.8215,330500,0.0,1.0
2000-02-18,48.0,48.06,46.31,46.81,6.5919,320900,0.0,1.0
2000-02-22,46.88,47.31,46.06,46.94,6.6102,178000,0.0,1.0
2000-02-23,46.94,47.0,45.94,46.25,6.5131,167600,0.0,1.0
2000-02-24,45.0,45.75,43.56,45.56,6.4159,683300,0.0,1.0
2000-02-25,45.75,46.44,45.5,45.63,6.4258,539300,0.0,1.0
2000-02-28,45.88,48.13,45.81,46.94,6.6102,476100,0.0,1.0
2000-02-29,46.0,46.13,44.25,44.5,6.2666,834400,0.0,1.0
2000-03-01,44.56,45.25,43.75,44.63,6.2849,400800,0.0,1.0
2000-03-02,44.5,44.69,43.75,43.88,6.1793,365800,0.0,1.0
2000-03-03,43.88,45.56,43.0,43.69,6.1526,621300,0.0,1.0
2000-03-06,43.94,43.94,42.0,42.25,5.9498,311200,0.0,1.0
2000-03-07,42.25,42.25,41.25,41.31,5.8174,300100,0.0,1.0
2000-03-08,40.5,41.88,39.94,40.0,5.6329,404800,0.0,1.0
2000-03-09,40.06,40.94,40.0,40.94,5.7653,786100,0.0,1.0
2000-03-10,40.5,40.63,39.88,40.06,5.6414,494400,0.0,1.0
2000-03-13,38.25,40.44,38.25,40.25,5.6681,554200,0.0,1.0
2000-03-14,40.38,41.88,40.06,40.94,5.7653,546900,0.0,1.0
2000-03-15,40.94,42.94,40.94,42.81,6.0286,249300,0.0,1.0
2000-03-16,43.38,46.44,43.25,45.69,6.4342,295300,0.0,1.0
2000-03-17,45.0,46.75,44.88,45.5,6.4074,332800,0.0,1.0
2000-03-20,45.75,46.5,44.81,45.13,6.3553,283900,0.0,1.0
2000-03-21,44.5,48.25,44.5,47.13,6.637,513800,0.0,1.0
2000-03-22,46.94,47.56,46.69,46.94,6.6102,313500,0.0,1.0
2000-03-23,46.69,48.13,46.38,48.0,6.7595,492900,0.0,1.0
2000-03-24,48.06,48.19,47.56,47.56,6.6975,231800,0.0,1.0
2000-03-27,48.5,48.5,46.5,46.63,6.5666,194800,0.0,1.0
2000-03-28,46.38,49.0,46.25,47.88,6.7426,272000,0.0,1.0
2000-03-29,47.88,48.88,47.63,47.69,6.7159,232800,0.0,1.0
2000-03-30,48.75,51.31,48.63,49.0,6.9003,438800,0.0,1.0
2000-03-31,49.0,51.13,48.5,50.0,7.0412,367200,0.0,1.0
2000-04-03,52.0,54.06,51.19,53.5,7.534,448900,0.0,1.0
2000-04-04,53.5,54.44,49.94,52.0,7.3228,353900,0.0,1.0
2000-04-05,52.13,52.63,51.25,51.75,7.2876,213100,0.0,1.0
2000-04-06,52.0,52.5,51.31,51.81,7.296,270900,0.0,1.0
2000-04-07,51.56,53.31,51.56,51.81,7.296,291100,0.0,1.0
2000-04-10,51.75,51.75,50.19,51.31,7.2256,292100,0.0,1.0
2000-04-11,51.13,52.19,51.06,51.56,7.2608,164600,0.0,1.0
2000-04-12,51.56,53.38,51.56,52.69,7.42,216400,0.0,1.0
2000-04-13,52.94,53.19,52.0,52.5,7.3932,291700,0.0,1.0
