,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,34.94,35.62,33.88,34.19,6.2322,521100,0.0,1.0
2000-01-19,34.25,34.5,33.5,34.0,6.1976,825500,0.0,1.0
2000-01-20,33.75,34.31,32.78,34.06,6.2085,751400,0.0,1.0
2000-01-21,34.44,34.44,33.12,33.31,6.0718,1265100,0.0,1.0
2000-01-24,33.31,33.31,31.81,32.75,5.9697,541000,0.0,1.0
2000-01-25,32.38,33.12,32.31,32.56,5.9351,1255600,0.0,1.0
2000-01-26,33.25,33.44,32.44,32.62,5.946,710600,0.0,1.0
2000-01-27,33.12,33.44,31.5,31.81,5.7984,1500300,0.0,1.0
2000-01-28,31.88,31.94,30.19,30.5,5.5596,1869600,0.0,1.0
2000-01-31,30.75,30.94,30.31,30.69,5.5942,663200,0.0,1.0
2000-02-01,30.88,32.12,30.75,31.12,5.6726,1524000,0.0,1.0
2000-02-02,32.0,35.0,31.62,33.25,6.0609,1787500,0.0,1.0
2000-02-03,35.0,36.0,33.75,34.81,6.3452,2328300,0.0,1.0
2000-02-04,35.06,35.56,34.56,35.5,6.471,1731100,0.0,1.0
2000-02-07,35.69,35.69,34.81,34.94,6.3689,1334800,0.0,1.0
2000-02-08,35.5,35.62,34.88,35.5,6.471,1101200,0.0,1.0
2000-02-09,35.5,35.56,34.25,34.5,6.2887,649000,0.0,1.0
2000-02-10,34.75,34.75,34.06,34.31,6.2541,704800,0.0,1.0
2000-02-11,34.38,34.38,33.12,33.31,6.0718,586800,0.0,1.0
2000-02-14,33.38,33.62,32.69,33.5,6.1065,704000,0.0,1.0
2000-02-15,33.75,34.12,33.69,33.81,6.163,692500,0.0,1.0
2000-02-16,33.75,33.75,30.5,31.12,5.6726,1295200,0.0,1.0
2000-02-17,31.38,31.81,30.62,30.69,5.5942,926500,0.0,1.0
2000-02-18,30.44,30.88,30.19,30.62,5.5815,702400,0.0,1.0
2000-02-22,31.5,31.69,30.69,31.44,5.731,703100,0.0,1.0
2000-02-23,31.69,32.25,30.5,30.69,5.5942,1301200,0.0,1.0
2000-02-24,30.75,30.81,28.88,29.19,5.3208,1571700,0.0,1.0
2000-02-25,29.12,30.25,29.12,30.12,5.4903,1459100,0.0,1.0
2000-02-28,31.25,31.62,30.38,31.31,5.7073,1195300,0.0,1.0
2000-02-29,32.0,34.0,31.62,34.0,6.1976,1315700,0.0,1.0
2000-03-01,33.31,33.75,32.56,33.62,6.1557,1276900,0.15,1.0
2000-03-02,33.62,33.81,33.06,33.62,6.1557,1708600,0.0,1.0
2000-03-03,33.62,33.81,33.06,33.81,6.1905,807900,0.0,1.0
2000-03-06,33.5,33.69,32.81,33.5,6.1337,788500,0.0,1.0
2000-03-07,33.81,33.81,31.88,31.94,5.8481,1159100,0.0,1.0
2000-03-08,32.38,32.44,31.56,32.25,5.9048,883900,0.0,1.0
2000-03-09,32.0,34.0,32.0,34.0,6.2252,962500,0.0,1.0
2000-03-10,34.0,34.06,33.44,34.0,6.2252,613400,0.0,1.0
2000-03-13,33.88,33.88,32.88,33.44,6.1227,612100,0.0,1.0
2000-03-14,33.44,33.75,32.81,33.38,6.1117,780600,0.0,1.0
2000-03-15,33.19,36.44,33.19,35.69,6.5347,960900,0.0,1.0
2000-03-16,35.69,39.56,35.69,39.5,7.2323,1574800,0.0,1.0
2000-03-17,38.75,38.81,37.25,37.38,6.8441,889100,0.0,1.0
2000-03-20,37.0,38.62,36.88,37.94,6.9466,633100,0.0,1.0
2000-03-21,38.44,39.5,38.31,38.56,7.0602,1386700,0.0,1.0
2000-03-22,38.5,38.5,37.5,38.25,7.0034,1171100,0.0,1.0
2000-03-23,38.25,38.44,37.94,38.31,7.0144,1021700,0.0,1.0
