,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.13,19.31,18.94,19.31,9.5854,368600,0.0,1.0
2000-01-19,19.25,19.31,18.94,19.0,9.4315,332300,0.0,1.0
2000-01-20,18.94,19.06,18.38,18.5,9.1833,494300,0.0,1.0
2000-01-21,19.0,19.13,18.5,19.06,9.4613,661100,0.0,1.0
2000-01-24,19.13,19.31,18.5,18.69,9.2776,293400,0.0,1.0
2000-01-25,18.56,18.69,17.81,18.06,8.9649,467600,0.0,1.0
2000-01-26,18.25,18.44,17.63,18.19,9.0294,528700,0.0,1.0
2000-01-27,18.0,18.56,17.75,18.13,8.9997,358100,0.0,1.0
2000-01-28,18.13,18.25,17.75,17.94,8.9053,355600,0.0,1.0
2000-01-31,17.81,18.0,17.56,18.0,8.9351,498000,0.0,1.0
2000-02-01,17.88,18.5,17.38,18.25,9.0592,699600,0.0,1.0
2000-02-02,18.0,18.0,17.56,17.69,8.7812,467900,0.0,1.0
2000-02-03,17.75,18.5,17.69,18.19,9.0294,595600,0.0,1.0
2000-02-04,17.94,18.38,17.56,17.63,8.7515,582900,0.0,1.0
2000-02-07,17.56,17.63,17.0,17.31,8.5926,520400,0.0,1.0
2000-02-08,17.56,17.75,17.25,17.5,8.6869,304400,0.0,1.0
2000-02-09,17.25,18.0,17.06,17.31,8.5926,548700,0.0,1.0
2000-02-10,17.44,17.44,16.94,17.06,8.4685,431800,0.0,1.0
2000-02-11,16.94,17.25,16.69,16.75,8.3146,384500,0.0,1.0
2000-02-14,17.0,17.31,16.69,16.75,8.3146,461900,0.0,1.0
2000-02-15,16.75,16.81,16.31,16.5,8.1905,907300,0.0,1.0
2000-02-16,16.56,17.0,16.56,16.75,8.3146,443400,0.0,1.0
2000-02-17,16.88,17.06,16.63,16.81,8.3444,312400,0.0,1.0
2000-02-18,16.56,16.81,16.06,16.25,8.0664,551900,0.0,1.0
2000-02-22,16.5,16.69,16.19,16.31,8.0962,335200,0.0,1.0
2000-02-23,16.19,16.44,16.0,16.31,8.1459,388700,0.1,1.0
2000-02-24,16.31,16.56,16.06,16.06,8.021,906800,0.0,1.0
2000-02-25,16.13,16.44,15.94,16.06,8.021,694800,0.0,1.0
2000-02-28,16.31,16.31,15.88,16.06,8.021,620400,0.0,1.0
2000-02-29,16.13,16.94,15.94,16.81,8.3956,716600,0.0,1.0
2000-03-01,16.75,16.75,16.19,16.31,8.1459,1226700,0.0,1.0
